morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s042-a003-w008-01	w-s042-a003-w008	42:3:8:1	1	ٱللَّهُ	ٱللَّهُ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM								NOM
m-w-s042-a003-w009-01	w-s042-a003-w009	42:3:9:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a003-w009-02	w-s042-a003-w009	42:3:9:2	2	عَزِيزُ	عَزِيزُ	عَزِيز	ع ز ز	عزز	ADJ	STEM	STEM|POS:ADJ|LEM:Eaziyz|ROOT:Ezz|MS|NOM						M	singular	NOM
m-w-s042-a003-w010-01	w-s042-a003-w010	42:3:10:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a003-w010-02	w-s042-a003-w010	42:3:10:2	2	حَكِيمُ	حَكِيمُ	حَكِيم	ح ك م	حكم	ADJ	STEM	STEM|POS:ADJ|LEM:Hakiym|ROOT:Hkm|MS|NOM						M	singular	NOM
m-w-s042-a004-w001-01	w-s042-a004-w001	42:4:1:1	1	لَ					P	PREFIX	PREFIX|l:P+								
m-w-s042-a004-w001-02	w-s042-a004-w001	42:4:1:2	2	هُۥ	هُۥ				PRON	STEM	STEM|POS:PRON|3MS					3	M	singular	
m-w-s042-a004-w002-01	w-s042-a004-w002	42:4:2:1	1	مَا	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA								
m-w-s042-a004-w003-01	w-s042-a004-w003	42:4:3:1	1	فِى	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY								
m-w-s042-a004-w004-01	w-s042-a004-w004	42:4:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s042-a004-w004-02	w-s042-a004-w004	42:4:4:2	2	سَّمَٰوَٰتِ	سَّمَٰوَٰتِ	سَمَآء	س م و	سمو	N	STEM	STEM|POS:N|LEM:samaA^'|ROOT:smw|FP|GEN						F	plural	GEN
m-w-s042-a004-w005-01	w-s042-a004-w005	42:4:5:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a004-w005-02	w-s042-a004-w005	42:4:5:2	2	مَا	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA								
m-w-s042-a004-w006-01	w-s042-a004-w006	42:4:6:1	1	فِى	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY								
m-w-s042-a004-w007-01	w-s042-a004-w007	42:4:7:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a004-w007-02	w-s042-a004-w007	42:4:7:2	2	أَرْضِ	أَرْضِ	أَرْض	ء ر ض	ءرض	N	STEM	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|GEN								GEN
m-w-s042-a004-w008-01	w-s042-a004-w008	42:4:8:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a004-w008-02	w-s042-a004-w008	42:4:8:2	2	هُوَ	هُوَ				PRON	STEM	STEM|POS:PRON|3MS					3	M	singular	
m-w-s042-a004-w009-01	w-s042-a004-w009	42:4:9:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a004-w009-02	w-s042-a004-w009	42:4:9:2	2	عَلِىُّ	عَلِىُّ	عَلِيّ	ع ل و	علو	N	STEM	STEM|POS:N|LEM:Ealiy~|ROOT:Elw|MS|NOM						M	singular	NOM
m-w-s042-a004-w010-01	w-s042-a004-w010	42:4:10:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a004-w010-02	w-s042-a004-w010	42:4:10:2	2	عَظِيمُ	عَظِيمُ	عَظِيم	ع ظ م	عظم	ADJ	STEM	STEM|POS:ADJ|LEM:EaZiym|ROOT:EZm|MS|NOM						M	singular	NOM
m-w-s042-a005-w001-01	w-s042-a005-w001	42:5:1:1	1	تَكَادُ	تَكَادُ	كَادَ	ك و د	كود	V	STEM	STEM|POS:V|IMPF|LEM:kaAda|ROOT:kwd|SP:kaAd|3FS	IMPF				3	F	singular	
m-w-s042-a005-w002-01	w-s042-a005-w002	42:5:2:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s042-a005-w002-02	w-s042-a005-w002	42:5:2:2	2	سَّمَٰوَٰتُ	سَّمَٰوَٰتُ	سَمَآء	س م و	سمو	N	STEM	STEM|POS:N|LEM:samaA^'|ROOT:smw|FP|NOM						F	plural	NOM
m-w-s042-a005-w003-01	w-s042-a005-w003	42:5:3:1	1	يَتَفَطَّرْ	يَتَفَطَّرْ	فَطَرَ	ف ط ر	فطر	V	STEM	STEM|POS:V|IMPF|LEM:faTara|ROOT:fTr|3FP	IMPF				3	F	plural	
m-w-s042-a005-w003-02	w-s042-a005-w003	42:5:3:2	2	نَ					PRON	SUFFIX	SUFFIX|PRON:3FP					3	F	plural	
m-w-s042-a005-w004-01	w-s042-a005-w004	42:5:4:1	1	مِن	مِن	مِن			P	STEM	STEM|POS:P|LEM:min								
m-w-s042-a005-w005-01	w-s042-a005-w005	42:5:5:1	1	فَوْقِ	فَوْقِ	فَوْق	ف و ق	فوق	N	STEM	STEM|POS:N|LEM:fawoq|ROOT:fwq|M|GEN								GEN
m-w-s042-a005-w005-02	w-s042-a005-w005	42:5:5:2	2	هِنَّ					PRON	SUFFIX	SUFFIX|PRON:3FP					3	F	plural	
m-w-s042-a005-w006-01	w-s042-a005-w006	42:5:6:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a005-w006-02	w-s042-a005-w006	42:5:6:2	2	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a005-w006-03	w-s042-a005-w006	42:5:6:3	3	مَلَٰٓئِكَةُ	مَلَٰٓئِكَةُ	مَلَك	م ل ك	ملك	N	STEM	STEM|POS:N|LEM:malak|ROOT:mlk|MP|NOM						M	plural	NOM
m-w-s042-a005-w007-01	w-s042-a005-w007	42:5:7:1	1	يُسَبِّحُ	يُسَبِّحُ	سَبَّحَ	س ب ح	سبح	V	STEM	STEM|POS:V|IMPF|(II)|LEM:sab~aHa|ROOT:sbH|3MP	IMPF			II	3	M	plural	
m-w-s042-a005-w007-02	w-s042-a005-w007	42:5:7:2	2	ونَ					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s042-a005-w008-01	w-s042-a005-w008	42:5:8:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s042-a005-w008-02	w-s042-a005-w008	42:5:8:2	2	حَمْدِ	حَمْدِ	حَمْد	ح م د	حمد	N	STEM	STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|GEN								GEN
m-w-s042-a005-w009-01	w-s042-a005-w009	42:5:9:1	1	رَبِّ	رَبِّ	رَبّ	ر ب ب	ربب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN								GEN
m-w-s042-a005-w009-02	w-s042-a005-w009	42:5:9:2	2	هِمْ					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s042-a005-w010-01	w-s042-a005-w010	42:5:10:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a005-w010-02	w-s042-a005-w010	42:5:10:2	2	يَسْتَغْفِرُ	يَسْتَغْفِرُ	ٱسْتَغْفَرَ	غ ف ر	غفر	V	STEM	STEM|POS:V|IMPF|(X)|LEM:{sotagofara|ROOT:gfr|3MP	IMPF			X	3	M	plural	
m-w-s042-a005-w010-03	w-s042-a005-w010	42:5:10:3	3	ونَ					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s042-a005-w011-01	w-s042-a005-w011	42:5:11:1	1	لِ					P	PREFIX	PREFIX|l:P+								
m-w-s042-a005-w011-02	w-s042-a005-w011	42:5:11:2	2	مَن	مَن	مَن			REL	STEM	STEM|POS:REL|LEM:man								
m-w-s042-a005-w012-01	w-s042-a005-w012	42:5:12:1	1	فِى	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY								
m-w-s042-a005-w013-01	w-s042-a005-w013	42:5:13:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a005-w013-02	w-s042-a005-w013	42:5:13:2	2	أَرْضِ	أَرْضِ	أَرْض	ء ر ض	ءرض	N	STEM	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|GEN								GEN
m-w-s042-a005-w014-01	w-s042-a005-w014	42:5:14:1	1	أَلَآ	أَلَآ	أَلَآ			INC	STEM	STEM|POS:INC|LEM:>alaA^								
m-w-s042-a005-w015-01	w-s042-a005-w015	42:5:15:1	1	إِنَّ	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								ACC
m-w-s042-a005-w016-01	w-s042-a005-w016	42:5:16:1	1	ٱللَّهَ	ٱللَّهَ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC								ACC
m-w-s042-a005-w017-01	w-s042-a005-w017	42:5:17:1	1	هُوَ	هُوَ				PRON	STEM	STEM|POS:PRON|3MS					3	M	singular	
m-w-s042-a005-w018-01	w-s042-a005-w018	42:5:18:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a005-w018-02	w-s042-a005-w018	42:5:18:2	2	غَفُورُ	غَفُورُ	غَفُور	غ ف ر	غفر	N	STEM	STEM|POS:N|LEM:gafuwr|ROOT:gfr|MS|NOM						M	singular	NOM
m-w-s042-a005-w019-01	w-s042-a005-w019	42:5:19:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s042-a005-w019-02	w-s042-a005-w019	42:5:19:2	2	رَّحِيمُ	رَّحِيمُ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|NOM						M	singular	NOM
m-w-s042-a006-w001-01	w-s042-a006-w001	42:6:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a006-w001-02	w-s042-a006-w001	42:6:1:2	2	ٱلَّذِينَ	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP						M	plural	
m-w-s042-a006-w002-01	w-s042-a006-w002	42:6:2:1	1	ٱتَّخَذُ	ٱتَّخَذُ	ٱتَّخَذَ	ء خ ذ	ءخذ	V	STEM	STEM|POS:V|PERF|(VIII)|LEM:{t~axa*a|ROOT:Ax*|3MP	PERF			VIII	3	M	plural	
m-w-s042-a006-w002-02	w-s042-a006-w002	42:6:2:2	2	وا۟					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s042-a006-w003-01	w-s042-a006-w003	42:6:3:1	1	مِن	مِن	مِن			P	STEM	STEM|POS:P|LEM:min								
m-w-s042-a006-w004-01	w-s042-a006-w004	42:6:4:1	1	دُونِ	دُونِ	دُون	د و ن	دون	N	STEM	STEM|POS:N|LEM:duwn|ROOT:dwn|GEN								GEN
m-w-s042-a006-w004-02	w-s042-a006-w004	42:6:4:2	2	هِۦٓ					PRON	SUFFIX	SUFFIX|PRON:3MS					3	M	singular	
m-w-s042-a006-w005-01	w-s042-a006-w005	42:6:5:1	1	أَوْلِيَآءَ	أَوْلِيَآءَ	وَلِىّ	و ل ي	ولي	N	STEM	STEM|POS:N|LEM:waliY~|ROOT:wly|MP|ACC						M	plural	ACC
m-w-s042-a006-w006-01	w-s042-a006-w006	42:6:6:1	1	ٱللَّهُ	ٱللَّهُ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM								NOM
m-w-s042-a006-w007-01	w-s042-a006-w007	42:6:7:1	1	حَفِيظٌ	حَفِيظٌ	حَفِيظ	ح ف ظ	حفظ	ADJ	STEM	STEM|POS:ADJ|ACT|PCPL|LEM:HafiyZ|ROOT:HfZ|MS|INDEF|NOM			ACT			M	singular	NOM
m-w-s042-a006-w008-01	w-s042-a006-w008	42:6:8:1	1	عَلَيْ	عَلَيْ	عَلَىٰ			P	STEM	STEM|POS:P|LEM:EalaY`								
m-w-s042-a006-w008-02	w-s042-a006-w008	42:6:8:2	2	هِمْ					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s042-a006-w009-01	w-s042-a006-w009	42:6:9:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a006-w009-02	w-s042-a006-w009	42:6:9:2	2	مَآ	مَآ	مَا			NEG	STEM	STEM|POS:NEG|LEM:maA								
m-w-s042-a006-w010-01	w-s042-a006-w010	42:6:10:1	1	أَنتَ	أَنتَ				PRON	STEM	STEM|POS:PRON|2MS					2	M	singular	
m-w-s042-a006-w011-01	w-s042-a006-w011	42:6:11:1	1	عَلَيْ	عَلَيْ	عَلَىٰ			P	STEM	STEM|POS:P|LEM:EalaY`								
m-w-s042-a006-w011-02	w-s042-a006-w011	42:6:11:2	2	هِم					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s042-a006-w012-01	w-s042-a006-w012	42:6:12:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s042-a006-w012-02	w-s042-a006-w012	42:6:12:2	2	وَكِيلٍ	وَكِيلٍ	وَكِيل	و ك ل	وكل	N	STEM	STEM|POS:N|LEM:wakiyl|ROOT:wkl|M|INDEF|GEN								GEN
m-w-s042-a007-w001-01	w-s042-a007-w001	42:7:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a007-w001-02	w-s042-a007-w001	42:7:1:2	2	كَ					P	PREFIX	PREFIX|ka+								
m-w-s042-a007-w001-03	w-s042-a007-w001	42:7:1:3	3	ذَٰلِكَ	ذَٰلِكَ	ذَٰلِك			DEM	STEM	STEM|POS:DEM|LEM:*a`lik|MS						M	singular	
m-w-s042-a007-w002-01	w-s042-a007-w002	42:7:2:1	1	أَوْحَيْ	أَوْحَيْ	أَوْحَىٰٓ	و ح ي	وحي	V	STEM	STEM|POS:V|PERF|(IV)|LEM:>awoHaY`^|ROOT:wHy|1P	PERF			IV	1		plural	
m-w-s042-a007-w002-02	w-s042-a007-w002	42:7:2:2	2	نَآ					PRON	SUFFIX	SUFFIX|PRON:1P					1		plural	
m-w-s042-a007-w003-01	w-s042-a007-w003	42:7:3:1	1	إِلَيْ	إِلَيْ	إِلَىٰ			P	STEM	STEM|POS:P|LEM:<ilaY`								
m-w-s042-a007-w003-02	w-s042-a007-w003	42:7:3:2	2	كَ					PRON	SUFFIX	SUFFIX|PRON:2MS					2	M	singular	
m-w-s042-a007-w004-01	w-s042-a007-w004	42:7:4:1	1	قُرْءَانًا	قُرْءَانًا	قُرْءَان	ق ر ء	قرء	PN	STEM	STEM|POS:PN|LEM:quro'aAn|ROOT:qrA|M|INDEF|ACC								ACC
m-w-s042-a007-w005-01	w-s042-a007-w005	42:7:5:1	1	عَرَبِيًّا	عَرَبِيًّا	عَرَبِيّ	ع ر ب	عرب	ADJ	STEM	STEM|POS:ADJ|LEM:Earabiy~|ROOT:Erb|MS|INDEF|ACC						M	singular	ACC
m-w-s042-a007-w006-01	w-s042-a007-w006	42:7:6:1	1	لِّ					PRP	PREFIX	PREFIX|l:PRP+								
m-w-s042-a007-w006-02	w-s042-a007-w006	42:7:6:2	2	تُنذِرَ	تُنذِرَ	أَنذَرَ	ن ذ ر	نذر	V	STEM	STEM|POS:V|IMPF|(IV)|LEM:>an*ara|ROOT:n*r|2MS|MOOD:SUBJ	IMPF	SUBJ		IV	2	M	singular	
m-w-s042-a007-w007-01	w-s042-a007-w007	42:7:7:1	1	أُمَّ	أُمَّ	أُمّ	ء م م	ءمم	N	STEM	STEM|POS:N|LEM:>um~|ROOT:Amm|FS|ACC						F	singular	ACC
m-w-s042-a007-w008-01	w-s042-a007-w008	42:7:8:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a007-w008-02	w-s042-a007-w008	42:7:8:2	2	قُرَىٰ	قُرَىٰ	قَرْيَة	ق ر ي	قري	N	STEM	STEM|POS:N|LEM:qaroyap|ROOT:qry|P|GEN								GEN
m-w-s042-a007-w009-01	w-s042-a007-w009	42:7:9:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a007-w009-02	w-s042-a007-w009	42:7:9:2	2	مَنْ	مَنْ	مَن			REL	STEM	STEM|POS:REL|LEM:man								
m-w-s042-a007-w010-01	w-s042-a007-w010	42:7:10:1	1	حَوْلَ	حَوْلَ	حَوْل	ح و ل	حول	N	STEM	STEM|POS:N|LEM:Hawol|ROOT:Hwl|M|ACC								ACC
m-w-s042-a007-w010-02	w-s042-a007-w010	42:7:10:2	2	هَا					PRON	SUFFIX	SUFFIX|PRON:3FS					3	F	singular	
m-w-s042-a007-w011-01	w-s042-a007-w011	42:7:11:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a007-w011-02	w-s042-a007-w011	42:7:11:2	2	تُنذِرَ	تُنذِرَ	أَنذَرَ	ن ذ ر	نذر	V	STEM	STEM|POS:V|IMPF|(IV)|LEM:>an*ara|ROOT:n*r|3FS|MOOD:SUBJ	IMPF	SUBJ		IV	3	F	singular	
m-w-s042-a007-w012-01	w-s042-a007-w012	42:7:12:1	1	يَوْمَ	يَوْمَ	يَوْم	ي و م	يوم	N	STEM	STEM|POS:N|LEM:yawom|ROOT:ywm|M|ACC								ACC
m-w-s042-a007-w013-01	w-s042-a007-w013	42:7:13:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a007-w013-02	w-s042-a007-w013	42:7:13:2	2	جَمْعِ	جَمْعِ	جَمْع	ج م ع	جمع	N	STEM	STEM|POS:N|LEM:jamoE|ROOT:jmE|M|GEN								GEN
m-w-s042-a007-w014-01	w-s042-a007-w014	42:7:14:1	1	لَا	لَا	لَا			NEG	STEM	STEM|POS:NEG|LEM:laA								
m-w-s042-a007-w015-01	w-s042-a007-w015	42:7:15:1	1	رَيْبَ	رَيْبَ	رَيْب	ر ي ب	ريب	N	STEM	STEM|POS:N|LEM:rayob|ROOT:ryb|M|ACC								ACC
m-w-s042-a007-w016-01	w-s042-a007-w016	42:7:16:1	1	فِي	فِي	فِى			P	STEM	STEM|POS:P|LEM:fiY								
m-w-s042-a007-w016-02	w-s042-a007-w016	42:7:16:2	2	هِ					PRON	SUFFIX	SUFFIX|PRON:3MS					3	M	singular	
m-w-s042-a007-w017-01	w-s042-a007-w017	42:7:17:1	1	فَرِيقٌ	فَرِيقٌ	فَرِيق	ف ر ق	فرق	N	STEM	STEM|POS:N|LEM:fariyq|ROOT:frq|M|INDEF|NOM								NOM
m-w-s042-a007-w018-01	w-s042-a007-w018	42:7:18:1	1	فِى	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY								
m-w-s042-a007-w019-01	w-s042-a007-w019	42:7:19:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s042-a007-w019-02	w-s042-a007-w019	42:7:19:2	2	جَنَّةِ	جَنَّةِ	جَنَّة	ج ن ن	جنن	PN	STEM	STEM|POS:PN|LEM:jan~ap|ROOT:jnn|F|GEN								GEN
m-w-s042-a007-w020-01	w-s042-a007-w020	42:7:20:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a007-w020-02	w-s042-a007-w020	42:7:20:2	2	فَرِيقٌ	فَرِيقٌ	فَرِيق	ف ر ق	فرق	N	STEM	STEM|POS:N|LEM:fariyq|ROOT:frq|M|INDEF|NOM								NOM
m-w-s042-a007-w021-01	w-s042-a007-w021	42:7:21:1	1	فِى	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY								
m-w-s042-a007-w022-01	w-s042-a007-w022	42:7:22:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s042-a007-w022-02	w-s042-a007-w022	42:7:22:2	2	سَّعِيرِ	سَّعِيرِ	سَعِير	س ع ر	سعر	N	STEM	STEM|POS:N|LEM:saEiyr|ROOT:sEr|M|GEN								GEN
m-w-s042-a008-w001-01	w-s042-a008-w001	42:8:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a008-w001-02	w-s042-a008-w001	42:8:1:2	2	لَوْ	لَوْ	لَو			COND	STEM	STEM|POS:COND|LEM:law								
m-w-s042-a008-w002-01	w-s042-a008-w002	42:8:2:1	1	شَآءَ	شَآءَ	شَآءَ	ش ي ء	شيء	V	STEM	STEM|POS:V|PERF|LEM:$aA^'a|ROOT:$yA|3MS	PERF				3	M	singular	
m-w-s042-a008-w003-01	w-s042-a008-w003	42:8:3:1	1	ٱللَّهُ	ٱللَّهُ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM								NOM
m-w-s042-a008-w004-01	w-s042-a008-w004	42:8:4:1	1	لَ					EMPH	PREFIX	PREFIX|l:EMPH+								
m-w-s042-a008-w004-02	w-s042-a008-w004	42:8:4:2	2	جَعَلَ	جَعَلَ	جَعَلَ	ج ع ل	جعل	V	STEM	STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|3MS	PERF				3	M	singular	
m-w-s042-a008-w004-03	w-s042-a008-w004	42:8:4:3	3	هُمْ					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s042-a008-w005-01	w-s042-a008-w005	42:8:5:1	1	أُمَّةً	أُمَّةً	أُمَّة	ء م م	ءمم	N	STEM	STEM|POS:N|LEM:>um~ap|ROOT:Amm|FS|INDEF|ACC						F	singular	ACC
m-w-s042-a008-w006-01	w-s042-a008-w006	42:8:6:1	1	وَٰحِدَةً	وَٰحِدَةً	وَٰحِدَة	و ح د	وحد	N	STEM	STEM|POS:N|LEM:wa`Hidap|ROOT:wHd|F|INDEF|ACC								ACC
m-w-s042-a008-w007-01	w-s042-a008-w007	42:8:7:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a008-w007-02	w-s042-a008-w007	42:8:7:2	2	لَٰكِن	لَٰكِن	لَٰكِن			AMD	STEM	STEM|POS:AMD|LEM:la`kin								
m-w-s042-a008-w008-01	w-s042-a008-w008	42:8:8:1	1	يُدْخِلُ	يُدْخِلُ	أُدْخِلَ	د خ ل	دخل	V	STEM	STEM|POS:V|IMPF|(IV)|LEM:>udoxila|ROOT:dxl|3MS	IMPF			IV	3	M	singular	
m-w-s042-a008-w009-01	w-s042-a008-w009	42:8:9:1	1	مَن	مَن	مَن			REL	STEM	STEM|POS:REL|LEM:man								
m-w-s042-a008-w010-01	w-s042-a008-w010	42:8:10:1	1	يَشَآءُ	يَشَآءُ	شَآءَ	ش ي ء	شيء	V	STEM	STEM|POS:V|IMPF|LEM:$aA^'a|ROOT:$yA|3MS	IMPF				3	M	singular	
m-w-s042-a008-w011-01	w-s042-a008-w011	42:8:11:1	1	فِى	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY								
m-w-s042-a008-w012-01	w-s042-a008-w012	42:8:12:1	1	رَحْمَتِ	رَحْمَتِ	رَحْمَة	ر ح م	رحم	N	STEM	STEM|POS:N|LEM:raHomap|ROOT:rHm|F|GEN								GEN
m-w-s042-a008-w012-02	w-s042-a008-w012	42:8:12:2	2	هِۦ					PRON	SUFFIX	SUFFIX|PRON:3MS					3	M	singular	
m-w-s042-a008-w013-01	w-s042-a008-w013	42:8:13:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s042-a008-w013-02	w-s042-a008-w013	42:8:13:2	2	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s042-a008-w013-03	w-s042-a008-w013	42:8:13:3	3	ظَّٰلِمُونَ	ظَّٰلِمُونَ	ظَالِم	ظ ل م	ظلم	N	STEM	STEM|POS:N|ACT|PCPL|LEM:ZaAlim|ROOT:Zlm|MP|NOM			ACT			M	plural	NOM
m-w-s042-a008-w014-01	w-s042-a008-w014	42:8:14:1	1	مَا	مَا	مَا			NEG	STEM	STEM|POS:NEG|LEM:maA								
m-w-s042-a008-w015-01	w-s042-a008-w015	42:8:15:1	1	لَ					P	PREFIX	PREFIX|l:P+								
