unit_id	source_pass	source_rtype	source_local_id	sura	ayah	type	anchor_wid	anchor_unit_id	part	agreement	referent_status	frame_raw	frame_unit_id	candidate_refs_raw	candidate_ref_unit_ids	status	confidence	evidence	translation_instruction	reason
ae:v3:s002:004:pass2:impl:i3	pass2	IMPL	i3	2	4	implicit_agent	10	q:2:4:10	passive_voice	passive_agent_unexpressed	morphologically_present_unresolved	v3	ae:v3:s002:004:pass1:frame:v3			surface_form	high	morphology;local_syntax	avoid_adding_recovered_text	أُنزِلَ is analyzed by Pass 1 as passive with obj=none_passive; the agent is grammatically unexpressed.
ae:v3:s002:006:pass2:impl:i1	pass2	IMPL	i1	2	6	implicit_subject	3	q:2:6:3	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:006:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	كَفَرُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:006:pass2:impl:i2	pass2	IMPL	i2	2	6	implicit_subject	6	q:2:6:6	subject_agreement	2ms	morphologically_present_unresolved	v2	ae:v3:s002:006:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	ءَأَنذَرْتَهُمْ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:006:pass2:impl:i3	pass2	IMPL	i3	2	6	implicit_subject	9	q:2:6:9	subject_agreement	2ms	morphologically_present_unresolved	v3	ae:v3:s002:006:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	تُنذِرْهُمْ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:006:pass2:impl:i4	pass2	IMPL	i4	2	6	implicit_subject	11	q:2:6:11	subject_agreement	3mp	morphologically_present_unresolved	v4	ae:v3:s002:006:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	يُؤْمِنُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:008:pass2:impl:i1	pass2	IMPL	i1	2	8	implicit_subject	5	q:2:8:5	subject_agreement	3ms	morphologically_present_unresolved	v1	ae:v3:s002:008:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	يَقُولُ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:008:pass2:impl:i2	pass2	IMPL	i2	2	8	implicit_subject	6	q:2:8:6	subject_agreement	1cp	morphologically_present_unresolved	v2	ae:v3:s002:008:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	ءَامَنَّا carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:009:pass2:impl:i1	pass2	IMPL	i1	2	9	implicit_subject	1	q:2:9:1	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:009:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	يُخَٰدِعُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:009:pass2:impl:i2	pass2	IMPL	i2	2	9	implicit_subject	5	q:2:9:5	subject_agreement	3mp	morphologically_present_unresolved	v2	ae:v3:s002:009:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	ءَامَنُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:009:pass2:impl:i3	pass2	IMPL	i3	2	9	implicit_subject	8	q:2:9:8	subject_agreement	3mp	morphologically_present_unresolved	v3	ae:v3:s002:009:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	يَخْدَعُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:009:pass2:impl:i4	pass2	IMPL	i4	2	9	implicit_subject	13	q:2:9:13	subject_agreement	3mp	morphologically_present_unresolved	v4	ae:v3:s002:009:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	يَشْعُرُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:010:pass2:impl:i1	pass2	IMPL	i1	2	10	implicit_subject	14	q:2:10:14	subject_agreement	3mp	morphologically_present_unresolved	v2	ae:v3:s002:010:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	كَانُوا carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:010:pass2:impl:i2	pass2	IMPL	i2	2	10	implicit_subject	15	q:2:10:15	subject_agreement	3mp	morphologically_present_unresolved	v3	ae:v3:s002:010:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	يَكْذِبُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:011:pass2:impl:i1	pass2	IMPL	i1	2	11	implicit_subject	7	q:2:11:7	subject_agreement	2mp	morphologically_present_unresolved	v2	ae:v3:s002:011:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	تُفْسِدُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:011:pass2:impl:i2	pass2	IMPL	i2	2	11	implicit_subject	10	q:2:11:10	subject_agreement	3mp	morphologically_present_unresolved	v3	ae:v3:s002:011:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	قَالُوٓا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:012:pass2:impl:i1	pass2	IMPL	i1	2	12	implicit_subject	8	q:2:12:8	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:012:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	يَشْعُرُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:013:pass2:impl:i1	pass2	IMPL	i1	2	13	implicit_subject	6	q:2:13:6	subject_agreement	3mp	morphologically_present_unresolved	v2	ae:v3:s002:013:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	ءَامِنُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:013:pass2:impl:i2	pass2	IMPL	i2	2	13	implicit_subject	11	q:2:13:11	subject_agreement	3mp	morphologically_present_unresolved	v4	ae:v3:s002:013:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	قَالُوٓا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:013:pass2:impl:i3	pass2	IMPL	i3	2	13	implicit_subject	12	q:2:13:12	subject_agreement	unmarked	morphologically_present_unresolved	v5	ae:v3:s002:013:pass1:frame:v5			surface_form	medium	morphology;agreement	preserve_argument_role	أَنُؤْمِنُ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:013:pass2:impl:i4	pass2	IMPL	i4	2	13	implicit_subject	24	q:2:13:24	subject_agreement	3mp	morphologically_present_unresolved	v7	ae:v3:s002:013:pass1:frame:v7			surface_form	high	morphology;agreement	preserve_argument_role	يَعْلَمُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:014:pass2:impl:i1	pass2	IMPL	i1	2	14	implicit_subject	3	q:2:14:3	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:014:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	لَقُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:014:pass2:impl:i2	pass2	IMPL	i2	2	14	implicit_subject	5	q:2:14:5	subject_agreement	3mp	morphologically_present_unresolved	v2	ae:v3:s002:014:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	ءَامَنُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:014:pass2:impl:i3	pass2	IMPL	i3	2	14	implicit_subject	6	q:2:14:6	subject_agreement	3mp	morphologically_present_unresolved	v3	ae:v3:s002:014:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	قَالُوٓا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:014:pass2:impl:i4	pass2	IMPL	i4	2	14	implicit_subject	7	q:2:14:7	subject_agreement	1cp	morphologically_present_unresolved	v4	ae:v3:s002:014:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	ءَامَنَّا carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:014:pass2:impl:i5	pass2	IMPL	i5	2	14	implicit_subject	10	q:2:14:10	subject_agreement	3mp	morphologically_present_unresolved	v5	ae:v3:s002:014:pass1:frame:v5			surface_form	high	morphology;agreement	preserve_argument_role	خَلَوْا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:014:pass2:impl:i6	pass2	IMPL	i6	2	14	implicit_subject	13	q:2:14:13	subject_agreement	3mp	morphologically_present_unresolved	v6	ae:v3:s002:014:pass1:frame:v6			surface_form	high	morphology;agreement	preserve_argument_role	قَالُوٓا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:015:pass2:impl:i1	pass2	IMPL	i1	2	15	implicit_subject	9	q:2:15:9	subject_agreement	3mp	morphologically_present_unresolved	v3	ae:v3:s002:015:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	يَعْمَهُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:016:pass2:impl:i1	pass2	IMPL	i1	2	16	implicit_subject	3	q:2:16:3	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:016:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	ٱشْتَرَوُا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:016:pass2:impl:i2	pass2	IMPL	i2	2	16	implicit_subject	13	q:2:16:13	subject_agreement	3mp	morphologically_present_unresolved	v3	ae:v3:s002:016:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	كَانُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:017:pass2:impl:i1	pass2	IMPL	i1	2	17	implicit_subject	5	q:2:17:5	subject_agreement	3ms	morphologically_present_unresolved	v1	ae:v3:s002:017:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	ٱسْتَوْقَدَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:017:pass2:impl:i2	pass2	IMPL	i2	2	17	implicit_subject	9	q:2:17:9	subject_agreement	unmarked	morphologically_present_unresolved	v2	ae:v3:s002:017:pass1:frame:v2			surface_form	medium	morphology;agreement	preserve_argument_role	أَضَآءَتْ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:017:pass2:impl:i3	pass2	IMPL	i3	2	17	implicit_subject	21	q:2:17:21	subject_agreement	3mp	morphologically_present_unresolved	v5	ae:v3:s002:017:pass1:frame:v5			surface_form	high	morphology;agreement	preserve_argument_role	يُبْصِرُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:019:pass2:impl:i1	pass2	IMPL	i1	2	19	implicit_subject	12	q:2:19:12	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:019:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	يَجْعَلُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:020:pass2:impl:i1	pass2	IMPL	i1	2	20	implicit_subject	6	q:2:20:6	subject_agreement	3ms	morphologically_present_unresolved	v3	ae:v3:s002:020:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	أَضَآءَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:020:pass2:impl:i2	pass2	IMPL	i2	2	20	implicit_subject	9	q:2:20:9	subject_agreement	3mp	morphologically_present_unresolved	v4	ae:v3:s002:020:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	مَشَوْا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:020:pass2:impl:i3	pass2	IMPL	i3	2	20	implicit_subject	13	q:2:20:13	subject_agreement	3ms	morphologically_present_unresolved	v5	ae:v3:s002:020:pass1:frame:v5			surface_form	high	morphology;agreement	preserve_argument_role	أَظْلَمَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:020:pass2:impl:i4	pass2	IMPL	i4	2	20	implicit_subject	15	q:2:20:15	subject_agreement	3mp	morphologically_present_unresolved	v6	ae:v3:s002:020:pass1:frame:v6			surface_form	high	morphology;agreement	preserve_argument_role	قَامُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:021:pass2:impl:i1	pass2	IMPL	i1	2	21	implicit_subject	4	q:2:21:4	subject_agreement	2mp	morphologically_present_unresolved	v1	ae:v3:s002:021:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	ٱعْبُدُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:021:pass2:impl:i2	pass2	IMPL	i2	2	21	implicit_subject	7	q:2:21:7	subject_agreement	3ms	morphologically_present_unresolved	v2	ae:v3:s002:021:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	خَلَقَكُمْ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:021:pass2:impl:i3	pass2	IMPL	i3	2	21	implicit_subject	13	q:2:21:13	subject_agreement	2mp	morphologically_present_unresolved	v3	ae:v3:s002:021:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	تَتَّقُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:022:pass2:impl:i1	pass2	IMPL	i1	2	22	implicit_subject	2	q:2:22:2	subject_agreement	3ms	morphologically_present_unresolved	v1	ae:v3:s002:022:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	جَعَلَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:022:pass2:impl:i2	pass2	IMPL	i2	2	22	implicit_subject	10	q:2:22:10	subject_agreement	3ms	morphologically_present_unresolved	v2	ae:v3:s002:022:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	أَنزَلَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:022:pass2:impl:i3	pass2	IMPL	i3	2	22	implicit_subject	15	q:2:22:15	subject_agreement	3ms	morphologically_present_unresolved	v3	ae:v3:s002:022:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	أَخْرَجَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:022:pass2:impl:i4	pass2	IMPL	i4	2	22	implicit_subject	23	q:2:22:23	subject_agreement	2mp	morphologically_present_unresolved	v4	ae:v3:s002:022:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	تَجْعَلُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:023:pass2:impl:i1	pass2	IMPL	i1	2	23	implicit_subject	7	q:2:23:7	subject_agreement	1cp	morphologically_present_unresolved	v2	ae:v3:s002:023:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	نَزَّلْنَا carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:023:pass2:impl:i2	pass2	IMPL	i2	2	23	implicit_subject	11	q:2:23:11	subject_agreement	2mp	morphologically_present_unresolved	v3	ae:v3:s002:023:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	أْتُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:023:pass2:impl:i3	pass2	IMPL	i3	2	23	implicit_subject	17	q:2:23:17	subject_agreement	2mp	morphologically_present_unresolved	v4	ae:v3:s002:023:pass1:frame:v4			surface_form	high	morphology;agreement	preserve_argument_role	ٱدْعُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:024:pass2:impl:i1	pass2	IMPL	i1	2	24	implicit_subject	4	q:2:24:4	subject_agreement	2mp	morphologically_present_unresolved	v1	ae:v3:s002:024:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	تَفْعَلُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:024:pass2:impl:i2	pass2	IMPL	i2	2	24	implicit_subject	7	q:2:24:7	subject_agreement	2mp	morphologically_present_unresolved	v2	ae:v3:s002:024:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	تَفْعَلُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:024:pass2:impl:i3	pass2	IMPL	i3	2	24	implicit_subject	9	q:2:24:9	subject_agreement	2mp	morphologically_present_unresolved	v3	ae:v3:s002:024:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	ٱتَّقُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:024:pass2:impl:i4	pass2	IMPL	i4	2	24	implicit_agent	16	q:2:24:16	passive_voice	passive_agent_unexpressed	morphologically_present_unresolved	v4	ae:v3:s002:024:pass1:frame:v4			surface_form	high	morphology;local_syntax	avoid_adding_recovered_text	أُعِدَّتْ is analyzed by Pass 1 as passive with obj=none_passive; the agent is grammatically unexpressed.
ae:v3:s002:025:pass2:impl:i1	pass2	IMPL	i1	2	25	implicit_subject	2	q:2:25:2	subject_agreement	2ms	morphologically_present_unresolved	v1	ae:v3:s002:025:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	بَشِّرِ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:025:pass2:impl:i2	pass2	IMPL	i2	2	25	implicit_subject	6	q:2:25:6	subject_agreement	3mp	morphologically_present_unresolved	v3	ae:v3:s002:025:pass1:frame:v3			surface_form	high	morphology;agreement	preserve_argument_role	عَمِلُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:025:pass2:impl:i3	pass2	IMPL	i3	2	25	implicit_agent	17	q:2:25:17	passive_voice	passive_agent_unexpressed	morphologically_present_unresolved	v5	ae:v3:s002:025:pass1:frame:v5			surface_form	high	morphology;local_syntax	avoid_adding_recovered_text	رُزِقُوا۟ is analyzed by Pass 1 as passive with obj=none_passive; the agent is grammatically unexpressed.
ae:v3:s002:025:pass2:impl:i4	pass2	IMPL	i4	2	25	implicit_subject	22	q:2:25:22	subject_agreement	3mp	morphologically_present_unresolved	v6	ae:v3:s002:025:pass1:frame:v6			surface_form	high	morphology;agreement	preserve_argument_role	قَالُوا۟ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:025:pass2:impl:i5	pass2	IMPL	i5	2	25	implicit_agent	25	q:2:25:25	passive_voice	passive_agent_unexpressed	morphologically_present_unresolved	v7	ae:v3:s002:025:pass1:frame:v7			surface_form	high	morphology;local_syntax	avoid_adding_recovered_text	رُزِقْنَا is analyzed by Pass 1 as passive with obj=none_passive; the agent is grammatically unexpressed.
ae:v3:s002:025:pass2:impl:i6	pass2	IMPL	i6	2	25	implicit_agent	29	q:2:25:29	passive_voice	passive_agent_unexpressed	morphologically_present_unresolved	v8	ae:v3:s002:025:pass1:frame:v8			surface_form	high	morphology;local_syntax	avoid_adding_recovered_text	أُتُوا۟ is analyzed by Pass 1 as passive with obj=none_passive; the agent is grammatically unexpressed.
ae:v3:s002:026:pass2:impl:i1	pass2	IMPL	i1	2	26	implicit_subject	6	q:2:26:6	subject_agreement	unmarked	morphologically_present_unresolved	v2	ae:v3:s002:026:pass1:frame:v2			surface_form	medium	morphology;agreement	preserve_argument_role	يَضْرِبَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:026:pass2:impl:i2	pass2	IMPL	i2	2	26	implicit_subject	18	q:2:26:18	subject_agreement	unmarked	morphologically_present_unresolved	v4	ae:v3:s002:026:pass1:frame:v4			surface_form	medium	morphology;agreement	preserve_argument_role	يَعْلَمُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:026:pass2:impl:i3	pass2	IMPL	i3	2	26	implicit_subject	28	q:2:26:28	subject_agreement	unmarked	morphologically_present_unresolved	v6	ae:v3:s002:026:pass1:frame:v6			surface_form	medium	morphology;agreement	preserve_argument_role	يَقُولُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:026:pass2:impl:i4	pass2	IMPL	i4	2	26	implicit_subject	35	q:2:26:35	subject_agreement	unmarked	morphologically_present_unresolved	v8	ae:v3:s002:026:pass1:frame:v8			surface_form	medium	morphology;agreement	preserve_argument_role	يُضِلُّ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:026:pass2:impl:i5	pass2	IMPL	i5	2	26	implicit_subject	39	q:2:26:39	subject_agreement	unmarked	morphologically_present_unresolved	v9	ae:v3:s002:026:pass1:frame:v9			surface_form	medium	morphology;agreement	preserve_argument_role	يَهْدِي carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:026:pass2:impl:i6	pass2	IMPL	i6	2	26	implicit_subject	44	q:2:26:44	subject_agreement	unmarked	morphologically_present_unresolved	v10	ae:v3:s002:026:pass1:frame:v10			surface_form	medium	morphology;agreement	preserve_argument_role	يُضِلُّ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:027:pass2:impl:i1	pass2	IMPL	i1	2	27	implicit_subject	2	q:2:27:2	subject_agreement	3mp	morphologically_present_unresolved	v1	ae:v3:s002:027:pass1:frame:v1			surface_form	high	morphology;agreement	preserve_argument_role	يَنقُضُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:027:pass2:impl:i2	pass2	IMPL	i2	2	27	implicit_subject	9	q:2:27:9	subject_agreement	3mp	morphologically_present_unresolved	v2	ae:v3:s002:027:pass1:frame:v2			surface_form	high	morphology;agreement	preserve_argument_role	يَقْطَعُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
ae:v3:s002:027:pass2:impl:i3	pass2	IMPL	i3	2	27	implicit_agent	15	q:2:27:15	passive_voice	passive_agent_unexpressed	morphologically_present_unresolved	v4	ae:v3:s002:027:pass1:frame:v4			surface_form	high	morphology;local_syntax	avoid_adding_recovered_text	يُوصَلَ is analyzed by Pass 1 as passive with obj=none_passive; the agent is grammatically unexpressed.
ae:v3:s002:027:pass2:impl:i4	pass2	IMPL	i4	2	27	implicit_subject	17	q:2:27:17	subject_agreement	3mp	morphologically_present_unresolved	v5	ae:v3:s002:027:pass1:frame:v5			surface_form	high	morphology;agreement	preserve_argument_role	يُفْسِدُونَ carries subject agreement without an explicit same-clause subject in Pass 1; the TSV records the morphologically present subject only.
