unit_id	row_kind	source_pass	source_rtype	source_local_id	sura	ayah	xref_unit_id	candidate_unit_id	ref_type	wid	word_unit_id	part	antecedent_type	antecedent_sura	antecedent_ayah	antecedent_wid	antecedent_word_unit_id	antecedent_start_wid	antecedent_end_wid	antecedent_clause_raw	antecedent_clause_unit_id	antecedent_text	confidence	status	evidence	translation_instruction	reason	basis	result
ae:v3:s002:094:pass2:xref:src1	xref	pass2	XREF	src1	2	94	ae:v3:s002:094:pass2:xref:src1		discourse_reference	16	q:2:94:16												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated challenge condition in kuntum sadiqin; 3rd instance, anchored at 2:23.		
ae:v3:s002:094:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	94	ae:v3:s002:094:pass2:xref:src1	ae:v3:s002:094:pass2:cand:src1.c1					span	2	23			22	24				high	strongly_licensed	textual_repetition			Identical conditional challenge formula.	
ae:v3:s002:106:pass2:xref:src1	xref	pass2	XREF	src1	2	106	ae:v3:s002:106:pass2:xref:src1		discourse_reference	15	q:2:106:15												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated divine-power formula Allah ala kull shay qadīr; 2nd instance, anchored at 2:20.		
ae:v3:s002:106:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	106	ae:v3:s002:106:pass2:xref:src1	ae:v3:s002:106:pass2:cand:src1.c1					span	2	20			26	31				high	strongly_licensed	textual_repetition			Same predicate formula asserting divine power over every thing.	
ae:v3:s002:109:pass2:xref:src1	xref	pass2	XREF	src1	2	109	ae:v3:s002:109:pass2:xref:src1		discourse_reference	32	q:2:109:32												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated divine-power formula Allah ala kull shay qadīr; 3rd instance, anchored at 2:20.		
ae:v3:s002:109:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	109	ae:v3:s002:109:pass2:xref:src1	ae:v3:s002:109:pass2:cand:src1.c1					span	2	20			26	31				high	strongly_licensed	textual_repetition			Same predicate formula asserting divine power over every thing.	
ae:v3:s002:111:pass2:xref:src1	xref	pass2	XREF	src1	2	111	ae:v3:s002:111:pass2:xref:src1		discourse_reference	17	q:2:111:17												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated challenge condition in kuntum sadiqin; 4th instance, anchored at 2:23.		
ae:v3:s002:111:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	111	ae:v3:s002:111:pass2:xref:src1	ae:v3:s002:111:pass2:cand:src1.c1					span	2	23			22	24				high	strongly_licensed	textual_repetition			Identical conditional challenge formula.	
ae:v3:s002:112:pass2:xref:src1	xref	pass2	XREF	src1	2	112	ae:v3:s002:112:pass2:xref:src1		discourse_reference	15	q:2:112:15												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated no-fear/no-grief closing formula; 3rd instance, anchored at 2:38.		
ae:v3:s002:112:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	112	ae:v3:s002:112:pass2:xref:src1	ae:v3:s002:112:pass2:cand:src1.c1					span	2	38			14	21				high	strongly_licensed	textual_repetition			Near-verbatim closing formula la khawfun alayhim wa-la hum yahzanun.	
ae:v3:s002:122:pass2:xref:sr1	xref	pass2	XREF	sr1	2	122	ae:v3:s002:122:pass2:xref:sr1		discourse_reference	3	q:2:122:3												high	strongly_licensed	discourse_accessibility;textual_repetition	target_language_may_require_resolution	إِسْرَٰٓءِيلَ reopens the Banī Isrāʾīl address after the earlier 2:40-83 sequence.		
ae:v3:s002:122:pass2:cand:sr1.c1	cand	pass2	CAND	sr1.c1	2	122	ae:v3:s002:122:pass2:xref:sr1	ae:v3:s002:122:pass2:cand:sr1.c1					word	2	40	3	q:2:40:3					إِسْرَائِيلَ	high	strongly_licensed	discourse_accessibility;textual_repetition			The same vocative formula and masculine plural address resume the earlier Banī Isrāʾīl participant chain.	
ae:v3:s002:130:pass2:xref:sr1	xref	pass2	XREF	sr1	2	130	ae:v3:s002:130:pass2:xref:sr1		discourse_reference	6	q:2:130:6												high	strongly_licensed	discourse_accessibility;textual_repetition	target_language_may_require_resolution	إِبْرَٰهِۦمَ in مِلَّةِ إِبْرَٰهِۦمَ resumes the named participant introduced at 2:124.		
ae:v3:s002:130:pass2:cand:sr1.c1	cand	pass2	CAND	sr1.c1	2	130	ae:v3:s002:130:pass2:xref:sr1	ae:v3:s002:130:pass2:cand:sr1.c1					word	2	124	4	q:2:124:4					إِبْرَٰهِۦمَ	high	strongly_licensed	discourse_accessibility;textual_repetition			The genitive proper noun in the definite phrase refers back to the same named participant from the preceding Ibrāhīm scene.	
ae:v3:s002:135:pass2:xref:sr1	xref	pass2	XREF	sr1	2	135	ae:v3:s002:135:pass2:xref:sr1		discourse_reference	11	q:2:135:11												high	strongly_licensed	discourse_accessibility;textual_repetition	target_language_may_require_resolution	مِلَّةَ إِبْرَٰهِۦمَ resumes the Ibrāhīm frame from 2:124-130 against a later quoted claim.		
ae:v3:s002:135:pass2:cand:sr1.c1	cand	pass2	CAND	sr1.c1	2	135	ae:v3:s002:135:pass2:xref:sr1	ae:v3:s002:135:pass2:cand:sr1.c1					word	2	124	4	q:2:124:4					إِبْرَٰهِۦمَ	high	strongly_licensed	discourse_accessibility;textual_repetition			The repeated proper noun in the same millah construction carries the participant-frame return over several ayahs.	
ae:v3:s002:140:pass2:xref:src1	xref	pass2	XREF	src1	2	140	ae:v3:s002:140:pass2:xref:src1		discourse_reference	31	q:2:140:31												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated not-heedless formula wa-ma Allah bighafil amma tamalun; 3rd instance, anchored at 2:74.		
ae:v3:s002:140:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	140	ae:v3:s002:140:pass2:xref:src1	ae:v3:s002:140:pass2:cand:src1.c1					span	2	74			39	45				high	strongly_licensed	textual_repetition			Same warning formula at a section close.	
ae:v3:s002:144:pass2:xref:src1	xref	pass2	XREF	src1	2	144	ae:v3:s002:144:pass2:xref:src1		discourse_reference	37	q:2:144:37												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated not-heedless formula with pronoun variation amma yamalun; 4th instance, anchored at 2:74.		
ae:v3:s002:144:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	144	ae:v3:s002:144:pass2:xref:src1	ae:v3:s002:144:pass2:cand:src1.c1					span	2	74			39	45				high	strongly_licensed	textual_repetition			Same warning formula at a section close, with third-person verb agreement.	
ae:v3:s002:148:pass2:xref:src1	xref	pass2	XREF	src1	2	148	ae:v3:s002:148:pass2:xref:src1		discourse_reference	18	q:2:148:18												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated divine-power formula Allah ala kull shay qadīr; 4th instance, anchored at 2:20.		
ae:v3:s002:148:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	148	ae:v3:s002:148:pass2:xref:src1	ae:v3:s002:148:pass2:cand:src1.c1					span	2	20			26	31				high	strongly_licensed	textual_repetition			Same predicate formula asserting divine power over every thing.	
ae:v3:s002:149:pass2:xref:src2	xref	pass2	XREF	src2	2	149	ae:v3:s002:149:pass2:xref:src2		discourse_reference	17	q:2:149:17												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated not-heedless formula wa-ma Allah bighafil amma tamalun; 5th instance, anchored at 2:74.		
ae:v3:s002:149:pass2:xref:src1	xref	pass2	XREF	src1	2	149	ae:v3:s002:149:pass2:xref:src1		discourse_reference	5	q:2:149:5												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated qibla-command formula fawalli wajhaka shatra al-masjid al-haram; 2nd instance, anchored at 2:144.		
ae:v3:s002:149:pass2:cand:src2.c1	cand	pass2	CAND	src2.c1	2	149	ae:v3:s002:149:pass2:xref:src2	ae:v3:s002:149:pass2:cand:src2.c1					span	2	74			39	45				high	strongly_licensed	textual_repetition			Same warning formula at a section close.	
ae:v3:s002:149:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	149	ae:v3:s002:149:pass2:xref:src1	ae:v3:s002:149:pass2:cand:src1.c1					span	2	144			12	17				high	strongly_licensed	textual_repetition			Identical command formula directing the face toward al-masjid al-haram.	
ae:v3:s002:150:pass2:xref:src1	xref	pass2	XREF	src1	2	150	ae:v3:s002:150:pass2:xref:src1		discourse_reference	5	q:2:150:5												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated qibla-command formula fawalli wajhaka shatra al-masjid al-haram; 3rd instance, anchored at 2:144.		
ae:v3:s002:150:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	150	ae:v3:s002:150:pass2:xref:src1	ae:v3:s002:150:pass2:cand:src1.c1					span	2	144			12	17				high	strongly_licensed	textual_repetition			Identical command formula directing the face toward al-masjid al-haram.	
ae:v3:s002:153:pass2:xref:src1	xref	pass2	XREF	src1	2	153	ae:v3:s002:153:pass2:xref:src1		discourse_reference	1	q:2:153:1												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated address formula ya ayyuha alladhina amanu; 2nd instance, anchored at 2:104.		
ae:v3:s002:153:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	153	ae:v3:s002:153:pass2:xref:src1	ae:v3:s002:153:pass2:cand:src1.c1					span	2	104			1	4				high	strongly_licensed	textual_repetition			Identical four-word believer-address formula opens a new command unit.	
ae:v3:s002:172:pass2:xref:src1	xref	pass2	XREF	src1	2	172	ae:v3:s002:172:pass2:xref:src1		discourse_reference	1	q:2:172:1												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated address formula ya ayyuha alladhina amanu; 3rd instance, anchored at 2:104.		
ae:v3:s002:172:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	172	ae:v3:s002:172:pass2:xref:src1	ae:v3:s002:172:pass2:cand:src1.c1					span	2	104			1	4				high	strongly_licensed	textual_repetition			Identical four-word believer-address formula opens a new command unit.	
ae:v3:s002:177:pass2:xref:sr1	xref	pass2	XREF	sr1	2	177	ae:v3:s002:177:pass2:xref:sr1		discourse_reference	2	q:2:177:2												high	strongly_licensed	discourse_accessibility;textual_repetition	target_language_may_require_resolution	ٱلْبِرَّ reopens the birr frame raised at 2:44, now redefining the term rather than only mentioning it.		
ae:v3:s002:177:pass2:cand:sr1.c1	cand	pass2	CAND	sr1.c1	2	177	ae:v3:s002:177:pass2:xref:sr1	ae:v3:s002:177:pass2:cand:sr1.c1					word	2	44	4	q:2:44:4					ٱلْبِرِّ	high	strongly_licensed	discourse_accessibility;textual_repetition			The same definite verbal noun ٱلْبِرّ is repeated after a long gap and functions as a frame-return expression.	
ae:v3:s002:178:pass2:xref:src1	xref	pass2	XREF	src1	2	178	ae:v3:s002:178:pass2:xref:src1		discourse_reference	1	q:2:178:1												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated address formula ya ayyuha alladhina amanu; 4th instance, anchored at 2:104.		
ae:v3:s002:178:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	178	ae:v3:s002:178:pass2:xref:src1	ae:v3:s002:178:pass2:cand:src1.c1					span	2	104			1	4				high	strongly_licensed	textual_repetition			Identical four-word believer-address formula opens a new command unit.	
ae:v3:s002:179:pass2:xref:src1	xref	pass2	XREF	src1	2	179	ae:v3:s002:179:pass2:xref:src1		discourse_reference	9	q:2:179:9												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated purpose formula laallakum tattaqun; 3rd instance, anchored at 2:21.		
ae:v3:s002:179:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	179	ae:v3:s002:179:pass2:xref:src1	ae:v3:s002:179:pass2:cand:src1.c1					span	2	21			12	13				high	strongly_licensed	textual_repetition			Same closing purpose formula with the root w-q-y.	
ae:v3:s002:182:pass2:xref:src1	xref	pass2	XREF	src1	2	182	ae:v3:s002:182:pass2:xref:src1		discourse_reference	16	q:2:182:16												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated mercy-forgiveness formula Allah ghafur rahim; 2nd instance, anchored at 2:173.		
ae:v3:s002:182:pass2:xref:src2	xref	pass2	XREF	src2	2	182	ae:v3:s002:182:pass2:xref:src2		discourse_reference	12	q:2:182:12												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated legal exception formula fala ithma alayh; 2nd instance, anchored at 2:173.		
ae:v3:s002:182:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	182	ae:v3:s002:182:pass2:xref:src1	ae:v3:s002:182:pass2:cand:src1.c1					span	2	173			29	32				high	strongly_licensed	textual_repetition			Same divine-attribute closing formula.	
ae:v3:s002:182:pass2:cand:src2.c1	cand	pass2	CAND	src2.c1	2	182	ae:v3:s002:182:pass2:xref:src2	ae:v3:s002:182:pass2:cand:src2.c1					span	2	173			25	28				high	strongly_licensed	textual_repetition			Same no-sin legal exception formula.	
ae:v3:s002:183:pass2:xref:sr1	xref	pass2	XREF	sr1	2	183	ae:v3:s002:183:pass2:xref:sr1		discourse_reference	3	q:2:183:3												high	strongly_licensed	discourse_accessibility;textual_repetition	target_language_may_require_resolution	ٱلَّذِينَ ءَامَنُوا۟ resumes the believer addressee chain from earlier descriptions into the fasting command.		
ae:v3:s002:183:pass2:xref:src1	xref	pass2	XREF	src1	2	183	ae:v3:s002:183:pass2:xref:src1		discourse_reference	1	q:2:183:1												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated address formula ya ayyuha alladhina amanu; 5th instance, anchored at 2:104.		
ae:v3:s002:183:pass2:xref:src2	xref	pass2	XREF	src2	2	183	ae:v3:s002:183:pass2:xref:src2		discourse_reference	15	q:2:183:15												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated purpose formula laallakum tattaqun; 4th instance, anchored at 2:21.		
ae:v3:s002:183:pass2:cand:sr1.c1	cand	pass2	CAND	sr1.c1	2	183	ae:v3:s002:183:pass2:xref:sr1	ae:v3:s002:183:pass2:cand:sr1.c1					word	2	25	2	q:2:25:2					ٱلَّذِينَ ءَامَنُوا۟	high	strongly_licensed	discourse_accessibility;textual_repetition			The plural relative description of believers is repeated as a vocative after intervening material and governs second-person plural commands.	
ae:v3:s002:183:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	183	ae:v3:s002:183:pass2:xref:src1	ae:v3:s002:183:pass2:cand:src1.c1					span	2	104			1	4				high	strongly_licensed	textual_repetition			Identical four-word believer-address formula opens a new command unit.	
ae:v3:s002:183:pass2:cand:src2.c1	cand	pass2	CAND	src2.c1	2	183	ae:v3:s002:183:pass2:xref:src2	ae:v3:s002:183:pass2:cand:src2.c1					span	2	21			12	13				high	strongly_licensed	textual_repetition			Same closing purpose formula with the root w-q-y.	
ae:v3:s002:185:pass2:xref:src1	xref	pass2	XREF	src1	2	185	ae:v3:s002:185:pass2:xref:src1		discourse_reference	57	q:2:185:57												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated purpose formula laallakum tashkurun; 3rd instance, anchored at 2:52.		
ae:v3:s002:185:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	185	ae:v3:s002:185:pass2:xref:src1	ae:v3:s002:185:pass2:cand:src1.c1					span	2	52			7	8				high	strongly_licensed	textual_repetition			Same closing purpose formula with the root sh-k-r.	
ae:v3:s002:187:pass2:xref:src1	xref	pass2	XREF	src1	2	187	ae:v3:s002:187:pass2:xref:src1		discourse_reference	77	q:2:187:77												high	strongly_licensed	textual_repetition	preserve_compression_if_target_language_allows	Repeated purpose formula with pronoun variation laallahum yattaqun; 5th instance, anchored at 2:21.		
ae:v3:s002:187:pass2:cand:src1.c1	cand	pass2	CAND	src1.c1	2	187	ae:v3:s002:187:pass2:xref:src1	ae:v3:s002:187:pass2:cand:src1.c1					span	2	21			12	13				high	strongly_licensed	textual_repetition			Same closing purpose formula with person/pronoun variation.	
ae:v3:s002:189:pass2:xref:sr1	xref	pass2	XREF	sr1	2	189	ae:v3:s002:189:pass2:xref:sr1		discourse_reference	13	q:2:189:13												high	strongly_licensed	discourse_accessibility;textual_repetition	target_language_may_require_resolution	ٱلْبِرُّ returns to the definitional birr frame from 2:177 in another corrective construction.		
