root_norm	stem	form_tag	instance_count	idafa_dependent_count	idafa_head_count	adjective_count	prep_complement_count	governing_relation_profile	idafa_root_profile	adjective_root_profile	prep_profile	sample_refs
أ ذ ن	أذن	NOUN_ABSTRACT	3	0	1	1	0	predication:1;quoted_complement:1;idafa:1;prep_complement:1;conjoined:1;subject:1;adjective:1		و ع ي:1	لـ:1	9:61:9;9:61:11;69:12:7
أ ذ ن	أذن	NOUN_CONCRETE	3	0	0	0	2	prep_complement:3;conjoined:1;predication:1			بـ:2;فِي:1	5:45:18;5:45:20;31:7:13
أ ذ ن	إذن	GERUND	39	2	26	0	38	prep_complement:38;idafa:28;exception:2;predication:1	ب ع د:1		بـ:38	2:97:13;2:102:63;2:213:50;2:221:45;2:249:70;2:251:4;2:255:29;3:49:28;3:49:39;3:145:10
أ ذ ن	مؤذن	NOUN_ACTIVE_PART	2	0	0	0	0	subject:2				7:44:26;12:70:13
أ ذ ي	أذا	NOUN_ABSTRACT	1	0	0	0	0	direct_object:1				33:48:9
أ ذ ي	أذى	GERUND	1	0	0	0	0	conjoined:1				2:264:11
أ ذ ي	أذى	NOUN_ABSTRACT	7	0	0	1	0	prep_complement:3;predication:2;subject:2;conjoined:1;exception:1;direct_object:1;adjective:1		ك ث ر:1	مِن:2;بـ:1	2:196:31;2:222:7;2:262:15;2:263:9;3:111:4;3:186:20;4:102:67
أ ر ب	إرب	NOUN_ABSTRACT	1	1	0	0	0	idafa:1	أ و ل:1			24:31:60
أ ر ب	مآرب	NOUN_ABSTRACT	1	0	0	1	0	prep_complement:2;predication:1;adjective:1		أ خ ر:1	لـ:1;فِي:1	20:18:13
أ ر ض	أرض	NOUN_CONCRETE	461	17	6	8	220	prep_complement:222;conjoined:176;direct_object:62;subject:26;idafa:23;predication:13;adjective:9;particle_complement:5;circumstantial:4;kana_predicate:2	خ ل ف:2;ن ب ت:2;ر ب ب:2;م ل أ:1;ظ ل م:1;ش ر ق:1;خ ز ن:1;ف و ق:1;غ ي ر:1;د ن و:1	ل ل ت:4;ق د س:1;ج ر ز:1;ط و ي:1;م و ت:1;ذ و و:1	فِي:187;مِن:21;إِلَى:8;عَلَى:4;لـ:2	2:11:9;2:22:4;2:27:19;2:29:7;2:30:10;2:33:21;2:36:20;2:60:34;2:61:19;2:71:9
أ ر ك	أرائك	NOUN_CONCRETE	5	0	0	0	5	prep_complement:5			عَلَى:5	18:31:27;36:56:7;76:13:4;83:23:2;83:35:2
أ ز ر	آزر	NOUN_PROP_FOREIGN	1	0	0	0	0	apposition:1				6:74:7
أ ز ر	أزر	NOUN_ABSTRACT	1	1	1	0	0	idafa:2;direct_object:1				20:31:3
أ ز ز	أز	GERUND	1	0	0	0	0	cognate_acc:1				19:83:9
أ ز ف	آزف	NOUN_PROP	2	1	0	0	0	idafa:1;subject:1	ي و م:1			40:18:5;53:57:2
أ س ر	أسارى	NOUN_PASSIVE_PART	1	0	0	0	0	circumstantial:1				2:85:21
أ س ر	أسير	NOUN_PASSIVE_PART	1	0	0	0	0	conjoined:1				76:8:10
أ س ف	أسف	ADJ_QUALIT	2	0	0	0	0	circumstantial:2				7:150:8;20:86:7
أ س ف	أسف	GERUND	2	0	0	0	0	vocative:1;prep_complement:1;circumstantial:1			عَلَى:1	12:84:7;18:6:13
أ س ن	آسن	NOUN_ACTIVE_PART	1	1	0	0	0	idafa:1	غ ي ر:1			47:15:11
أ ش ر	أشر	ADJ_QUALIT	3	0	0	0	0	adjective:2;predication:2;clausal_complement:1;subject:1				54:25:9;54:26:5;72:10:5
أ ص د	مؤصد	NOUN_PASSIVE_PART	2	0	0	0	0	adjective:1;predication:1;prep_complement:1			عَلَى:1	90:20:3;104:8:3
أ ص ر	إصر	NOUN_ABSTRACT	3	0	0	0	0	direct_object:3;conjoined:1				2:286:27;3:81:31;7:157:33
أ ص ل	آصال	NOUN_ABSTRACT	3	0	0	0	0	conjoined:3				7:205:17;13:15:18;24:36:17
أ ص ل	أصل	NOUN_ABSTRACT	2	0	1	0	1	predication:1;conjoined:1;prep_complement:1;idafa:1			فِي:1	14:24:12;37:64:5
أ ص ل	أصول	NOUN_ABSTRACT	1	1	1	0	1	idafa:2;prep_complement:1			عَلَى:1	59:5:9
أ ص ل	أصيل	NOUN_ABSTRACT	4	0	0	0	0	conjoined:4;adverbial:3				25:5:12;33:42:5;48:9:15;76:25:7
أ ف ف	أف	NOUN_VERB_LIKE	3	0	0	0	0	prep_complement:3;quoted_complement:2			لـ:3	17:23:24;21:67:1;46:17:6
أ ف ق	آفاق	NOUN_ABSTRACT	1	0	0	0	1	prep_complement:1			فِي:1	41:53:4
أ ف ق	أفق	NOUN_ABSTRACT	2	0	0	2	2	prep_complement:2;adjective:2;predication:1		ع ل و:1;ب ي ن:1	بـ:2	53:7:4;81:23:6
أ ف ك	أفاك	ADJ_INTENS	2	2	0	2	0	idafa:2;adjective:2	ك ل ل:2	أ ث م:2		26:222:4;45:7:4
أ ف ك	إفك	GERUND	8	1	1	4	2	predication:5;adjective:4;prep_complement:2;idafa:2;direct_object:1;conjoined:1		ف ر ي:2;ب ي ن:1;ق د م:1	بـ:1;مِن:1	24:11:5;24:12:14;25:4:8;29:17:9;34:43:24;37:151:4;46:11:22;46:28:16
أ ف ك	ئفك	GERUND	1	0	0	0	0	direct_object:1;apposition:1				37:86:1
أ ف ك	مؤتفك	NOUN_ACTIVE_PART	3	0	0	0	0	conjoined:2;direct_object:1				9:70:20;53:53:2;69:9:8
أ ف ل	آفل	NOUN_ACTIVE_PART	1	0	0	0	0	direct_object:1				6:76:17
أ ك ل	آكل	NOUN_ACTIVE_PART	3	0	0	0	1	prep_complement:3;predication:1;conjoined:1			مِن:2;لـ:1	23:20:13;37:66:4;56:52:2
أ ك ل	أكال	ADJ_INTENS	1	0	0	0	0	conjoined:1;prep_complement:1			لـ:1	5:42:3
أ ك ل	أكل	GERUND	4	0	0	1	0	conjoined:3;direct_object:3;prep_complement:1;cognate_acc:1;adjective:1		ل م م:1	بـ:1	4:161:9;5:62:11;5:63:10;89:19:4
أ ك ل	أكل	NOUN_CONCRETE	7	2	1	0	1	direct_object:3;idafa:3;circumstantial:1;subject:1;prep_complement:1;predication:1;conjoined:1;apposition:1	ذ و و:1		فِي:1	2:265:22;6:141:15;13:4:28;13:35:10;14:25:2;18:33:4;34:16:14
أ ك ل	مأكول	NOUN_PASSIVE_PART	1	0	0	0	0	adjective:1				105:5:5
أ ل ف	آلاف	NOUN_NUM	2	2	0	0	0	idafa:2;prep_complement:2	ث ل ث:1;خ م س:1		مِن:2	3:124:12;3:125:15
أ ل ف	ألف	NOUN_NUM	12	1	6	0	3	idafa:7;prep_complement:5;adverbial:2;direct_object:2;subject:2;predication:1;circumstantial:1;exception:1;kana_predicate:1;accusative_specification:1	م أ ي:1		مِن:3;بـ:1;كـ:1	2:96:16;2:243:10;8:9:10;8:65:21;8:66:22;8:66:24;22:47:16;29:14:11;32:5:14;37:147:5
أ ل ف	إيلاف	GERUND	2	1	2	0	0	idafa:3;direct_object:1				106:1:1;106:2:1
أ ل ف	مؤلف	NOUN_PASSIVE_PART	1	0	0	0	1	conjoined:1;prep_complement:1;subject:1			لـ:1	9:60:11
أ ل م	أليم	ADJ_QUALIT	72	0	0	1	0	adjective:72;predication:1		ش د د:1		2:10:11;2:104:17;2:174:33;2:178:51;3:21:25;3:77:34;3:91:25;3:177:14;3:188:26;4:18:29
أ ل ه	آله	NOUN_CONCRETE	34	11	9	4	7	idafa:21;direct_object:15;prep_complement:11;adjective:4;subject:4;predication:3;conjoined:2;particle_complement:1;exception:1;kana_predicate:1	ت ر ك:2;ب ع ض:1	أ خ ر:1;ل ل ت:1;خ ل ق:1;ع ب د:1	عَن:3;لـ:2;مِن:2;بـ:2;إِلَى:1;عَلَى:1	6:19:29;6:74:10;7:127:18;7:138:26;11:53:13;11:54:6;11:101:12;17:42:5;18:15:6;19:46:5
أ ل ه	إله	NOUN_CONCRETE	113	6	10	40	17	predication:42;adjective:40;exception:40;particle_complement:39;prep_complement:32;direct_object:20;idafa:16;conjoined:9;apposition:3;subject:2	ك ل ل:1	غ ي ر:15;و ح د:14;أ خ ر:9;ث ن ي:1;ل ل ذ:1	مِن:17;لـ:9;إِلَى:3;فِي:2;كـ:1	2:133:18;2:133:20;2:133:27;2:163:2;2:163:3;2:163:6;2:255:3;3:2:3;3:6:9;3:18:5
أ ل ه	الله	NOUN_PROP	6	0	0	0	1	vocative:5;quoted_complement:4;apposition:4;conjoined:2;prep_complement:1			بـ:1	3:26:2;5:114:5;8:32:4;9:65:14;10:10:4;39:46:2
أ ل ه	له	NOUN_PROP	2698	599	0	45	515	subject:912;idafa:599;prep_complement:523;predication:407;particle_complement:369;direct_object:226;conjoined:164;apposition:65;adjective:59;quoted_complement:23	د و ن:72;س ب ل:69;ع ن د:64;أ ي ي:42;ر س ل:20;ن ع م:19;أ ذ ن:18;غ ي ر:17;ف ض ل:16;و ع د:16	ل ل ذ:28;ع ز ز:6;ح ك م:5;ر ح م:4;و ح د:4;ق ه ر:4;ح ق ق:1;ف ط ر:1;ج ع ل:1;ع ل و:1	لـ:149;بـ:145;مِن:86;عَلَى:83;إِلَى:47;فِي:13	1:1:3;1:2:3;2:7:2;2:8:8;2:9:2;2:10:6;2:15:1;2:17:13;2:19:21;2:20:19
أ ل و	آلاء	NOUN_ABSTRACT	34	32	34	0	0	idafa:66;direct_object:2	أ ي ي:32			7:69:28;7:74:23;53:55:4;55:13:4;55:16:4;55:18:4;55:21:4;55:23:4;55:25:4;55:28:4
أ م ت	أمت	NOUN_ABSTRACT	1	0	0	0	0	conjoined:1;direct_object:1				20:107:7
أ م د	أمد	NOUN_ABSTRACT	1	0	0	0	0	subject:1				57:16:29
أ م ر	آمر	NOUN_ACTIVE_PART	1	0	0	0	0	conjoined:2;apposition:1;prep_complement:1			بـ:1	9:112:7
أ م ر	أمار	ADJ_INTENS	1	0	0	0	0	predication:1;prep_complement:1;exception:1			بـ:1	12:53:8
أ م ر	أمر	ADJ_COMP	1	0	0	0	0	conjoined:1				54:46:8
أ م ر	أمر	GERUND	85	13	38	5	35	idafa:53;prep_complement:41;direct_object:19;subject:18;predication:8;adjective:5;conjoined:1;kana_predicate:1	ك ل ل:3;ب ل غ:1	ق ض ي:1;ج م ع:1;ح ك م:1;م ر ج:1;ق د ر:1	بـ:17;مِن:11;عَن:6;عَلَى:3;إِلَى:2;كـ:1;فِي:1	2:109:31;2:117:8;2:275:43;3:47:20;4:47:31;4:83:4;5:52:21;7:54:29;7:77:7;7:150:15
أ م ر	أمر	NOUN_ABSTRACT	68	16	10	2	22	prep_complement:30;idafa:27;direct_object:17;subject:12;predication:7;apposition:3;conjoined:3;adjective:2;particle_complement:1;circumstantial:1	و ب ل:4;أ و ل:2;ب ع ض:1;ع ق ب:1	ل ل ذ:1	مِن:13;فِي:7;لـ:5;إِلَى:2;بـ:1;عَلَى:1;عَن:1	2:210:15;3:128:4;3:147:15;3:152:17;3:154:28;3:154:33;3:154:49;3:159:30;4:59:12;4:83:19
أ م ر	أمور	NOUN_ABSTRACT	13	5	0	0	0	subject:7;idafa:5;direct_object:1	ع ز م:3;ع ق ب:2			2:210:20;3:109:15;3:186:32;8:44:23;9:48:10;22:41:23;22:76:12;31:17:22;31:22:20;35:4:14
أ م ر	إمر	NOUN_ABSTRACT	1	0	0	0	0	adjective:1				18:71:18
أ م س	أمس	NOUN_ABSTRACT	4	0	0	0	4	prep_complement:4			بـ:4	10:24:45;28:18:12;28:19:24;28:82:7
أ م ل	أمل	GERUND	2	0	0	0	0	subject:1;accusative_specification:1				15:3:7;18:46:16
أ م م	آم	NOUN_ACTIVE_PART	1	0	0	0	0	conjoined:1;direct_object:1;circumstantial:1				5:2:21
أ م م	أئم	NOUN_CONCRETE	5	0	1	2	0	direct_object:5;adjective:2;idafa:1;circumstantial:1		ه د د:2		9:12:14;21:73:3;28:5:12;28:41:3;32:24:4
