unit_id	sura	ayah	wid	word_unit_id	surface	stem	root_norm	form_tag	grammar	has_idafa_dependent	has_idafa_head	has_adjective	has_prep_complement	dependent_attachment_ids	head_attachment_ids	modifier_attachment_ids	prep_attachment_ids	attachment_count	high_count	low_count
ae:v3:s001:004:noun:1	1	4	1	q:1:4:1	مَالِكِ	مالك	م ل ك	NOUN_ACTIVE_PART	active participle (ism fāʿil) form I, masculine singular, genitive (as appositive to rabbi in 1:2); NOUN_ACTIVE_PART; role ADJ modifying rabbi; governs yawmi as muḍāf	0	1	0	0		ae:v3:s001:004:pass1:attach:a1			1	1	0
ae:v3:s001:004:noun:2	1	4	2	q:1:4:2	يَوْمِ	يوم	ي و م	NOUN_ABSTRACT	NOUN_ABSTRACT, masculine singular, genitive (muḍāf ilayhi of mālik, and muḍāf governing al-dīni); GEN_CONS role — medial term in triple iḍāfa	1	1	0	0	ae:v3:s001:004:pass1:attach:a1	ae:v3:s001:004:pass1:attach:a2			2	2	0
ae:v3:s001:004:noun:3	1	4	3	q:1:4:3	الدِّينِ	دين	د ي ن	NOUN_ABSTRACT	NOUN_ABSTRACT, masculine singular, genitive (muḍāf ilayhi of yawmi); definite with al-; final term of the iḍāfa chain	1	0	0	0	ae:v3:s001:004:pass1:attach:a2				1	1	0
ae:v3:s001:006:noun:2	1	6	2	q:1:6:2	الصِّرَاطَ	صراط	ص ر ط	NOUN_ABSTRACT	NOUN_ABSTRACT accusative, definite (al-), direct object	0	0	1	0	ae:v3:s001:006:pass1:attach:a2	ae:v3:s001:006:pass1:attach:a3	ae:v3:s001:006:pass1:attach:a3		2	2	0
ae:v3:s001:006:noun:3	1	6	3	q:1:6:3	الْمُسْتَقِيمَ	مستقيم	ق و م	NOUN_ACTIVE_PART	NOUN_ACTIVE_PART, Form X, accusative, definite, adjective to ṣirāṭ	0	0	0	0	ae:v3:s001:006:pass1:attach:a3				1	1	0
ae:v3:s001:007:noun:1	1	7	1	q:1:7:1	صِرَاطَ	صراط	ص ر ط	NOUN_ABSTRACT	accusative noun, appositive to al-ṣirāṭ al-mustaqīm in v.6	0	1	0	0		ae:v3:s001:007:pass1:attach:a1			1	1	0
ae:v3:s001:007:noun:5	1	7	5	q:1:7:5	غَيْرِ	غير	غ ي ر	NOUN_ABSTRACT	genitive noun in apposition to alladhīna (or adjectival qualifier); case-marked genitive	0	1	0	0	ae:v3:s001:007:pass1:attach:a3	ae:v3:s001:007:pass1:attach:a4			2	1	0
ae:v3:s001:007:noun:6	1	7	6	q:1:7:6	الْمَغْضُوبِ	مغضوب	غ ض ب	NOUN_PASSIVE_PART	genitive passive participle, definite; governed by ghayri	1	0	0	0	ae:v3:s001:007:pass1:attach:a4	ae:v3:s001:007:pass1:attach:a5;ae:v3:s001:007:pass1:attach:a6			3	3	0
ae:v3:s001:007:noun:10	1	7	10	q:1:7:10	الضَّالِّينَ	ضال	ض ل ل	NOUN_ACTIVE_PART	genitive masc. pl. active participle, definite; coordinated with al-maghḍūbi	0	0	0	0	ae:v3:s001:007:pass1:attach:a6				1	1	0
ae:v3:s002:002:noun:2	2	2	2	q:2:2:2	الْكِتَابُ	كتاب	ك ت ب	NOUN_CONCRETE	definite noun, nominative (marfūʿ), predicate (khabar) of dhālika	0	0	0	0	ae:v3:s002:002:pass1:attach:a1				1	1	0
ae:v3:s002:002:noun:4	2	2	4	q:2:2:4	رَيْبَ	ريب	ر ي ب	GERUND	indefinite noun, accusative (manṣūb) governed by lā of genus negation, subject of the negated clause	0	0	0	0	ae:v3:s002:002:pass1:attach:a2	ae:v3:s002:002:pass1:attach:a3			2	2	0
ae:v3:s002:002:noun:6	2	2	6	q:2:2:6	هُدَىً	هدي	ه د ي	GERUND	indefinite noun, nominative (marfūʿ) as predicate (khabar) or accusative as ḥāl (circumstantial)	0	0	0	0	ae:v3:s002:002:pass1:attach:a5	ae:v3:s002:002:pass1:attach:a6			2	1	0
ae:v3:s002:002:noun:8	2	2	8	q:2:2:8	لِلْمُتَّقِينَ	متق	و ق ي	NOUN_ACTIVE_PART	definite noun, genitive (majrūr) governed by li, active participle Form VIII plural masculine	0	0	0	1	ae:v3:s002:002:pass1:attach:a6			ae:v3:s002:002:pass1:attach:a6	1	1	0
ae:v3:s002:003:noun:4	2	3	4	q:2:3:4	بِالْغَيْبِ	غيب	غ ي ب	GERUND	gerund/verbal noun, genitive (governed by bi), definite (al-); from gh-y-b: to be absent, to disappear	0	0	0	1	ae:v3:s002:003:pass1:attach:a1			ae:v3:s002:003:pass1:attach:a1	1	1	0
ae:v3:s002:003:noun:7	2	3	7	q:2:3:7	الصَّلَاةَ	صلا	ص ل و	GERUND	verbal noun/gerund, accusative (direct object of yuqīmūna), definite	0	0	0	0	ae:v3:s002:003:pass1:attach:a3				1	1	0
ae:v3:s002:004:noun:12	2	4	12	q:2:4:12	قَبْلِكَ	قبل	ق ب ل	NOUN_ABSTRACT	noun of time/abstract, genitive (governed by مِنْ), + 2nd person pronoun suffix	1	1	0	1	ae:v3:s002:004:pass1:attach:a4;ae:v3:s002:004:pass1:attach:a8	ae:v3:s002:004:pass1:attach:a8		ae:v3:s002:004:pass1:attach:a4	3	3	0
ae:v3:s002:004:noun:15	2	4	15	q:2:4:15	وَبِالْآخِرَةِ	آخر	أ خ ر	NOUN_ABSTRACT	noun abstract, feminine singular, genitive (governed by بِ), with definite article	0	0	0	1	ae:v3:s002:004:pass1:attach:a5			ae:v3:s002:004:pass1:attach:a5	1	1	0
ae:v3:s002:005:noun:3	2	5	3	q:2:5:3	هُدَىً	هدي	ه د ي	GERUND	verbal noun (maṣdar/gerund), indefinite accusative (tanwīn), from root h-d-y	0	0	0	1	ae:v3:s002:005:pass1:attach:a1;ae:v3:s002:005:pass1:attach:a2	ae:v3:s002:005:pass1:attach:a3		ae:v3:s002:005:pass1:attach:a1	3	3	0
ae:v3:s002:005:noun:5	2	5	5	q:2:5:5	رَبِّهِمْ	رب	ر ب ب	NOUN_CONCRETE	noun, genitive (governed by min), definite by pronoun suffix -him (3rd person masculine plural)	1	1	0	1	ae:v3:s002:005:pass1:attach:a3;ae:v3:s002:005:pass1:attach:a7	ae:v3:s002:005:pass1:attach:a7		ae:v3:s002:005:pass1:attach:a3	3	3	0
ae:v3:s002:005:noun:9	2	5	9	q:2:5:9	الْمُفْلِحُونَ	مفلح	ف ل ح	NOUN_ACTIVE_PART	active participle (ism fāʿil), Form IV (mufliḥ), masculine plural nominative, definite with al-	0	0	0	0	ae:v3:s002:005:pass1:attach:a6				1	1	0
ae:v3:s002:006:noun:4	2	6	4	q:2:6:4	سَوَاءٌ	سواء	س و ي	NOUN_ABSTRACT	indefinite nominative noun (abstract), predicate of inna or parenthetical	0	0	0	0	ae:v3:s002:006:pass1:attach:a2	ae:v3:s002:006:pass1:attach:a3;ae:v3:s002:006:pass1:attach:a4			3	3	0
ae:v3:s002:007:noun:2	2	7	2	q:2:7:2	اللَّهُ	له	أ ل ه	NOUN_PROP	proper noun, nominative (agent of khatama)	0	0	0	0	ae:v3:s002:007:pass1:attach:a1				1	1	0
ae:v3:s002:007:noun:4	2	7	4	q:2:7:4	قُلُوبِهِمْ	قلوب	ق ل ب	NOUN_CONCRETE	noun, broken plural of qalb, genitive (governed by ʿalā), + 3rd person masculine plural possessive pronoun	1	1	0	1	ae:v3:s002:007:pass1:attach:a2;ae:v3:s002:007:pass1:attach:a10	ae:v3:s002:007:pass1:attach:a4;ae:v3:s002:007:pass1:attach:a10		ae:v3:s002:007:pass1:attach:a2	4	4	0
ae:v3:s002:007:noun:7	2	7	7	q:2:7:7	سَمْعِهِمْ	سمع	س م ع	GERUND	verbal noun (gerund/maṣdar), genitive (governed by ʿalā), + 3rd person masculine plural possessive pronoun	1	1	0	1	ae:v3:s002:007:pass1:attach:a3;ae:v3:s002:007:pass1:attach:a4;ae:v3:s002:007:pass1:attach:a11	ae:v3:s002:007:pass1:attach:a11		ae:v3:s002:007:pass1:attach:a3	4	4	0
ae:v3:s002:007:noun:10	2	7	10	q:2:7:10	أَبْصَارِهِمْ	أبصار	ب ص ر	NOUN_ABSTRACT	noun, broken plural of baṣar, genitive (governed by ʿalā), + 3rd person masculine plural possessive pronoun	1	1	0	1	ae:v3:s002:007:pass1:attach:a5;ae:v3:s002:007:pass1:attach:a6;ae:v3:s002:007:pass1:attach:a12	ae:v3:s002:007:pass1:attach:a12		ae:v3:s002:007:pass1:attach:a5	4	4	0
ae:v3:s002:007:noun:11	2	7	11	q:2:7:11	غِشَاوَةٌ	غشاو	غ ش و	GERUND	verbal noun (gerund/maṣdar), nominative (subject of nominal sentence), indefinite	0	0	0	0		ae:v3:s002:007:pass1:attach:a5;ae:v3:s002:007:pass1:attach:a6			2	2	0
ae:v3:s002:007:noun:14	2	7	14	q:2:7:14	عَذَابٌ	عذاب	ع ذ ب	NOUN_ABSTRACT	noun (maṣdar/verbal noun), nominative (delayed subject of nominal sentence), indefinite	0	0	1	0		ae:v3:s002:007:pass1:attach:a7;ae:v3:s002:007:pass1:attach:a8;ae:v3:s002:007:pass1:attach:a9	ae:v3:s002:007:pass1:attach:a9		3	3	0
ae:v3:s002:007:noun:15	2	7	15	q:2:7:15	عَظِيمٌ	عظيم	ع ظ م	ADJ_QUALIT	adjective (qualitative), nominative (attributive to ʿadhāb), indefinite	0	0	0	0	ae:v3:s002:007:pass1:attach:a9				1	1	0
ae:v3:s002:008:noun:3	2	8	3	q:2:8:3	النَّاسِ	ناس	أ ن س	NOUN_CONCRETE	"noun concrete, genitive after min; definite — ""the people"" as a known collective"	0	0	0	1	ae:v3:s002:008:pass1:attach:a1;ae:v3:s002:008:pass1:attach:a2			ae:v3:s002:008:pass1:attach:a1	2	2	0
ae:v3:s002:008:noun:8	2	8	8	q:2:8:8	بِاللَّهِ	له	أ ل ه	NOUN_PROP	proper noun, genitive after bi; definite — the supreme divine name	0	0	0	1	ae:v3:s002:008:pass1:attach:a4	ae:v3:s002:008:pass1:attach:a6		ae:v3:s002:008:pass1:attach:a4	2	2	0
ae:v3:s002:008:noun:11	2	8	11	q:2:8:11	وَبِالْيَوْمِ	يوم	ي و م	NOUN_ABSTRACT	"noun abstract, genitive after bi; definite with al- — ""the day"" (specified by following adjective)"	0	0	1	1	ae:v3:s002:008:pass1:attach:a5;ae:v3:s002:008:pass1:attach:a6	ae:v3:s002:008:pass1:attach:a7	ae:v3:s002:008:pass1:attach:a7	ae:v3:s002:008:pass1:attach:a5	3	3	0
ae:v3:s002:008:noun:12	2	8	12	q:2:8:12	الْآخِرِ	آخر	أ خ ر	ADJ_COMP	comparative adjective (ADJ_COMP), genitive; definite — modifying al-yawm	0	0	0	0	ae:v3:s002:008:pass1:attach:a7				1	1	0
ae:v3:s002:008:noun:17	2	8	17	q:2:8:17	بِمُؤْمِنِينَ	مؤمن	أ م ن	NOUN_ACTIVE_PART	"active participle (NOUN_ACTIVE_PART), masculine plural, genitive after bāʾ zāʾida (or accusative under Hijazi mā); indefinite — ""believers"" as a category"	0	0	0	1	ae:v3:s002:008:pass1:attach:a9;ae:v3:s002:008:pass1:attach:a10			ae:v3:s002:008:pass1:attach:a9	2	2	0
ae:v3:s002:009:noun:2	2	9	2	q:2:9:2	اللَّهَ	له	أ ل ه	NOUN_PROP	proper noun, accusative (direct object of yukhādiʿūna)	0	0	0	0	ae:v3:s002:009:pass1:attach:a1	ae:v3:s002:009:pass1:attach:a2			2	2	0
ae:v3:s002:009:noun:10	2	9	10	q:2:9:10	أَنْفُسَهُمْ	أنفس	ن ف س	NOUN_ABSTRACT	noun, broken plural of nafs, accusative (object of yakhdaʿūna), + 3rd person masculine plural possessive pronoun	1	1	0	0	ae:v3:s002:009:pass1:attach:a3;ae:v3:s002:009:pass1:attach:a5	ae:v3:s002:009:pass1:attach:a5			3	3	0
ae:v3:s002:010:noun:2	2	10	2	q:2:10:2	قُلُوبِهِمْ	قلوب	ق ل ب	NOUN_CONCRETE	noun, plural broken (qulūb from qalb), genitive (governed by fī), possessive pronoun -him	1	1	0	1	ae:v3:s002:010:pass1:attach:a1;ae:v3:s002:010:pass1:attach:a2;ae:v3:s002:010:pass1:attach:a11	ae:v3:s002:010:pass1:attach:a11		ae:v3:s002:010:pass1:attach:a1	4	4	0
ae:v3:s002:010:noun:3	2	10	3	q:2:10:3	مَرَضٌ	مرض	م ر ض	GERUND	verbal noun (maṣdar/gerund), indefinite nominative, subject of nominal sentence	0	0	0	0		ae:v3:s002:010:pass1:attach:a1;ae:v3:s002:010:pass1:attach:a2			2	2	0
ae:v3:s002:010:noun:6	2	10	6	q:2:10:6	اللَّهُ	له	أ ل ه	NOUN_PROP	proper noun, nominative (agent/subject of zāda)	0	0	0	0	ae:v3:s002:010:pass1:attach:a4				1	1	0
ae:v3:s002:010:noun:7	2	10	7	q:2:10:7	مَرَضَاً	مرض	م ر ض	GERUND	verbal noun (gerund), indefinite accusative (object of zāda), cognate to word 3	0	0	0	0	ae:v3:s002:010:pass1:attach:a5				1	1	0
ae:v3:s002:010:noun:10	2	10	10	q:2:10:10	عَذَابٌ	عذاب	ع ذ ب	NOUN_ABSTRACT	noun (abstract), indefinite nominative, subject of nominal sentence	0	0	1	0		ae:v3:s002:010:pass1:attach:a6;ae:v3:s002:010:pass1:attach:a7;ae:v3:s002:010:pass1:attach:a8;ae:v3:s002:010:pass1:attach:a9	ae:v3:s002:010:pass1:attach:a8		4	4	0
ae:v3:s002:010:noun:11	2	10	11	q:2:10:11	أَلِيمٌ	أليم	أ ل م	ADJ_QUALIT	adjective (qualitative), indefinite nominative, modifying ʿadhāb	0	0	0	0	ae:v3:s002:010:pass1:attach:a8				1	1	0
ae:v3:s002:011:noun:9	2	11	9	q:2:11:9	الْأَرْضِ	أرض	أ ر ض	NOUN_CONCRETE	noun, concrete, definite (al-), genitive case (after fī)	0	0	0	1	ae:v3:s002:011:pass1:attach:a3			ae:v3:s002:011:pass1:attach:a3	1	1	0
ae:v3:s002:011:noun:13	2	11	13	q:2:11:13	مُصْلِحُونَ	مصلح	ص ل ح	NOUN_ACTIVE_PART	active participle, Form IV, masculine plural nominative, predicate of nominal sentence	0	0	0	0	ae:v3:s002:011:pass1:attach:a5				1	1	0
ae:v3:s002:012:noun:4	2	12	4	q:2:12:4	الْمُفْسِدُونَ	مفسد	ف س د	NOUN_ACTIVE_PART	definite active participle, masculine plural nominative (Form IV mufsid), predicate of inna	0	0	0	0	ae:v3:s002:012:pass1:attach:a3	ae:v3:s002:012:pass1:attach:a4			2	2	0
ae:v3:s002:013:noun:10	2	13	10	q:2:13:10	النَّاسُ	ناس	أ ن س	NOUN_CONCRETE	definite concrete noun, nominative subject of āmana	0	0	0	0	ae:v3:s002:013:pass1:attach:a4				1	1	0
ae:v3:s002:013:noun:16	2	13	16	q:2:13:16	السُّفَهَاءُ	سفهاء	س ف ه	ADJ_QUALIT	definite qualitative plural adjective, nominative subject of āmana	0	0	0	0	ae:v3:s002:013:pass1:attach:a7				1	1	0
ae:v3:s002:013:noun:20	2	13	20	q:2:13:20	السُّفَهَاءُ	سفهاء	س ف ه	ADJ_QUALIT	definite qualitative plural adjective, predicate of inna	0	0	0	0	ae:v3:s002:013:pass1:attach:a10	ae:v3:s002:013:pass1:attach:a11			2	2	0
ae:v3:s002:014:noun:12	2	14	12	q:2:14:12	شَيَاطِينِهِمْ	شياطين	ش ط ن	NOUN_CONCRETE	noun, concrete, genitive, masculine plural + 3mp possessive pronoun	1	1	0	1	ae:v3:s002:014:pass1:attach:a3;ae:v3:s002:014:pass1:attach:a4	ae:v3:s002:014:pass1:attach:a4		ae:v3:s002:014:pass1:attach:a3	3	3	0
ae:v3:s002:014:noun:18	2	14	18	q:2:14:18	مُسْتَهْزِئُونَ	مستهزئ	ه ز أ	NOUN_ACTIVE_PART	active participle, masculine plural nominative, Form X (istafʿala)	0	0	0	0	ae:v3:s002:014:pass1:attach:a9				1	1	0
ae:v3:s002:015:noun:1	2	15	1	q:2:15:1	اللَّهُ	له	أ ل ه	NOUN_PROP	proper noun, nominative (marfūʿ), subject of yastahziʾu	0	0	0	0	ae:v3:s002:015:pass1:attach:a1;ae:v3:s002:015:pass1:attach:a4				2	2	0
ae:v3:s002:015:noun:8	2	15	8	q:2:15:8	طُغْيَانِهِمْ	طغيان	ط غ ي	GERUND	verbal noun (maṣdar/gerund), genitive (majrūr by fī), with possessive pronoun -him	1	1	0	1	ae:v3:s002:015:pass1:attach:a6;ae:v3:s002:015:pass1:attach:a7	ae:v3:s002:015:pass1:attach:a7		ae:v3:s002:015:pass1:attach:a6	3	3	0
ae:v3:s002:016:noun:4	2	16	4	q:2:16:4	الضَّلَالَةَ	ضلال	ض ل ل	GERUND	definite noun (masdar/gerund), accusative (direct object)	0	0	0	0	ae:v3:s002:016:pass1:attach:a2				1	1	0
ae:v3:s002:016:noun:6	2	16	6	q:2:16:6	بِالْهُدَى	هدى	ه د ي	GERUND	definite noun (masdar/gerund), genitive (governed by bi-)	0	0	0	1	ae:v3:s002:016:pass1:attach:a3			ae:v3:s002:016:pass1:attach:a3	1	1	0
ae:v3:s002:016:noun:10	2	16	10	q:2:16:10	تِجَارَتُهُمْ	تجار	ت ج ر	GERUND	definite noun (masdar/gerund), nominative (subject of rabiḥat), with 3mp possessive suffix	1	1	0	0	ae:v3:s002:016:pass1:attach:a4;ae:v3:s002:016:pass1:attach:a5	ae:v3:s002:016:pass1:attach:a5			3	3	0
ae:v3:s002:016:noun:14	2	16	14	q:2:16:14	مُهْتَدِينَ	مهتد	ه د ي	NOUN_ACTIVE_PART	active participle, Form VIII (muftaʿilīn), masculine plural, accusative (predicate of kāna)	0	0	0	0	ae:v3:s002:016:pass1:attach:a7				1	1	0
ae:v3:s002:017:noun:1	2	17	1	q:2:17:1	مَثَلُهُمْ	مثل	م ث ل	NOUN_ABSTRACT	noun, nominative, definite by iḍāfa with 3mp pronoun, subject	1	1	0	0	ae:v3:s002:017:pass1:attach:a1	ae:v3:s002:017:pass1:attach:a1;ae:v3:s002:017:pass1:attach:a2;ae:v3:s002:017:pass1:attach:a16			4	4	0
ae:v3:s002:017:noun:3	2	17	3	q:2:17:3	كَمَثَلِ	مثل	م ث ل	NOUN_ABSTRACT	noun, genitive (governed by ka), indefinite in construct (iḍāfa with alladhī)	0	1	0	1	ae:v3:s002:017:pass1:attach:a2;ae:v3:s002:017:pass1:attach:a16	ae:v3:s002:017:pass1:attach:a3		ae:v3:s002:017:pass1:attach:a2	3	3	0
ae:v3:s002:017:noun:6	2	17	6	q:2:17:6	نَارَاً	نار	ن و ر	NOUN_CONCRETE	noun, accusative (direct object of istawqada), indefinite (tankīr)	0	0	0	0	ae:v3:s002:017:pass1:attach:a4				1	1	0
ae:v3:s002:017:noun:13	2	17	13	q:2:17:13	اللَّهُ	له	أ ل ه	NOUN_PROP	proper noun, nominative (subject/agent of dhahaba), definite	0	0	0	0	ae:v3:s002:017:pass1:attach:a8;ae:v3:s002:017:pass1:attach:a12				2	2	0
ae:v3:s002:017:noun:15	2	17	15	q:2:17:15	بِنُورِهِمْ	نور	ن و ر	NOUN_ABSTRACT	noun, genitive (governed by bi-), definite by iḍāfa with 3mp pronoun	1	1	0	1	ae:v3:s002:017:pass1:attach:a9;ae:v3:s002:017:pass1:attach:a10	ae:v3:s002:017:pass1:attach:a10		ae:v3:s002:017:pass1:attach:a9	3	3	0
ae:v3:s002:017:noun:19	2	17	19	q:2:17:19	ظُلُمَاتٍ	ظلم	ظ ل م	NOUN_ABSTRACT	noun, genitive (governed by fī), indefinite, plural (feminine sound plural of ẓulma)	0	0	0	1	ae:v3:s002:017:pass1:attach:a14			ae:v3:s002:017:pass1:attach:a14	1	1	0
ae:v3:s002:018:noun:1	2	18	1	q:2:18:1	صُمٌّ	صم	ص م م	ADJ_QUALIT	nominative indefinite plural adjective, predicate	0	0	0	0		ae:v3:s002:018:pass1:attach:a1;ae:v3:s002:018:pass1:attach:a2			2	2	0
ae:v3:s002:018:noun:2	2	18	2	q:2:18:2	بُكْمٌ	بكم	ب ك م	ADJ_QUALIT	nominative indefinite plural adjective, predicate	0	0	0	0	ae:v3:s002:018:pass1:attach:a1				1	1	0
ae:v3:s002:018:noun:3	2	18	3	q:2:18:3	عُمْيٌ	عمي	ع م ي	ADJ_QUALIT	nominative indefinite plural adjective, predicate	0	0	0	0	ae:v3:s002:018:pass1:attach:a2				1	1	0
ae:v3:s002:019:noun:3	2	19	3	q:2:19:3	كَصَيِّبٍ	صيب	ص و ب	NOUN_ABSTRACT	noun (faʿʿil pattern), indefinite genitive, tanwīn	0	0	0	1	ae:v3:s002:019:pass1:attach:a1	ae:v3:s002:019:pass1:attach:a2		ae:v3:s002:019:pass1:attach:a1	2	1	0
ae:v3:s002:019:noun:5	2	19	5	q:2:19:5	السَّمَاءِ	سماء	س م و	NOUN_CONCRETE	noun, definite, genitive (governed by min), singular	0	0	0	1	ae:v3:s002:019:pass1:attach:a2			ae:v3:s002:019:pass1:attach:a2	1	1	0
ae:v3:s002:019:noun:7	2	19	7	q:2:19:7	ظُلُمَاتٌ	ظلم	ظ ل م	NOUN_ABSTRACT	noun, indefinite, nominative, broken plural (of ẓulma)	0	0	0	0	ae:v3:s002:019:pass1:attach:a4	ae:v3:s002:019:pass1:attach:a1;ae:v3:s002:019:pass1:attach:a3;ae:v3:s002:019:pass1:attach:a5			4	3	0
ae:v3:s002:019:noun:9	2	19	9	q:2:19:9	وَرَعْدٌ	رعد	ر ع د	NOUN_ABSTRACT	noun, indefinite, nominative, conjunct with ẓulumāt	0	0	0	0	ae:v3:s002:019:pass1:attach:a5	ae:v3:s002:019:pass1:attach:a6			2	2	0
ae:v3:s002:019:noun:11	2	19	11	q:2:19:11	وَبَرْقٌ	برق	ب ر ق	NOUN_ABSTRACT	noun, indefinite, nominative, conjunct with raʿd	0	0	0	0	ae:v3:s002:019:pass1:attach:a6				1	1	0
ae:v3:s002:019:noun:13	2	19	13	q:2:19:13	أَصَابِعَهُمْ	أصابع	ص ب ع	NOUN_CONCRETE	noun, accusative (object of yajʿalūna), broken plural + 3mp pronoun	1	1	0	0	ae:v3:s002:019:pass1:attach:a7;ae:v3:s002:019:pass1:attach:a8	ae:v3:s002:019:pass1:attach:a8			3	3	0
ae:v3:s002:019:noun:15	2	19	15	q:2:19:15	آذَانِهِمْ	آذان	أ ذ ن	NOUN_CONCRETE	noun, genitive (governed by fī), broken plural + 3mp pronoun	1	1	0	1	ae:v3:s002:019:pass1:attach:a9;ae:v3:s002:019:pass1:attach:a10	ae:v3:s002:019:pass1:attach:a10		ae:v3:s002:019:pass1:attach:a9	3	3	0
ae:v3:s002:019:noun:17	2	19	17	q:2:19:17	الصَّوَاعِقِ	صواعق	ص ع ق	NOUN_CONCRETE	noun, definite, genitive (governed by min), broken plural	0	0	0	1	ae:v3:s002:019:pass1:attach:a11			ae:v3:s002:019:pass1:attach:a11	1	1	0
ae:v3:s002:019:noun:18	2	19	18	q:2:19:18	حَذَرَ	حذر	ح ذ ر	GERUND	verbal noun (maṣdar), accusative, functioning as mafʿūl li-ajlih (purpose/cause)	0	1	0	0	ae:v3:s002:019:pass1:attach:a12	ae:v3:s002:019:pass1:attach:a13			2	2	0
ae:v3:s002:019:noun:19	2	19	19	q:2:19:19	الْمَوْتِ	موت	م و ت	GERUND	verbal noun (maṣdar), definite, genitive (iḍāfa with ḥadhar)	1	0	0	0	ae:v3:s002:019:pass1:attach:a13				1	1	0
ae:v3:s002:019:noun:21	2	19	21	q:2:19:21	وَاللَّهُ	له	أ ل ه	NOUN_PROP	proper noun, nominative, subject of nominal clause	0	0	0	0		ae:v3:s002:019:pass1:attach:a14			1	1	0
ae:v3:s002:019:noun:22	2	19	22	q:2:19:22	مُحِيطٌ	محيط	ح و ط	NOUN_ABSTRACT	active participle (Form IV muḥīṭ), indefinite, nominative, predicate	0	0	0	0	ae:v3:s002:019:pass1:attach:a14	ae:v3:s002:019:pass1:attach:a15			2	2	0
ae:v3:s002:019:noun:24	2	19	24	q:2:19:24	بِالْكَافِرِينَ	كافر	ك ف ر	NOUN_ACTIVE_PART	active participle, definite, genitive (governed by bi), masculine sound plural	0	0	0	1	ae:v3:s002:019:pass1:attach:a15			ae:v3:s002:019:pass1:attach:a15	1	1	0
