unit_id	source_pass	source_rtype	source_local_id	sura	ayah	relation	status	confidence	evidence	reason	dep_wid	dep_unit_id	dep_surface	dep_root_norm	dep_form_tag	dep_part	head_wid	head_unit_id	head_surface	head_root_norm	head_form_tag	head_part	obj_type	prep_base	prep_wid	prep_unit_id	dep_start_wid	dep_end_wid	context	dep_clause_raw	dep_clause_unit_ids	head_clause_raw	head_clause_unit_ids	choice_set_raw	choice_relation
ae:v3:s001:004:pass1:attach:a2	pass1	ATTACH	a2	1	4	idafa	syntactically_forced	high	case_government;local_syntax	ٱلدِّينِ is the genitive muḍāf ilayhi of يَوْمِ.	3	q:1:4:3	الدِّينِ	د ي ن	NOUN_ABSTRACT		2	q:1:4:2	يَوْمِ	ي و م	NOUN_ABSTRACT														
ae:v3:s001:005:pass1:attach:a1	pass1	ATTACH	a1	1	5	direct_object	syntactically_forced	high	case_government;word_order	إِيَّاكَ is the fronted explicit object of نَعْبُدُ.	1	q:1:5:1	إِيَّاكَ		PRON		2	q:1:5:2	نَعْبُدُ	ع ب د	IV		explicit												
ae:v3:s001:005:pass1:attach:a2	pass1	ATTACH	a2	1	5	direct_object	strongly_licensed	high	case_government;word_order	إِيَّاكَ is the fronted explicit object of نَسْتَعِينُ.	4	q:1:5:4	وَإِيَّاكَ		PRON		5	q:1:5:5	نَسْتَعِينُ	ع و ن	IV		explicit												
ae:v3:s001:005:pass1:attach:a3	pass1	ATTACH	a3	1	5	conjoined	strongly_licensed	high	parallelism;local_syntax	نَسْتَعِينُ is coordinated with نَعْبُدُ by وَ in the parallel construction.	5	q:1:5:5	نَسْتَعِينُ	ع و ن	IV		2	q:1:5:2	نَعْبُدُ	ع ب د	IV														
ae:v3:s001:006:pass1:attach:a1	pass1	ATTACH	a1	1	6	direct_object	syntactically_forced	high	morphology;local_syntax	The نَا suffix in ٱهْدِنَا is the first-person plural object of ٱهْدِ.	1	q:1:6:1				object_suffix	1	q:1:6:1	اهْدِنَا	ه د ي	CV		clitic												
ae:v3:s001:006:pass1:attach:a2	pass1	ATTACH	a2	1	6	direct_object	syntactically_forced	high	case_government;local_syntax	ٱلصِّرَٰطَ is the explicit accusative object governed by ٱهْدِنَا.	2	q:1:6:2	الصِّرَاطَ	ص ر ط	NOUN_ABSTRACT		1	q:1:6:1	اهْدِنَا	ه د ي	CV		explicit												
ae:v3:s001:006:pass1:attach:a3	pass1	ATTACH	a3	1	6	adjective	strongly_licensed	high	agreement;case_government	ٱلْمُسْتَقِيمَ agrees with ٱلصِّرَٰطَ and qualifies it.	3	q:1:6:3	الْمُسْتَقِيمَ	ق و م	NOUN_ACTIVE_PART		2	q:1:6:2	الصِّرَاطَ	ص ر ط	NOUN_ABSTRACT														
ae:v3:s001:007:pass1:attach:a1	pass1	ATTACH	a1	1	7	idafa	syntactically_forced	high	case_government;local_syntax	ٱلَّذِينَ is the genitive complement of صِرَٰطَ in iḍāfa.	2	q:1:7:2	الَّذِينَ	ل ل ذ	REL_PRON		1	q:1:7:1	صِرَاطَ	ص ر ط	NOUN_ABSTRACT														
ae:v3:s001:007:pass1:attach:a2	pass1	ATTACH	a2	1	7	prep_complement	syntactically_forced	high	case_government;local_syntax	The pronoun suffix هِمْ in عَلَيْهِمْ is governed by عَلَى as the complement of أَنْعَمْتَ.	4	q:1:7:4				pronoun_suffix	3	q:1:7:3	أَنْعَمْتَ	ن ع م	PV			عَلَى	4	q:1:7:4									
ae:v3:s001:007:pass1:attach:a3	pass1	ATTACH	a3	1	7	apposition	strongly_licensed	medium	case_government;local_syntax	غَيْرِ is genitive and qualifies ٱلَّذِينَ by excluding the contrasting class.	5	q:1:7:5	غَيْرِ	غ ي ر	NOUN_ABSTRACT		2	q:1:7:2	الَّذِينَ	ل ل ذ	REL_PRON														
ae:v3:s001:007:pass1:attach:a4	pass1	ATTACH	a4	1	7	idafa	syntactically_forced	high	case_government;local_syntax	ٱلْمَغْضُوبِ is the genitive complement of غَيْرِ.	6	q:1:7:6	الْمَغْضُوبِ	غ ض ب	NOUN_PASSIVE_PART		5	q:1:7:5	غَيْرِ	غ ي ر	NOUN_ABSTRACT														
ae:v3:s001:007:pass1:attach:a5	pass1	ATTACH	a5	1	7	prep_complement	syntactically_forced	high	case_government;local_syntax	The pronoun suffix هِمْ in عَلَيْهِمْ completes the prepositional phrase governed by ٱلْمَغْضُوبِ.	7	q:1:7:7				pronoun_suffix	6	q:1:7:6	الْمَغْضُوبِ	غ ض ب	NOUN_PASSIVE_PART			عَلَى	7	q:1:7:7									
ae:v3:s001:007:pass1:attach:a6	pass1	ATTACH	a6	1	7	conjoined	strongly_licensed	high	parallelism;local_syntax	ٱلضَّآلِّينَ is coordinated with ٱلْمَغْضُوبِ after وَلَا within the excluded group.	10	q:1:7:10	الضَّالِّينَ	ض ل ل	NOUN_ACTIVE_PART		6	q:1:7:6	الْمَغْضُوبِ	غ ض ب	NOUN_PASSIVE_PART														
ae:v3:s002:002:pass1:attach:a1	pass1	ATTACH	a1	2	2	predication	strongly_licensed	high	local_syntax	ٱلْكِتَٰبُ predicates the demonstrative ذَٰلِكَ.	2	q:2:2:2	الْكِتَابُ	ك ت ب	NOUN_CONCRETE		1	q:2:2:1	ذَلِكَ		DEM_PRON														
ae:v3:s002:002:pass1:attach:a2	pass1	ATTACH	a2	2	2	particle_complement	syntactically_forced	high	case_government;local_syntax	رَيْبَ is governed by لَا of categorical negation.	4	q:2:2:4	رَيْبَ	ر ي ب	GERUND		3	q:2:2:3	لَا		NEG_PART														
ae:v3:s002:002:pass1:attach:a3	pass1	ATTACH	a3	2	2	prep_complement	syntactically_forced	high	case_government;local_syntax	The pronoun in فِيهِ is governed by فِي as the complement specifying رَيْبَ.	5	q:2:2:5				pronoun_suffix	4	q:2:2:4	رَيْبَ	ر ي ب	GERUND			فِي	5	q:2:2:5									
ae:v3:s002:002:pass1:attach:a4	pass1	ATTACH	a4	2	2	predication	strongly_licensed	high	local_syntax	فِيهِ supplies the predicate complement of the negating لَا clause.	5	q:2:2:5	فِيهِ		PREP		3	q:2:2:3	لَا		NEG_PART														
ae:v3:s002:002:pass1:attach:a5	pass1	ATTACH	a5	2	2	predication	strongly_licensed	medium	local_syntax	هُدًى is a further predicate describing ذَٰلِكَ and its book.	6	q:2:2:6	هُدَىً	ه د ي	GERUND		1	q:2:2:1	ذَلِكَ		DEM_PRON														
ae:v3:s002:002:pass1:attach:a6	pass1	ATTACH	a6	2	2	prep_complement	syntactically_forced	high	case_government;local_syntax	ٱلْمُتَّقِينَ is governed by لِ as the beneficiary complement of هُدًى.	8	q:2:2:8	لِلْمُتَّقِينَ	و ق ي	NOUN_ACTIVE_PART		6	q:2:2:6	هُدَىً	ه د ي	GERUND			لـ	7	q:2:2:7									
ae:v3:s002:003:pass1:attach:a1	pass1	ATTACH	a1	2	3	prep_complement	syntactically_forced	high	case_government;local_syntax	ٱلْغَيْبِ is governed by بِ as the belief complement of يُؤْمِنُونَ.	4	q:2:3:4	بِالْغَيْبِ	غ ي ب	GERUND		2	q:2:3:2	يُؤْمِنُونَ	أ م ن	IV			بـ	3	q:2:3:3									
ae:v3:s002:003:pass1:attach:a2	pass1	ATTACH	a2	2	3	conjoined	strongly_licensed	high	parallelism;local_syntax	يُقِيمُونَ is coordinated with يُؤْمِنُونَ by وَ.	6	q:2:3:6	وَيُقِيمُونَ	ق و م	IV		2	q:2:3:2	يُؤْمِنُونَ	أ م ن	IV														
ae:v3:s002:003:pass1:attach:a3	pass1	ATTACH	a3	2	3	direct_object	syntactically_forced	high	case_government;local_syntax	ٱلصَّلَوٰةَ is the accusative object of يُقِيمُونَ.	7	q:2:3:7	الصَّلَاةَ	ص ل و	GERUND		6	q:2:3:6	وَيُقِيمُونَ	ق و م	IV		explicit												
ae:v3:s002:003:pass1:attach:a4	pass1	ATTACH	a4	2	3	direct_object	syntactically_forced	high	morphology;local_syntax	The suffix هُمْ in رَزَقْنَٰهُمْ is the object after the 1cp subject agreement.	10	q:2:3:10				object_suffix	10	q:2:3:10	رَزَقْنَاهُمْ	ر ز ق	PV		clitic												
ae:v3:s002:003:pass1:attach:a5	pass1	ATTACH	a5	2	3	conjoined	strongly_licensed	high	parallelism;local_syntax	يُنفِقُونَ is the third coordinated predicate after يُؤْمِنُونَ.	11	q:2:3:11	يُنْفِقُونَ	ن ف ق	IV		2	q:2:3:2	يُؤْمِنُونَ	أ م ن	IV														
ae:v3:s002:004:pass1:attach:a1	pass1	ATTACH	a1	2	4	prep_complement	syntactically_forced	high	case_government;local_syntax	مَا is governed by بِ as the content believed in by يُؤْمِنُونَ.	5	q:2:4:5	بِمَا		REL_PRON		3	q:2:4:3	يُؤْمِنُونَ	أ م ن	IV			بـ	4	q:2:4:4									
ae:v3:s002:004:pass1:attach:a2	pass1	ATTACH	a2	2	4	prep_complement	syntactically_forced	high	case_government;local_syntax	The pronoun in إِلَيْكَ is governed by إِلَى as complement of passive أُنزِلَ.	7	q:2:4:7				pronoun_suffix	6	q:2:4:6	أُنْزِلَ	ن ز ل	PV_PASS			إِلَى	7	q:2:4:7									
ae:v3:s002:004:pass1:attach:a3	pass1	ATTACH	a3	2	4	conjoined	strongly_licensed	high	parallelism;local_syntax	مَا after وَ is coordinated with the earlier مَا governed through بِ.	9	q:2:4:9	وَمَا		REL_PRON		5	q:2:4:5	بِمَا		REL_PRON														
ae:v3:s002:004:pass1:attach:a4	pass1	ATTACH	a4	2	4	prep_complement	syntactically_forced	high	case_government;local_syntax	قَبْلِكَ is governed by مِن as the temporal-source complement of أُنزِلَ.	12	q:2:4:12	قَبْلِكَ	ق ب ل	NOUN_ABSTRACT		10	q:2:4:10	أُنْزِلَ	ن ز ل	PV_PASS			مِن	11	q:2:4:11									
ae:v3:s002:004:pass1:attach:a5	pass1	ATTACH	a5	2	4	prep_complement	syntactically_forced	high	case_government;local_syntax	ٱلْءَاخِرَةِ is governed by بِ as the complement of يُوقِنُونَ.	15	q:2:4:15	وَبِالْآخِرَةِ	أ خ ر	NOUN_ABSTRACT		17	q:2:4:17	يُوقِنُونَ	ي ق ن	IV			بـ	14	q:2:4:14									
ae:v3:s002:004:pass1:attach:a6	pass1	ATTACH	a6	2	4	subject	strongly_licensed	high	word_order;agreement	هُمْ is the explicit pronoun subject before يُوقِنُونَ.	16	q:2:4:16	هُمْ		PRON		17	q:2:4:17	يُوقِنُونَ	ي ق ن	IV														
ae:v3:s002:004:pass1:attach:a7	pass1	ATTACH	a7	2	4	conjoined	strongly_licensed	high	parallelism;local_syntax	يُوقِنُونَ is coordinated with يُؤْمِنُونَ as another predicate of the same described group.	17	q:2:4:17	يُوقِنُونَ	ي ق ن	IV		3	q:2:4:3	يُؤْمِنُونَ	أ م ن	IV														
ae:v3:s002:004:pass1:attach:a8	pass1	ATTACH	a8	2	4	idafa	syntactically_forced	high	morphology;local_syntax	The suffix كَ in قَبْلِكَ is the genitive possessor in the construct expression.	12	q:2:4:12				possessive_suffix	12	q:2:4:12	قَبْلِكَ	ق ب ل	NOUN_ABSTRACT	whole_word													
ae:v3:s002:005:pass1:attach:a1	pass1	ATTACH	a1	2	5	prep_complement	syntactically_forced	high	case_government;local_syntax	هُدًى is governed by عَلَىٰ in the predicate of أُو۟لَٰٓئِكَ.	3	q:2:5:3	هُدَىً	ه د ي	GERUND		1	q:2:5:1	أُولَئِكَ	أ و ل	DEM_PRON_MP			عَلَى	2	q:2:5:2									
ae:v3:s002:005:pass1:attach:a2	pass1	ATTACH	a2	2	5	predication	strongly_licensed	high	local_syntax	عَلَىٰ هُدًى predicates guidance of أُو۟لَٰٓئِكَ.	3	q:2:5:3	هُدَىً	ه د ي	GERUND		1	q:2:5:1	أُولَئِكَ	أ و ل	DEM_PRON_MP														
ae:v3:s002:005:pass1:attach:a3	pass1	ATTACH	a3	2	5	prep_complement	syntactically_forced	high	case_government;local_syntax	رَّبِّهِمْ is governed by مِن as the source complement of هُدًى.	5	q:2:5:5	رَبِّهِمْ	ر ب ب	NOUN_CONCRETE		3	q:2:5:3	هُدَىً	ه د ي	GERUND			مِن	4	q:2:5:4									
ae:v3:s002:005:pass1:attach:a4	pass1	ATTACH	a4	2	5	conjoined	strongly_licensed	high	parallelism;local_syntax	The second أُو۟لَٰٓئِكَ is coordinated with the first by وَ.	7	q:2:5:7	وَأُولَئِكَ	أ و ل	REL_PRON		1	q:2:5:1	أُولَئِكَ	أ و ل	DEM_PRON_MP														
ae:v3:s002:005:pass1:attach:a5	pass1	ATTACH	a5	2	5	apposition	strongly_licensed	high	local_syntax	هُمُ reinforces أُو۟لَٰٓئِكَ as a separating pronoun before the predicate.	8	q:2:5:8	هُمُ		PRON		7	q:2:5:7	وَأُولَئِكَ	أ و ل	REL_PRON														
ae:v3:s002:005:pass1:attach:a6	pass1	ATTACH	a6	2	5	predication	strongly_licensed	high	local_syntax	ٱلْمُفْلِحُونَ predicates success of أُو۟لَٰٓئِكَ.	9	q:2:5:9	الْمُفْلِحُونَ	ف ل ح	NOUN_ACTIVE_PART		7	q:2:5:7	وَأُولَئِكَ	أ و ل	REL_PRON														
ae:v3:s002:005:pass1:attach:a7	pass1	ATTACH	a7	2	5	idafa	syntactically_forced	high	morphology;local_syntax	The suffix هِمْ in رَّبِّهِمْ is the genitive possessor of رَبِّ.	5	q:2:5:5				possessive_suffix	5	q:2:5:5	رَبِّهِمْ	ر ب ب	NOUN_CONCRETE	whole_word													
ae:v3:s002:006:pass1:attach:a1	pass1	ATTACH	a1	2	6	particle_complement	syntactically_forced	high	case_government;local_syntax	ٱلَّذِينَ is governed as the noun of إِنَّ.	2	q:2:6:2	الَّذِينَ	ل ل ذ	REL_PRON		1	q:2:6:1	إِنَّ		ANNUL_PART														
ae:v3:s002:006:pass1:attach:a2	pass1	ATTACH	a2	2	6	predication	strongly_licensed	high	local_syntax	سَوَآءٌ supplies the predicate value under إِنَّ.	4	q:2:6:4	سَوَاءٌ	س و ي	NOUN_ABSTRACT		1	q:2:6:1	إِنَّ		ANNUL_PART														
ae:v3:s002:006:pass1:attach:a3	pass1	ATTACH	a3	2	6	prep_complement	syntactically_forced	high	case_government;local_syntax	The pronoun in عَلَيْهِمْ is governed by عَلَى as complement of سَوَآءٌ.	5	q:2:6:5				pronoun_suffix	4	q:2:6:4	سَوَاءٌ	س و ي	NOUN_ABSTRACT			عَلَى	5	q:2:6:5									
ae:v3:s002:006:pass1:attach:a4	pass1	ATTACH	a4	2	6	clausal_complement	strongly_licensed	high	local_syntax	The interrogative pair ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ fills the content governed by سَوَآءٌ.	6	q:2:6:6	أَأَنْذَرْتَهُمْ	ن ذ ر	PV		4	q:2:6:4	سَوَاءٌ	س و ي	NOUN_ABSTRACT						6	9		c3;c4	ae:v3:s002:006:pass1:clause:c3;ae:v3:s002:006:pass1:clause:c4				
ae:v3:s002:006:pass1:attach:a5	pass1	ATTACH	a5	2	6	direct_object	syntactically_forced	high	morphology;local_syntax	The suffix هُمْ in ءَأَنذَرْتَهُمْ is the object after the 2ms subject agreement.	6	q:2:6:6				object_suffix	6	q:2:6:6	أَأَنْذَرْتَهُمْ	ن ذ ر	PV		clitic												
ae:v3:s002:006:pass1:attach:a6	pass1	ATTACH	a6	2	6	particle_complement	syntactically_forced	high	local_syntax	تُنذِرْهُمْ is governed by لَمْ as the jussive negated verb.	9	q:2:6:9	تُنْذِرْهُمْ	ن ذ ر	IV		8	q:2:6:8	لَمْ	ل م م	JUSSIVE_PART														
ae:v3:s002:006:pass1:attach:a7	pass1	ATTACH	a7	2	6	direct_object	syntactically_forced	high	morphology;local_syntax	The suffix هُمْ in تُنذِرْهُمْ is the object of the warning verb.	9	q:2:6:9				object_suffix	9	q:2:6:9	تُنْذِرْهُمْ	ن ذ ر	IV		clitic												
ae:v3:s002:006:pass1:attach:a8	pass1	ATTACH	a8	2	6	predication	strongly_licensed	high	local_syntax	لَا يُؤْمِنُونَ completes the asserted predicate about ٱلَّذِينَ.	11	q:2:6:11	يُؤْمِنُونَ	أ م ن	IV		1	q:2:6:1	إِنَّ		ANNUL_PART														
ae:v3:s002:006:pass1:attach:a9	pass1	ATTACH	a9	2	6	conjoined	strongly_licensed	high	parallelism;local_syntax	تُنذِرْهُمْ is coordinated with ءَأَنذَرْتَهُمْ by أَمْ in the interrogative pair.	9	q:2:6:9	تُنْذِرْهُمْ	ن ذ ر	IV		6	q:2:6:6	أَأَنْذَرْتَهُمْ	ن ذ ر	PV														
ae:v3:s002:007:pass1:attach:a1	pass1	ATTACH	a1	2	7	subject	syntactically_forced	high	case_government;word_order	ٱللَّهُ is the nominative explicit subject of خَتَمَ.	2	q:2:7:2	اللَّهُ	أ ل ه	NOUN_PROP		1	q:2:7:1	خَتَمَ	خ ت م	PV														
ae:v3:s002:007:pass1:attach:a2	pass1	ATTACH	a2	2	7	prep_complement	syntactically_forced	high	case_government;local_syntax	قُلُوبِهِمْ is governed by عَلَىٰ as a complement of خَتَمَ.	4	q:2:7:4	قُلُوبِهِمْ	ق ل ب	NOUN_CONCRETE		1	q:2:7:1	خَتَمَ	خ ت م	PV			عَلَى	3	q:2:7:3									
ae:v3:s002:007:pass1:attach:a3	pass1	ATTACH	a3	2	7	prep_complement	syntactically_forced	high	case_government;local_syntax	سَمْعِهِمْ is governed by the second عَلَىٰ as a coordinated complement of خَتَمَ.	7	q:2:7:7	سَمْعِهِمْ	س م ع	GERUND		1	q:2:7:1	خَتَمَ	خ ت م	PV			عَلَى	6	q:2:7:6									
ae:v3:s002:007:pass1:attach:a4	pass1	ATTACH	a4	2	7	conjoined	strongly_licensed	high	parallelism;local_syntax	سَمْعِهِمْ is coordinated with قُلُوبِهِمْ through the repeated وَعَلَىٰ.	7	q:2:7:7	سَمْعِهِمْ	س م ع	GERUND		4	q:2:7:4	قُلُوبِهِمْ	ق ل ب	NOUN_CONCRETE														
ae:v3:s002:007:pass1:attach:a5	pass1	ATTACH	a5	2	7	prep_complement	syntactically_forced	high	case_government;local_syntax	أَبْصَٰرِهِمْ is governed by عَلَىٰ in the fronted predicate of غِشَٰوَةٌ.	10	q:2:7:10	أَبْصَارِهِمْ	ب ص ر	NOUN_ABSTRACT		11	q:2:7:11	غِشَاوَةٌ	غ ش و	GERUND			عَلَى	9	q:2:7:9									
ae:v3:s002:007:pass1:attach:a6	pass1	ATTACH	a6	2	7	predication	strongly_licensed	high	local_syntax	عَلَىٰ أَبْصَٰرِهِمْ predicates the location of غِشَٰوَةٌ.	10	q:2:7:10	أَبْصَارِهِمْ	ب ص ر	NOUN_ABSTRACT		11	q:2:7:11	غِشَاوَةٌ	غ ش و	GERUND														
ae:v3:s002:007:pass1:attach:a7	pass1	ATTACH	a7	2	7	prep_complement	syntactically_forced	high	case_government;local_syntax	The pronoun in لَهُمْ is governed by لَ in the fronted predicate of عَذَابٌ.	13	q:2:7:13				pronoun_suffix	14	q:2:7:14	عَذَابٌ	ع ذ ب	NOUN_ABSTRACT			لـ	13	q:2:7:13									
ae:v3:s002:007:pass1:attach:a8	pass1	ATTACH	a8	2	7	predication	strongly_licensed	high	local_syntax	لَهُمْ predicates possession or assignment of عَذَابٌ.	13	q:2:7:13	وَلَهُمْ	و ل ي	PREP		14	q:2:7:14	عَذَابٌ	ع ذ ب	NOUN_ABSTRACT														
ae:v3:s002:007:pass1:attach:a9	pass1	ATTACH	a9	2	7	adjective	strongly_licensed	high	agreement;local_syntax	عَظِيمٌ agrees with and modifies عَذَابٌ.	15	q:2:7:15	عَظِيمٌ	ع ظ م	ADJ_QUALIT		14	q:2:7:14	عَذَابٌ	ع ذ ب	NOUN_ABSTRACT														
ae:v3:s002:007:pass1:attach:a10	pass1	ATTACH	a10	2	7	idafa	syntactically_forced	high	morphology;local_syntax	The suffix هِمْ in قُلُوبِهِمْ is the genitive possessor of قُلُوبِ.	4	q:2:7:4				possessive_suffix	4	q:2:7:4	قُلُوبِهِمْ	ق ل ب	NOUN_CONCRETE	whole_word													
ae:v3:s002:007:pass1:attach:a11	pass1	ATTACH	a11	2	7	idafa	syntactically_forced	high	morphology;local_syntax	The suffix هِمْ in سَمْعِهِمْ is the genitive possessor of سَمْعِ.	7	q:2:7:7				possessive_suffix	7	q:2:7:7	سَمْعِهِمْ	س م ع	GERUND	whole_word													
ae:v3:s002:007:pass1:attach:a12	pass1	ATTACH	a12	2	7	idafa	syntactically_forced	high	morphology;local_syntax	The suffix هِمْ in أَبْصَٰرِهِمْ is the genitive possessor of أَبْصَٰرِ.	10	q:2:7:10				possessive_suffix	10	q:2:7:10	أَبْصَارِهِمْ	ب ص ر	NOUN_ABSTRACT	whole_word													
ae:v3:s002:008:pass1:attach:a1	pass1	ATTACH	a1	2	8	prep_complement	syntactically_forced	high	case_government;local_syntax	ٱلنَّاسِ is governed by مِنَ to mark the set from which مَن is taken.	3	q:2:8:3	النَّاسِ	أ ن س	NOUN_CONCRETE		4	q:2:8:4	مَنْ	م ن ن	REL_PRON			مِن	2	q:2:8:2									
ae:v3:s002:008:pass1:attach:a2	pass1	ATTACH	a2	2	8	predication	strongly_licensed	high	local_syntax	مِنَ ٱلنَّاسِ predicates the partitive setting for مَن.	3	q:2:8:3	النَّاسِ	أ ن س	NOUN_CONCRETE		4	q:2:8:4	مَنْ	م ن ن	REL_PRON														
ae:v3:s002:008:pass1:attach:a3	pass1	ATTACH	a3	2	8	quoted_complement	syntactically_forced	high	local_syntax	The full claim ءَامَنَّا … ٱلْءَاخِرِ is the quoted content of يَقُولُ.	6	q:2:8:6	آمَنَّا	أ م ن	PV		5	q:2:8:5	يَقُولُ	ق و ل	IV						6	12		c3	ae:v3:s002:008:pass1:clause:c3				
ae:v3:s002:008:pass1:attach:a4	pass1	ATTACH	a4	2	8	prep_complement	syntactically_forced	high	case_government;local_syntax	ٱللَّهِ is governed by بِ as a belief complement of ءَامَنَّا.	8	q:2:8:8	بِاللَّهِ	أ ل ه	NOUN_PROP		6	q:2:8:6	آمَنَّا	أ م ن	PV			بـ	7	q:2:8:7									
ae:v3:s002:008:pass1:attach:a5	pass1	ATTACH	a5	2	8	prep_complement	syntactically_forced	high	case_government;local_syntax	ٱلْيَوْمِ is governed by the second بِ as another belief complement of ءَامَنَّا.	11	q:2:8:11	وَبِالْيَوْمِ	ي و م	NOUN_ABSTRACT		6	q:2:8:6	آمَنَّا	أ م ن	PV			بـ	10	q:2:8:10									
ae:v3:s002:008:pass1:attach:a6	pass1	ATTACH	a6	2	8	conjoined	strongly_licensed	high	parallelism;local_syntax	ٱلْيَوْمِ is coordinated with ٱللَّهِ through وَبِ.	11	q:2:8:11	وَبِالْيَوْمِ	ي و م	NOUN_ABSTRACT		8	q:2:8:8	بِاللَّهِ	أ ل ه	NOUN_PROP														
ae:v3:s002:008:pass1:attach:a7	pass1	ATTACH	a7	2	8	adjective	strongly_licensed	high	agreement;local_syntax	ٱلْءَاخِرِ agrees with and modifies ٱلْيَوْمِ.	12	q:2:8:12	الْآخِرِ	أ خ ر	ADJ_COMP		11	q:2:8:11	وَبِالْيَوْمِ	ي و م	NOUN_ABSTRACT														
ae:v3:s002:008:pass1:attach:a8	pass1	ATTACH	a8	2	8	particle_complement	strongly_licensed	high	local_syntax	هُم is the subject complement governed by the negating مَا.	15	q:2:8:15	هُمْ		PRON		14	q:2:8:14	وَمَا		NEG_PART														
ae:v3:s002:008:pass1:attach:a9	pass1	ATTACH	a9	2	8	prep_complement	syntactically_forced	high	case_government;local_syntax	مُؤْمِنِينَ is governed by the emphatic بِ under the negation مَا.	17	q:2:8:17	بِمُؤْمِنِينَ	أ م ن	NOUN_ACTIVE_PART		14	q:2:8:14	وَمَا		NEG_PART			بـ	16	q:2:8:16			negation						
