unit_id	source_pass	source_rtype	source_local_id	sura	ayah	wid	word_unit_id	surface	stem	root_norm	form_tag	grammar	frame_obj_status	object_attachment_ids	object_wids	object_roots	prep_attachment_ids	preps	prep_object_wids	prep_object_roots	clausal_attachment_ids	subject_attachment_id	subject_wid	prodrop	has_cognate_acc	frame_signature	notes
ae:v3:s002:006:pass1:frame:v3	pass1	FRAME	v3	2	6	9	q:2:6:9	تُنْذِرْهُمْ	نذر	ن ذ ر	IV	Form IV imperfect verb, 2nd person masculine singular, jussive mood (after lam) + 3rd masculine plural object pronoun	clitic	ae:v3:s002:006:pass1:attach:a7	9									1	0	obj=clitic|prep=-|clause=no|cognate=no	
ae:v3:s002:006:pass1:frame:v4	pass1	FRAME	v4	2	6	11	q:2:6:11	يُؤْمِنُونَ	ؤمن	أ م ن	IV	Form IV imperfect verb, 3rd person masculine plural, indicative mood	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:007:pass1:frame:v1	pass1	FRAME	v1	2	7	1	q:2:7:1	خَتَمَ	ختم	خ ت م	PV	perfect verb, 3rd person masculine singular, Form I	none_absolute				ae:v3:s002:007:pass1:attach:a2;ae:v3:s002:007:pass1:attach:a3	عَلَى;عَلَى	4;7	ق ل ب;س م ع		ae:v3:s002:007:pass1:attach:a1	2		0	obj=none_absolute|prep=عَلَى;عَلَى|clause=no|cognate=no	direct object absent with عَلَى complements
ae:v3:s002:008:pass1:frame:v1	pass1	FRAME	v1	2	8	5	q:2:8:5	يَقُولُ	قول	ق و ل	IV	imperfect verb (IV), 3rd person masculine singular; habitual/iterative aspect — repeated claiming	clausal								ae:v3:s002:008:pass1:attach:a3			1	0	obj=clausal|prep=-|clause=yes|cognate=no	
ae:v3:s002:008:pass1:frame:v2	pass1	FRAME	v2	2	8	6	q:2:8:6	آمَنَّا	آمن	أ م ن	PV	perfect verb (PV), Form IV, 1st person plural; completed action claimed by the speakers	none_intransitive				ae:v3:s002:008:pass1:attach:a4;ae:v3:s002:008:pass1:attach:a5	بـ;بـ	8;11	أ ل ه;ي و م				1	0	obj=none_intransitive|prep=بـ;بـ|clause=no|cognate=no	
ae:v3:s002:009:pass1:frame:v1	pass1	FRAME	v1	2	9	1	q:2:9:1	يُخَادِعُونَ	خادع	خ د ع	IV	imperfect verb, Form III (mufāʿala), 3rd person masculine plural, indicative	explicit	ae:v3:s002:009:pass1:attach:a1;ae:v3:s002:009:pass1:attach:a4	2;4	أ ل ه;ل ل ذ								1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:009:pass1:frame:v2	pass1	FRAME	v2	2	9	5	q:2:9:5	آمَنُوا	آمن	أ م ن	PV	perfect verb, Form IV (ʾafʿala), 3rd person masculine plural	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:009:pass1:frame:v3	pass1	FRAME	v3	2	9	8	q:2:9:8	يَخْدَعُونَ	خدع	خ د ع	IV	imperfect verb, Form I (faʿala), 3rd person masculine plural, indicative	explicit	ae:v3:s002:009:pass1:attach:a3	10	ن ف س								1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:009:pass1:frame:v4	pass1	FRAME	v4	2	9	13	q:2:9:13	يَشْعُرُونَ	شعر	ش ع ر	IV	imperfect verb, Form I (faʿala), 3rd person masculine plural, indicative	none_absolute											1	0	obj=none_absolute|prep=-|clause=no|cognate=no	perception verb used without an overt object
ae:v3:s002:010:pass1:frame:v1	pass1	FRAME	v1	2	10	5	q:2:10:5	فَزَادَهُمُ	زاد	ز و د	PV	perfect verb (PV), 3rd person masculine singular, with attached pronoun -hum (them) as object	both	ae:v3:s002:010:pass1:attach:a3;ae:v3:s002:010:pass1:attach:a5	5;7	م ر ض						ae:v3:s002:010:pass1:attach:a4	6		0	obj=both|prep=-|clause=no|cognate=no	
ae:v3:s002:010:pass1:frame:v2	pass1	FRAME	v2	2	10	14	q:2:10:14	كَانُوا	كان	ك و ن	PV	perfect verb (PV), 3rd person masculine plural; auxiliary indicating habitual past	none_copular											1	0	obj=none_copular|prep=-|clause=no|cognate=no	
ae:v3:s002:010:pass1:frame:v3	pass1	FRAME	v3	2	10	15	q:2:10:15	يَكْذِبُونَ	كذب	ك ذ ب	IV	imperfect verb (IV = imperfect active), 3rd person masculine plural; in kāna + imperfect construction	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:011:pass1:frame:v1	pass1	FRAME	v1	2	11	3	q:2:11:3	قِيلَ	قيل	ق و ل	PV_PASS	perfect verb, passive voice (PV_PASS), 3rd person masculine singular	clausal				ae:v3:s002:011:pass1:attach:a1	لـ	5		ae:v3:s002:011:pass1:attach:a2				0	obj=clausal|prep=لـ|clause=yes|cognate=no	
ae:v3:s002:011:pass1:frame:v2	pass1	FRAME	v2	2	11	7	q:2:11:7	تُفْسِدُوا	فسد	ف س د	IV	imperfect verb, Form IV (causative), 2nd person masculine plural, jussive mood (after lā)	none_absolute				ae:v3:s002:011:pass1:attach:a3	فِي	9	أ ر ض				1	0	obj=none_absolute|prep=فِي|clause=no|cognate=no	
ae:v3:s002:011:pass1:frame:v3	pass1	FRAME	v3	2	11	10	q:2:11:10	قَالُوا	قال	ق و ل	PV	perfect verb, Form I, 3rd person masculine plural, active voice	clausal								ae:v3:s002:011:pass1:attach:a4			1	0	obj=clausal|prep=-|clause=yes|cognate=no	
ae:v3:s002:012:pass1:frame:v1	pass1	FRAME	v1	2	12	8	q:2:12:8	يَشْعُرُونَ	شعر	ش ع ر	IV	imperfect indicative verb, Form IV (أَشْعَرَ ashʿara), 3rd person masculine plural, intransitive use (no explicit object)	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:013:pass1:frame:v1	pass1	FRAME	v1	2	13	3	q:2:13:3	قِيلَ	قيل	ق و ل	PV_PASS	perfect passive verb, Form I hollow verb, 3rd masculine singular	clausal				ae:v3:s002:013:pass1:attach:a1	لـ	5		ae:v3:s002:013:pass1:attach:a2				0	obj=clausal|prep=لـ|clause=yes|cognate=no	
ae:v3:s002:013:pass1:frame:v2	pass1	FRAME	v2	2	13	6	q:2:13:6	آمِنُوا	آمن	أ م ن	CV	Form IV imperative, 2nd masculine plural, command verb	none_intransitive				ae:v3:s002:013:pass1:attach:a3	كـ	8					1	0	obj=none_intransitive|prep=كـ|clause=no|cognate=no	
ae:v3:s002:013:pass1:frame:v3	pass1	FRAME	v3	2	13	9	q:2:13:9	آمَنَ	آمن	أ م ن	PV	Form IV perfect verb, 3rd masculine singular	none_intransitive									ae:v3:s002:013:pass1:attach:a4	10		0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:013:pass1:frame:v4	pass1	FRAME	v4	2	13	11	q:2:13:11	قَالُوا	قال	ق و ل	PV	Form I perfect active verb, 3rd masculine plural	clausal								ae:v3:s002:013:pass1:attach:a5			1	0	obj=clausal|prep=-|clause=yes|cognate=no	
ae:v3:s002:013:pass1:frame:v5	pass1	FRAME	v5	2	13	12	q:2:13:12	أَنُؤْمِنُ	ؤمن	أ م ن	IV	interrogative hamza plus Form IV imperfect, 1st plural	none_intransitive				ae:v3:s002:013:pass1:attach:a6	كـ	14					1	0	obj=none_intransitive|prep=كـ|clause=no|cognate=no	
ae:v3:s002:013:pass1:frame:v6	pass1	FRAME	v6	2	13	15	q:2:13:15	آمَنَ	آمن	أ م ن	PV	Form IV perfect verb, 3rd masculine singular	none_intransitive									ae:v3:s002:013:pass1:attach:a7	16		0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:013:pass1:frame:v7	pass1	FRAME	v7	2	13	24	q:2:13:24	يَعْلَمُونَ	علم	ع ل م	IV	imperfect active verb, 3rd masculine plural, Form I	none_absolute											1	0	obj=none_absolute|prep=-|clause=no|cognate=no	
ae:v3:s002:014:pass1:frame:v1	pass1	FRAME	v1	2	14	3	q:2:14:3	لَقُوا	لق	ل ق ي	PV	perfect verb, 3rd person masculine plural, Form I	explicit	ae:v3:s002:014:pass1:attach:a1	4	ل ل ذ								1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:014:pass1:frame:v2	pass1	FRAME	v2	2	14	5	q:2:14:5	آمَنُوا	آمن	أ م ن	PV	perfect verb, 3rd person masculine plural, Form IV	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:014:pass1:frame:v3	pass1	FRAME	v3	2	14	6	q:2:14:6	قَالُوا	قال	ق و ل	PV	perfect verb, 3rd person masculine plural, Form I	clausal								ae:v3:s002:014:pass1:attach:a2			1	0	obj=clausal|prep=-|clause=yes|cognate=no	
ae:v3:s002:014:pass1:frame:v4	pass1	FRAME	v4	2	14	7	q:2:14:7	آمَنَّا	آمن	أ م ن	PV	perfect verb, 1st person common plural, Form IV	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:014:pass1:frame:v5	pass1	FRAME	v5	2	14	10	q:2:14:10	خَلَوْا	خل	خ ل و	PV	perfect verb, 3rd person masculine plural, Form I	none_intransitive				ae:v3:s002:014:pass1:attach:a3	إِلَى	12	ش ط ن				1	0	obj=none_intransitive|prep=إِلَى|clause=no|cognate=no	
ae:v3:s002:014:pass1:frame:v6	pass1	FRAME	v6	2	14	13	q:2:14:13	قَالُوا	قال	ق و ل	PV	perfect verb, 3rd person masculine plural, Form I	clausal								ae:v3:s002:014:pass1:attach:a5			1	0	obj=clausal|prep=-|clause=yes|cognate=no	
ae:v3:s002:015:pass1:frame:v1	pass1	FRAME	v1	2	15	2	q:2:15:2	يَسْتَهْزِئُ	ستهزئ	ه ز أ	IV	imperfect verb, Form X (istafʿala), 3rd person masculine singular, indicative (marfūʿ)	none_intransitive				ae:v3:s002:015:pass1:attach:a2	بـ	4			ae:v3:s002:015:pass1:attach:a1	1		0	obj=none_intransitive|prep=بـ|clause=no|cognate=no	
ae:v3:s002:015:pass1:frame:v2	pass1	FRAME	v2	2	15	6	q:2:15:6	وَيَمُدُّهُمْ	مد	م د د	IV	imperfect verb, Form I (faʿala pattern with geminate), 3rd person masculine singular, indicative, with attached object pronoun -hum	clitic	ae:v3:s002:015:pass1:attach:a5	6		ae:v3:s002:015:pass1:attach:a6	فِي	8	ط غ ي		ae:v3:s002:015:pass1:attach:a4	1		0	obj=clitic|prep=فِي|clause=no|cognate=no	
ae:v3:s002:015:pass1:frame:v3	pass1	FRAME	v3	2	15	9	q:2:15:9	يَعْمَهُونَ	عمه	ع م ه	IV	imperfect verb, Form I, 3rd person masculine plural, indicative (marfūʿ), functioning as ḥāl (circumstantial clause)	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:016:pass1:frame:v1	pass1	FRAME	v1	2	16	3	q:2:16:3	اشْتَرَوْا	اشتر	ش ر ي	PV	perfect verb, Form VIII (iftiʿāla), 3rd person masculine plural, active	explicit	ae:v3:s002:016:pass1:attach:a2	4	ض ل ل	ae:v3:s002:016:pass1:attach:a3	بـ	6	ه د ي				1	0	obj=explicit|prep=بـ|clause=no|cognate=no	
ae:v3:s002:016:pass1:frame:v2	pass1	FRAME	v2	2	16	9	q:2:16:9	رَبِحَتْ	ربح	ر ب ح	PV	perfect verb, Form I, 3rd person feminine singular (agreeing with tijāra), active	none_intransitive									ae:v3:s002:016:pass1:attach:a4	10		0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:016:pass1:frame:v3	pass1	FRAME	v3	2	16	13	q:2:16:13	كَانُوا	كان	ك و ن	PV	perfect verb, 3rd person masculine plural, active	none_copular											1	0	obj=none_copular|prep=-|clause=no|cognate=no	
ae:v3:s002:017:pass1:frame:v1	pass1	FRAME	v1	2	17	5	q:2:17:5	اسْتَوْقَدَ	استوقد	و ق د	PV	verb, Form X perfect, 3ms, active — istaf'ala pattern indicating seeking/requesting	explicit	ae:v3:s002:017:pass1:attach:a4	6	ن و ر								1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:017:pass1:frame:v2	pass1	FRAME	v2	2	17	9	q:2:17:9	أَضَاءَتْ	أضاء	ض و أ	PV	verb, Form IV perfect, 3fs, active — af'ala causative pattern	explicit	ae:v3:s002:017:pass1:attach:a5	10									1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:017:pass1:frame:v3	pass1	FRAME	v3	2	17	12	q:2:17:12	ذَهَبَ	ذهب	ذ ه ب	PV	verb, Form I perfect, 3ms, active	none_intransitive				ae:v3:s002:017:pass1:attach:a9	بـ	15	ن و ر		ae:v3:s002:017:pass1:attach:a8	13		0	obj=none_intransitive|prep=بـ|clause=no|cognate=no	
ae:v3:s002:017:pass1:frame:v4	pass1	FRAME	v4	2	17	17	q:2:17:17	وَتَرَكَهُمْ	ترك	ت ر ك	PV	verb, Form I perfect, 3ms, active, with 3mp object pronoun	clitic	ae:v3:s002:017:pass1:attach:a13	17		ae:v3:s002:017:pass1:attach:a14	فِي	19	ظ ل م		ae:v3:s002:017:pass1:attach:a12	13		0	obj=clitic|prep=فِي|clause=no|cognate=no	
ae:v3:s002:017:pass1:frame:v5	pass1	FRAME	v5	2	17	21	q:2:17:21	يُبْصِرُونَ	بصر	ب ص ر	IV	verb, Form IV imperfect, 3mp, active, indicative (marfūʿ)	none_absolute											1	0	obj=none_absolute|prep=-|clause=no|cognate=no	
ae:v3:s002:018:pass1:frame:v1	pass1	FRAME	v1	2	18	7	q:2:18:7	يَرْجِعُونَ	رجع	ر ج ع	IV	imperfect indicative 3rd masculine plural, Form IV (intransitive)	none_intransitive									ae:v3:s002:018:pass1:attach:a3	5		0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:019:pass1:frame:v1	pass1	FRAME	v1	2	19	12	q:2:19:12	يَجْعَلُونَ	جعل	ج ع ل	IV	imperfect verb, 3rd person masculine plural, indicative	explicit	ae:v3:s002:019:pass1:attach:a7	13	ص ب ع	ae:v3:s002:019:pass1:attach:a9;ae:v3:s002:019:pass1:attach:a11	فِي;مِن	15;17	أ ذ ن;ص ع ق				1	0	obj=explicit|prep=فِي;مِن|clause=no|cognate=no	
ae:v3:s002:020:pass1:frame:v1	pass1	FRAME	v1	2	20	1	q:2:20:1	يَكَادُ	كاد	ك و د	IV	imperfect verb, Form I, 3ms, indicative mood	clausal								ae:v3:s002:020:pass1:attach:a2	ae:v3:s002:020:pass1:attach:a1	2		0	obj=clausal|prep=-|clause=yes|cognate=no	
ae:v3:s002:020:pass1:frame:v2	pass1	FRAME	v2	2	20	3	q:2:20:3	يَخْطَفُ	خطف	خ ط ف	IV	imperfect verb, Form I, 3ms, indicative	explicit	ae:v3:s002:020:pass1:attach:a4	4	ب ص ر						ae:v3:s002:020:pass1:attach:a3	2		0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:020:pass1:frame:v3	pass1	FRAME	v3	2	20	6	q:2:20:6	أَضَاءَ	أضاء	ض و أ	PV	perfect verb, Form IV, 3ms	none_intransitive				ae:v3:s002:020:pass1:attach:a6	لـ	8					1	0	obj=none_intransitive|prep=لـ|clause=no|cognate=no	
ae:v3:s002:020:pass1:frame:v4	pass1	FRAME	v4	2	20	9	q:2:20:9	مَشَوْا	مش	م ش ي	PV	perfect verb, Form I, 3mp	none_intransitive				ae:v3:s002:020:pass1:attach:a7	فِي	10					1	0	obj=none_intransitive|prep=فِي|clause=no|cognate=no	
ae:v3:s002:020:pass1:frame:v5	pass1	FRAME	v5	2	20	13	q:2:20:13	أَظْلَمَ	أظلم	ظ ل م	PV	perfect verb, Form IV, 3ms	none_intransitive				ae:v3:s002:020:pass1:attach:a8	عَلَى	14					1	0	obj=none_intransitive|prep=عَلَى|clause=no|cognate=no	
ae:v3:s002:020:pass1:frame:v6	pass1	FRAME	v6	2	20	15	q:2:20:15	قَامُوا	قام	ق و م	PV	perfect verb, Form I, 3mp	none_intransitive											1	0	obj=none_intransitive|prep=-|clause=no|cognate=no	
ae:v3:s002:020:pass1:frame:v7	pass1	FRAME	v7	2	20	18	q:2:20:18	شَاءَ	شاء	ش ي أ	PV	perfect verb, Form I, 3ms	none_absolute									ae:v3:s002:020:pass1:attach:a9	19		0	obj=none_absolute|prep=-|clause=no|cognate=no	
ae:v3:s002:020:pass1:frame:v8	pass1	FRAME	v8	2	20	21	q:2:20:21	لَذَهَبَ	ذهب	ذ ه ب	PV	perfect verb, Form I, 3ms (in counterfactual jawāb law)	none_intransitive				ae:v3:s002:020:pass1:attach:a11	بـ	23	س م ع		ae:v3:s002:020:pass1:attach:a10	19		0	obj=none_intransitive|prep=بـ|clause=no|cognate=no	
ae:v3:s002:021:pass1:frame:v1	pass1	FRAME	v1	2	21	4	q:2:21:4	اعْبُدُوا	عبد	ع ب د	CV	imperative verb (CV), 2nd person masculine plural, Form I	explicit	ae:v3:s002:021:pass1:attach:a3	5	ر ب ب								1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:021:pass1:frame:v2	pass1	FRAME	v2	2	21	7	q:2:21:7	خَلَقَكُمْ	خلق	خ ل ق	PV	perfect verb (PV), 3rd person masculine singular, transitive with attached pronoun -kum (you, pl.)	both	ae:v3:s002:021:pass1:attach:a5;ae:v3:s002:021:pass1:attach:a6	7;9	ل ل ذ								1	0	obj=both|prep=-|clause=no|cognate=no	
ae:v3:s002:021:pass1:frame:v3	pass1	FRAME	v3	2	21	13	q:2:21:13	تَتَّقُونَ	تق	و ق ي	IV	imperfect verb (IV), 2nd person masculine plural, Form VIII (ittaqā → tattaqūna with assimilation)	none_absolute											1	0	obj=none_absolute|prep=-|clause=no|cognate=no	Form VIII تَتَّقُونَ can take an object, but none is present here.
ae:v3:s002:022:pass1:frame:v1	pass1	FRAME	v1	2	22	2	q:2:22:2	جَعَلَ	جعل	ج ع ل	PV	perfect verb, 3rd person masculine singular, Form I, doubly transitive (takes two objects: al-arḍa firāshan)	explicit	ae:v3:s002:022:pass1:attach:a2;ae:v3:s002:022:pass1:attach:a3;ae:v3:s002:022:pass1:attach:a6;ae:v3:s002:022:pass1:attach:a7	4;5;7;8	أ ر ض;ف ر ش;س م و;ب ن ي	ae:v3:s002:022:pass1:attach:a1	لـ	3					1	0	obj=explicit|prep=لـ|clause=no|cognate=no	
ae:v3:s002:022:pass1:frame:v2	pass1	FRAME	v2	2	22	10	q:2:22:10	وَأَنْزَلَ	أنزل	ن ز ل	PV	"perfect verb, 3rd person masculine singular, Form IV (causative of nazala ""to descend""); subject = God (from alladhī)"	explicit	ae:v3:s002:022:pass1:attach:a9	13	م و ه	ae:v3:s002:022:pass1:attach:a8	مِن	12	س م و				1	0	obj=explicit|prep=مِن|clause=no|cognate=no	
ae:v3:s002:022:pass1:frame:v3	pass1	FRAME	v3	2	22	15	q:2:22:15	فَأَخْرَجَ	أخرج	خ ر ج	PV	"perfect verb, 3rd person masculine singular, Form IV (causative of kharaja ""to go out""); subject = God"	explicit	ae:v3:s002:022:pass1:attach:a12	19	ر ز ق	ae:v3:s002:022:pass1:attach:a10;ae:v3:s002:022:pass1:attach:a11	بـ;مِن	16;18	ث م ر				1	0	obj=explicit|prep=بـ;مِن|clause=no|cognate=no	
ae:v3:s002:022:pass1:frame:v4	pass1	FRAME	v4	2	22	23	q:2:22:23	تَجْعَلُوا	جعل	ج ع ل	IV	imperfect verb, 2nd person masculine plural, Form I, jussive mood (apocopated after lā al-nāhiyah); doubly transitive	explicit	ae:v3:s002:022:pass1:attach:a15	26	ن د د	ae:v3:s002:022:pass1:attach:a14	لـ	25	أ ل ه				1	0	obj=explicit|prep=لـ|clause=no|cognate=no	
ae:v3:s002:022:pass1:frame:v5	pass1	FRAME	v5	2	22	29	q:2:22:29	تَعْلَمُونَ	علم	ع ل م	IV	imperfect verb, 2nd person masculine plural, Form I, indicative mood; intransitive use (no explicit object)	none_absolute									ae:v3:s002:022:pass1:attach:a16	28		0	obj=none_absolute|prep=-|clause=no|cognate=no	تَعْلَمُونَ is transitive in principle, but its object is not expressed.
ae:v3:s002:023:pass1:frame:v1	pass1	FRAME	v1	2	23	3	q:2:23:3	كُنْتُمْ	كن	ك و ن	PV	perfect verb, 2nd person masculine plural, copular	none_copular				ae:v3:s002:023:pass1:attach:a1	فِي	5	ر ي ب					0	obj=none_copular|prep=فِي|clause=no|cognate=no	
ae:v3:s002:023:pass1:frame:v2	pass1	FRAME	v2	2	23	7	q:2:23:7	نَزَّلْنَا	نزل	ن ز ل	PV	perfect verb, Form II (faʿʿala), 1st person plural (royal We), active	explicit	ae:v3:s002:023:pass1:attach:a4	6		ae:v3:s002:023:pass1:attach:a5	عَلَى	9	ع ب د				1	0	obj=explicit|prep=عَلَى|clause=no|cognate=no	
ae:v3:s002:023:pass1:frame:v3	pass1	FRAME	v3	2	23	11	q:2:23:11	فَأْتُوا	أت	أ ت ي	CV	imperative verb (command form), 2nd person masculine plural, Form I	none_absolute				ae:v3:s002:023:pass1:attach:a6	بـ	13	س و ر				1	0	obj=none_absolute|prep=بـ|clause=no|cognate=no	أْتُوا۟ takes its challenge complement through بِ here.
ae:v3:s002:023:pass1:frame:v4	pass1	FRAME	v4	2	23	17	q:2:23:17	وَادْعُوا	دع	د ع ع	CV	imperative verb (command form), 2nd person masculine plural, Form I	explicit	ae:v3:s002:023:pass1:attach:a8	18	ش ه د								1	0	obj=explicit|prep=-|clause=no|cognate=no	
ae:v3:s002:023:pass1:frame:v5	pass1	FRAME	v5	2	23	23	q:2:23:23	كُنْتُمْ	كن	ك و ن	PV	perfect verb, 2nd person masculine plural, copular	none_copular												0	obj=none_copular|prep=-|clause=no|cognate=no	
ae:v3:s002:024:pass1:frame:v1	pass1	FRAME	v1	2	24	4	q:2:24:4	تَفْعَلُوا	فعل	ف ع ل	IV	imperfect verb, 2nd person masculine plural, jussive (after lam)	none_absolute											1	0	obj=none_absolute|prep=-|clause=no|cognate=no	تَفْعَلُوا۟ can take an object, but no object is expressed in the condition.
ae:v3:s002:024:pass1:frame:v2	pass1	FRAME	v2	2	24	7	q:2:24:7	تَفْعَلُوا	فعل	ف ع ل	IV	imperfect verb, 2nd person masculine plural, subjunctive (after lan)	none_absolute											1	0	obj=none_absolute|prep=-|clause=no|cognate=no	The second تَفْعَلُوا۟ is likewise absolute with no expressed object.
ae:v3:s002:024:pass1:frame:v3	pass1	FRAME	v3	2	24	9	q:2:24:9	فَاتَّقُوا	اتق	و ق ي	CV	imperative verb, Form VIII (iftaʿala), 2nd person masculine plural	explicit	ae:v3:s002:024:pass1:attach:a1	10	ن و ر								1	0	obj=explicit|prep=-|clause=no|cognate=no	
