unit_id	source_pass	source_rtype	source_local_id	sura	ayah	type	anchor_wid	anchor_unit_id	clause_raw	clause_unit_id	role	source_clause_raw	source_clause_unit_id	antecedent_clause_raw	antecedent_clause_unit_id	antecedent_wid	antecedent_word_unit_id	antecedent_start_wid	antecedent_end_wid	parallel_clause_raw	parallel_clause_unit_id	text	status	confidence	evidence	translation_instruction	reason
ae:v3:s009:020:pass2:ellip:e1	pass2	ELLIP	e1	9	20	ellipsis_in_comparison	14	q:9:20:14			comparative_standard												discourse_inferred	medium	comparative_form;discourse_proximity	target_language_may_require_supplied_word	أَعْظَمُ is comparative and the contrasted standard is recoverable from the immediately preceding comparison context rather than restated.
ae:v3:s009:021:pass2:ellip:e1	pass2	ELLIP	e1	9	21	omitted_predicate			c2	ae:v3:s009:021:pass1:clause:c2	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	The fronted لَهُمْ فِيهَا with delayed نَعِيمٌ forms an Arabic existential-possession clause without an overt copula.
ae:v3:s009:022:pass2:ellip:e1	pass2	ELLIP	e1	9	22	omitted_predicate			c2	ae:v3:s009:022:pass1:clause:c2	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	عِندَهُۥ before delayed أَجْرٌ creates a possessive-existential nominal clause with no overt copula.
ae:v3:s009:024:pass2:ellip:e1	pass2	ELLIP	e1	9	24	ellipsis_in_comparison	23	q:9:24:23	c3	ae:v3:s009:024:pass1:clause:c3	compared_degree												strongly_licensed	high	comparative_construction	target_language_may_require_supplied_word	أَحَبَّ مِنَ introduces a comparison whose shared standard of love is not repeated after مِنَ.
ae:v3:s009:029:pass2:ellip:e1	pass2	ELLIP	e1	9	29	omitted_verb	8	q:9:29:8			parallel_negated_belief_predicate	c3	ae:v3:s009:029:pass1:clause:c3									يُؤْمِنُونَ	syntactically_forced	high	parallelism;local_syntax	target_language_may_require_supplied_word	The second لَا بِٱلْيَوْمِ ٱلْآخِرِ coordinates a prepositional complement under an omitted parallel يُؤْمِنُونَ.
ae:v3:s009:031:pass2:ellip:e1	pass2	ELLIP	e1	9	31	formulaic_ellipsis	25	q:9:31:25	c5	ae:v3:s009:031:pass1:clause:c5	implied_tanzih_verb												strongly_licensed	high	formulaic_construction;local_syntax	preserve_compression_if_target_language_allows	سبحانه is a formulaic accusative maṣdar with the governing glorification verb omitted.
ae:v3:s009:036:pass2:ellip:e1	pass2	ELLIP	e1	9	36	ellipsis_in_comparison	32	q:9:36:32	c7	ae:v3:s009:036:pass1:clause:c7	comparative_manner_clause												strongly_licensed	high	comparative_construction;local_syntax	target_language_may_require_supplied_word	كما introduces a compressed manner comparison whose compared action is supplied by قاتلوا.
ae:v3:s009:041:pass2:ellip:e1	pass2	ELLIP	e1	9	41	ellipsis_in_comparison	15	q:9:41:15	c3	ae:v3:s009:041:pass1:clause:c3	comparison_standard												strongly_licensed	medium	comparative_form;discourse_proximity	target_language_may_require_supplied_word	خَيْرٌ is comparative and leaves the standard recoverable from the preceding command complex.
ae:v3:s009:047:pass2:ellip:e1	pass2	ELLIP	e1	9	47	omitted_predicate	15	q:9:47:15	c5	ae:v3:s009:047:pass1:clause:c5	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	وَفِيكُمْ سَمَّاعُونَ uses a fronted prepositional phrase with an existential predication recoverable from the nominal syntax.
ae:v3:s009:049:pass2:ellip:e1	pass2	ELLIP	e1	9	49	omitted_predicate	2	q:9:49:2	c1	ae:v3:s009:049:pass1:clause:c1	existential_predicate												strongly_licensed	medium	local_syntax;partitive_context	preserve_compression_if_target_language_allows	وَمِنْهُم مَّن يَقُولُ has a fronted partitive phrase with the existential relation supplied by nominal syntax.
ae:v3:s009:059:pass2:ellip:e1	pass2	ELLIP	e1	9	59	ellipsis_after_particle	2	q:9:59:2	c1	ae:v3:s009:059:pass1:clause:c1	counterfactual_apodosis												discourse_inferred	medium	condition_structure;local_syntax	target_language_may_require_supplied_word	لَوْ opens a counterfactual condition whose جواب is not overt after the sequence أَنَّهُمْ رَضُوا ... رَاغِبُونَ.
ae:v3:s009:061:pass2:ellip:e1	pass2	ELLIP	e1	9	61	omitted_predicate			c6	ae:v3:s009:061:pass1:clause:c6	understood_equative_predication												strongly_licensed	medium	local_syntax;quotation	preserve_compression_if_target_language_allows	أُذُنُ خَيْرٍ لَّكُمْ is a compressed nominal reply with the understood subject supplied by the preceding quoted هُوَ.
ae:v3:s009:062:pass2:ellip:e1	pass2	ELLIP	e1	9	62	ellipsis_in_comparison	11	q:9:62:11	c3	ae:v3:s009:062:pass1:clause:c3	implicit_standard_of_comparison												strongly_licensed	medium	comparative_form;local_syntax	target_language_may_require_supplied_word	أَحَقُّ is comparative and leaves the standard against which worthiness is measured unstated.
ae:v3:s009:069:pass2:ellip:e1	pass2	ELLIP	e1	9	69	ellipsis_in_comparison	1	q:9:69:1	c1	ae:v3:s009:069:pass1:clause:c1	implicit_compared_situation												strongly_licensed	medium	comparative_construction;local_syntax	target_language_may_require_supplied_word	كَٱلَّذِينَ opens a comparison whose current-side predicate is supplied by the surrounding discourse rather than overtly repeated.
ae:v3:s009:069:pass2:ellip:e2	pass2	ELLIP	e2	9	69	ellipsis_in_comparison	32	q:9:69:32	c5	ae:v3:s009:069:pass1:clause:c5	implicit_compared_activity												strongly_licensed	medium	comparative_construction;parallelism	target_language_may_require_supplied_word	كَٱلَّذِى خَاضُوا۟ relies on the preceding خُضْتُمْ to supply the compared activity.
ae:v3:s009:072:pass2:ellip:e1	pass2	ELLIP	e1	9	72	ellipsis_in_comparison	23	q:9:72:23			standard_of_comparison												strongly_licensed	medium	comparative_form;local_syntax	target_language_may_require_supplied_word	أَكْبَرُ is a comparative predicate whose standard is compressed and recoverable from the preceding promised goods.
ae:v3:s009:074:pass2:ellip:e1	pass2	ELLIP	e1	9	74	ellipsis_in_exception	25	q:9:74:25			negated_general_object												strongly_licensed	medium	exception_particle;local_syntax	preserve_compression_if_target_language_allows	مَا...إِلَّآ forms an evacuated exception where the general object is compressed before the excepted أن-clause.
ae:v3:s009:075:pass2:ellip:e1	pass2	ELLIP	e1	9	75	formulaic_ellipsis	6	q:9:75:6			implicit_oath_operator												strongly_licensed	medium	formulaic_construction;condition_structure	preserve_compression_if_target_language_allows	لَئِن with apodosis lām marks an oath-conditioned construction with the oath operator left implicit.
ae:v3:s009:079:pass2:ellip:e1	pass2	ELLIP	e1	9	79	ellipsis_in_exception	12	q:9:79:12			excluded_general_object												strongly_licensed	medium	exception_particle;local_syntax	preserve_compression_if_target_language_allows	لَا يَجِدُونَ إِلَّا جُهْدَهُمْ has an evacuated object set, with only جُهْدَهُمْ expressed as the excepted item.
ae:v3:s009:091:pass2:ellip:e1	pass2	ELLIP	e1	9	91	omitted_predicate			c5	ae:v3:s009:091:pass1:clause:c5	existential_predicate												strongly_licensed	medium	local_syntax	target_language_may_require_supplied_word	مَا عَلَى ٱلْمُحْسِنِينَ مِن سَبِيلٍ has a fronted PP with the existence of سَبِيلٍ denied.
ae:v3:s009:092:pass2:ellip:e1	pass2	ELLIP	e1	9	92	omitted_predicate			c1	ae:v3:s009:092:pass1:clause:c1	carried_liability_predicate											حَرَجٌ	strongly_licensed	high	parallelism;cross_ayah_continuity	target_language_may_require_supplied_word	وَلَا عَلَى ٱلَّذِينَ resumes the no-blame construction from 9:91 with حَرَجٌ omitted.
ae:v3:s009:095:pass2:ellip:e1	pass2	ELLIP	e1	9	95	formulaic_ellipsis	19	q:9:95:19			accusative_recompense_specification												strongly_licensed	medium	formulaic_construction;case_government	avoid_adding_recovered_text	جَزَآءً is an accusative recompense specification after the nominal judgment rather than a full finite clause.
ae:v3:s009:097:pass2:ellip:e1	pass2	ELLIP	e1	9	97	ellipsis_in_comparison	2	q:9:97:2			comparison_standard												strongly_licensed	medium	comparative_construction;local_syntax	preserve_compression_if_target_language_allows	أَشَدُّ is an elative predicate whose compared standard is not overt.
ae:v3:s009:097:pass2:ellip:e2	pass2	ELLIP	e2	9	97	ellipsis_in_comparison	7	q:9:97:7			comparison_standard												strongly_licensed	medium	comparative_construction;local_syntax	preserve_compression_if_target_language_allows	أَجْدَرُ is an elative predicate with no overt standard of comparison.
ae:v3:s009:098:pass2:ellip:e1	pass2	ELLIP	e1	9	98	omitted_predicate			c1	ae:v3:s009:098:pass1:clause:c1	existential_predicate												strongly_licensed	medium	partitive_context;local_syntax	target_language_may_require_supplied_word	وَمِنَ ٱلْأَعْرَابِ مَن... is a partitive existential construction with no overt existential verb.
ae:v3:s009:098:pass2:ellip:e2	pass2	ELLIP	e2	9	98	omitted_predicate			c5	ae:v3:s009:098:pass1:clause:c5	existential_predicate												strongly_licensed	medium	local_syntax	target_language_may_require_supplied_word	عَلَيْهِمْ دَآئِرَةُ ٱلسَّوْءِ has a fronted PP predicate with no overt copula.
ae:v3:s009:099:pass2:ellip:e1	pass2	ELLIP	e1	9	99	omitted_predicate			c1	ae:v3:s009:099:pass1:clause:c1	existential_predicate												strongly_licensed	medium	partitive_context;local_syntax	target_language_may_require_supplied_word	وَمِنَ ٱلْأَعْرَابِ مَن... is a partitive existential construction with no overt existential verb.
ae:v3:s009:101:pass2:ellip:e1	pass2	ELLIP	e1	9	101	omitted_predicate			c1	ae:v3:s009:101:pass1:clause:c1	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	The fronted partitive PP وَمِمَّنْ حَوْلَكُم supports an existential nominal reading with مُنَٰفِقُونَ.
ae:v3:s009:108:pass2:ellip:e1	pass2	ELLIP	e1	9	108	ellipsis_in_comparison	13	q:9:108:13	c2	ae:v3:s009:108:pass1:clause:c2	compared_standard												strongly_licensed	medium	comparative_form;discourse_proximity	preserve_compression_if_target_language_allows	أَحَقُّ creates a comparison whose contrasting standard is recoverable from the first فِيهِ prohibition.
ae:v3:s009:108:pass2:ellip:e2	pass2	ELLIP	e2	9	108	omitted_predicate			c5	ae:v3:s009:108:pass1:clause:c5	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	The fronted فِيهِ with delayed رِجَالٌ forms an existential nominal clause with no overt existential verb.
ae:v3:s009:109:pass2:ellip:e1	pass2	ELLIP	e1	9	109	ellipsis_in_comparison	11	q:9:109:11	c1	ae:v3:s009:109:pass1:clause:c1	second_comparand_predication												strongly_licensed	high	comparative_construction;parallelism	preserve_compression_if_target_language_allows	خَيْرٌ compares the first مَنْ clause with the second أَم مَّنْ clause without repeating a full predicate after the second comparand.
ae:v3:s009:111:pass2:ellip:e1	pass2	ELLIP	e1	9	111	ellipsis_in_comparison	32	q:9:111:32	c6	ae:v3:s009:111:pass1:clause:c6	compared_fulfiller												strongly_licensed	medium	comparative_construction	preserve_compression_if_target_language_allows	مَنْ أَوْفَىٰ ... مِنَ ٱللَّهِ is an elative comparison whose compared class is compressed rather than overtly repeated.
ae:v3:s009:121:pass2:ellip:e1	pass2	ELLIP	e1	9	121	omitted_object	8	q:9:121:8			shared_accusative_head											نَفَقَةً	strongly_licensed	high	parallelism;local_syntax	target_language_may_require_supplied_word	كَبِيرَةً parallels صَغِيرَةً and shares the omitted accusative head نَفَقَةً.
ae:v3:s010:003:pass2:ellip:e1	pass2	ELLIP	e1	10	3	ellipsis_in_exception	21	q:10:3:21			restricted_exception_condition												strongly_licensed	medium	local_syntax;case_government	preserve_compression_if_target_language_allows	The exception particle is followed by a prepositional condition rather than a full excepted nominal, leaving the allowed condition compressed.
ae:v3:s010:005:pass2:ellip:e1	pass2	ELLIP	e1	10	5	ellipsis_in_exception	22	q:10:5:22			restricted_manner												strongly_licensed	medium	local_syntax;case_government	preserve_compression_if_target_language_allows	إِلَّا بِٱلْحَقِّ restricts the manner with a compressed prepositional exception rather than a full repeated predicate.
ae:v3:s010:010:pass2:ellip:e1	pass2	ELLIP	e1	10	10	formulaic_ellipsis	3	q:10:10:3			omitted_praising_verb												strongly_licensed	medium	formulaic_construction;morphology	preserve_compression_if_target_language_allows	سُبْحَانَكَ is a formulaic accusative verbal noun whose governing act of praise is conventionally omitted.
ae:v3:s010:013:pass2:ellip:e1	pass2	ELLIP	e1	10	13	ellipsis_in_comparison	21	q:10:13:21	c5	ae:v3:s010:013:pass1:clause:c5	comparative_manner												strongly_licensed	medium	deixis;comparative_construction	preserve_compression_if_target_language_allows	كَذَٰلِكَ compresses the comparison between the preceding case and the general recompense statement.
ae:v3:s010:017:pass2:ellip:e1	pass2	ELLIP	e1	10	17	ellipsis_in_comparison	3	q:10:17:3	c1	ae:v3:s010:017:pass1:clause:c1	elided_comparative_standard												strongly_licensed	high	comparative_construction;local_syntax	target_language_may_require_supplied_word	أَظْلَمُ مِن compresses the compared standard supplied by the following مَنِ ٱفْتَرَىٰ clause.
ae:v3:s010:018:pass2:ellip:e1	pass2	ELLIP	e1	10	18	formulaic_ellipsis	31	q:10:18:31	c11	ae:v3:s010:018:pass1:clause:c11	omitted_glorification_verb												strongly_licensed	high	formulaic_construction;morphology	preserve_compression_if_target_language_allows	سُبْحَانَهُۥ is a formulaic accusative declaration with the verbal element conventionally unexpressed.
ae:v3:s010:018:pass2:ellip:e2	pass2	ELLIP	e2	10	18	omitted_verb	28	q:10:18:28	c10	ae:v3:s010:018:pass1:clause:c10	parallel_negated_predicate	c10	ae:v3:s010:018:pass1:clause:c10									يَعْلَمُ	strongly_licensed	high	parallelism;local_syntax	target_language_may_require_supplied_word	وَلَا فِي ٱلْأَرْضِ parallels فِي ٱلسَّمَاوَاتِ with the verb يَعْلَمُ understood.
ae:v3:s010:021:pass2:ellip:e1	pass2	ELLIP	e1	10	21	ellipsis_in_comparison	18	q:10:21:18			standard_of_comparison												discourse_inferred	medium	local_syntax	target_language_may_require_supplied_word	The comparative asra'u licenses an unexpressed comparison standard while the Arabic leaves it compressed.
ae:v3:s010:035:pass2:ellip:e1	pass2	ELLIP	e1	10	35	omitted_predicate			c9	ae:v3:s010:035:pass1:clause:c9	comparative_predicate												strongly_licensed	medium	parallelism;comparative_construction	preserve_compression_if_target_language_allows	The second member headed by أَمَّنْ discourse_sequences with the prior أَحَقُّ أَنْ يُتَّبَعَ predicate, leaving the comparable predicate compressed.
ae:v3:s010:037:pass2:ellip:e1	pass2	ELLIP	e1	10	37	omitted_verb	13	q:10:37:13			discourse_sequenceing_copula												strongly_licensed	medium	discourse_sequence;case_government	target_language_may_require_supplied_word	After وَلَٰكِنْ, the accusative تَصْدِيقَ continues the negated kāna construction with the copular element compressed.
ae:v3:s010:041:pass2:ellip:e1	pass2	ELLIP	e1	10	41	omitted_predicate	6	q:10:41:6	c4	ae:v3:s010:041:pass1:clause:c4	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	The fronted possessive PP لِى predicates allocation with an unspoken copular or existential element.
ae:v3:s010:041:pass2:ellip:e2	pass2	ELLIP	e2	10	41	omitted_predicate	9	q:10:41:9	c5	ae:v3:s010:041:pass1:clause:c5	existential_predicate												strongly_licensed	medium	local_syntax;parallelism	preserve_compression_if_target_language_allows	The parallel fronted possessive PP لَكُمْ predicates allocation with an unspoken copular or existential element.
ae:v3:s010:046:pass2:ellip:e1	pass2	ELLIP	e1	10	46	omitted_predicate	10	q:10:46:10	c4	ae:v3:s010:046:pass1:clause:c4	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	The fronted PP إِلَيْنَا predicates return with an unspoken copular or existential element.
ae:v3:s010:047:pass2:ellip:e1	pass2	ELLIP	e1	10	47	omitted_predicate	2	q:10:47:2	c1	ae:v3:s010:047:pass1:clause:c1	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	The fronted possessive PP لِكُلِّ أُمَّةٍ predicates assignment with an unspoken copular or existential element.
ae:v3:s010:049:pass2:ellip:e1	pass2	ELLIP	e1	10	49	omitted_predicate	14	q:10:49:14	c5	ae:v3:s010:049:pass1:clause:c5	existential_predicate												strongly_licensed	medium	local_syntax	preserve_compression_if_target_language_allows	The fronted possessive PP لِكُلِّ أُمَّةٍ predicates assignment with an unspoken copular or existential element.
ae:v3:s010:053:pass2:ellip:e1	pass2	ELLIP	e1	10	53	formulaic_ellipsis	7	q:10:53:7	c4	ae:v3:s010:053:pass1:clause:c4	oath_predicate												strongly_licensed	medium	formulaic_construction	preserve_compression_if_target_language_allows	The oath phrase وَرَبِّىٓ is a compact formula whose oath predicate is not overtly expressed.
ae:v3:s010:058:pass2:ellip:e1	pass2	ELLIP	e1	10	58	ellipsis_in_comparison	14	q:10:58:14	c3	ae:v3:s010:058:pass1:clause:c3	compared_value												strongly_licensed	medium	comparative_construction	preserve_compression_if_target_language_allows	خَيْرٌ with مِّمَّا presents a compressed comparison whose full compared value is not overtly restated.
ae:v3:s010:061:pass2:ellip:e1	pass2	ELLIP	e1	10	61	ellipsis_in_comparison	45	q:10:61:45			comparative_standard							41	42			مِنْ ذَٰلِكَ	strongly_licensed	medium	parallelism;comparative_construction	preserve_compression_if_target_language_allows	أَكْبَرَ is parallel to أَصْغَرَ مِن ذَٰلِكَ and leaves the repeated comparison standard unspoken.
ae:v3:s010:084:pass2:ellip:e1	pass2	ELLIP	e1	10	84	ellipsis_after_particle	14	q:10:84:14	c5	ae:v3:s010:084:pass1:clause:c5	conditional_apodosis	c4	ae:v3:s010:084:pass1:clause:c4										strongly_licensed	high	condition_structure;local_syntax	preserve_compression_if_target_language_allows	The second إِنْ condition relies on the preceding apodosis فَعَلَيْهِ تَوَكَّلُوا rather than repeating it.
ae:v3:s010:097:pass2:ellip:e1	pass2	ELLIP	e1	10	97	ellipsis_after_particle	2	q:10:97:2	c1	ae:v3:s010:097:pass1:clause:c1	conditional_apodosis												strongly_licensed	medium	condition_structure;local_syntax	target_language_may_require_supplied_word	The لَوْ protasis has no overt apodosis before the حَتَّى clause, so the consequence is left compressed.
ae:v3:s011:007:pass2:ellip:e1	pass2	ELLIP	e1	11	7	formulaic_ellipsis	22	q:11:7:22			implicit_oath_clause												strongly_licensed	medium	formulaic_construction	preserve_compression_if_target_language_allows	The lām in لَئِن marks an oath-conditional construction with the oath component left implicit.
ae:v3:s011:008:pass2:ellip:e1	pass2	ELLIP	e1	11	8	formulaic_ellipsis	2	q:11:8:2			implicit_oath_clause												strongly_licensed	medium	formulaic_construction	preserve_compression_if_target_language_allows	The lām in وَلَئِنْ marks an oath-conditional construction with the oath component left implicit.
ae:v3:s011:009:pass2:ellip:e1	pass2	ELLIP	e1	11	9	formulaic_ellipsis	2	q:11:9:2			implicit_oath_clause												strongly_licensed	medium	formulaic_construction	preserve_compression_if_target_language_allows	The lām in وَلَئِنْ marks an oath-conditional construction with the oath component left implicit.
ae:v3:s011:010:pass2:ellip:e1	pass2	ELLIP	e1	11	10	formulaic_ellipsis	2	q:11:10:2			implicit_oath_clause												strongly_licensed	medium	formulaic_construction	preserve_compression_if_target_language_allows	The lām in وَلَئِنْ marks an oath-conditional construction with the oath component left implicit.
ae:v3:s011:011:pass2:ellip:e1	pass2	ELLIP	e1	11	11	ellipsis_in_exception	1	q:11:11:1			exception_scope_general_term												strongly_licensed	medium	exception_particle;cross_ayah_continuity	preserve_compression_if_target_language_allows	إِلَّا opens an exception whose general scope is supplied by the preceding discourse rather than repeated in this ayah.
ae:v3:s011:013:pass2:ellip:e1	pass2	ELLIP	e1	11	13	ellipsis_after_particle	5	q:11:13:5			apodosis_linked_condition												strongly_licensed	medium	connector;condition_structure	preserve_compression_if_target_language_allows	The فَ before أْتُوا۟ links the challenge to the preceding claim with the conditioning relation left compressed.
ae:v3:s011:014:pass2:ellip:e1	pass2	ELLIP	e1	11	14	omitted_predicate	15	q:11:14:15	c4	ae:v3:s011:014:pass1:clause:c4	formulaic_construction_predicate												strongly_licensed	medium	formulaic_construction;exception_particle	preserve_compression_if_target_language_allows	لَّا إِلَٰهَ إِلَّا هُوَ has a compressed negated-genus construction with no overt existential predicate.
ae:v3:s011:018:pass2:ellip:e1	pass2	ELLIP	e1	11	18	ellipsis_in_comparison	3	q:11:18:3	c1	ae:v3:s011:018:pass1:clause:c1	surpassed_comparator												strongly_licensed	medium	comparative_form;interrogative_continuity	preserve_compression_if_target_language_allows	The elative question مَنْ أَظْلَمُ compresses the comparison without overtly repeating a general compared class.
ae:v3:s011:022:pass2:ellip:e1	pass2	ELLIP	e1	11	22	formulaic_ellipsis	2	q:11:22:2	c1	ae:v3:s011:022:pass1:clause:c1	formulaic_assertive_matrix												strongly_licensed	medium	formulaic_construction;local_syntax	preserve_compression_if_target_language_allows	لَا جَرَمَ is a compact formulaic matrix whose content is supplied by the following أَنَّ clause.
ae:v3:s011:024:pass2:ellip:e1	pass2	ELLIP	e1	11	24	ellipsis_in_comparison	3	q:11:24:3	c1	ae:v3:s011:024:pass1:clause:c1	parallel_comparative_mapping												strongly_licensed	medium	comparative_construction;parallelism	preserve_compression_if_target_language_allows	The comparison compresses the mapping between the two groups and the paired blind/deaf and seeing/hearing descriptions.
ae:v3:s011:035:pass2:ellip:e1	pass2	ELLIP	e1	11	35	omitted_predicate			c6	ae:v3:s011:035:pass1:clause:c6	existential_predicate												strongly_licensed	medium	word_order	preserve_compression_if_target_language_allows	فَعَلَىَّ إِجْرَامِي is a compact nominal apodosis with a fronted PP predicate.
ae:v3:s011:038:pass2:ellip:e1	pass2	ELLIP	e1	11	38	ellipsis_in_comparison	21	q:11:38:21			elided_comparative_complement												strongly_licensed	medium	parallelism;comparative_construction	target_language_may_require_supplied_word	كَمَا تَسْخَرُونَ parallels تَسْخَرُوا مِنَّا with the complement compressed in the comparison.
ae:v3:s011:040:pass2:ellip:e1	pass2	ELLIP	e1	11	40	ellipsis_after_particle	12	q:11:40:12			elided_quantified_class												strongly_licensed	medium	partitive_context	target_language_may_require_supplied_word	مِن كُلٍّ leaves the quantified class implicit before زَوْجَيْنِ ٱثْنَيْنِ specifies the carried pairs.
ae:v3:s011:042:pass2:ellip:e1	pass2	ELLIP	e1	11	42	ellipsis_in_comparison	8	q:11:42:8	c1	ae:v3:s011:042:pass1:clause:c1	shared_quality												strongly_licensed	medium	comparative_construction;local_syntax	target_language_may_require_supplied_word	The comparison كَٱلْجِبَالِ leaves the compared quality of the waves implicit.
ae:v3:s011:044:pass2:ellip:e1	pass2	ELLIP	e1	11	44	formulaic_ellipsis	23	q:11:44:23	c8	ae:v3:s011:044:pass1:clause:c8	imprecatory_verbal_governor												strongly_licensed	medium	formulaic_construction;local_syntax	preserve_compression_if_target_language_allows	The accusative imprecation بُعْدًا functions with a formulaically omitted verbal governor.
