unit_id	source_pass	source_rtype	source_local_id	sura	ayah	type	severity	anchor_wid	anchor_unit_id	frame_raw	frame_unit_id	xref_raw	xref_unit_id	implicit_raw	implicit_unit_id	reason
ae:v3:s002:058:pass3:issue:ts1	pass3	ISSUE	ts1	2	58	translation_bias_risk	warning	6	q:2:58:6							هَٰذِهِ ٱلْقَرْيَةَ is definite and deictic, but the supplied Arabic-side evidence does not grammatically identify the place; preserve the description unless supplied evidence fixes an identity.
ae:v3:s002:088:pass3:issue:ts1	pass3	ISSUE	ts1	2	88	coverage_uncertain	warning	12	q:2:88:12							The supplied word grammar leaves ما in فقليلا ما يؤمنون open as expletive, negative, or relative, but no upstream ambiguity row is supplied for the translation-forcing particle analysis.
ae:v3:s002:099:pass3:issue:ts1	pass3	ISSUE	ts1	2	99	upstream_evidence_missing	warning	11	q:2:99:11							Pass 1 reports a source-data problem because the ayah text has بِهَا but the word list exposes wid 11 only as بِ; avoid adding support that depends on the missing pronoun token.
ae:v3:s002:102:pass3:issue:ts1	pass3	ISSUE	ts1	2	102	coverage_uncertain	warning	21	q:2:102:21							The chunk marks word 21 ma as negative particle or relative pronoun ambiguous, but the supplied Pass 1 and Pass 2 rows do not provide an ambiguity choice set for this translation-forcing reading.
ae:v3:s002:130:pass3:issue:ts1	pass3	ISSUE	ts1	2	130	coverage_uncertain	warning	2	q:2:130:2							The supplied word grammar notes مَنْ as interrogative and also conditionally readable, while Pass 1 fixes c1 as rhetorical interrogative; a target language may force a single analysis.
ae:v3:s002:140:pass3:issue:ts1	pass3	ISSUE	ts1	2	140	upstream_evidence_missing	warning	24	q:2:140:24							Pass 1 flags أَظْلَمُ as an elative predicate in context but input-marked as a verb, so the support above treats it as comparative force without relying on the emitted verb frame.
ae:v3:s002:165:pass3:issue:ts1	pass3	ISSUE	ts1	2	165	upstream_evidence_missing	warning	22	q:2:165:22							Pass 1 flags the لَوْ apodosis as needing manual review, and no supplied Pass 2 ambiguity row resolves the live translation pressure for the missing apodosis.
ae:v3:s002:188:pass3:issue:ts1	pass3	ISSUE	ts1	2	188	coverage_uncertain	warning	9	q:2:188:9							The supplied word grammar notes a root-analysis discrepancy for تُدْلُوا, so lexical derivation should be reviewed before target-language wording is fixed.
ae:v3:s002:208:pass3:issue:ts1	pass3	ISSUE	ts1	2	208	coverage_uncertain	warning	8	q:2:208:8							The input grammar says كَآفَّةً may modify either the subject or object, but the supplied Pass 1 rows do not provide an ambiguity set for this translation-forcing choice.
ae:v3:s002:210:pass3:issue:ts1	pass3	ISSUE	ts1	2	210	coverage_uncertain	warning	12	q:2:210:12							The input grammar reports that وَٱلْمَلَائِكَةُ may coordinate with the subject or the prepositional phrase, while Pass 1 selects it as an additional nominative subject without an ambiguity set.
ae:v3:s002:211:pass3:issue:ts1	pass3	ISSUE	ts1	2	211	coverage_uncertain	warning	16	q:2:211:16							The input grammar flags مَا after بَعْدِ as relative pronoun or masdariyya, but no supplied ambiguity row adjudicates it; translation may be forced to choose between what came to him and after its coming.
ae:v3:s002:223:pass3:issue:ts1	pass3	ISSUE	ts1	2	223	coverage_uncertain	warning	7	q:2:223:7							The local input flags أَنَّىٰ as spatial, temporal, or modal, but no supplied ambiguity row chooses among those readings.
ae:v3:s002:237:pass3:issue:ts1	pass3	ISSUE	ts1	2	237	translation_bias_risk	warning	23	q:2:237:23							الَّذِي بِيَدِهِ عُقْدَةُ النِّكَاحِ is a definite description in the supplied Arabic evidence; preserve the description unless supplied evidence grammatically fixes its identity.
ae:v3:s002:238:pass3:issue:ts1	pass3	ISSUE	ts1	2	238	translation_bias_risk	warning	5	q:2:238:5							ٱلصَّلَوٰةِ ٱلْوُسْطَىٰ is a definite description whose specific identity is not fixed by the supplied Arabic-side evidence; preserve the description unless supplied evidence grammatically fixes an identity.
ae:v3:s002:248:pass3:issue:ts1	pass3	ISSUE	ts1	2	248	upstream_evidence_missing	warning	32	q:2:248:32							Pass 1 reports the input token at 32 as لَ where the Arabic text and summary indicate لَكُمْ, so support for that dative complement is limited to the available upstream token.
ae:v3:s002:279:pass3:issue:ts1	pass3	ISSUE	ts1	2	279	upstream_evidence_missing	warning	17	q:2:279:17							Pass 1 reports that the input split fa-lakum as a visible lam without a separate kum word, so the normal prep_complement evidence for the fronted possession phrase is unavailable.
ae:v3:s003:016:pass1:issue:s1	pass1	ISSUE	s1	3	16	schema_limitation	warning	1	q:3:16:1							ٱلَّذِينَ is appositive to prior context outside this chunk, so no cross-ayah relative link is emitted.
ae:v3:s003:017:pass1:issue:s1	pass1	ISSUE	s1	3	17	schema_limitation	warning	1	q:3:17:1							The first participle is appositive to prior context outside this chunk, so its external head is not annotated.
ae:v3:s003:034:pass1:issue:s1	pass1	ISSUE	s1	3	34	schema_limitation	note	1	q:3:34:1							ذُرِّيَّةً links syntactically to the preceding ayah, but cross-ayah attachment is out of scope.
ae:v3:s003:110:pass1:issue:s1	pass1	ISSUE	s1	3	110	source_data_unclear	warning	28	q:3:110:28							The ayah text has مِّنْهُمُ, while the input word entry for wid 28 shows only مِنْ and no separate pronoun word.
ae:v3:s003:148:pass1:issue:s1	pass1	ISSUE	s1	3	148	source_data_unclear	warning	7	q:3:148:7							حُسْنَ is marked is_verb:true in the input, but it functions here as an accusative noun coordinated with ثَوَابَ.
ae:v3:s003:167:pass1:issue:s1	pass1	ISSUE	s1	3	167	coverage_uncertain	note	3	q:3:167:3							The purpose clause وَلِيَعْلَمَ is continued from the preceding ayah, so the same-ayah link is approximate.
ae:v3:s003:168:pass1:issue:s1	pass1	ISSUE	s1	3	168	coverage_uncertain	note	1	q:3:168:1							ٱلَّذِينَ has its modified head in the preceding ayah, so the same-ayah appositional link is approximate.
ae:v3:s003:017:pass3:issue:ts1	pass3	ISSUE	ts1	3	17	upstream_evidence_missing	warning	1	q:3:17:1							Pass 1 reports that the first participle is appositive to prior context outside this chunk, so the external syntactic head is not available in the assigned rows.
ae:v3:s003:032:pass3:issue:ts1	pass3	ISSUE	ts1	3	32	translation_bias_risk	warning	5	q:3:32:5							The definite title at wid5 is conventionally identifiable, but the supplied Arabic-side evidence names it only as al-rasul; preserve the title unless the target policy supplies an identity.
ae:v3:s003:039:pass3:issue:ts1	pass3	ISSUE	ts1	3	39	translation_bias_risk	warning	17	q:3:39:17							The phrase kalimatin min Allah is conventionally identified in interpretation, but the supplied Arabic-side evidence only gives an indefinite description; preserve the description unless another supplied source fixes identity.
ae:v3:s003:053:pass3:issue:ts1	pass3	ISSUE	ts1	3	53	translation_bias_risk	warning	8	q:3:53:8							The definite title ٱلرَّسُولَ is locally tied to the disciples' confession, but no supplied upstream referent row grammatically fixes a named identity; preserve the title unless the target policy explicitly supplies one.
ae:v3:s003:058:pass3:issue:ts1	pass3	ISSUE	ts1	3	58	coverage_uncertain	warning	8	q:3:58:8							The chunk notes that ٱلْحَكِيمِ can carry active or passive adjectival sense, but no supplied ambiguity row adjudicates it; avoid over-fixing the adjective where the target language allows.
ae:v3:s003:103:pass3:issue:ts1	pass3	ISSUE	ts1	3	103	coverage_uncertain	warning	36	q:3:103:36							The suffix in مِّنْهَا may be read against the nearby feminine nouns حُفْرَةٍ and ٱلنَّارِ, but no supplied Pass 2 ambiguity row records the live reference risk.
ae:v3:s003:110:pass3:issue:ts1	pass3	ISSUE	ts1	3	110	upstream_evidence_missing	warning	28	q:3:110:28							Pass 1 reports that the ayah text has مِّنْهُمُ while the input word entry for wid 28 shows only مِنْ and no separate pronoun segment, so suffix-level support at this anchor remains uncertain.
ae:v3:s003:128:pass3:issue:ts1	pass3	ISSUE	ts1	3	128	coverage_uncertain	warning	6	q:3:128:6							The chunk input flags debate around aw in 3:128, while the supplied Pass 1 rows model coordination without a choice set; preserve uncertainty if a target language forces a precise relation.
ae:v3:s003:140:pass3:issue:ts1	pass3	ISSUE	ts1	3	140	coverage_uncertain	warning	9	q:3:140:9							The suffix in مِثْلُهُ is translation-relevant, but the supplied discourse rows do not independently resolve its local antecedent.
ae:v3:s003:148:pass3:issue:ts1	pass3	ISSUE	ts1	3	148	upstream_evidence_missing	warning	7	q:3:148:7							Pass 1 flags that the input marks husn as a verb even though the surface syntax is nominal, so no passive-agent support should be projected from that marking.
ae:v3:s003:187:pass3:issue:ts1	pass3	ISSUE	ts1	3	187	coverage_uncertain	warning	10	q:3:187:10							The supplied Pass 2 rows do not resolve the repeated هُ suffixes in تُبَيِّنُنَّهُ وتَكْتُمُونَهُ ونَبَذُوهُ وبِهِ, so target renderings that require an explicit noun should review whether the antecedent is الكتاب or ميثاق.
ae:v3:s004:007:pass1:issue:s1	pass1	ISSUE	s1	4	7	source_data_unclear	note	4	q:4:7:4							The mā of مِمَّا is not a separate word id, so relative-object attachments cannot cite it directly.
ae:v3:s004:041:pass1:issue:s1	pass1	ISSUE	s1	4	41	source_data_unclear	warning	12	q:4:41:12							The word list shows بِ but its summary and the ayah text require fused بِكَ, so the pronoun is encoded on wid 12 by segment part.
ae:v3:s004:050:pass1:issue:s1	pass1	ISSUE	s1	4	50	source_data_unclear	warning	9	q:4:50:9							The word list shows بِ but the ayah text and syntax require fused بِهِ, so the pronoun is encoded on wid 9 by segment part.
ae:v3:s004:081:pass1:issue:s1	pass1	ISSUE	s1	4	81	source_data_unclear	warning	9	q:4:81:9							بَيَّتَ is tagged is_verb false though the Arabic and summary parse it as a verb, so no FRAME row is emitted for it.
ae:v3:s004:088:pass1:issue:s1	pass1	ISSUE	s1	4	88	source_data_unclear	warning	17	q:4:88:17							أَضَلَّ is tagged is_verb false though the Arabic and summary parse it as a verb, so no FRAME row is emitted for it.
ae:v3:s004:093:pass1:issue:s1	pass1	ISSUE	s1	4	93	source_data_unclear	warning	12	q:4:93:12							غَضِبَ is described as a perfect verb in the summary but has is_verb=false, so no FRAME row is emitted.
ae:v3:s004:094:pass1:issue:s1	pass1	ISSUE	s1	4	94	source_data_unclear	warning	37	q:4:94:37							مَنَّ is described as a perfect verb in the summary but has is_verb=false, so no FRAME row is emitted.
ae:v3:s004:139:pass1:issue:s1	pass1	ISSUE	s1	4	139	schema_limitation	warning	1	q:4:139:1							ٱلَّذِينَ appears to continue the previous ayah's ٱلْمُنَٰفِقِينَ, but cross-ayah antecedent links are out of scope.
ae:v3:s004:141:pass1:issue:s1	pass1	ISSUE	s1	4	141	manual_review_needed	warning	1	q:4:141:1							ٱلَّذِينَ at the ayah opening appears to depend on prior discourse, so the relative link is represented locally only.
ae:v3:s004:150:pass1:issue:s1	pass1	ISSUE	s1	4	150	manual_review_needed	warning	1	q:4:150:1							The inna clause opened in 4:150 appears to receive its full predicate after this ayah; only local syntax is represented here.
ae:v3:s004:154:pass1:issue:s1	pass1	ISSUE	s1	4	154	source_data_unclear	warning	24	q:4:154:24							The Arabic text has مِنْهُم, but the word list provides only مِنْ at wid 24, so no present pronoun wid can be used as its governed complement.
ae:v3:s004:156:pass1:issue:s1	pass1	ISSUE	s1	4	156	schema_limitation	warning	2	q:4:156:2							The causal بِكُفْرِهِمْ phrase continues a cross-ayah causal list, but no local verbal governor is present for a prep_complement head.
ae:v3:s004:165:pass1:issue:s1	pass1	ISSUE	s1	4	165	schema_limitation	warning	5	q:4:165:5							The purpose governor for لِئَلَّا يَكُونَ is in the prior ayah context, so the clause link is marked ambiguous without a cross-ayah parent.
ae:v3:s004:169:pass1:issue:s1	pass1	ISSUE	s1	4	169	schema_limitation	warning	1	q:4:169:1							إِلَّا depends on the negated guidance statement in 4:168, but this pass cannot create a cross-ayah exception head.
ae:v3:s004:176:pass1:issue:s1	pass1	ISSUE	s1	4	176	source_data_unclear	warning	37	q:4:176:37							The input has مِن followed by تَرَكَ for مِمَّا تَرَكَ with no separate مَا token, so the source relative object is not directly addressable.
ae:v3:s004:021:pass3:issue:ts1	pass3	ISSUE	ts1	4	21	coverage_uncertain	warning	3	q:4:21:3							Pass 1 marks the هُ object suffix in تَأْخُذُونَهُ, but the supplied Pass 2 rows for 4:21 do not emit a matching XREF; preserve the open reference unless another supplied layer fixes it.
ae:v3:s004:081:pass3:issue:ts1	pass3	ISSUE	ts1	4	81	upstream_evidence_missing	warning	9	q:4:81:9							Pass1 reports that bayyata is parsed as a verb but has no FRAME row because the source tag marks it as non-verb, so object-frame projection for this predicate is unavailable.
ae:v3:s004:088:pass3:issue:ts1	pass3	ISSUE	ts1	4	88	upstream_evidence_missing	warning	17	q:4:88:17							Pass1 reports that adalla is parsed as a verb but has no FRAME row because the source tag marks it as non-verb, so frame-based support for this predicate is unavailable.
ae:v3:s004:093:pass3:issue:ts1	pass3	ISSUE	ts1	4	93	upstream_evidence_missing	warning	12	q:4:93:12							Pass1 reports a source-data issue for ghadiba and emits no FRAME row, so no frame-derived support can be projected for that verb.
ae:v3:s004:094:pass3:issue:ts1	pass3	ISSUE	ts1	4	94	upstream_evidence_missing	warning	37	q:4:94:37							Pass1 reports a source-data issue for manna and emits no FRAME row, so no frame-derived support can be projected for that verb.
ae:v3:s004:111:pass3:issue:ts1	pass3	ISSUE	ts1	4	111	upstream_evidence_missing	warning	12	q:4:111:12			r2	ae:v3:s004:111:pass2:xref:r2			Pass 2 r2 describes Allah at word 12 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit proper noun subject.
ae:v3:s004:113:pass3:issue:ts1	pass3	ISSUE	ts1	4	113	upstream_evidence_missing	warning	4	q:4:113:4			r1	ae:v3:s004:113:pass2:xref:r1			Pass 2 r1 describes Allah at word 4 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit genitive proper noun.
ae:v3:s004:113:pass3:issue:ts2	pass3	ISSUE	ts2	4	113	upstream_evidence_missing	warning	26	q:4:113:26			r6	ae:v3:s004:113:pass2:xref:r6			Pass 2 r6 describes Allah at word 26 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit nominative subject.
ae:v3:s004:113:pass3:issue:ts3	pass3	ISSUE	ts3	4	113	upstream_evidence_missing	warning	40	q:4:113:40			r7	ae:v3:s004:113:pass2:xref:r7			Pass 2 r7 describes Allah at word 40 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit genitive proper noun.
ae:v3:s004:114:pass3:issue:ts1	pass3	ISSUE	ts1	4	114	upstream_evidence_missing	warning	24	q:4:114:24			r3	ae:v3:s004:114:pass2:xref:r3			Pass 2 r3 describes Allah at word 24 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit genitive proper noun.
ae:v3:s004:115:pass3:issue:ts1	pass3	ISSUE	ts1	4	115	upstream_evidence_missing	warning	10	q:4:115:10			r2	ae:v3:s004:115:pass2:xref:r2			Pass 2 r2 treats al-huda at word 10 as a pronoun-suffix reference, but the supplied word data and Pass 1 rows identify it as an explicit nominative gerund subject.
ae:v3:s004:116:pass3:issue:ts1	pass3	ISSUE	ts1	4	116	upstream_evidence_missing	warning	20	q:4:116:20			r3	ae:v3:s004:116:pass2:xref:r3			Pass 2 r3 describes Allah at word 20 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit genitive proper noun.
ae:v3:s004:117:pass3:issue:ts1	pass3	ISSUE	ts1	4	117	coverage_uncertain	warning	7	q:4:117:7							The supplied word data says the conjunction at word 7 may be coordinating or explicative, but no Pass 2 ambiguity row represents that relation.
ae:v3:s004:117:pass3:issue:ts2	pass3	ISSUE	ts2	4	117	upstream_evidence_missing	warning	6	q:4:117:6			r2	ae:v3:s004:117:pass2:xref:r2			Pass 2 r2 describes inathan at word 6 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit accusative noun.
ae:v3:s004:118:pass3:issue:ts1	pass3	ISSUE	ts1	4	118	upstream_evidence_missing	warning	2	q:4:118:2			r1	ae:v3:s004:118:pass2:xref:r1			Pass 2 r1 describes Allah at word 2 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit nominative subject.
ae:v3:s004:119:pass3:issue:ts1	pass3	ISSUE	ts1	4	119	upstream_evidence_missing	warning	22	q:4:119:22			r1	ae:v3:s004:119:pass2:xref:r1			Pass 2 r1 describes Allah at word 22 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit genitive proper noun.
ae:v3:s004:119:pass3:issue:ts2	pass3	ISSUE	ts2	4	119	upstream_evidence_missing	warning	30	q:4:119:30			r2	ae:v3:s004:119:pass2:xref:r2			Pass 2 r2 describes Allah at word 30 as containing a pronoun suffix, but the supplied word data and Pass 1 rows identify it as an explicit genitive proper noun.
ae:v3:s004:154:pass3:issue:ts1	pass3	ISSUE	ts1	4	154	upstream_evidence_missing	warning	24	q:4:154:24							Pass 1 reports source_data_unclear for مِنْهُم because the word list lacks a present pronoun wid at the expected location, so no support row should infer that missing governed complement.
ae:v3:s004:156:pass3:issue:ts1	pass3	ISSUE	ts1	4	156	upstream_evidence_missing	warning	2	q:4:156:2							Pass 1 reports a schema limitation for the causal بِكُفْرِهِمْ phrase because its governor is cross-ayah, so local frame-derived role support cannot be projected from a same-ayah governor.
ae:v3:s004:164:pass3:issue:ts1	pass3	ISSUE	ts1	4	164	coverage_uncertain	warning	2	q:4:164:2							The chunk grammar gives two live analyses for accusative رُسُلًا, but the supplied Pass 1 rows do not provide a choice-set row for that ambiguity.
ae:v3:s004:165:pass3:issue:ts1	pass3	ISSUE	ts1	4	165	upstream_evidence_missing	warning	5	q:4:165:5							Pass 1 reports that the governor for لِئَلَّا يَكُونَ is in prior context and cannot be represented as a cross-ayah parent.
ae:v3:s004:169:pass3:issue:ts1	pass3	ISSUE	ts1	4	169	upstream_evidence_missing	warning	1	q:4:169:1							Pass 1 reports that إِلَّا depends on the negated guidance statement in 4:168 but cannot represent a cross-ayah exception head.
ae:v3:s004:176:pass3:issue:ts1	pass3	ISSUE	ts1	4	176	upstream_evidence_missing	warning	37	q:4:176:37							Pass 1 reports that مِمَّا تَرَكَ has no separately addressable مَا token, so any separate relative-object support row for that fused element would exceed the supplied evidence.
ae:v3:s005:003:pass1:issue:s1	pass1	ISSUE	s1	5	3	source_data_unclear	warning	11	q:5:3:11							أُهِلَّ is syntactically a passive verb in مَا أُهِلَّ, but the input marks is_verb=false, so no FRAME row was emitted.
ae:v3:s005:005:pass1:issue:s1	pass1	ISSUE	s1	5	5	source_data_unclear	warning	10	q:5:5:10							حِلٌّ is a nominal predicate, but the input marks is_verb=true; a required FRAME row was emitted as none_copular.
ae:v3:s005:005:pass1:issue:s2	pass1	ISSUE	s2	5	5	source_data_unclear	warning	14	q:5:5:14							The second حِلٌّ is also a nominal predicate marked is_verb=true; a required FRAME row was emitted as none_copular.
ae:v3:s005:011:pass1:issue:s1	pass1	ISSUE	s1	5	11	source_data_unclear	warning	10	q:5:11:10							هَمَّ is parsed as a perfect verb in the summary but has is_verb=false, so no FRAME row is emitted for word 10.
ae:v3:s005:060:pass1:issue:s1	pass1	ISSUE	s1	5	60	source_data_unclear	warning	23	q:5:60:23							عَبَدَ is tagged is_verb=false although the surface reading licenses a verbal object ٱلطَّاغُوتَ; no FRAME row was emitted for a non-verb token.
ae:v3:s005:011:pass3:issue:ts1	pass3	ISSUE	ts1	5	11	upstream_evidence_missing	warning	10	q:5:11:10							Pass 1 reports هَمَّ as syntactically verbal but emits no FRAME row because the input marks is_verb=false; frame-derived support cannot be projected for word 10.
ae:v3:s005:027:pass3:issue:ts1	pass3	ISSUE	ts1	5	27	translation_bias_risk	warning	5	q:5:27:5							ٱبْنَىْ ءَادَمَ grammatically gives a relational description, not personal names, so translation should not insert conventional identities unless supplied evidence fixes them.
ae:v3:s005:060:pass3:issue:ts1	pass3	ISSUE	ts1	5	60	coverage_uncertain	warning	23	q:5:60:23							Pass 1 reports that abada is tagged as a noun although the surface reading licenses a verbal object, so translation support cannot rely on a normal FRAME row for this token.
ae:v3:s006:089:pass1:issue:s1	pass1	ISSUE	s1	6	89	source_data_unclear	warning	17	q:6:89:17							كَّلْنَا is marked is_verb=false though the Arabic surface uses وَكَّلْنَا as the apodosis verb; syntax is attached to the token but no FRAME is emitted.
ae:v3:s006:089:pass1:issue:s2	pass1	ISSUE	s2	6	89	source_data_unclear	warning	20	q:6:89:20							لَّيْسُوا is marked is_verb=false though it functions as a defective copular verb; predicate attachments are emitted but no FRAME is emitted.
ae:v3:s006:090:pass1:issue:s1	pass1	ISSUE	s1	6	90	source_data_unclear	warning	3	q:6:90:3							هَدَى is marked is_verb=false though it functions as the verb of the relative clause; syntax is attached to the token but no FRAME is emitted.
ae:v3:s006:110:pass1:issue:s1	pass1	ISSUE	s1	6	110	source_data_unclear	warning	10	q:6:110:10							The ayah text has بِهِ after يُؤْمِنُوا, but the input word 10 is displayed as بِ without the pronoun.
ae:v3:s006:145:pass1:issue:s1	pass1	ISSUE	s1	6	145	source_data_unclear	note	27	q:6:145:27							أُهِلَّ is morphologically a passive verb in the Arabic, but the input marks wid 27 as is_verb false, so no FRAME row is emitted.
ae:v3:s006:070:pass3:issue:ts1	pass3	ISSUE	ts1	6	70	coverage_uncertain	warning	15	q:6:70:15							Pass 2 supplies no XREF for the هِ suffix in بِهِ; target languages may require an explicit reminder object, but the supplied rows do not grammatically fix the referent.
ae:v3:s006:084:pass3:issue:ts1	pass3	ISSUE	ts1	6	84	coverage_uncertain	warning	16	q:6:84:16							The supplied upstream rows do not resolve whether the suffix in ذُرِّيَّتِهِ resumes Abraham from the discourse frame or Noah from the nearer clause; avoid forcing an explicit antecedent without review.
ae:v3:s006:089:pass3:issue:ts1	pass3	ISSUE	ts1	6	89	upstream_evidence_missing	warning	17	q:6:89:17							Pass 1 reports وَكَّلْنَا in the apodosis syntax but emits no FRAME because the source marks the token non-verbal; frame-derived transfer checks for this verb cannot be projected.
ae:v3:s006:090:pass3:issue:ts1	pass3	ISSUE	ts1	6	90	upstream_evidence_missing	warning	3	q:6:90:3							Pass 1 reports هَدَى ٱللَّهُ syntactically in the relative clause but emits no FRAME because the source marks هَدَى non-verbal; frame-derived checks for this verb cannot be projected.
ae:v3:s006:109:pass3:issue:ts1	pass3	ISSUE	ts1	6	109	coverage_uncertain	warning	20	q:6:109:20							The chunk input flags مَا as interrogative or negative, but the supplied Pass 1 rows do not provide a choice set; avoid forcing this ambiguity without review.
ae:v3:s006:110:pass3:issue:ts1	pass3	ISSUE	ts1	6	110	upstream_evidence_missing	warning	10	q:6:110:10							Pass 1 ISSUE s1 reports that the ayah text has بِهِ while the chunk word 10 displays only بِ; support involving that pronoun should be reviewed against corrected source data.
ae:v3:s006:111:pass3:issue:ts1	pass3	ISSUE	ts1	6	111	coverage_uncertain	warning	15	q:6:111:15							The chunk marks قبلا as having multiple readings, but no supplied Pass 1 choice set or ambiguity row licenses resolving which reading should control translation.
ae:v3:s006:117:pass3:issue:ts1	pass3	ISSUE	ts1	6	117	coverage_uncertain	warning	5	q:6:117:5							The chunk marks من as relative with an alternative interrogative reading, but the supplied Pass 1 and Pass 2 rows do not provide a choice set to project as alternatives.
ae:v3:s006:145:pass3:issue:ts1	pass3	ISSUE	ts1	6	145	upstream_evidence_missing	note	27	q:6:145:27							Pass 1 reports that أُهِلَّ is morphologically passive but lacks a FRAME row because wid 27 is marked non-verb in the input, so no frame-based passive-agent support can be projected.
