unit_id	row_kind	source_pass	source_rtype	source_local_id	sura	ayah	support_unit_id	support_type	anchor_wid	anchor_unit_id	clause_raw	clause_unit_id	attachment_raw	attachment_unit_ids	frame_raw	frame_unit_id	xref_raw	xref_unit_ids	implicit_raw	implicit_unit_ids	ellipsis_raw	ellipsis_unit_ids	choice_set_raw	choice_set_unit_id	role	scope	force	construction	source	window	window_relation	window_scope	related_wids	related_word_unit_ids	related_clauses	related_unresolved_wids	related_clause_unit_ids	related_xref_unit_ids	related_unresolved_refs	reading	status	confidence	evidence	translation_instruction	risk	reason
ae:v3:s001:005:pass3:support:t5	support	pass3	SUPPORT	t5	1	5	ae:v3:s001:005:pass3:support:t5	referent_resolution_risk	2	q:1:5:2									i1;i2	ae:v3:s001:005:pass2:impl:i1;ae:v3:s001:005:pass2:impl:i2													2;5	q:1:5:2;q:1:5:5							surface_form	high	morphology;parallelism	do_not_resolve_in_default	Target language may need an overt subject pronoun, but Arabic identifies only the first-person plural speaker group by agreement.	Pass 2 i1 and i2 mark the subjects of نَعْبُدُ and نَسْتَعِينُ as 1cp agreement without a named noun phrase.
ae:v3:s001:006:pass3:support:t1	support	pass3	SUPPORT	t1	1	6	ae:v3:s001:006:pass3:support:t1	surface_force	1	q:1:6:1	c1	ae:v3:s001:006:pass1:clause:c1			v1	ae:v3:s001:006:pass1:frame:v1			i1	ae:v3:s001:006:pass2:impl:i1							imperative														syntactically_forced	high	imperative;morphology;local_syntax	preserve_surface_force	Target language should preserve the petitionary imperative force rather than recasting it as a statement.	ٱهْدِنَا is a 2ms imperative heading Pass 1 c1 with first-person plural object suffix and explicit path object.
ae:v3:s001:006:pass3:support:t2	support	pass3	SUPPORT	t2	1	6	ae:v3:s001:006:pass3:support:t2	referent_resolution_risk	1	q:1:6:1									i1	ae:v3:s001:006:pass2:impl:i1																					strongly_licensed	high	morphology;speech_role;cross_ayah_continuity	target_language_may_require_resolution	Target language may require an explicit addressee or subject for the imperative, while Arabic leaves it as 2ms agreement tied to the prior direct address.	Pass 2 i1 marks the imperative subject as 2ms and discourse-linked to 1:5.
ae:v3:s001:006:pass3:support:t3	support	pass3	SUPPORT	t3	1	6	ae:v3:s001:006:pass3:support:t3	context_window	1	q:1:6:1							r1	ae:v3:s001:006:pass2:xref:r1	i1	ae:v3:s001:006:pass2:impl:i1										1:5-6	discourse_continuation	intra_surah	1	q:1:6:1							strongly_licensed	high	cross_ayah_continuity;speech_role	recommend_reading_window	Single-ayah rendering may miss that the 1pl object suffix continues the speaker group and the 2ms imperative continues the addressee from 1:5.	Pass 2 r1 resumes the 1cp speakers from 1:5 and i1 continues the 2ms addressee.
ae:v3:s001:007:pass3:support:t1	support	pass3	SUPPORT	t1	1	7	ae:v3:s001:007:pass3:support:t1	context_window	1	q:1:7:1	c1	ae:v3:s001:007:pass1:clause:c1	a1	ae:v3:s001:007:pass1:attach:a1																1:6-7	short_window	intra_surah	1;2;3;4;5;6;7;10	q:1:7:1;q:1:7:2;q:1:7:3;q:1:7:4;q:1:7:5;q:1:7:6;q:1:7:7;q:1:7:10	c1;c2		ae:v3:s001:007:pass1:clause:c1;ae:v3:s001:007:pass1:clause:c2				strongly_licensed	high	cross_ayah_continuity;local_syntax	recommend_reading_window	Single-ayah rendering may detach صِرَٰطَ ٱلَّذِينَ from the petition object in 1:6.	Pass 1 marks 1:7 as a cross-ayah appositional noun phrase whose local c1 hosts the relative-clause link.
ae:v3:s001:007:pass3:support:t2	support	pass3	SUPPORT	t2	1	7	ae:v3:s001:007:pass3:support:t2	semantic_role	4	q:1:7:4			a2	ae:v3:s001:007:pass1:attach:a2			r1	ae:v3:s001:007:pass2:xref:r1							beneficiary				verb plus عَلَى complement												syntactically_forced	high	case_government;relative_syntax;selectional_syntax	preserve_argument_role	Target language may render عَلَيْهِمْ as spatial upon them instead of the beneficiary complement licensed by أَنْعَمْتَ.	Pass 1 a2 marks عَلَيْهِمْ as the prepositional complement of أَنْعَمْتَ and Pass 2 r1 says the suffix resumes ٱلَّذِينَ.
ae:v3:s001:007:pass3:support:t3	support	pass3	SUPPORT	t3	1	7	ae:v3:s001:007:pass3:support:t3	referent_resolution_risk	4	q:1:7:4							r1	ae:v3:s001:007:pass2:xref:r1																							syntactically_forced	high	relative_syntax;agreement	preserve_compression_if_target_language_allows	Target languages that require an explicit relative-clause object must keep the suffix tied to ٱلَّذِينَ, not to the later excluded groups.	Pass 2 r1 makes هِمْ in عَلَيْهِمْ the resumptive reference inside the relative clause.
ae:v3:s001:007:pass3:support:t4	support	pass3	SUPPORT	t4	1	7	ae:v3:s001:007:pass3:support:t4	scope	5	q:1:7:5			a3	ae:v3:s001:007:pass1:attach:a3												exception															strongly_licensed	medium	case_government;local_syntax	preserve_scope	Target language may miss that غَيْرِ excludes a contrasting class from the requested path rather than starting a new independent description.	Pass 1 a3 marks غَيْرِ as a genitive qualifier of ٱلَّذِينَ by excluding the contrasting class.
ae:v3:s001:007:pass3:support:t5	support	pass3	SUPPORT	t5	1	7	ae:v3:s001:007:pass3:support:t5	construction_unit	8	q:1:7:8			a6	ae:v3:s001:007:pass1:attach:a6												negation		coordinated_exclusion_with_wa_la													strongly_licensed	high	parallelism;coordination;local_syntax	preserve_scope	Target language may over-read لَا as clausal negation or omit its reinforcement of the second excluded class.	Pass 1 a6 coordinates ٱلضَّآلِّينَ with ٱلْمَغْضُوبِ after وَلَا within the excluded group.
ae:v3:s001:007:pass3:support:t6	support	pass3	SUPPORT	t6	1	7	ae:v3:s001:007:pass3:support:t6	referent_resolution_risk	7	q:1:7:7							r2	ae:v3:s001:007:pass2:xref:r2																							strongly_licensed	high	agreement;local_syntax	preserve_compression_if_target_language_allows	Target languages should keep the second suffix attached to the passive-participle group, not to ٱلَّذِينَ in the preceding relative clause.	Pass 2 r2 links هِمْ in the second عَلَيْهِمْ to ٱلْمَغْضُوبِ as its prepositional complement.
ae:v3:s001:007:pass3:support:t7	support	pass3	SUPPORT	t7	1	7	ae:v3:s001:007:pass3:support:t7	referent_resolution_risk	3	q:1:7:3									i1	ae:v3:s001:007:pass2:impl:i1																					strongly_licensed	high	morphology;speech_role;cross_ayah_continuity	target_language_may_require_resolution	Target language may need an explicit subject for أَنْعَمْتَ, while Arabic marks only the same 2ms addressee active from 1:5-6.	Pass 2 i1 marks a 2ms implicit subject continuing the direct addressee.
ae:v3:s001:007:pass3:support:t8	support	pass3	SUPPORT	t8	1	7	ae:v3:s001:007:pass3:support:t8	construction_unit	6	q:1:7:6			a5	ae:v3:s001:007:pass1:attach:a5			r2	ae:v3:s001:007:pass2:xref:r2										passive_participle_with_prepositional_complement	passive participle plus عَلَى complement												syntactically_forced	high	case_government;local_syntax	preserve_compression_if_target_language_allows	Target language may be tempted to supply an explicit agent of غضب, but the Arabic passive participle leaves the agent unspoken.	Pass 1 a5 marks the عَلَيْهِمْ phrase as complement of the passive participle ٱلْمَغْضُوبِ.
ae:v3:s002:001:pass3:support:t1	support	pass3	SUPPORT	t1	2	1	ae:v3:s002:001:pass3:support:t1	construction_unit	1	q:2:1:1																		disconnected_letters													surface_form	high	formulaic_construction	preserve_compression_if_target_language_allows	Target languages may be tempted to expand the disconnected letters into lexical words, but the Arabic presents them as compressed uninflected letters.	الٓمٓ is tagged as disconnected letters and has no syntactic clause or lexical root in the supplied word list.
ae:v3:s002:002:pass3:support:t1	support	pass3	SUPPORT	t1	2	2	ae:v3:s002:002:pass3:support:t1	scope	3	q:2:2:3	c2	ae:v3:s002:002:pass1:clause:c2														negation															syntactically_forced	high	local_syntax;case_government	preserve_scope	The categorical negation covers the existence of رَيْب in the book and should not be weakened into a merely adjectival description.	Pass 1 analyzes لَا رَيْبَ فِيهِ as clause c2 and رَيْبَ as governed by لَا of categorical negation.
ae:v3:s002:002:pass3:support:t2	support	pass3	SUPPORT	t2	2	2	ae:v3:s002:002:pass3:support:t2	semantic_role	8	q:2:2:8			a6	ae:v3:s002:002:pass1:attach:a6											beneficiary				هُدًى plus لِ complement												syntactically_forced	high	case_government;local_syntax	preserve_argument_role	The lām complement marks the beneficiary or intended recipients of guidance, which target languages may need to express without turning it into possession.	Pass 1 attaches ٱلْمُتَّقِينَ to هُدًى through لِ as a governed prepositional complement.
ae:v3:s002:003:pass3:support:t1	support	pass3	SUPPORT	t1	2	3	ae:v3:s002:003:pass3:support:t1	semantic_role	4	q:2:3:4			a1	ae:v3:s002:003:pass1:attach:a1	v1	ae:v3:s002:003:pass1:frame:v1									content				آمَنَ plus بِ complement												syntactically_forced	high	case_government;local_syntax	preserve_argument_role	The بِ complement marks the content or domain of belief and should not be rendered as a purely instrumental preposition.	Pass 1 attaches ٱلْغَيْبِ to يُؤْمِنُونَ through بِ as the belief complement.
ae:v3:s002:003:pass3:support:t2	support	pass3	SUPPORT	t2	2	3	ae:v3:s002:003:pass3:support:t2	transfer_risk	11	q:2:3:11					v4	ae:v3:s002:003:pass1:frame:v4																									strongly_licensed	high	selectional_syntax;local_syntax	target_language_may_require_supplied_word	Target languages with obligatory objects may need an object for يُنفِقُونَ, while the Arabic leaves the spent item compressed with the fronted partitive expression.	Pass 1 frame v4 marks يُنفِقُونَ as obj=none_absolute and notes that the partitive object token is not separately present.
ae:v3:s002:003:pass3:support:t3	support	pass3	SUPPORT	t3	2	3	ae:v3:s002:003:pass3:support:t3	context_window	1	q:2:3:1																				2:2-3	discourse_continuation	intra_surah	1;2;6;11	q:2:3:1;q:2:3:2;q:2:3:6;q:2:3:11							discourse_inferred	high	discourse_continuity;relative_clause	recommend_reading_window	The relative-clause descriptions in 2:3 need the prior ٱلْمُتَّقِينَ frame so target languages track who the plural predicates describe.	ٱلَّذِينَ opens a relative description continuing the group named at 2:2 rather than introducing an isolated new subject.
ae:v3:s002:004:pass3:support:t1	support	pass3	SUPPORT	t1	2	4	ae:v3:s002:004:pass3:support:t1	semantic_role	5	q:2:4:5			a1	ae:v3:s002:004:pass1:attach:a1	v1	ae:v3:s002:004:pass1:frame:v1									content				آمَنَ plus بِمَا relative complement												syntactically_forced	high	case_government;relative_clause	preserve_argument_role	The relative مَا governed through بِ is belief content and should not be flattened into an object whose internal passive clause is lost.	Pass 1 attaches مَا to يُؤْمِنُونَ through بِ and analyzes مَا أُنزِلَ إِلَيْكَ as a relative clause.
ae:v3:s002:004:pass3:support:t2	support	pass3	SUPPORT	t2	2	4	ae:v3:s002:004:pass3:support:t2	semantic_role	7	q:2:4:7			a2	ae:v3:s002:004:pass1:attach:a2	v2	ae:v3:s002:004:pass1:frame:v2									goal				passive أُنزِلَ plus إِلَى complement												syntactically_forced	high	case_government;local_syntax	preserve_argument_role	The إِلَيْكَ complement marks the recipient or goal of the sending-down, while the passive agent remains unexpressed.	Pass 1 attaches the pronoun in إِلَيْكَ to passive أُنزِلَ through إِلَى.
ae:v3:s002:004:pass3:support:t3	support	pass3	SUPPORT	t3	2	4	ae:v3:s002:004:pass3:support:t3	construction_unit	16	q:2:4:16			a6;a7	ae:v3:s002:004:pass1:attach:a6;ae:v3:s002:004:pass1:attach:a7														fronted_complement_with_explicit_subject													strongly_licensed	high	word_order;agreement	preserve_argument_role	The fronted بِٱلْءَاخِرَةِ plus هُمْ creates focus before يُوقِنُونَ and may require a target-language focus device.	Pass 1 attaches هُمْ as the explicit subject of يُوقِنُونَ and ٱلْءَاخِرَةِ as its governed بِ complement.
ae:v3:s002:005:pass3:support:t1	support	pass3	SUPPORT	t1	2	5	ae:v3:s002:005:pass3:support:t1	context_window	1	q:2:5:1																				2:2-5	short_window	intra_surah	1;7	q:2:5:1;q:2:5:7							discourse_inferred	high	deixis;discourse_continuity	recommend_reading_window	The demonstratives in 2:5 point back to the described group in 2:2-4, so target languages may need to preserve that discourse link.	أُو۟لَٰئِكَ occurs after the relative and coordinated descriptions of the muttaqīn rather than introducing a new named participant.
ae:v3:s002:005:pass3:support:t2	support	pass3	SUPPORT	t2	2	5	ae:v3:s002:005:pass3:support:t2	construction_unit	8	q:2:5:8			a5;a6	ae:v3:s002:005:pass1:attach:a5;ae:v3:s002:005:pass1:attach:a6														separating_pronoun													strongly_licensed	high	local_syntax;word_order	preserve_argument_role	The separating pronoun هُمُ reinforces the predication and should not be mistaken for an additional referent.	Pass 1 analyzes هُمُ as apposition or reinforcement before ٱلْمُفْلِحُونَ in the second nominal judgment.
ae:v3:s002:006:pass3:support:t1	support	pass3	SUPPORT	t1	2	6	ae:v3:s002:006:pass3:support:t1	construction_unit	1	q:2:6:1	c1	ae:v3:s002:006:pass1:clause:c1															emphasis	inna_clause													syntactically_forced	high	local_syntax;case_government	preserve_surface_force	The إِنَّ clause carries emphatic assertion over the whole judgment and should not be rendered as a neutral loose topic shift.	Pass 1 analyzes c1 as an inna_clause governed by إِنَّ through the predicate material.
ae:v3:s002:006:pass3:support:t2	support	pass3	SUPPORT	t2	2	6	ae:v3:s002:006:pass3:support:t2	surface_force	6	q:2:6:6	c3	ae:v3:s002:006:pass1:clause:c3															rhetorical_question_candidate														strongly_licensed	high	interrogative_continuity;local_syntax	preserve_surface_force	The ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ pair functions under سَوَآءٌ, so target languages should avoid reading it as a request for information.	Pass 1 attaches the interrogative pair as the clausal complement of سَوَآءٌ and coordinates the two arms with أَمْ.
ae:v3:s002:006:pass3:support:t3	support	pass3	SUPPORT	t3	2	6	ae:v3:s002:006:pass3:support:t3	scope	10	q:2:6:10	c5	ae:v3:s002:006:pass1:clause:c5														negation															strongly_licensed	high	local_syntax	preserve_scope	The final negation لَا يُؤْمِنُونَ states the asserted outcome after the whether-pair and should remain outside the interrogative alternatives.	Pass 1 separates لَا يُؤْمِنُونَ as c5 completing the asserted predicate about ٱلَّذِينَ.
ae:v3:s002:007:pass3:support:t1	support	pass3	SUPPORT	t1	2	7	ae:v3:s002:007:pass3:support:t1	transfer_risk	1	q:2:7:1					v1	ae:v3:s002:007:pass1:frame:v1																									syntactically_forced	high	selectional_syntax;local_syntax	target_language_may_require_supplied_word	Target languages may need to supply an object or construction for خَتَمَ, while the Arabic uses absolute verbal government with عَلَى complements.	Pass 1 frame v1 marks خَتَمَ as obj=none_absolute with عَلَى complements and no overt direct object.
ae:v3:s002:007:pass3:support:t2	support	pass3	SUPPORT	t2	2	7	ae:v3:s002:007:pass3:support:t2	construction_unit	9	q:2:7:9	c2	ae:v3:s002:007:pass1:clause:c2																repeated_prepositional_predicates													strongly_licensed	high	parallelism;coordination	preserve_argument_role	The repeated عَلَى phrases divide the sealing statement from the covering-on-eyes nominal clause, and target languages should not merge all complements under one predicate if that loses the clause boundary.	Pass 1 coordinates c2 after the sealing clause and analyzes عَلَىٰٓ أَبْصَٰرِهِمْ as the fronted predicate of غِشَٰوَةٌ.
ae:v3:s002:007:pass3:support:t3	support	pass3	SUPPORT	t3	2	7	ae:v3:s002:007:pass3:support:t3	context_window	4	q:2:7:4																				2:6-7	short_window	intra_surah	4;7;10;13	q:2:7:4;q:2:7:7;q:2:7:10;q:2:7:13							discourse_inferred	high	discourse_continuity;agreement	recommend_reading_window	The repeated هِمْ suffixes in 2:7 need the immediately prior ٱلَّذِينَ كَفَرُوا۟ referent so target languages do not introduce a new group.	The possessive and prepositional suffixes in قُلُوبِهِمْ, سَمْعِهِمْ, أَبْصَٰرِهِمْ, and لَهُمْ continue the group introduced in 2:6.
ae:v3:s002:008:pass3:support:t1	support	pass3	SUPPORT	t1	2	8	ae:v3:s002:008:pass3:support:t1	scope	6	q:2:8:6	c3	ae:v3:s002:008:pass1:clause:c3														quotation															syntactically_forced	high	quotation;local_syntax	preserve_scope	The words ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ are quoted speech and should not be translated as the narrator's assertion.	Pass 1 analyzes the claim as quoted clause c3 governed by يَقُولُ.
ae:v3:s002:008:pass3:support:t2	support	pass3	SUPPORT	t2	2	8	ae:v3:s002:008:pass3:support:t2	particle_function	16	q:2:8:16			a9	ae:v3:s002:008:pass1:attach:a9														emphatic_ba_under_negation													syntactically_forced	high	case_government;local_syntax	avoid_lexicalizing_particle_twice	The بِ in بِمُؤْمِنِينَ reinforces the negated predicate and should not be lexicalized as a separate preposition if the target language already marks the negative predicate.	The word list identifies word 16 as bāʾ zāʾida and Pass 1 attaches مُؤْمِنِينَ through بِ under negation.
ae:v3:s002:008:pass3:support:t3	support	pass3	SUPPORT	t3	2	8	ae:v3:s002:008:pass3:support:t3	context_window	4	q:2:8:4																				2:8-10	pericope	intra_surah	4;15	q:2:8:4;q:2:8:15							discourse_inferred	high	discourse_sequence;discourse_topic	recommend_reading_window	The indefinite مَن introduces a category whose plural pronouns continue in 2:9-10, so target languages may need to track singular surface form against plural discourse reference.	مَن يَقُولُ is singular in 2:8 while هُم and later plural verb agreements continue the described group.
ae:v3:s002:009:pass3:support:t1	support	pass3	SUPPORT	t1	2	9	ae:v3:s002:009:pass3:support:t1	scope	9	q:2:9:9	c3	ae:v3:s002:009:pass1:clause:c3														exception															syntactically_forced	high	exception_particle;local_syntax	preserve_scope	The مَا ... إِلَّا construction restricts the deception to أَنفُسَهُمْ and should not be rendered as simple additive negation.	Pass 1 marks أَنفُسَهُمْ as the evacuated-exception object of يَخْدَعُونَ after إِلَّآ.
ae:v3:s002:009:pass3:support:t2	support	pass3	SUPPORT	t2	2	9	ae:v3:s002:009:pass3:support:t2	transfer_risk	13	q:2:9:13					v4	ae:v3:s002:009:pass1:frame:v4																									strongly_licensed	high	selectional_syntax;local_syntax	preserve_compression_if_target_language_allows	Target languages may want an object such as what they perceive, but the Arabic leaves يَشْعُرُونَ absolute and compressed.	Pass 1 frame v4 marks يَشْعُرُونَ as obj=none_absolute with no overt object.
ae:v3:s002:009:pass3:support:t3	support	pass3	SUPPORT	t3	2	9	ae:v3:s002:009:pass3:support:t3	context_window	1	q:2:9:1																				2:8-9	short_window	intra_surah	1;8;10;13	q:2:9:1;q:2:9:8;q:2:9:10;q:2:9:13							discourse_inferred	high	discourse_continuity;agreement	recommend_reading_window	The plural verbs and أَنفُسَهُمْ in 2:9 continue the group introduced by مَن in 2:8, which may require explicit plural tracking in target languages.	The subject agreement of يُخَٰدِعُونَ, يَخْدَعُونَ, and يَشْعُرُونَ continues the discourse participant from the preceding ayah.
ae:v3:s002:010:pass3:support:t1	support	pass3	SUPPORT	t1	2	10	ae:v3:s002:010:pass3:support:t1	context_window	2	q:2:10:2																				2:8-10	short_window	intra_surah	2;5;9;14;15	q:2:10:2;q:2:10:5;q:2:10:9;q:2:10:14;q:2:10:15							discourse_inferred	high	discourse_continuity;agreement	recommend_reading_window	The suffixes and plural verbs in 2:10 continue the same group introduced in 2:8, so target languages should not assign them to the immediately mentioned divine subject.	قُلُوبِهِمْ, زَادَهُمُ, لَهُمْ, كَانُوا, and يَكْذِبُونَ carry third-person plural reference across the 2:8-10 discourse sequence.
ae:v3:s002:010:pass3:support:t2	support	pass3	SUPPORT	t2	2	10	ae:v3:s002:010:pass3:support:t2	construction_unit	4	q:2:10:4	c2	ae:v3:s002:010:pass1:clause:c2																result_link													strongly_licensed	high	result_link;sequence	preserve_scope	The فَ in فَزَادَهُمُ marks the increase as a result or sequence from the heart-disease statement and should not be treated as a loose additive connector.	Pass 1 analyzes c2 as a result clause linked to c1 after the initial nominal statement.
ae:v3:s002:010:pass3:support:t3	support	pass3	SUPPORT	t3	2	10	ae:v3:s002:010:pass3:support:t3	semantic_role	13	q:2:10:13			a9	ae:v3:s002:010:pass1:attach:a9											cause				بِمَا relative complement												syntactically_forced	high	case_government;relative_clause	preserve_argument_role	The بِمَا clause gives the cause or basis for the punishment, and target languages may need to preserve that causal relation without resolving مَا beyond the Arabic.	Pass 1 attaches مَا through بِ as the reason complement to عَذَابٌ and analyzes مَا كَانُوا۟ يَكْذِبُونَ as a relative clause.
ae:v3:s002:010:pass3:support:t4	support	pass3	SUPPORT	t4	2	10	ae:v3:s002:010:pass3:support:t4	construction_unit	14	q:2:10:14	c4	ae:v3:s002:010:pass1:clause:c4	a10	ae:v3:s002:010:pass1:attach:a10														kana_plus_imperfect													syntactically_forced	high	kana_predicate;local_syntax	preserve_argument_role	The كَانُوا۟ يَكْذِبُونَ construction carries habitual or ongoing past aspect that may require a compound verbal rendering in target languages.	Pass 1 analyzes يَكْذِبُونَ as the predicate of كَانُوا۟ inside the relative clause.
ae:v3:s002:011:pass3:support:t1	support	pass3	SUPPORT	t1	2	11	ae:v3:s002:011:pass3:support:t1	transfer_risk	7	q:2:11:7			a3	ae:v3:s002:011:pass1:attach:a3	v2	ae:v3:s002:011:pass1:frame:v2																									syntactically_forced	high	local_syntax	target_language_may_require_supplied_word	The prohibition uses the verb absolutely with only a locative complement, so a target language may require a supplied object while Arabic leaves the harmed domain compressed.	Pass 1 marks frame v2 as obj=none_absolute with the fī al-ard complement attached by a3.
ae:v3:s002:011:pass3:support:t2	support	pass3	SUPPORT	t2	2	11	ae:v3:s002:011:pass3:support:t2	surface_force	6	q:2:11:6	c2	ae:v3:s002:011:pass1:clause:c2															prohibition														syntactically_forced	high	quotation;imperative	preserve_surface_force	The quoted la plus jussive is a prohibition, not simple descriptive negation.	Clause c2 is quoted content and word 6 is the prohibitive particle governing the jussive verb at word 7.
ae:v3:s002:011:pass3:support:t3	support	pass3	SUPPORT	t3	2	11	ae:v3:s002:011:pass3:support:t3	scope	11	q:2:11:11	c4	ae:v3:s002:011:pass1:clause:c4														restriction		restrictive_innama													syntactically_forced	high	formulaic_construction	preserve_scope	The response restricts the speakers' self-description to being reformers, so translation should preserve the exclusivity of the claim.	Clause c4 is a quoted inna-ma nominal answer with nahnu as subject and muslihun as predicate.
