root_arabic	form_tag	form_tag_available	instance_count	total_attach	partner_count	top_partner_root	top_partner_form_tag	top_partner_count	top_partner_ratio	constraint_ratio	collocation_entropy	batch_count	low_occurrence
أ ث م	ADJ_QUALIT	True	7	7	5	أ ف ك	ADJ_INTENS	2	0.286	0.286	2.236	7	False
أ ث م	GERUND	True	35	46	32	ع د و	GERUND	5	0.109	0.143	4.777	14	False
أ ث م	NOUN_ABSTRACT	True	3	3	3	أ ث م	GERUND	1	0.333	0.333	1.585	3	True
أ ث م	NOUN_ACTIVE_PART	True	3	3	3	ط و ع	IV:IV	1	0.333	0.333	1.585	3	True
أ ج ج	ADJ_QUALIT	True	1	1	1	ج ع ل	PV:I	1	1.0	1.0	0.0	1	True
أ ج ج	NOUN_ABSTRACT	True	2	2	1	م ل ح	NOUN_CONCRETE	2	1.0	1.0	0.0	2	True
أ ج ر	CV:X	True	1	1	1	أ ب و	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ج ر	GERUND	True	92	139	37	ع ظ م	ADJ_QUALIT	18	0.129	0.196	4.551	37	False
أ ج ر	IV:I	True	1	1	1	ث م ن	NOUN_NUM	1	1.0	1.0	0.0	1	True
أ ج ر	NOUN_ABSTRACT	True	7	7	2	و ف ي	IV:II	4	0.571	0.571	0.985	5	False
أ ج ر	NOUN_CONCRETE	True	6	6	2	أ ت ي	CV:IV	3	0.5	0.5	1.0	5	False
أ ج ل	NOUN_ABSTRACT	True	53	79	31	س م و	NOUN_PASSIVE_PART	21	0.266	0.396	4.201	27	False
أ ج ل	NOUN_PASSIVE_PART	True	1	1	1	ك ت ب	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ح د	NOUN_CONCRETE	True	19	25	23	ح ض ر	PV:I	2	0.08	0.105	4.484	8	False
أ ح د	NOUN_NUM	True	60	87	62	ب ي ن	ADV	4	0.046	0.067	5.759	30	False
أ خ ذ	CV:I	True	23	33	26	ق و ي	GERUND	5	0.152	0.217	4.511	13	False
أ خ ذ	CV:VIII	True	2	6	6	أ ل ه	NOUN_CONCRETE	1	0.167	0.5	2.585	2	True
أ خ ذ	GERUND	True	6	10	9	أ خ ذ	PV:I	2	0.2	0.333	3.122	5	False
أ خ ذ	GERUND_INSTANT	True	1	2	2	أ خ ذ	PV:I	1	0.5	1.0	1.0	1	True
أ خ ذ	IV:I	True	27	34	29	ع ذ ب	NOUN_ABSTRACT	3	0.088	0.111	4.771	14	False
أ خ ذ	IV:III	True	9	11	6	أ ل ه	NOUN_PROP	4	0.364	0.444	2.369	5	False
أ خ ذ	IV:VIII	True	53	107	57	و ل ي	NOUN_CONCRETE	14	0.131	0.264	5.287	21	False
أ خ ذ	IV_PASS:I	True	5	9	9	د ر س	PV:I	1	0.111	0.2	3.17	5	False
أ خ ذ	NOUN_ACTIVE_PART	True	6	10	7	خ د ن	NOUN_CONCRETE	2	0.2	0.333	2.722	6	False
أ خ ذ	PV:I	True	74	112	64	و ث ق	NOUN_ABSTRACT	14	0.125	0.189	5.464	32	False
أ خ ذ	PV:VIII	True	66	146	70	د و ن	NOUN_ABSTRACT	13	0.089	0.197	5.615	30	False
أ خ ذ	PV_PASS:I	True	1	1	1	ك و ن	NOUN_TIME_PLACE	1	1.0	1.0	0.0	1	True
أ خ ر	ADJ_COMP	True	95	104	53	ي و م	ADV	18	0.173	0.189	5.022	38	False
أ خ ر	ADJ_QUALIT	True	3	7	5	س ب ع	NOUN_NUM	2	0.286	0.667	2.236	2	True
أ خ ر	CV:II	True	1	2	2	أ ج ل	NOUN_ABSTRACT	1	0.5	1.0	1.0	1	True
أ خ ر	IV:II	True	6	8	5	أ ج ل	NOUN_ABSTRACT	4	0.5	0.667	2.0	6	False
أ خ ر	IV:V	True	1	1	1	ق د م	IV:V	1	1.0	1.0	0.0	1	True
أ خ ر	IV:X	True	6	11	4	س و ع	NOUN_ABSTRACT	4	0.364	0.667	1.823	6	False
أ خ ر	NOUN_ABSTRACT	True	43	50	17	د ن و	NOUN_ABSTRACT	13	0.26	0.302	3.41	25	False
أ خ ر	NOUN_ACTIVE_PART	True	85	93	55	ع ذ ب	NOUN_ABSTRACT	12	0.129	0.141	5.307	40	False
أ خ ر	PV:II	True	8	12	7	أ ج ل	NOUN_ABSTRACT	4	0.333	0.5	2.585	8	False
أ خ و	NOUN_CONCRETE	True	55	54	37	ب ن ي	NOUN_CONCRETE	5	0.093	0.091	4.979	21	False
أ خ و	NOUN_FIVE	True	41	37	26	ق و ل	PV:I	5	0.135	0.122	4.476	18	False
أ د ي	IV:II	True	1	2	2	أ م ن	NOUN_ABSTRACT	1	0.5	1.0	1.0	1	True
أ د ي	NOUN_ABSTRACT	True	2	3	3	ت ب ع	GERUND	1	0.333	0.5	1.585	2	True
أ د ي	PV:II	True	1	1	1	ع ب د	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ذ ن	CV:I	True	3	4	4	ح ر ب	GERUND	1	0.25	0.333	2.0	3	True
أ ذ ن	CV:II	True	1	2	2	أ ن س	NOUN_CONCRETE	1	0.5	1.0	1.0	1	True
أ ذ ن	GERUND	True	40	69	37	أ ل ه	NOUN_PROP	19	0.275	0.475	4.431	21	False
أ ذ ن	IV:I	True	4	8	7	أ ل ه	NOUN_PROP	2	0.25	0.5	2.75	4	True
أ ذ ن	IV:X	True	8	2	2	ب ع ض	NOUN_ABSTRACT	1	0.5	0.125	1.0	2	False
أ ذ ن	IV_PASS:I	True	3	1	1	ع ت ب	IV_PASS:X	1	1.0	0.333	0.0	3	True
أ ذ ن	IV_PASS:IV	True	2	2	2	ج ي أ	PV:I	1	0.5	0.5	1.0	2	True
أ ذ ن	NOUN_ABSTRACT	True	2	5	5	خ ي ر	GERUND	1	0.2	0.5	2.322	2	True
أ ذ ن	NOUN_ACTIVE_PART	True	2	2	1	أ ذ ن	PV:II	2	1.0	1.0	0.0	2	True
أ ذ ن	NOUN_CONCRETE	True	16	17	10	ج ع ل	PV:I	4	0.235	0.25	3.057	12	False
أ ذ ن	PV:I	True	10	11	7	أ ل ه	NOUN_PROP	2	0.182	0.2	2.732	9	False
أ ذ ن	PV:II	True	2	3	2	أ ذ ن	NOUN_ACTIVE_PART	2	0.667	1.0	0.918	2	True
أ ذ ن	PV:IV	True	3	4	4	د ر ر	IV:IV	1	0.25	0.333	2.0	3	True
أ ذ ن	PV:V	True	2	3	2	ر ب ب	NOUN_CONCRETE	2	0.667	1.0	0.918	2	True
أ ذ ن	PV:X	True	3	3	3	أ و ل	NOUN_CONCRETE	1	0.333	0.333	1.585	2	True
أ ذ ي	ADV	True	2	2	1	ق و ل	PV:I	2	1.0	1.0	0.0	2	True
أ ذ ي	GERUND	True	1	1	1	م ن ن	GERUND	1	1.0	1.0	0.0	1	True
أ ذ ي	IV:I	True	4	4	4	أ ل ه	NOUN_PROP	1	0.25	0.25	2.0	2	True
أ ذ ي	IV:IV	True	4	7	5	ر س ل	NOUN_CONCRETE	2	0.286	0.5	2.236	2	True
أ ذ ي	IV_PASS:IV	True	1	1	1	أ ل ه	NOUN_PROP	1	1.0	1.0	0.0	1	True
أ ذ ي	NOUN_ABSTRACT	True	8	8	8	ت ب ع	IV:I	1	0.125	0.125	3.0	4	False
أ ذ ي	PV_PASS:I	True	2	4	4	ب ع د	NOUN_ABSTRACT	1	0.25	0.5	2.0	2	True
أ ذ ي	PV_PASS:IV	True	1	2	2	س ب ل	NOUN_ABSTRACT	1	0.5	1.0	1.0	1	True
أ ر ب	NOUN_ABSTRACT	True	2	2	2	أ خ ر	ADJ_COMP	1	0.5	0.5	1.0	2	True
أ ر ض	NOUN_CONCRETE	True	461	463	175	س م و	NOUN_CONCRETE	161	0.348	0.349	5.509	80	False
أ ر ك	NOUN_CONCRETE	True	5	5	2	و ك أ	NOUN_ACTIVE_PART	3	0.6	0.6	0.971	4	False
أ ز ر	NOUN_ABSTRACT	True	1	1	1	ش د د	CV:I	1	1.0	1.0	0.0	1	True
أ ز ز	GERUND	True	1	1	1	أ ز ز	IV:I	1	1.0	1.0	0.0	1	True
أ ز ز	IV:I	True	1	2	2	أ ز ز	GERUND	1	0.5	1.0	1.0	1	True
أ ز ف	NOUN_PROP	True	2	2	2	أ ز ف	PV:I	1	0.5	0.5	1.0	2	True
أ ز ف	PV:I	True	1	1	1	أ ز ف	NOUN_PROP	1	1.0	1.0	0.0	1	True
أ س ر	IV:I	True	1	2	2	ف ر ق	NOUN_CONCRETE	1	0.5	1.0	1.0	1	True
أ س ر	NOUN_PASSIVE_PART	True	2	2	2	أ ت ي	IV:I	1	0.5	0.5	1.0	2	True
أ س س	PV:II	True	2	4	4	ب ن ي	GERUND	1	0.25	0.5	2.0	1	True
أ س س	PV_PASS:II	True	1	4	3	س ج د	NOUN_CONCRETE	2	0.5	2.0	1.5	1	True
أ س ف	ADJ_QUALIT	True	2	1	1	ر ج ع	PV:I	1	1.0	0.5	0.0	2	True
أ س ف	GERUND	True	2	1	1	ب خ ع	NOUN_ACTIVE_PART	1	1.0	0.5	0.0	2	True
أ س ن	NOUN_ACTIVE_PART	True	1	1	1	غ ي ر	NOUN_ABSTRACT	1	1.0	1.0	0.0	1	True
أ س و	IV:I	True	4	4	2	ق و م	NOUN_CONCRETE	3	0.75	0.75	0.811	3	True
أ س و	NOUN_ABSTRACT	True	1	3	3	ح س ن	NOUN_ABSTRACT	1	0.333	1.0	1.585	1	True
أ ش ر	ADJ_QUALIT	True	3	3	3	د ر ر	IV:IV	1	0.333	0.333	1.585	2	True
أ ص د	NOUN_PASSIVE_PART	True	2	1	1	ن و ر	NOUN_CONCRETE	1	1.0	0.5	0.0	2	True
أ ص ر	NOUN_ABSTRACT	True	3	4	4	أ خ ذ	PV:I	1	0.25	0.333	2.0	3	True
أ ص ل	NOUN_ABSTRACT	True	10	15	10	ب ك ر	NOUN_ABSTRACT	4	0.267	0.4	3.057	10	False
أ ف ف	NOUN_VERB_LIKE	True	3	2	2	ق و ل	IV:I	1	0.5	0.333	1.0	3	True
أ ف ق	NOUN_ABSTRACT	True	3	4	4	ب ي ن	NOUN_ACTIVE_PART	1	0.25	0.333	2.0	3	True
أ ف ك	ADJ_INTENS	True	2	4	2	أ ث م	ADJ_QUALIT	2	0.5	1.0	1.0	2	True
أ ف ك	GERUND	True	9	9	9	أ ل ه	NOUN_CONCRETE	1	0.111	0.111	3.17	6	False
أ ف ك	IV:I	True	3	1	1	أ ل ه	NOUN_CONCRETE	1	1.0	0.333	0.0	3	True
أ ف ك	IV_PASS:I	True	9	1	1	ك و ن	PV:I	1	1.0	0.111	0.0	9	False
أ ف ك	NOUN_ACTIVE_PART	True	3	2	2	ق و م	NOUN_CONCRETE	1	0.5	0.333	1.0	3	True
أ ف ل	NOUN_ACTIVE_PART	True	1	1	1	ح ب ب	IV:IV	1	1.0	1.0	0.0	1	True
أ ك ل	ADJ_INTENS	True	1	2	2	س ح ت	NOUN_ABSTRACT	1	0.5	1.0	1.0	1	True
أ ك ل	CV:I	True	4	5	5	ر ز ق	GERUND	1	0.2	0.25	2.322	3	True
أ ك ل	GERUND	True	4	9	8	س ح ت	NOUN_ABSTRACT	2	0.222	0.5	2.948	3	True
أ ك ل	IV:I	True	56	78	53	م و ل	NOUN_CONCRETE	6	0.077	0.107	5.509	28	False
أ ك ل	NOUN_ACTIVE_PART	True	3	3	3	ش ج ر	NOUN_CONCRETE	1	0.333	0.333	1.585	3	True
أ ك ل	NOUN_CONCRETE	True	7	10	9	أ ت ي	PV:IV	2	0.2	0.286	3.122	6	False
أ ك ل	NOUN_PASSIVE_PART	True	1	1	1	ع ص ف	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ك ل	PV:I	True	5	5	4	ذ أ ب	NOUN_CONCRETE	2	0.4	0.4	1.922	3	False
أ ل ت	PV:I	True	1	2	2	ش ي ء	NOUN_ABSTRACT	1	0.5	1.0	1.0	1	True
أ ل ف	GERUND	True	2	2	2	ر ح ل	GERUND	1	0.5	0.5	1.0	1	True
أ ل ف	IV:II	True	1	3	3	ب ي ن	ADV	1	0.333	1.0	1.585	1	True
أ ل ف	NOUN_NUM	True	14	24	14	س ن ن	NOUN_ABSTRACT	5	0.208	0.357	3.507	9	False
أ ل ف	NOUN_PASSIVE_PART	True	1	3	3	ص د ق	NOUN_CONCRETE	1	0.333	1.0	1.585	1	True
أ ل ف	PV:I	True	1	2	2	أ ب و	NOUN_CONCRETE	1	0.5	1.0	1.0	1	True
أ ل ف	PV:II	True	4	5	2	ب ي ن	ADV	4	0.8	1.0	0.722	2	True
أ ل م	ADJ_QUALIT	True	71	71	7	ع ذ ب	NOUN_ABSTRACT	54	0.761	0.761	1.271	42	False
أ ل م	IV:I	True	3	1	1	ك و ن	IV:I	1	1.0	0.333	0.0	1	True
أ ل م	NOUN_ACTIVE_PART	True	1	1	1	ع ذ ب	ADJ_QUALIT	1	1.0	1.0	0.0	1	True
أ ل ه	ADJ_COMP	True	1	1	1	و ف ي	PV:IV	1	1.0	1.0	0.0	1	True
أ ل ه	IV:IV	True	1	2	2	ذ ك ر	GERUND	1	0.5	1.0	1.0	1	True
أ ل ه	NOUN_CONCRETE	True	147	129	48	و ح د	NOUN_NUM	13	0.101	0.088	4.947	45	False
أ ل ه	NOUN_PROP	True	2702	2867	631	ر س ل	NOUN_CONCRETE	107	0.037	0.04	8.093	85	False
أ ل و	NOUN_ABSTRACT	True	34	36	3	ر ب ب	NOUN_CONCRETE	32	0.889	0.941	0.614	3	False
أ م ت	NOUN_ABSTRACT	True	1	2	2	ر أ ي	IV:I	1	0.5	1.0	1.0	1	True
أ م د	ADV	True	2	3	3	ب ع د	ADJ_QUALIT	1	0.333	0.5	1.585	2	True
أ م د	NOUN_ABSTRACT	True	1	1	1	ط و ل	PV:I	1	1.0	1.0	0.0	1	True
أ م د	NOUN_CONCRETE	True	1	2	1	ح ص ي	PV:IV	2	1.0	2.0	0.0	1	True
أ م ر	ADJ_INTENS	True	1	1	1	س و أ	GERUND	1	1.0	1.0	0.0	1	True
أ م ر	ADJ_QUALIT	True	1	1	1	ش ي ء	ADJ_QUALIT	1	1.0	1.0	0.0	1	True
أ م ر	CV:I	True	5	11	9	ع ر ف	NOUN_ABSTRACT	3	0.273	0.6	3.027	4	False
أ م ر	GERUND	True	85	120	57	أ ل ه	NOUN_PROP	14	0.117	0.165	5.176	42	False
أ م ر	IV:I	True	30	44	26	أ ل ه	NOUN_PROP	4	0.091	0.133	4.471	16	False
أ م ر	IV:VIII	True	1	2	2	ق ت ل	IV:I	1	0.5	1.0	1.0	1	True
أ م ر	NOUN_ABSTRACT	True	74	83	49	أ ل ه	NOUN_PROP	8	0.096	0.108	5.234	37	False
أ م ر	NOUN_ACTIVE_PART	True	1	4	4	ت و ب	NOUN_ACTIVE_PART	1	0.25	1.0	2.0	1	True
أ م ر	NOUN_CONCRETE	True	7	8	8	أ خ ذ	PV:I	1	0.125	0.143	3.0	2	False
أ م ر	PV:I	True	19	17	12	أ ل ه	NOUN_PROP	5	0.294	0.263	3.287	13	False
أ م ر	PV_PASS:I	True	17	5	5	أ م ن	PV:IV	1	0.2	0.059	2.322	11	False
أ م ل	GERUND	True	2	2	2	خ ي ر	ADJ_COMP	1	0.5	0.5	1.0	2	True
أ م م	ADV	True	1	1	1	ف ج ر	IV:I	1	1.0	1.0	0.0	1	True
أ م م	NOUN_ABSTRACT	True	3	3	3	أ ح د	NOUN_NUM	1	0.333	0.333	1.585	3	True
أ م م	NOUN_ACTIVE_PART	True	1	3	3	ب غ ي	IV:VIII	1	0.333	1.0	1.585	1	True
أ م م	NOUN_CONCRETE	True	99	145	73	ك ل ل	NOUN_ABSTRACT	15	0.103	0.152	5.661	35	False
أ م م	NOUN_RELATIVE	True	6	5	4	ن ب أ	NOUN_CONCRETE	2	0.4	0.333	1.922	4	False
أ م ن	ADJ_QUALIT	True	14	11	7	ر س ل	NOUN_CONCRETE	5	0.455	0.357	2.404	8	False
أ م ن	CV:I	True	1	3	3	ق و ل	PV:I	1	0.333	1.0	1.585	1	True
أ م ن	CV:IV	True	17	22	12	أ ل ه	NOUN_PROP	7	0.318	0.412	3.112	10	False
أ م ن	GERUND	True	53	57	44	ب ع د	ADV	6	0.105	0.113	5.232	22	False
أ م ن	IV:I	True	27	22	11	ق و م	NOUN_CONCRETE	9	0.409	0.333	2.89	19	False
أ م ن	IV:IV	True	154	145	55	أ ل ه	NOUN_PROP	33	0.228	0.214	4.762	49	False
أ م ن	NOUN_ABSTRACT	True	5	7	5	ر ع ي	NOUN_ACTIVE_PART	2	0.286	0.4	2.236	5	False
أ م ن	NOUN_ACTIVE_PART	True	246	224	113	ك و ن	PV:I	37	0.165	0.15	6.032	48	False
أ م ن	NOUN_CONCRETE	True	1	1	1	ب ل غ	CV:IV	1	1.0	1.0	0.0	1	True
أ م ن	NOUN_PASSIVE_PART	True	1	1	1	غ ي ر	NOUN_ABSTRACT	1	1.0	1.0	0.0	1	True
أ م ن	PV:I	True	27	17	13	ع م ل	PV:I	3	0.176	0.111	3.572	15	False
أ م ن	PV:IV	True	331	215	68	ع م ل	PV:I	55	0.256	0.166	4.758	66	False
أ م ه	NOUN_CONCRETE	True	9	16	12	ب ط ن	NOUN_CONCRETE	3	0.188	0.333	3.453	7	False
أ م و	NOUN_CONCRETE	True	1	1	1	ع ب د	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ ن ت		False	2	1	1	ق و ل	PV:I	1	1.0	0.5	0.0	1	True
أ ن ث	NOUN_CONCRETE	True	30	34	16	ذ ك ر	NOUN_CONCRETE	12	0.353	0.4	3.352	17	False
أ ن س	IV:X	True	1	1	1	س ل م	IV:II	1	1.0	1.0	0.0	1	True
أ ن س	NOUN_ACTIVE_PART	True	1	2	2	ح د ث	NOUN_ABSTRACT	1	0.5	1.0	1.0	1	True
أ ن س	NOUN_CONCRETE	True	329	309	158	ك ث ر	ADJ_COMP	20	0.065	0.061	6.82	76	False
أ ن س	NOUN_RELATIVE	True	2	4	4	س ق ي	IV:IV	1	0.25	0.5	2.0	2	True
أ ن س	PV:I	True	2	3	2	ن و ر	NOUN_CONCRETE	2	0.667	1.0	0.918	1	True
أ ن س	PV:IV	True	3	3	2	ن و ر	NOUN_CONCRETE	2	0.667	0.667	0.918	3	True
أ ن ف	NOUN_ABSTRACT	True	1	1	1	ق و ل	PV:I	1	1.0	1.0	0.0	1	True
أ ن ف	NOUN_CONCRETE	True	2	1	1	ن ف س	NOUN_ABSTRACT	1	1.0	0.5	0.0	1	True
أ ن م ا		False	2	2	1	ع ل م	CV:I	2	1.0	1.0	0.0	1	True
أ ن م	NOUN_CONCRETE	True	1	1	1	و ض ع	PV:I	1	1.0	1.0	0.0	1	True
أ ن ي	NOUN_ABSTRACT	True	3	7	5	ل ي ل	NOUN_ABSTRACT	3	0.429	1.0	2.128	3	True
أ ن ي	NOUN_ACTIVE_PART	True	1	1	1	ع ي ن	NOUN_ABSTRACT	1	1.0	1.0	0.0	1	True
أ ن ي	NOUN_CONCRETE	True	1	3	3	ط و ف	IV_PASS:I	1	0.333	1.0	1.585	1	True
أ ه ل	NOUN_ABSTRACT	True	4	8	7	ك و ن	PV:I	2	0.25	0.5	2.75	4	True
أ ه ل	NOUN_CONCRETE	True	126	174	99	ك ت ب	NOUN_CONCRETE	31	0.178	0.246	5.947	40	False
أ ه ل	PV_PASS:IV	True	2	2	1	غ ي ر	NOUN_ABSTRACT	2	1.0	1.0	0.0	2	True
أ و ب	ADJ_INTENS	True	6	4	3	ك ل ل	NOUN_ABSTRACT	2	0.5	0.333	1.5	3	False
أ و ب	GERUND_MEEM	True	3	2	2	أ خ ذ	PV:VIII	1	0.5	0.333	1.0	2	True
أ و ب	NOUN_TIME_PLACE	True	6	6	3	ح س ن	GERUND	4	0.667	0.667	1.252	3	False
أ و د	IV:I	True	1	1	1	ح ف ظ	GERUND	1	1.0	1.0	0.0	1	True
أ و ل		False	12	12	10	أ م ن	NOUN_ACTIVE_PART	2	0.167	0.167	3.252	4	False
أ و ل	ADJ_COMP	True	3	4	3	ق و ل	PV:I	2	0.5	0.667	1.5	2	True
أ و ل	ADJ_QUALIT	True	1	1	1	س ب ق	NOUN_ACTIVE_PART	1	1.0	1.0	0.0	1	True
أ و ل	GERUND	True	17	21	16	ح د ث	NOUN_ABSTRACT	3	0.143	0.176	3.88	7	False
أ و ل	NOUN_CONCRETE	True	74	123	70	ل ب ب	NOUN_ABSTRACT	16	0.13	0.216	5.7	31	False
أ و ل	NOUN_NUM	True	60	73	40	أ ب و	NOUN_CONCRETE	8	0.11	0.133	4.864	33	False
أ و ن	ADV	True	7	7	7	أ م ن	PV:IV	1	0.143	0.143	2.807	5	False
أ و ن	NOUN_ACTIVE_PART	True	1	1	1	ح م م	ADJ_INTENS	1	1.0	1.0	0.0	1	True
أ و ي	CV:I	True	1	1	1	ك ه ف	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
أ و ي	IV:IV	True	4	4	4	ج ب ل	NOUN_CONCRETE	1	0.25	0.25	2.0	3	True
أ و ي	NOUN_CONCRETE	True	2	2	2	ج ه ن م	NOUN_CONCRETE	1	0.5	0.5	1.0	1	True
أ و ي	NOUN_TIME_PLACE	True	20	25	10	ن و ر	NOUN_CONCRETE	8	0.32	0.4	2.793	15	False
أ و ي	PV:I	True	3	4	4	أ خ و	NOUN_FIVE	1	0.25	0.333	2.0	2	True
أ و ي	PV:IV	True	6	8	7	ن ص ر	PV:I	2	0.25	0.333	2.75	4	False
أ ي د	IV:II	True	1	2	2	أ ل ه	NOUN_PROP	1	0.5	1.0	1.0	1	True
أ ي د	NOUN_ABSTRACT	True	1	1	1	ذ و و	NOUN_FIVE	1	1.0	1.0	0.0	1	True
أ ي د	NOUN_CONCRETE	True	14	19	13	ر ج ل	NOUN_CONCRETE	3	0.158	0.214	3.577	12	False
أ ي د	PV:II	True	8	16	12	ر و ح	NOUN_ABSTRACT	4	0.25	0.5	3.375	6	False
أ ي ك	NOUN_CONCRETE	True	4	4	1	ص ح ب	NOUN_ACTIVE_PART	4	1.0	1.0	0.0	4	True
أ ي م	NOUN_CONCRETE	True	1	2	2	ص ل ح	NOUN_ACTIVE_PART	1	0.5	1.0	1.0	1	True
أ ي ي	NOUN_ABSTRACT	True	375	481	138	أ ل ه	NOUN_PROP	41	0.085	0.109	6.12	58	False
أ ي ي	NOUN_CONCRETE	True	7	11	8	أ ل ه	NOUN_PROP	3	0.273	0.429	2.845	2	False
إ ر م	NOUN_PROP	True	1	1	1	ذ و و	NOUN_ABSTRACT	1	1.0	1.0	0.0	1	True
إ ن م ا		False	11	4	2	ق و ل	PV:I	3	0.75	0.273	0.811	6	False
ب أ ر	NOUN_CONCRETE	True	1	3	3	ع ط ل	NOUN_PASSIVE_PART	1	0.333	1.0	1.585	1	True
ب أ س	ADJ_QUALIT	True	1	1	1	ع ذ ب	NOUN_ABSTRACT	1	1.0	1.0	0.0	1	True
ب أ س	GERUND	True	24	32	19	ش د د	ADJ_QUALIT	5	0.156	0.208	4.004	13	False
ب أ س	NOUN_ABSTRACT	True	5	7	5	أ خ ذ	PV:I	2	0.286	0.4	2.236	5	False
ب أ س	NOUN_ACTIVE_PART	True	1	2	2	ط ع م	CV:IV	1	0.5	1.0	1.0	1	True
ب أ س	UNINFLECTED_VERB	True	40	39	19	ص ي ر	GERUND	11	0.282	0.275	3.634	24	False
ب ت ك	IV:II	True	1	1	1	أ ذ ن	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
ب ت ل	CV:V	True	1	2	2	ب ت ل	GERUND	1	0.5	1.0	1.0	1	True
ب ت ل	GERUND	True	1	1	1	ب ت ل	CV:V	1	1.0	1.0	0.0	1	True
ب ث ث	GERUND	True	1	2	2	ح ز ن	GERUND	1	0.5	1.0	1.0	1	True
ب ث ث	IV:I	True	1	1	1	د ب ب	NOUN_CONCRETE	1	1.0	1.0	0.0	1	True
ب ث ث	NOUN_PASSIVE_PART	True	3	3	3	ز ر ب	NOUN_CONCRETE	1	0.333	0.333	1.585	3	True
ب ث ث	PV:I	True	4	6	5	ك ل ل	NOUN_ABSTRACT	2	0.333	0.5	2.252	4	True
