root_arabic	form_tag	form_tag_available	instance_count	dep_total	head_total	dep_dominant	dep_dominant_ratio	head_dominant	head_dominant_ratio	dep_entropy	head_entropy	ambiguous_dep	ambiguous_head	dep_dist	head_dist	batch_count	low_occurrence
أ ت ي	CV:IV	True	33	17	76	conjoined	0.882	direct_object	0.671	0.523	1.524	0	0	"{""conjoined"": 15, ""quoted_complement"": 2}"	"{""adverbial"": 1, ""circumstantial"": 2, ""conjoined"": 13, ""direct_object"": 51, ""prep_complement"": 4, ""vocative"": 5}"	17	False
أ ت ي	GERUND	True	3	3	3	conjoined	1.0	idafa	1.0	0.0	0.0	0	0	"{""conjoined"": 3}"	"{""idafa"": 3}"	3	True
أ ت ي	IV:I	True	168	36	362	conjoined	0.389	direct_object	0.329	2.31	2.33	0	4	"{""adjective"": 2, ""clausal_complement"": 1, ""conjoined"": 14, ""kana_predicate"": 2, ""particle_complement"": 8, ""predication"": 7, ""quoted_complement"": 2}"	"{""adverbial"": 15, ""circumstantial"": 29, ""conjoined"": 13, ""direct_object"": 119, ""exception"": 9, ""prep_complement"": 89, ""subject"": 87, ""vocative"": 1}"	51	False
أ ت ي	IV:IV	True	51	13	120	conjoined	0.538	direct_object	0.642	1.457	1.769	0	0	"{""conjoined"": 7, ""particle_complement"": 3, ""predication"": 3}"	"{""accusative_specification"": 1, ""adverbial"": 3, ""circumstantial"": 7, ""conjoined"": 9, ""direct_object"": 77, ""prep_complement"": 12, ""subject"": 11}"	27	False
أ ت ي	IV_PASS:I	True	1	0	1		0.0	direct_object	1.0	0.0	0.0	0	0	{}	"{""direct_object"": 1}"	1	True
أ ت ي	IV_PASS:IV	True	6	1	10	clausal_complement	1.0	direct_object	0.6	0.0	1.295	0	0	"{""clausal_complement"": 1}"	"{""conjoined"": 1, ""direct_object"": 6, ""subject"": 3}"	5	False
أ ت ي	NOUN_ACTIVE_PART	True	13	13	17	predication	0.923	direct_object	0.294	0.391	2.61	0	0	"{""conjoined"": 1, ""predication"": 12}"	"{""adverbial"": 3, ""circumstantial"": 2, ""direct_object"": 5, ""idafa"": 2, ""predication"": 1, ""prep_complement"": 3, ""subject"": 1}"	11	False
أ ت ي	NOUN_PASSIVE_PART	True	1	1	0	kana_predicate	1.0		0.0	0.0	0.0	0	0	"{""kana_predicate"": 1}"	{}	1	True
أ ت ي	PV:I	True	59	7	133	conjoined	0.714	direct_object	0.414	1.149	2.219	0	0	"{""adjective"": 1, ""conjoined"": 5, ""quoted_complement"": 1}"	"{""adverbial"": 5, ""circumstantial"": 6, ""clausal_complement"": 1, ""conjoined"": 4, ""direct_object"": 55, ""exception"": 2, ""prep_complement"": 30, ""subject"": 29, ""vocative"": 1}"	32	False
أ ت ي	PV:IV	True	115	20	287	conjoined	0.8	direct_object	0.753	1.122	1.343	0	0	"{""adjective"": 1, ""conjoined"": 16, ""particle_complement"": 1, ""predication"": 1, ""prep_complement"": 1}"	"{""accusative_specification"": 1, ""adverbial"": 2, ""apposition"": 1, ""circumstantial"": 4, ""conjoined"": 17, ""direct_object"": 216, ""prep_complement"": 27, ""subject"": 18, ""vocative"": 1}"	45	False
أ ت ي	PV_PASS:I	True	33	3	57	conjoined	0.333	direct_object	0.509	1.585	1.559	0	0	"{""conjoined"": 1, ""particle_complement"": 1, ""predication"": 1}"	"{""conjoined"": 1, ""direct_object"": 29, ""prep_complement"": 10, ""subject"": 17}"	15	False
أ ت ي	PV_PASS:IV	True	26	1	49	conjoined	1.0	direct_object	0.429	0.0	1.76	0	0	"{""conjoined"": 1}"	"{""adverbial"": 1, ""direct_object"": 21, ""exception"": 1, ""prep_complement"": 11, ""subject"": 15}"	17	False
أ ث ث	NOUN_CONCRETE	True	2	1	4	accusative_specification	1.0	conjoined	0.5	0.0	1.5	0	0	"{""accusative_specification"": 1}"	"{""conjoined"": 2, ""predication"": 1, ""prep_complement"": 1}"	2	True
أ ث ر	IV:IV	True	3	1	5	conjoined	1.0	direct_object	0.4	0.0	1.522	0	0	"{""conjoined"": 1}"	"{""circumstantial"": 1, ""direct_object"": 2, ""prep_complement"": 2}"	3	True
أ ث ر	IV_PASS:IV	True	1	1	0	adjective	1.0		0.0	0.0	0.0	0	0	"{""adjective"": 1}"	{}	1	True
أ ث ر	NOUN_ABSTRACT	True	11	12	9	prep_complement	0.667	idafa	0.778	1.189	0.764	0	0	"{""conjoined"": 3, ""direct_object"": 1, ""prep_complement"": 8}"	"{""idafa"": 7, ""prep_complement"": 2}"	8	False
أ ث ر	NOUN_CONCRETE	True	2	2	1	prep_complement	1.0	idafa	1.0	0.0	0.0	0	0	"{""prep_complement"": 2}"	"{""idafa"": 1}"	1	True
أ ث ر	PV:I	True	1	0	2		0.0	direct_object	0.5	0.0	1.0	0	0	{}	"{""direct_object"": 1, ""prep_complement"": 1}"	1	True
أ ث ر	PV:IV	True	2	0	5		0.0	direct_object	0.4	0.0	1.922	0	0	{}	"{""conjoined"": 1, ""direct_object"": 2, ""prep_complement"": 1, ""subject"": 1}"	2	True
أ ث ل	NOUN_CONCRETE	True	1	1	0	conjoined	1.0		0.0	0.0	0.0	0	0	"{""conjoined"": 1}"	{}	1	True
أ ث م	ADJ_QUALIT	True	7	7	0	adjective	0.857		0.0	0.592	0.0	0	0	"{""adjective"": 6, ""idafa"": 1}"	{}	7	False
أ ث م	GERUND	True	35	36	25	conjoined	0.25	conjoined	0.4	2.588	1.884	0	0	"{""accusative_specification"": 2, ""conjoined"": 9, ""direct_object"": 6, ""idafa"": 3, ""particle_complement"": 5, ""predication"": 2, ""prep_complement"": 9}"	"{""adjective"": 6, ""conjoined"": 10, ""predication"": 3, ""prep_complement"": 6}"	14	False
أ ث م	NOUN_ABSTRACT	True	3	2	4	direct_object	0.5	conjoined	0.25	1.0	2.0	0	0	"{""direct_object"": 1, ""prep_complement"": 1}"	"{""conjoined"": 1, ""idafa"": 1, ""predication"": 1, ""prep_complement"": 1}"	3	True
أ ث م	NOUN_ACTIVE_PART	True	3	3	3	direct_object	0.333	conjoined	0.333	1.585	1.585	0	0	"{""direct_object"": 1, ""particle_complement"": 1, ""prep_complement"": 1}"	"{""conjoined"": 1, ""prep_complement"": 1, ""subject"": 1}"	3	True
أ ج ج	ADJ_QUALIT	True	1	1	0	direct_object	1.0		0.0	0.0	0.0	0	0	"{""direct_object"": 1}"	{}	1	True
أ ج ج	NOUN_ABSTRACT	True	2	2	0	adjective	1.0		0.0	0.0	0.0	0	0	"{""adjective"": 2}"	{}	2	True
أ ج ر	CV:I	True	1	0	1		0.0	direct_object	1.0	0.0	0.0	0	0	{}	"{""direct_object"": 1}"	1	True
أ ج ر	CV:X	True	1	0	2		0.0	direct_object	0.5	0.0	1.0	0	0	{}	"{""direct_object"": 1, ""vocative"": 1}"	1	True
أ ج ر	GERUND	True	92	79	110	direct_object	0.468	adjective	0.3	2.274	2.364	1	0	"{""accusative_specification"": 2, ""conjoined"": 8, ""direct_object"": 37, ""particle_complement"": 6, ""predication"": 11, ""prep_complement"": 11, ""subject"": 4}"	"{""adjective"": 33, ""adverbial"": 7, ""conjoined"": 1, ""exception"": 3, ""idafa"": 20, ""predication"": 20, ""prep_complement"": 26}"	37	False
أ ج ر	IV:I	True	1	0	2		0.0	adverbial	0.5	0.0	1.0	0	0	{}	"{""adverbial"": 1, ""direct_object"": 1}"	1	True
أ ج ر	NOUN_ABSTRACT	True	7	7	3	direct_object	1.0	idafa	1.0	0.0	0.0	0	0	"{""direct_object"": 7}"	"{""idafa"": 3}"	5	False
أ ج ر	NOUN_CONCRETE	True	6	6	1	direct_object	1.0	idafa	1.0	0.0	0.0	0	0	"{""direct_object"": 6}"	"{""idafa"": 1}"	5	False
أ ج ر	PV:X	True	1	0	1		0.0	direct_object	1.0	0.0	0.0	0	0	{}	"{""direct_object"": 1}"	1	True
أ ج ل	NOUN_ABSTRACT	True	53	52	44	prep_complement	0.404	adjective	0.614	2.254	1.523	0	0	"{""conjoined"": 3, ""direct_object"": 12, ""idafa"": 2, ""particle_complement"": 2, ""predication"": 2, ""prep_complement"": 21, ""subject"": 10}"	"{""adjective"": 27, ""clausal_complement"": 1, ""idafa"": 11, ""predication"": 3, ""prep_complement"": 2}"	27	False
أ ج ل	NOUN_PASSIVE_PART	True	1	1	0	adjective	1.0		0.0	0.0	0.0	0	0	"{""adjective"": 1}"	{}	1	True
أ ج ل	PV:II	True	1	0	2		0.0	direct_object	0.5	0.0	1.0	0	0	{}	"{""direct_object"": 1, ""prep_complement"": 1}"	1	True
أ ج ل	PV_PASS:II	True	1	0	1		0.0	prep_complement	1.0	0.0	0.0	0	0	{}	"{""prep_complement"": 1}"	1	True
أ ح د	NOUN_CONCRETE	True	19	22	7	direct_object	0.591	idafa	0.429	1.289	1.449	0	0	"{""direct_object"": 13, ""prep_complement"": 2, ""subject"": 7}"	"{""conjoined"": 1, ""idafa"": 3, ""prep_complement"": 3}"	8	False
أ ح د	NOUN_NUM	True	60	67	33	direct_object	0.313	prep_complement	0.515	2.055	2.078	0	0	"{""direct_object"": 21, ""idafa"": 6, ""predication"": 3, ""prep_complement"": 16, ""subject"": 21}"	"{""accusative_specification"": 1, ""apposition"": 1, ""conjoined"": 3, ""exception"": 2, ""idafa"": 7, ""predication"": 2, ""prep_complement"": 17}"	30	False
أ خ ذ	CV:I	True	23	1	47	quoted_complement	1.0	direct_object	0.511	0.0	1.795	0	0	"{""quoted_complement"": 1}"	"{""adverbial"": 2, ""conjoined"": 12, ""direct_object"": 24, ""prep_complement"": 7, ""vocative"": 2}"	13	False
أ خ ذ	CV:VIII	True	2	1	7	quoted_complement	1.0	direct_object	0.429	0.0	1.449	0	0	"{""quoted_complement"": 1}"	"{""conjoined"": 1, ""direct_object"": 3, ""prep_complement"": 3}"	2	True
أ خ ذ	GERUND	True	6	4	9	cognate_acc	0.5	direct_object	0.222	1.5	2.725	0	0	"{""cognate_acc"": 2, ""particle_complement"": 1, ""prep_complement"": 1}"	"{""adjective"": 1, ""circumstantial"": 1, ""conjoined"": 1, ""direct_object"": 2, ""idafa"": 2, ""predication"": 1, ""prep_complement"": 1}"	5	False
أ خ ذ	GERUND_INSTANT	True	1	1	1	cognate_acc	1.0	adjective	1.0	0.0	0.0	0	0	"{""cognate_acc"": 1}"	"{""adjective"": 1}"	1	True
أ خ ذ	IV:I	True	27	7	49	adjective	0.429	direct_object	0.51	2.128	1.981	0	0	"{""adjective"": 3, ""circumstantial"": 1, ""clausal_complement"": 1, ""conjoined"": 1, ""kana_predicate"": 1}"	"{""adverbial"": 1, ""circumstantial"": 3, ""conjoined"": 1, ""direct_object"": 25, ""exception"": 1, ""prep_complement"": 10, ""subject"": 8}"	14	False
أ خ ذ	IV:III	True	9	2	24	conjoined	0.5	direct_object	0.375	1.0	1.98	0	0	"{""conjoined"": 1, ""particle_complement"": 1}"	"{""conjoined"": 2, ""direct_object"": 9, ""prep_complement"": 8, ""subject"": 4, ""vocative"": 1}"	5	False
أ خ ذ	IV:VIII	True	53	19	121	conjoined	0.368	direct_object	0.686	2.074	1.486	0	0	"{""circumstantial"": 1, ""clausal_complement"": 1, ""conjoined"": 7, ""particle_complement"": 7, ""predication"": 1, ""quoted_complement"": 2}"	"{""adverbial"": 4, ""circumstantial"": 2, ""clausal_complement"": 1, ""conjoined"": 2, ""direct_object"": 83, ""prep_complement"": 21, ""subject"": 8}"	21	False
أ خ ذ	IV_PASS:I	True	5	1	13	conjoined	1.0	prep_complement	0.538	0.0	1.669	0	0	"{""conjoined"": 1}"	"{""adverbial"": 1, ""conjoined"": 2, ""prep_complement"": 7, ""subject"": 3}"	5	False
أ خ ذ	NOUN_ACTIVE_PART	True	6	6	7	conjoined	0.333	idafa	0.429	1.918	1.842	0	0	"{""conjoined"": 2, ""kana_predicate"": 2, ""predication"": 1, ""prep_complement"": 1}"	"{""direct_object"": 2, ""exception"": 1, ""idafa"": 3, ""prep_complement"": 1}"	6	False
أ خ ذ	PV:I	True	74	10	172	conjoined	0.8	direct_object	0.419	0.922	2.257	0	0	"{""circumstantial"": 1, ""conjoined"": 8, ""exception"": 1}"	"{""adverbial"": 4, ""circumstantial"": 10, ""clausal_complement"": 1, ""cognate_acc"": 4, ""conjoined"": 12, ""direct_object"": 72, ""prep_complement"": 36, ""subject"": 33}"	32	False
أ خ ذ	PV:VIII	True	66	17	159	conjoined	0.353	direct_object	0.572	1.58	1.934	0	4	"{""conjoined"": 6, ""predication"": 5, ""quoted_complement"": 6}"	"{""accusative_specification"": 1, ""adverbial"": 8, ""circumstantial"": 6, ""cognate_acc"": 1, ""conjoined"": 8, ""direct_object"": 91, ""prep_complement"": 29, ""subject"": 15}"	30	False
أ خ ذ	PV_PASS:I	True	1	0	1		0.0	prep_complement	1.0	0.0	0.0	0	0	{}	"{""prep_complement"": 1}"	1	True
أ خ ر	ADJ_COMP	True	95	91	15	adjective	0.615	predication	0.4	1.845	1.566	0	0	"{""adjective"": 56, ""conjoined"": 8, ""direct_object"": 8, ""idafa"": 5, ""prep_complement"": 6, ""subject"": 8}"	"{""adjective"": 4, ""predication"": 6, ""prep_complement"": 5}"	38	False
أ خ ر	ADJ_QUALIT	True	3	4	3	conjoined	0.75	adjective	0.667	0.811	0.918	0	0	"{""conjoined"": 3, ""direct_object"": 1}"	"{""adjective"": 2, ""predication"": 1}"	2	True
أ خ ر	CV:II	True	1	0	3		0.0	direct_object	0.333	0.0	1.585	0	0	{}	"{""direct_object"": 1, ""prep_complement"": 1, ""vocative"": 1}"	1	True
أ خ ر	IV:II	True	6	2	13	conjoined	0.5	direct_object	0.385	1.0	1.884	0	0	"{""conjoined"": 1, ""predication"": 1}"	"{""adverbial"": 2, ""direct_object"": 5, ""prep_complement"": 4, ""subject"": 2}"	6	False
أ خ ر	IV:V	True	1	1	0	conjoined	1.0		0.0	0.0	0.0	0	0	"{""conjoined"": 1}"	{}	1	True
أ خ ر	IV:X	True	6	3	9	conjoined	0.667	adverbial	0.444	0.918	1.392	0	0	"{""adjective"": 1, ""conjoined"": 2}"	"{""adverbial"": 4, ""conjoined"": 4, ""prep_complement"": 1}"	6	False
أ خ ر	NOUN_ABSTRACT	True	43	41	10	prep_complement	0.561	predication	0.7	1.125	1.357	0	0	"{""conjoined"": 17, ""particle_complement"": 1, ""prep_complement"": 23}"	"{""adverbial"": 1, ""conjoined"": 1, ""predication"": 7, ""prep_complement"": 1}"	25	False
أ خ ر	NOUN_ACTIVE_PART	True	85	89	9	prep_complement	0.483	conjoined	0.333	2.136	2.419	0	0	"{""adjective"": 9, ""adverbial"": 1, ""conjoined"": 7, ""direct_object"": 8, ""idafa"": 19, ""particle_complement"": 1, ""predication"": 1, ""prep_complement"": 43}"	"{""apposition"": 1, ""clausal_complement"": 1, ""conjoined"": 3, ""idafa"": 1, ""predication"": 2, ""prep_complement"": 1}"	40	False
أ خ ر	PV:II	True	8	4	16	conjoined	1.0	direct_object	0.5	0.0	1.272	0	0	"{""conjoined"": 4}"	"{""direct_object"": 8, ""prep_complement"": 7, ""vocative"": 1}"	8	False
أ خ ر	PV:V	True	2	0	2		0.0	subject	1.0	0.0	0.0	0	0	{}	"{""subject"": 2}"	2	True
أ خ و	NOUN_CONCRETE	True	55	54	24	conjoined	0.241	idafa	0.375	2.788	2.146	0	0	"{""apposition"": 1, ""circumstantial"": 1, ""conjoined"": 13, ""direct_object"": 1, ""idafa"": 11, ""kana_predicate"": 3, ""predication"": 5, ""prep_complement"": 11, ""subject"": 7, ""vocative"": 1}"	"{""adjective"": 1, ""apposition"": 2, ""conjoined"": 2, ""idafa"": 9, ""predication"": 2, ""prep_complement"": 8}"	21	False
أ خ و	NOUN_FIVE	True	41	37	37	direct_object	0.297	idafa	0.514	2.329	1.15	0	0	"{""conjoined"": 9, ""direct_object"": 11, ""idafa"": 8, ""predication"": 1, ""prep_complement"": 4, ""subject"": 4}"	"{""apposition"": 17, ""circumstantial"": 1, ""idafa"": 19}"	18	False
أ د ي	IV:II	True	1	0	2		0.0	direct_object	0.5	0.0	1.0	0	0	{}	"{""direct_object"": 1, ""prep_complement"": 1}"	1	True
أ د ي	NOUN_ABSTRACT	True	2	2	2	adjective	0.5	prep_complement	1.0	1.0	0.0	0	0	"{""adjective"": 1, ""conjoined"": 1}"	"{""prep_complement"": 2}"	2	True
أ د ي	PV:II	True	1	0	2		0.0	direct_object	0.5	0.0	1.0	0	0	{}	"{""direct_object"": 1, ""prep_complement"": 1}"	1	True
أ ذ ن	CV:I	True	3	1	5	quoted_complement	1.0	prep_complement	0.6	0.0	0.971	0	0	"{""quoted_complement"": 1}"	"{""conjoined"": 2, ""prep_complement"": 3}"	3	True
أ ذ ن	CV:II	True	1	0	2		0.0	prep_complement	1.0	0.0	0.0	0	0	{}	"{""prep_complement"": 2}"	1	True
أ ذ ن	GERUND	True	40	41	31	prep_complement	0.927	idafa	0.839	0.445	0.947	0	0	"{""exception"": 2, ""idafa"": 1, ""prep_complement"": 38}"	"{""adverbial"": 1, ""clausal_complement"": 1, ""idafa"": 26, ""predication"": 1, ""prep_complement"": 2}"	21	False
أ ذ ن	IV:I	True	4	2	10	conjoined	0.5	subject	0.4	1.0	2.046	0	0	"{""conjoined"": 1, ""particle_complement"": 1}"	"{""circumstantial"": 1, ""conjoined"": 1, ""direct_object"": 1, ""prep_complement"": 3, ""subject"": 4}"	4	True
أ ذ ن	IV:X	True	8	0	16		0.0	direct_object	0.438	0.0	2.225	0	0	{}	"{""adverbial"": 2, ""circumstantial"": 1, ""clausal_complement"": 1, ""direct_object"": 7, ""prep_complement"": 2, ""subject"": 3}"	2	False
أ ذ ن	IV_PASS:I	True	3	0	4		0.0	prep_complement	0.75	0.0	0.811	0	0	{}	"{""conjoined"": 1, ""prep_complement"": 3}"	3	True
أ ذ ن	IV_PASS:IV	True	2	1	3	clausal_complement	1.0	prep_complement	1.0	0.0	0.0	0	0	"{""clausal_complement"": 1}"	"{""prep_complement"": 3}"	2	True
أ ذ ن	NOUN_ABSTRACT	True	2	2	4	quoted_complement	0.5	adjective	0.25	1.0	2.0	0	0	"{""quoted_complement"": 1, ""subject"": 1}"	"{""adjective"": 1, ""conjoined"": 1, ""idafa"": 1, ""prep_complement"": 1}"	2	True
أ ذ ن	NOUN_ACTIVE_PART	True	2	2	0	subject	1.0		0.0	0.0	0.0	0	0	"{""subject"": 2}"	{}	2	True
أ ذ ن	NOUN_CONCRETE	True	16	17	12	prep_complement	0.588	idafa	0.333	1.574	1.959	0	0	"{""conjoined"": 3, ""direct_object"": 1, ""predication"": 3, ""prep_complement"": 10}"	"{""adjective"": 3, ""idafa"": 4, ""predication"": 2, ""prep_complement"": 3}"	12	False
أ ذ ن	PV:I	True	10	0	20		0.0	prep_complement	0.55	0.0	1.619	0	0	{}	"{""clausal_complement"": 1, ""conjoined"": 4, ""prep_complement"": 11, ""subject"": 4}"	9	False
أ ذ ن	PV:II	True	2	0	6		0.0	quoted_complement	0.333	0.0	1.918	0	0	{}	"{""adverbial"": 1, ""quoted_complement"": 2, ""subject"": 2, ""vocative"": 1}"	2	True
أ ذ ن	PV:IV	True	3	2	6	quoted_complement	1.0	direct_object	0.333	0.0	1.918	0	0	"{""quoted_complement"": 2}"	"{""clausal_complement"": 1, ""conjoined"": 1, ""direct_object"": 2, ""prep_complement"": 2}"	3	True
أ ذ ن	PV:V	True	2	0	3		0.0	subject	0.667	0.0	0.918	0	0	{}	"{""clausal_complement"": 1, ""subject"": 2}"	2	True
أ ذ ن	PV:X	True	3	0	6		0.0	direct_object	0.333	0.0	1.918	0	0	{}	"{""conjoined"": 1, ""direct_object"": 2, ""prep_complement"": 1, ""subject"": 2}"	2	True
أ ذ ن	PV_PASS:I	True	1	0	3		0.0	prep_complement	0.667	0.0	0.918	0	0	{}	"{""clausal_complement"": 1, ""prep_complement"": 2}"	1	True
أ ذ ي	ADV	True	2	2	0	adverbial	1.0		0.0	0.0	0.0	0	0	"{""adverbial"": 2}"	{}	2	True
أ ذ ي	GERUND	True	1	1	0	conjoined	1.0		0.0	0.0	0.0	0	0	"{""conjoined"": 1}"	{}	1	True
أ ذ ي	IV:I	True	4	1	4	conjoined	1.0	direct_object	0.75	0.0	0.811	0	0	"{""conjoined"": 1}"	"{""direct_object"": 3, ""prep_complement"": 1}"	2	True
أ ذ ي	IV:IV	True	4	1	7	kana_predicate	1.0	direct_object	0.571	0.0	1.379	0	0	"{""kana_predicate"": 1}"	"{""conjoined"": 2, ""direct_object"": 4, ""subject"": 1}"	2	True
أ ذ ي	IV_PASS:IV	True	1	0	2		0.0	adverbial	0.5	0.0	1.0	0	0	{}	"{""adverbial"": 1, ""prep_complement"": 1}"	1	True
أ ذ ي	NOUN_ABSTRACT	True	8	7	5	direct_object	0.286	prep_complement	0.6	2.236	1.371	0	0	"{""conjoined"": 1, ""direct_object"": 2, ""exception"": 1, ""predication"": 1, ""subject"": 2}"	"{""adjective"": 1, ""predication"": 1, ""prep_complement"": 3}"	4	False
أ ذ ي	PV:I	True	2	0	2		0.0	direct_object	1.0	0.0	0.0	0	0	{}	"{""direct_object"": 2}"	2	True
أ ذ ي	PV:IV	True	1	0	2		0.0	direct_object	0.5	0.0	1.0	0	0	{}	"{""direct_object"": 1, ""subject"": 1}"	1	True
أ ذ ي	PV_PASS:I	True	2	2	2	conjoined	0.5	prep_complement	1.0	1.0	0.0	0	0	"{""conjoined"": 1, ""quoted_complement"": 1}"	"{""prep_complement"": 2}"	2	True
أ ذ ي	PV_PASS:IV	True	1	1	1	conjoined	1.0	prep_complement	1.0	0.0	0.0	0	0	"{""conjoined"": 1}"	"{""prep_complement"": 1}"	1	True
أ ر ب	NOUN_ABSTRACT	True	2	1	4	idafa	1.0	prep_complement	0.5	0.0	1.5	0	0	"{""idafa"": 1}"	"{""adjective"": 1, ""predication"": 1, ""prep_complement"": 2}"	2	True
أ ر ض	NOUN_CONCRETE	True	461	497	45	prep_complement	0.443	conjoined	0.422	2.026	2.239	0	0	"{""adverbial"": 1, ""conjoined"": 157, ""direct_object"": 62, ""idafa"": 15, ""kana_predicate"": 2, ""particle_complement"": 5, ""predication"": 8, ""prep_complement"": 220, ""subject"": 26, ""vocative"": 1}"	"{""adjective"": 9, ""circumstantial"": 4, ""conjoined"": 19, ""idafa"": 6, ""predication"": 5, ""prep_complement"": 2}"	80	False
أ ر ك	NOUN_CONCRETE	True	5	5	0	prep_complement	1.0		0.0	0.0	0.0	0	0	"{""prep_complement"": 5}"	{}	4	False
أ ز ر	NOUN_ABSTRACT	True	1	1	1	direct_object	1.0	idafa	1.0	0.0	0.0	0	0	"{""direct_object"": 1}"	"{""idafa"": 1}"	1	True
أ ز ر	PV:III	True	1	0	1		0.0	direct_object	1.0	0.0	0.0	0	2	{}	"{""direct_object"": 1}"	1	True
أ ز ز	GERUND	True	1	1	0	cognate_acc	1.0		0.0	0.0	0.0	0	0	"{""cognate_acc"": 1}"	{}	1	True
أ ز ز	IV:I	True	1	1	2	circumstantial	1.0	cognate_acc	0.5	0.0	1.0	0	0	"{""circumstantial"": 1}"	"{""cognate_acc"": 1, ""direct_object"": 1}"	1	True
أ ز ف	NOUN_PROP	True	2	2	0	idafa	0.5		0.0	1.0	0.0	0	0	"{""idafa"": 1, ""subject"": 1}"	{}	2	True
أ ز ف	PV:I	True	1	0	1		0.0	subject	1.0	0.0	0.0	0	0	{}	"{""subject"": 1}"	1	True
أ س ر	IV:I	True	1	1	1	conjoined	1.0	direct_object	1.0	0.0	0.0	0	0	"{""conjoined"": 1}"	"{""direct_object"": 1}"	1	True
أ س ر	NOUN_PASSIVE_PART	True	2	2	0	circumstantial	0.5		0.0	1.0	0.0	0	0	"{""circumstantial"": 1, ""conjoined"": 1}"	{}	2	True
أ س س	PV:II	True	2	0	6		0.0	direct_object	0.333	0.0	1.585	0	0	{}	"{""direct_object"": 2, ""prep_complement"": 2, ""subject"": 2}"	1	True
أ س س	PV_PASS:II	True	1	1	3	adjective	1.0	prep_complement	0.667	0.0	0.918	0	0	"{""adjective"": 1}"	"{""prep_complement"": 2, ""subject"": 1}"	1	True
أ س ف	ADJ_QUALIT	True	2	2	0	circumstantial	1.0		0.0	0.0	0.0	0	0	"{""circumstantial"": 2}"	{}	2	True
أ س ف	GERUND	True	2	2	1	circumstantial	0.5	prep_complement	1.0	1.0	0.0	0	0	"{""circumstantial"": 1, ""vocative"": 1}"	"{""prep_complement"": 1}"	2	True
أ س ف	PV:IV	True	1	0	1		0.0	direct_object	1.0	0.0	0.0	0	0	{}	"{""direct_object"": 1}"	1	True
أ س ن	NOUN_ACTIVE_PART	True	1	1	0	idafa	1.0		0.0	0.0	0.0	0	0	"{""idafa"": 1}"	{}	1	True
أ س و	IV:I	True	4	0	6		0.0	prep_complement	0.667	0.0	1.252	0	0	{}	"{""circumstantial"": 1, ""conjoined"": 1, ""prep_complement"": 4}"	3	True
أ س و	NOUN_ABSTRACT	True	1	1	3	subject	1.0	prep_complement	0.667	0.0	0.918	0	0	"{""subject"": 1}"	"{""adjective"": 1, ""prep_complement"": 2}"	1	True
