root_arabic	form_tag	form_tag_available	instance_count	frame_count	absolute_ratio	top_prep	prep_profile	obj_status_dist	clausal_complement_count	passive_count	prodrop_count	batch_count	low_occurrence
أ خ ر	IV:II	True	6	6	0.0	إِلَى	"{""إِلَى"": 2, ""لـ"": 2}"	"{""clitic"": 4, ""explicit"": 1, ""none_passive"": 1}"	0	1	4	6	False
أ خ ر	IV:V	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	1	1	True
أ خ ر	IV:X	True	6	6	0.0	عَن	"{""عَن"": 1}"	"{""none_intransitive"": 6}"	0	0	6	6	False
أ خ ر	PV:II	True	8	8	0.0	إِلَى	"{""إِلَى"": 6, ""عَن"": 1}"	"{""clitic"": 5, ""explicit"": 3}"	0	0	8	8	False
أ خ ر	PV:V	True	2	2	0.0		{}	"{""none_intransitive"": 2}"	0	0	0	2	True
أ د ي	IV:II	True	1	1	0.0	إِلَى	"{""إِلَى"": 1}"	"{""explicit"": 1}"	0	0	1	1	True
أ د ي	PV:II	True	1	1	0.0	إِلَى	"{""إِلَى"": 1}"	"{""explicit"": 1}"	0	0	1	1	True
أ ذ ن	CV:I	True	3	3	1.0	لـ	"{""بـ"": 1, ""لـ"": 2}"	"{""none_absolute"": 2, ""none_intransitive"": 1}"	0	0	3	3	True
أ ذ ن	CV:II	True	1	1	1.0	بـ	"{""بـ"": 1, ""فِي"": 1}"	"{""none_absolute"": 1}"	0	0	1	1	True
أ ذ ن	IV:I	True	4	4	0.75	لـ	"{""بـ"": 1, ""لـ"": 2}"	"{""explicit"": 1, ""none_absolute"": 3}"	0	0	0	4	True
أ ذ ن	IV:X	True	8	8	0.125	لـ	"{""لـ"": 1}"	"{""clausal"": 1, ""clitic"": 6, ""none_absolute"": 1}"	1	0	5	2	False
أ ذ ن	IV_PASS:I	True	3	3	0.0	لـ	"{""لـ"": 3}"	"{""none_passive"": 3}"	0	3	0	3	True
أ ذ ن	IV_PASS:IV	True	2	2	0.0	لـ	"{""إِلَى"": 1, ""لـ"": 2}"	"{""none_passive"": 2}"	0	2	0	2	True
أ ذ ن	PV:I	True	10	10	0.75	لـ	"{""فِي"": 1, ""لـ"": 10}"	"{""clausal"": 1, ""none_absolute"": 3, ""none_intransitive"": 6}"	1	0	6	9	False
أ ذ ن	PV:II	True	2	2	0.0		{}	"{""clausal"": 2}"	2	0	0	2	True
أ ذ ن	PV:IV	True	3	3	0.333	عَلَى	"{""عَلَى"": 1, ""لـ"": 1}"	"{""both"": 1, ""clitic"": 1, ""none_absolute"": 1}"	1	0	3	3	True
أ ذ ن	PV:V	True	2	2	0.5		{}	"{""clausal"": 1, ""none_absolute"": 1}"	1	0	0	2	True
أ ذ ن	PV:X	True	3	3	0.333	لـ	"{""لـ"": 1}"	"{""clitic"": 2, ""none_absolute"": 1}"	0	0	1	2	True
أ ذ ن	PV_PASS:I	True	1	1	0.0	بـ	"{""بـ"": 1, ""لـ"": 1}"	"{""none_passive"": 1}"	1	1	0	1	True
أ ذ ي	IV:I	True	4	4	0.0		{}	"{""clitic"": 1, ""explicit"": 2, ""none_passive"": 1}"	0	1	4	2	True
أ ذ ي	IV:IV	True	4	4	0.0		{}	"{""explicit"": 4}"	0	0	3	2	True
أ ذ ي	IV_PASS:IV	True	1	1	0.0	فِي	"{""فِي"": 1}"	"{""none_passive"": 1}"	0	1	1	1	True
أ ذ ي	PV:I	True	2	2	0.0		{}	"{""clitic"": 2}"	0	0	2	2	True
أ ذ ي	PV:IV	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	0	1	True
أ ذ ي	PV_PASS:I	True	2	2	0.0	مِن	"{""مِن"": 2}"	"{""none_passive"": 2}"	0	2	1	2	True
أ ذ ي	PV_PASS:IV	True	1	1	0.0	فِي	"{""فِي"": 1}"	"{""none_passive"": 1}"	0	1	1	1	True
أ ز ر	PV:III	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	0	1	True
أ ز ز	IV:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
أ ز ف	PV:I	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	0	1	True
أ س ر	IV:I	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	1	1	True
أ س س	PV:II	True	2	2	0.0	عَلَى	"{""عَلَى"": 2}"	"{""explicit"": 2}"	0	0	0	1	True
أ س س	PV_PASS:II	True	1	1	0.0	عَلَى	"{""عَلَى"": 1, ""مِن"": 1}"	"{""none_passive"": 1}"	0	1	0	1	True
أ س ف	PV:IV	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
أ س و	IV:I	True	4	4	0.0	عَلَى	"{""عَلَى"": 4}"	"{""none_intransitive"": 4}"	0	0	4	3	True
أ ف ك	IV:I	True	3	3	0.0	عَن	"{""عَن"": 1}"	"{""clitic"": 1, ""explicit"": 2}"	0	0	3	3	True
أ ف ك	IV_PASS:I	True	9	9	0.0	عَن	"{""عَن"": 1, ""كـ"": 1}"	"{""none_passive"": 9}"	0	9	2	9	False
أ ف ك	IV_PASS:IV	True	3	3	0.0	كـ	"{""كـ"": 1}"	"{""none_passive"": 3}"	0	3	2	3	True
أ ف ك	PV_PASS:I	True	1	1	0.0		{}	"{""none_passive"": 1}"	0	1	1	1	True
أ ف ل	PV:I	True	3	3	0.0		{}	"{""none_intransitive"": 3}"	0	0	3	1	True
أ ك ل	CV:I	True	4	4	1.0	مِن	"{""بـ"": 1, ""مِن"": 2}"	"{""none_absolute"": 4}"	0	0	4	3	True
أ ك ل	IV:I	True	56	56	0.482	مِن	"{""إِلَى"": 1, ""بـ"": 5, ""فِي"": 4, ""كـ"": 1, ""مِن"": 20}"	"{""clitic"": 6, ""explicit"": 23, ""none_absolute"": 27}"	0	0	42	28	False
أ ك ل	PV:I	True	5	5	0.4	مِن	"{""مِن"": 3}"	"{""clitic"": 2, ""explicit"": 1, ""none_absolute"": 2}"	0	0	2	3	False
أ ل ت	PV:I	True	1	1	0.0	مِن	"{""مِن"": 2}"	"{""clitic"": 1}"	0	0	1	1	True
أ ل ف	IV:II	True	1	1	1.0		{}	"{""none_absolute"": 1}"	0	0	1	1	True
أ ل ف	PV:I	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	1	1	True
أ ل ف	PV:II	True	4	4	1.0		{}	"{""none_absolute"": 4}"	0	0	1	2	True
أ ل م	IV:I	True	3	3	0.0	كـ	"{""كـ"": 1}"	"{""none_intransitive"": 3}"	0	0	3	1	True
أ ل ه	IV:IV	True	1	1	0.0	عَن	"{""عَن"": 1}"	"{""clitic"": 1}"	0	0	0	1	True
أ م ر	CV:I	True	5	5	0.6	بـ	"{""بـ"": 4}"	"{""explicit"": 2, ""none_absolute"": 3}"	0	0	5	4	False
أ م ر	GERUND	True	85	1	1.0		{}	"{""none_absolute"": 1}"	0	0	0	42	False
أ م ر	IV:I	True	30	30	0.207	بـ	"{""بـ"": 18}"	"{""both"": 6, ""clitic"": 10, ""explicit"": 7, ""none_absolute"": 6, ""none_intransitive"": 1}"	7	0	20	16	False
أ م ر	IV:VIII	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
أ م ر	IV_PASS:I	True	6	6	0.0		{}	"{""none_passive"": 6}"	0	6	5	5	False
أ م ر	PV:I	True	19	19	0.235	بـ	"{""بـ"": 11}"	"{""both"": 2, ""clausal"": 4, ""clitic"": 6, ""explicit"": 1, ""none_absolute"": 4, ""none_intransitive"": 2}"	5	0	11	13	False
أ م ر	PV_PASS:I	True	17	17	0.0	بـ	"{""بـ"": 1}"	"{""clausal"": 5, ""none_passive"": 12}"	13	12	9	11	False
أ م ن	CV:I	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
أ م ن	CV:IV	True	17	17	1.0	بـ	"{""بـ"": 18, ""كـ"": 1}"	"{""none_absolute"": 5, ""none_intransitive"": 12}"	0	0	17	10	False
أ م ن	IV:I	True	27	27	0.333	بـ	"{""بـ"": 12, ""عَلَى"": 1, ""لـ"": 1}"	"{""clitic"": 4, ""explicit"": 2, ""none_absolute"": 3, ""none_intransitive"": 18}"	0	0	17	19	False
أ م ن	IV:IV	True	154	154	1.0	بـ	"{""بـ"": 99, ""كـ"": 1, ""لـ"": 11, ""مِن"": 1}"	"{""none_absolute"": 24, ""none_intransitive"": 130}"	0	0	115	49	False
أ م ن	PV:I	True	27	27	0.214	مِن	"{""بـ"": 1, ""عَلَى"": 1, ""لـ"": 1, ""مِن"": 2}"	"{""clausal"": 6, ""clitic"": 1, ""explicit"": 4, ""none_absolute"": 3, ""none_intransitive"": 13}"	8	0	17	15	False
أ م ن	PV:IV	True	331	331	0.923	بـ	"{""بـ"": 64, ""عَلَى"": 1, ""لـ"": 3, ""مِن"": 7}"	"{""clausal"": 1, ""clitic"": 2, ""none_absolute"": 36, ""none_intransitive"": 292}"	1	0	181	66	False
أ م ن	PV_PASS:VIII	True	1	1	0.0		{}	"{""none_passive"": 1}"	0	1	0	1	True
أ ن س	IV:X	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	1	1	True
أ ن س	PV:I	True	2	2	0.0	مِن	"{""مِن"": 1}"	"{""explicit"": 2}"	0	0	2	1	True
أ ن س	PV:IV	True	3	3	0.0	مِن	"{""مِن"": 1}"	"{""explicit"": 3}"	0	0	3	3	True
أ ن ي	IV:I	True	1	1	0.0	لـ	"{""لـ"": 1}"	"{""clausal"": 1}"	1	0	0	1	True
أ و ب	CV:II	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	1	1	True
أ و د	IV:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	0	1	True
أ و ي	CV:I	True	1	1	0.0	إِلَى	"{""إِلَى"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
أ و ي	IV:IV	True	4	4	0.0	إِلَى	"{""إِلَى"": 3}"	"{""clitic"": 1, ""explicit"": 1, ""none_intransitive"": 2}"	0	0	4	3	True
أ و ي	PV:I	True	3	3	0.0	إِلَى	"{""إِلَى"": 3}"	"{""explicit"": 1, ""none_intransitive"": 2}"	0	0	2	2	True
أ و ي	PV:IV	True	6	6	0.5	إِلَى	"{""إِلَى"": 2}"	"{""clitic"": 2, ""explicit"": 1, ""none_absolute"": 3}"	0	0	4	4	False
أ ي د	IV:II	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""explicit"": 1}"	0	0	0	1	True
أ ي د	PV:II	True	8	8	0.0	بـ	"{""بـ"": 8, ""عَلَى"": 1}"	"{""clitic"": 7, ""explicit"": 1}"	0	0	8	6	False
ب أ س	IV:VIII	True	2	2	0.0	بـ	"{""بـ"": 2}"	"{""none_intransitive"": 2}"	0	0	2	2	True
ب ت ك	IV:II	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	1	1	True
ب ت ل	CV:V	True	1	1	0.0	إِلَى	"{""إِلَى"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
ب ث ث	IV:I	True	1	1	0.0	مِن	"{""مِن"": 1}"	"{""explicit"": 1}"	0	0	1	1	True
ب ث ث	PV:I	True	4	4	0.5	فِي	"{""فِي"": 3, ""مِن"": 3}"	"{""explicit"": 2, ""none_absolute"": 2}"	0	0	4	4	True
ب ج س	PV:VII	True	1	1	0.0	مِن	"{""مِن"": 1}"	"{""none_intransitive"": 1}"	0	0	0	1	True
ب ح ث	IV:I	True	1	1	0.0	فِي	"{""فِي"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
ب خ س	IV:I	True	4	4	0.0	مِن	"{""مِن"": 1}"	"{""both"": 3, ""explicit"": 1}"	0	0	4	4	True
ب خ س	IV_PASS:I	True	1	1	0.0	فِي	"{""فِي"": 1}"	"{""none_passive"": 1}"	0	1	0	1	True
ب خ ل	IV:I	True	7	7	1.0	بـ	"{""بـ"": 1, ""عَن"": 1}"	"{""none_absolute"": 1, ""none_intransitive"": 6}"	0	0	3	4	False
ب خ ل	PV:I	True	3	3	1.0	بـ	"{""بـ"": 2}"	"{""none_absolute"": 1, ""none_intransitive"": 2}"	0	0	2	3	True
ب د ء	IV:IV	True	3	3	0.667		{}	"{""explicit"": 1, ""none_absolute"": 2}"	0	0	0	3	True
ب د ء	PV:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	0	1	True
ب د أ	IV:I	True	5	5	0.0		{}	"{""explicit"": 5}"	0	0	1	3	False
ب د أ	IV:IV	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	0	1	True
ب د أ	PV:I	True	5	5	0.0	بـ	"{""بـ"": 1, ""مِن"": 1}"	"{""clitic"": 1, ""explicit"": 3, ""none_intransitive"": 1}"	0	0	4	5	False
ب د د	IV:IV	True	8	8	0.0	لـ	"{""لـ"": 2}"	"{""clitic"": 3, ""explicit"": 5}"	0	0	8	7	False
ب د د	IV_PASS:IV	True	2	2	0.0	لـ	"{""لـ"": 2}"	"{""none_passive"": 2}"	0	2	0	1	True
ب د د	PV:I	True	2	2	0.0	لـ	"{""لـ"": 1, ""مِن"": 1}"	"{""none_intransitive"": 2}"	0	0	0	2	True
ب د ع	PV:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
ب د ل	CV:II	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
ب د ل	IV:II	True	10	10	0.0	مِن	"{""مِن"": 2}"	"{""both"": 2, ""clitic"": 2, ""explicit"": 5, ""none_passive"": 1}"	0	1	7	9	False
ب د ل	IV:IV	True	3	3	0.0		{}	"{""both"": 3}"	0	0	1	3	True
ب د ل	IV:V	True	3	3	0.0	بـ	"{""بـ"": 3, ""مِن"": 1}"	"{""explicit"": 2, ""none_intransitive"": 1}"	0	0	2	3	True
ب د ل	IV:X	True	3	3	0.0	بـ	"{""بـ"": 1}"	"{""both"": 1, ""explicit"": 2}"	0	0	3	3	True
ب د ل	IV_PASS:II	True	1	1	0.0		{}	"{""none_passive"": 1}"	0	1	0	1	True
ب د ل	PV:I	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	0	1	True
ب د ل	PV:II	True	10	10	0.1	بـ	"{""بـ"": 1}"	"{""both"": 3, ""clitic"": 1, ""explicit"": 5, ""none_absolute"": 1}"	0	0	6	8	False
ب د و	IV:IV	True	7	7	0.143	لـ	"{""بـ"": 1, ""لـ"": 2}"	"{""explicit"": 6, ""none_absolute"": 1}"	0	0	7	5	False
ب د و	PV:I	True	7	7	0.0	لـ	"{""لـ"": 6, ""مِن"": 2}"	"{""none_intransitive"": 7}"	0	0	0	6	False
ب ذ ر	IV:II	True	1	1	1.0		{}	"{""none_absolute"": 1}"	0	0	1	1	True
ب ر ء	IV:II	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	1	1	True
ب ر ء	IV:IV	True	2	2	0.0	بـ	"{""بـ"": 1}"	"{""explicit"": 2}"	0	0	2	2	True
ب ر أ	IV:I	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
ب ر أ	IV:V	True	1	1	0.0	مِن	"{""مِن"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
ب ر أ	PV:II	True	1	1	0.0	مِن	"{""مِن"": 1}"	"{""clitic"": 1}"	0	0	0	1	True
ب ر أ	PV:V	True	4	4	0.0	مِن	"{""إِلَى"": 1, ""مِن"": 3}"	"{""none_intransitive"": 4}"	0	0	3	3	True
ب ر ج	IV:I	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	1	1	True
ب ر ح	IV:I	True	3	3	0.0		{}	"{""explicit"": 1, ""none_copular"": 2}"	1	0	3	3	True
ب ر ر	IV:I	True	2	2	0.5		{}	"{""clitic"": 1, ""none_absolute"": 1}"	0	0	2	2	True
ب ر ز	PV:I	True	5	5	0.0	لـ	"{""إِلَى"": 1, ""لـ"": 3, ""مِن"": 1}"	"{""none_intransitive"": 5}"	0	0	4	4	False
ب ر ز	PV:II	True	2	2	0.0	لـ	"{""لـ"": 2}"	"{""none_passive"": 2}"	0	2	0	2	True
ب ر ق	PV:I	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	0	1	True
ب ر ك	PV:I	True	2	2	1.0	فِي	"{""فِي"": 2}"	"{""none_absolute"": 2}"	0	0	2	2	True
ب ر ك	PV:III	True	5	5	1.0	فِي	"{""عَلَى"": 2, ""فِي"": 3, ""لـ"": 1}"	"{""none_absolute"": 1, ""none_intransitive"": 4}"	0	0	5	5	False
ب ر ك	PV:VI	True	9	9	0.0		{}	"{""none_intransitive"": 9}"	0	0	0	7	False
ب ر ك	PV_PASS:I	True	1	1	0.0		{}	"{""none_passive"": 1}"	0	1	0	1	True
ب ر م	PV:IV	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	1	1	True
ب س ر	PV:I	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	1	1	True
ب س س	PV_PASS:I	True	1	1	0.0		{}	"{""none_passive"": 1}"	0	1	0	1	True
ب س ط	IV:I	True	14	14	0.071	لـ	"{""إِلَى"": 2, ""بـ"": 1, ""فِي"": 1, ""لـ"": 9}"	"{""clitic"": 2, ""explicit"": 11, ""none_absolute"": 1}"	1	0	5	11	False
ب س ط	PV:I	True	2	2	0.0	إِلَى	"{""إِلَى"": 1, ""لـ"": 1}"	"{""explicit"": 2}"	0	0	1	2	True
ب س ل	IV_PASS:I	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""none_passive"": 1}"	0	1	0	1	True
ب س ل	PV:IV	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""none_passive"": 1}"	0	1	0	1	True
ب س م	PV:V	True	1	1	0.0	مِن	"{""مِن"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
ب ش ر	CV:II	True	19	19	0.0	بـ	"{""بـ"": 8}"	"{""both"": 3, ""clitic"": 6, ""explicit"": 10}"	4	0	19	13	False
ب ش ر	CV:III	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
ب ش ر	CV:IV	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
ب ش ر	CV:X	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""none_intransitive"": 1}"	0	0	1	1	True
ب ش ر	IV:I	True	1	1	0.0	بـ	"{""بـ"": 1}"	"{""clitic"": 1}"	0	0	0	1	True
ب ش ر	IV:II	True	9	9	0.111	بـ	"{""بـ"": 6}"	"{""both"": 2, ""clitic"": 4, ""explicit"": 2, ""none_absolute"": 1}"	2	0	5	7	False
ب ش ر	IV:III	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
ب ش ر	IV:X	True	6	6	0.0	بـ	"{""بـ"": 3}"	"{""clausal"": 2, ""none_intransitive"": 4}"	2	0	4	5	False
ب ش ر	PV:II	True	6	6	0.0	بـ	"{""بـ"": 5, ""عَلَى"": 1}"	"{""clitic"": 6}"	0	0	6	4	False
ب ش ر	PV_PASS:II	True	3	3	0.0	بـ	"{""بـ"": 3}"	"{""none_passive"": 3}"	0	3	1	2	True
ب ص ر	CV:IV	True	4	4	0.667	بـ	"{""بـ"": 1}"	"{""clitic"": 1, ""none_absolute"": 2, ""none_intransitive"": 1}"	0	0	2	3	True
ب ص ر	IV:I	True	3	3	1.0	بـ	"{""بـ"": 1}"	"{""none_absolute"": 2, ""none_intransitive"": 1}"	0	0	1	3	True
ب ص ر	IV:II	True	1	1	0.0		{}	"{""clitic"": 1}"	0	0	1	1	True
ب ص ر	IV:IV	True	21	21	0.9	بـ	"{""بـ"": 2, ""فِي"": 1}"	"{""explicit"": 2, ""none_absolute"": 18, ""none_intransitive"": 1}"	0	0	19	15	False
ب ص ر	PV:I	True	2	2	0.0	بـ	"{""بـ"": 2, ""عَن"": 1}"	"{""none_intransitive"": 2}"	0	0	2	2	True
ب ص ر	PV:IV	True	2	2	1.0		{}	"{""none_absolute"": 2}"	0	0	1	2	True
ب ط ء	IV:II	True	1	1	1.0		{}	"{""none_absolute"": 1}"	0	0	0	1	True
ب ط ر	PV:I	True	1	1	0.0		{}	"{""explicit"": 1}"	0	0	0	1	True
ب ط ش	IV:I	True	3	3	0.0	بـ	"{""بـ"": 2}"	"{""explicit"": 1, ""none_intransitive"": 2}"	0	0	3	3	True
ب ط ش	PV:I	True	2	2	1.0		{}	"{""none_absolute"": 2}"	0	0	2	1	True
ب ط ل	IV:IV	True	4	4	0.0	بـ	"{""بـ"": 1}"	"{""clitic"": 1, ""explicit"": 3}"	0	0	3	4	True
ب ط ل	PV:I	True	1	1	0.0		{}	"{""none_intransitive"": 1}"	0	0	0	1	True
ب ط ن	PV:I	True	2	2	0.0		{}	"{""none_intransitive"": 2}"	0	0	1	2	True
ب ع ث ر	PV_PASS:I	True	2	2	0.0		{}	"{""none_passive"": 2}"	0	2	0	2	True
ب ع ث	CV:I	True	5	5	0.0	فِي	"{""إِلَى"": 1, ""بـ"": 1, ""فِي"": 2, ""لـ"": 1, ""مِن"": 2}"	"{""explicit"": 5}"	1	0	5	4	False
ب ع ث	IV:I	True	16	16	0.0	فِي	"{""إِلَى"": 1, ""عَلَى"": 2, ""فِي"": 3, ""مِن"": 2}"	"{""both"": 2, ""clitic"": 3, ""explicit"": 10, ""none_passive"": 1}"	0	1	9	10	False
ب ع ث	IV_PASS:I	True	10	10	0.0		{}	"{""none_passive"": 10}"	0	10	9	8	False
ب ع ث	IV_PASS:IV	True	2	2	0.0		{}	"{""none_passive"": 2}"	0	2	2	2	True
