root_arabic	form_tag	form_tag_available	instance_count	narration	in_quoted	imperative	in_supplication	in_interrogative	vocative	narration_ratio	in_quote_ratio	imperative_ratio	legacy_direct_speech	legacy_discourse_dist	batch_count	low_occurrence
أ ت ي	PV_PASS:I	True	33	27	6	0	0	0	0	0.818	0.182	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	15	False
أ ت ي	PV_PASS:IV	True	26	14	11	0	2	1	0	0.538	0.423	0.0	3	"{""direct-speech"": 3, ""oath"": 1}"	17	False
أ ث ث	NOUN_CONCRETE	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ث ر	IV:IV	True	3	2	1	0	1	0	0	0.667	0.333	0.0	0	{}	3	True
أ ث ر	IV_PASS:IV	True	1	0	1	0	0	0	0	0.0	1.0	0.0	0	{}	1	True
أ ث ر	NOUN_ABSTRACT	True	11	9	2	0	0	0	0	0.818	0.182	0.0	0	{}	8	False
أ ث ر	NOUN_CONCRETE	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ث ر	PV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ث ر	PV:IV	True	2	1	1	0	0	0	0	0.5	0.5	0.0	0	{}	2	True
أ ث ل	NOUN_CONCRETE	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ث م	ADJ_QUALIT	True	7	7	0	0	0	0	0	1.0	0.0	0.0	0	{}	7	False
أ ث م	GERUND	True	35	30	3	0	0	2	0	0.857	0.086	0.0	0	{}	14	False
أ ث م	NOUN_ABSTRACT	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	True
أ ث م	NOUN_ACTIVE_PART	True	3	2	1	0	0	0	0	0.667	0.333	0.0	0	{}	3	True
أ ج ج	ADJ_QUALIT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ج ج	NOUN_ABSTRACT	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ج ر	CV:I	True	1	0	0	1	0	0	0	0.0	0.0	1.0	0	{}	1	True
أ ج ر	CV:X	True	1	0	1	1	1	0	0	0.0	1.0	1.0	0	{}	1	True
أ ج ر	GERUND	True	92	79	13	0	1	0	0	0.859	0.141	0.0	0	{}	37	False
أ ج ر	IV:I	True	1	0	1	0	0	0	0	0.0	1.0	0.0	0	{}	1	True
أ ج ر	NOUN_ABSTRACT	True	7	7	0	0	0	0	0	1.0	0.0	0.0	0	{}	5	False
أ ج ر	NOUN_CONCRETE	True	6	6	0	0	0	0	0	1.0	0.0	0.0	0	{}	5	False
أ ج ر	PV:X	True	1	0	1	0	1	0	0	0.0	1.0	0.0	0	{}	1	True
أ ج ل	NOUN_ABSTRACT	True	53	45	8	0	4	1	0	0.849	0.151	0.0	0	{}	27	False
أ ج ل	NOUN_PASSIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ج ل	PV:II	True	1	0	1	0	1	0	0	0.0	1.0	0.0	0	{}	1	True
أ ج ل	PV_PASS:II	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ح د	NOUN_CONCRETE	True	19	13	6	0	2	1	0	0.684	0.316	0.0	0	{}	8	False
أ ح د	NOUN_NUM	True	60	43	15	0	2	2	0	0.717	0.25	0.0	0	{}	30	False
أ خ ذ	CV:I	True	23	0	5	23	5	0	0	0.0	0.217	1.0	7	"{""direct-speech"": 7}"	13	False
أ خ ذ	CV:VIII	True	2	0	1	2	1	0	0	0.0	0.5	1.0	7	"{""direct-speech"": 7}"	2	True
أ خ ذ	GERUND	True	6	5	1	0	1	0	0	0.833	0.167	0.0	7	"{""direct-speech"": 7}"	5	False
أ خ ذ	GERUND_INSTANT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	7	"{""direct-speech"": 7}"	1	True
أ خ ذ	IV:I	True	27	24	3	0	1	0	0	0.889	0.111	0.0	7	"{""direct-speech"": 7}"	14	False
أ خ ذ	IV:III	True	9	8	1	0	0	0	0	0.889	0.111	0.0	7	"{""direct-speech"": 7}"	5	False
أ خ ذ	IV:VIII	True	53	41	12	0	2	0	0	0.774	0.226	0.0	7	"{""direct-speech"": 7}"	21	False
أ خ ذ	IV_PASS:I	True	5	5	0	0	0	0	0	1.0	0.0	0.0	7	"{""direct-speech"": 7}"	5	False
أ خ ذ	NOUN_ACTIVE_PART	True	6	6	0	0	0	0	0	1.0	0.0	0.0	7	"{""direct-speech"": 7}"	6	False
أ خ ذ	PV:I	True	74	68	6	0	1	0	0	0.919	0.081	0.0	7	"{""direct-speech"": 7}"	32	False
أ خ ذ	PV:VIII	True	66	52	14	0	1	0	0	0.788	0.212	0.0	7	"{""direct-speech"": 7}"	30	False
أ خ ذ	PV_PASS:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	7	"{""direct-speech"": 7}"	1	True
أ خ ر	ADJ_COMP	True	95	88	7	0	2	0	0	0.926	0.074	0.0	0	{}	38	False
أ خ ر	ADJ_QUALIT	True	3	2	1	0	1	0	0	0.667	0.333	0.0	0	{}	2	True
أ خ ر	CV:II	True	1	0	1	1	1	0	0	0.0	1.0	1.0	0	{}	1	True
أ خ ر	IV:II	True	6	6	0	0	0	0	0	1.0	0.0	0.0	0	{}	6	False
أ خ ر	IV:V	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ خ ر	IV:X	True	6	4	2	0	0	0	0	0.667	0.333	0.0	0	{}	6	False
أ خ ر	NOUN_ABSTRACT	True	43	39	4	0	1	0	0	0.907	0.093	0.0	0	{}	25	False
أ خ ر	NOUN_ACTIVE_PART	True	85	81	4	0	3	0	0	0.953	0.047	0.0	0	{}	40	False
أ خ ر	PV:II	True	8	4	4	0	2	0	0	0.5	0.5	0.0	0	{}	8	False
أ خ ر	PV:V	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ خ و	NOUN_CONCRETE	True	55	39	16	0	4	0	1	0.709	0.291	0.0	0	{}	21	False
أ خ و	NOUN_FIVE	True	41	32	8	0	3	3	0	0.78	0.195	0.0	0	{}	18	False
أ د ي	IV:II	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ د ي	NOUN_ABSTRACT	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ د ي	PV:II	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ذ ن	CV:I	True	3	0	1	3	1	0	0	0.0	0.333	1.0	1	"{""direct-speech"": 1, ""oath"": 1}"	3	True
أ ذ ن	CV:II	True	1	0	0	1	0	0	0	0.0	0.0	1.0	1	"{""direct-speech"": 1, ""oath"": 1}"	1	True
أ ذ ن	GERUND	True	40	33	6	0	4	1	0	0.825	0.15	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	21	False
أ ذ ن	IV:I	True	4	3	1	0	0	0	0	0.75	0.25	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	4	True
أ ذ ن	IV:X	True	8	8	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	2	False
أ ذ ن	IV_PASS:I	True	3	3	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	3	True
أ ذ ن	IV_PASS:IV	True	2	2	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	2	True
أ ذ ن	NOUN_ABSTRACT	True	2	1	1	0	0	0	0	0.5	0.5	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	2	True
أ ذ ن	NOUN_ACTIVE_PART	True	2	2	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	2	True
أ ذ ن	NOUN_CONCRETE	True	16	13	3	0	1	0	0	0.812	0.188	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	12	False
أ ذ ن	PV:I	True	10	7	3	0	0	0	0	0.7	0.3	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	9	False
أ ذ ن	PV:II	True	2	2	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	2	True
أ ذ ن	PV:IV	True	3	0	3	0	0	0	0	0.0	1.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	3	True
أ ذ ن	PV:V	True	2	2	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	2	True
أ ذ ن	PV:X	True	3	3	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	2	True
أ ذ ن	PV_PASS:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1, ""oath"": 1}"	1	True
أ ذ ي	ADV	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ذ ي	GERUND	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ذ ي	IV:I	True	4	2	2	0	0	0	0	0.5	0.5	0.0	0	{}	2	True
أ ذ ي	IV:IV	True	4	4	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ذ ي	IV_PASS:IV	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ذ ي	NOUN_ABSTRACT	True	8	7	1	0	1	0	0	0.875	0.125	0.0	0	{}	4	False
أ ذ ي	PV:I	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ذ ي	PV:IV	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ذ ي	PV_PASS:I	True	2	1	1	0	0	0	0	0.5	0.5	0.0	0	{}	2	True
أ ذ ي	PV_PASS:IV	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ر ب	NOUN_ABSTRACT	True	2	0	2	0	0	0	0	0.0	1.0	0.0	0	{}	2	True
أ ر ض	NOUN_CONCRETE	True	461	387	71	0	22	9	1	0.839	0.154	0.0	0	"{""oath"": 1}"	80	False
أ ر ك	NOUN_CONCRETE	True	5	5	0	0	0	0	0	1.0	0.0	0.0	0	{}	4	False
أ ز ر	NOUN_ABSTRACT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ز ر	PV:III	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ز ز	GERUND	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ز ز	IV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ز ف	NOUN_PROP	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ز ف	PV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ س ر	IV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ س ر	NOUN_PASSIVE_PART	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ س س	PV:II	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ س س	PV_PASS:II	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ س ف	ADJ_QUALIT	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ س ف	GERUND	True	2	1	1	0	0	0	1	0.5	0.5	0.0	0	{}	2	True
أ س ف	PV:IV	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ س ن	NOUN_ACTIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ س و	IV:I	True	4	1	3	0	0	0	0	0.25	0.75	0.0	0	{}	3	True
أ س و	NOUN_ABSTRACT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ش ر	ADJ_QUALIT	True	3	2	0	0	0	1	0	0.667	0.0	0.0	1	"{""direct-speech"": 1}"	2	True
أ ص د	NOUN_PASSIVE_PART	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ص ر	NOUN_ABSTRACT	True	3	2	1	0	0	0	0	0.667	0.333	0.0	0	{}	3	True
أ ص ل	NOUN_ABSTRACT	True	10	9	1	0	0	0	0	0.9	0.1	0.0	0	{}	10	False
أ ف ف	NOUN_VERB_LIKE	True	3	1	2	0	0	0	0	0.333	0.667	0.0	1	"{""direct-speech"": 1}"	3	True
أ ف ق	NOUN_ABSTRACT	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	True
أ ف ك	ADJ_INTENS	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ف ك	GERUND	True	9	5	4	0	0	0	0	0.556	0.444	0.0	0	{}	6	False
أ ف ك	IV:I	True	3	2	1	0	1	0	0	0.667	0.333	0.0	0	{}	3	True
أ ف ك	IV_PASS:I	True	9	6	1	0	0	2	0	0.667	0.111	0.0	0	{}	9	False
أ ف ك	IV_PASS:IV	True	3	2	0	0	0	1	0	0.667	0.0	0.0	0	{}	3	True
أ ف ك	NOUN_ACTIVE_PART	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	True
أ ف ك	PV_PASS:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ف ل	NOUN_ACTIVE_PART	True	1	0	1	0	0	0	0	0.0	1.0	0.0	0	{}	1	True
أ ف ل	PV:I	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ك ل	ADJ_INTENS	True	1	1	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1}"	1	True
أ ك ل	CV:I	True	4	0	1	4	1	0	0	0.0	0.25	1.0	1	"{""direct-speech"": 1}"	3	True
أ ك ل	GERUND	True	4	4	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1}"	3	True
أ ك ل	IV:I	True	56	44	12	0	3	0	0	0.786	0.214	0.0	1	"{""direct-speech"": 1}"	28	False
أ ك ل	NOUN_ACTIVE_PART	True	3	3	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1}"	3	True
أ ك ل	NOUN_CONCRETE	True	7	7	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1}"	6	False
أ ك ل	NOUN_PASSIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	1	"{""direct-speech"": 1}"	1	True
أ ك ل	PV:I	True	5	3	2	0	0	0	0	0.6	0.4	0.0	1	"{""direct-speech"": 1}"	3	False
أ ل ت	PV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ل ف	GERUND	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ل ف	IV:II	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ل ف	NOUN_NUM	True	14	12	2	0	0	0	0	0.857	0.143	0.0	0	{}	9	False
أ ل ف	NOUN_PASSIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ل ف	PV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ل ف	PV:II	True	4	4	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ ل م	ADJ_QUALIT	True	71	63	7	0	3	2	0	0.887	0.099	0.0	0	{}	42	False
أ ل م	IV:I	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ل م	NOUN_ACTIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ل ه	ADJ_COMP	True	1	1	0	0	0	0	0	1.0	0.0	0.0	7	"{""direct-speech"": 7}"	1	True
أ ل ه	IV:IV	True	1	1	0	0	0	0	0	1.0	0.0	0.0	7	"{""direct-speech"": 7}"	1	True
أ ل ه	NOUN_CONCRETE	True	147	89	58	0	20	0	0	0.605	0.395	0.0	7	"{""direct-speech"": 7}"	45	False
أ ل ه	NOUN_PROP	True	2702	2237	447	0	100	30	5	0.828	0.165	0.0	7	"{""direct-speech"": 7}"	85	False
أ ل و	NOUN_ABSTRACT	True	34	2	0	0	0	32	0	0.059	0.0	0.0	0	{}	3	False
أ م ت	NOUN_ABSTRACT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ م د	ADV	True	2	1	1	0	0	0	0	0.5	0.5	0.0	0	{}	2	True
أ م د	NOUN_ABSTRACT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ م د	NOUN_CONCRETE	True	1	0	0	0	0	1	0	0.0	0.0	0.0	0	{}	1	True
أ م ر	ADJ_INTENS	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ م ر	ADJ_QUALIT	True	1	0	1	0	0	0	0	0.0	1.0	0.0	0	{}	1	True
أ م ر	CV:I	True	5	0	0	5	0	0	0	0.0	0.0	1.0	0	{}	4	False
أ م ر	GERUND	True	85	71	12	0	2	2	0	0.835	0.141	0.0	0	{}	42	False
أ م ر	IV:I	True	30	19	8	0	1	4	0	0.633	0.267	0.0	0	{}	16	False
أ م ر	IV:VIII	True	1	0	1	0	1	0	0	0.0	1.0	0.0	0	{}	1	True
أ م ر	IV_PASS:I	True	6	4	2	0	2	0	0	0.667	0.333	0.0	0	{}	5	False
أ م ر	NOUN_ABSTRACT	True	74	60	14	0	7	1	0	0.811	0.189	0.0	0	{}	37	False
أ م ر	NOUN_ACTIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ م ر	NOUN_CONCRETE	True	7	6	1	0	0	0	0	0.857	0.143	0.0	0	{}	2	False
أ م ر	PV:I	True	19	15	4	0	1	0	0	0.789	0.211	0.0	0	{}	13	False
أ م ر	PV_PASS:I	True	17	10	7	0	0	0	0	0.588	0.412	0.0	0	{}	11	False
أ م ل	GERUND	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	2	True
أ م م	ADV	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ م م	NOUN_ABSTRACT	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	True
أ م م	NOUN_ACTIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ م م	NOUN_CONCRETE	True	99	90	9	0	4	1	0	0.909	0.091	0.0	0	{}	35	False
أ م م	NOUN_RELATIVE	True	6	4	2	0	1	0	0	0.667	0.333	0.0	0	{}	4	False
أ م ن	ADJ_QUALIT	True	14	12	2	0	1	0	0	0.857	0.143	0.0	4	"{""direct-speech"": 4}"	8	False
أ م ن	CV:I	True	1	0	1	1	1	0	0	0.0	1.0	1.0	4	"{""direct-speech"": 4}"	1	True
أ م ن	CV:IV	True	17	0	6	17	6	0	0	0.0	0.353	1.0	4	"{""direct-speech"": 4}"	10	False
أ م ن	GERUND	True	53	45	7	0	1	2	0	0.849	0.132	0.0	4	"{""direct-speech"": 4}"	22	False
أ م ن	IV:I	True	27	23	3	0	0	1	0	0.852	0.111	0.0	4	"{""direct-speech"": 4}"	19	False
أ م ن	IV:IV	True	154	122	28	0	6	4	0	0.792	0.182	0.0	4	"{""direct-speech"": 4}"	49	False
أ م ن	NOUN_ABSTRACT	True	5	5	0	0	0	0	0	1.0	0.0	0.0	4	"{""direct-speech"": 4}"	5	False
أ م ن	NOUN_ACTIVE_PART	True	246	218	28	0	8	0	1	0.886	0.114	0.0	4	"{""direct-speech"": 4}"	48	False
أ م ن	NOUN_CONCRETE	True	1	1	0	0	0	0	0	1.0	0.0	0.0	4	"{""direct-speech"": 4}"	1	True
أ م ن	NOUN_PASSIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	4	"{""direct-speech"": 4}"	1	True
أ م ن	NOUN_PROP	True	1	1	0	0	0	0	0	1.0	0.0	0.0	4	"{""direct-speech"": 4}"	1	True
أ م ن	PV:I	True	27	22	5	0	1	1	0	0.815	0.185	0.0	4	"{""direct-speech"": 4}"	15	False
أ م ن	PV:IV	True	331	279	51	0	10	3	0	0.843	0.154	0.0	4	"{""direct-speech"": 4}"	66	False
أ م ن	PV_PASS:VIII	True	1	1	0	0	0	0	0	1.0	0.0	0.0	4	"{""direct-speech"": 4}"	1	True
أ م ه	NOUN_CONCRETE	True	9	9	0	0	0	0	0	1.0	0.0	0.0	0	{}	7	False
أ م و	NOUN_CONCRETE	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ن ت		False	2	0	2	0	1	0	0	0.0	1.0	0.0	0	{}	1	True
أ ن ث	NOUN_CONCRETE	True	30	23	7	0	4	0	0	0.767	0.233	0.0	0	{}	17	False
أ ن س	IV:X	True	1	1	0	0	0	0	0	1.0	0.0	0.0	2	"{""direct-speech"": 2}"	1	True
أ ن س	NOUN_ACTIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	2	"{""direct-speech"": 2}"	1	True
أ ن س	NOUN_CONCRETE	True	329	295	33	0	13	2	1	0.897	0.1	0.0	2	"{""direct-speech"": 2}"	76	False
أ ن س	NOUN_RELATIVE	True	2	2	0	0	0	0	0	1.0	0.0	0.0	2	"{""direct-speech"": 2}"	2	True
أ ن س	PV:I	True	2	1	1	0	1	0	0	0.5	0.5	0.0	2	"{""direct-speech"": 2}"	1	True
أ ن س	PV:IV	True	3	1	2	0	1	0	0	0.333	0.667	0.0	2	"{""direct-speech"": 2}"	3	True
أ ن ف	NOUN_ABSTRACT	True	1	0	1	0	0	1	0	0.0	1.0	0.0	0	{}	1	True
أ ن ف	NOUN_CONCRETE	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ن م ا		False	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ن م	NOUN_CONCRETE	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ن ي	IV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ن ي	NOUN_ABSTRACT	True	3	3	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	True
أ ن ي	NOUN_ACTIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ن ي	NOUN_CONCRETE	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ ه ل	NOUN_ABSTRACT	True	4	4	0	0	0	0	0	1.0	0.0	0.0	0	"{""oath"": 1}"	4	True
أ ه ل	NOUN_CONCRETE	True	126	96	30	0	10	1	13	0.762	0.238	0.0	0	"{""oath"": 1}"	40	False
أ ه ل	PV_PASS:IV	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	"{""oath"": 1}"	2	True
أ و ب	ADJ_INTENS	True	6	6	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	False
أ و ب	CV:II	True	1	0	0	1	0	0	0	0.0	0.0	1.0	0	{}	1	True
أ و ب	GERUND	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ب	GERUND_MEEM	True	3	2	1	0	0	0	0	0.667	0.333	0.0	0	{}	2	True
أ و ب	NOUN_TIME_PLACE	True	6	6	0	0	0	0	0	1.0	0.0	0.0	0	{}	3	False
أ و د	IV:I	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ل		False	12	11	1	0	0	1	0	0.917	0.083	0.0	0	{}	4	False
أ و ل	ADJ_COMP	True	3	2	1	0	1	0	0	0.667	0.333	0.0	0	{}	2	True
أ و ل	ADJ_QUALIT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ل	GERUND	True	17	10	6	0	2	1	0	0.588	0.353	0.0	0	{}	7	False
أ و ل	NOUN_CONCRETE	True	74	64	10	0	5	0	6	0.865	0.135	0.0	0	{}	31	False
أ و ل	NOUN_NUM	True	60	40	20	0	0	0	0	0.667	0.333	0.0	0	{}	33	False
أ و ن	ADV	True	7	4	2	0	0	1	0	0.571	0.286	0.0	0	{}	5	False
أ و ن	NOUN_ACTIVE_PART	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ه	ADJ_INTENS	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ه	ADJ_QUALIT	True	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ي		False	1	1	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ي	CV:I	True	1	0	0	1	0	0	0	0.0	0.0	1.0	0	{}	1	True
أ و ي	IV:IV	True	4	2	2	0	0	0	0	0.5	0.5	0.0	0	{}	3	True
أ و ي	NOUN_CONCRETE	True	2	2	0	0	0	0	0	1.0	0.0	0.0	0	{}	1	True
أ و ي	NOUN_TIME_PLACE	True	20	17	3	0	0	0	0	0.85	0.15	0.0	0	{}	15	False
أ و ي	PV:I	True	3	2	1	0	0	0	0	0.667	0.333	0.0	0	{}	2	True
