root_arabic	form_tag	form_tag_available	instance_count	partner_root	partner_form_tag	attach_count	total_attach	pair_ratio	top_rel	rel_dist	batch_count	low_occurrence
أ ب و	NOUN_CONCRETE	True	79	ب ع ل	NOUN_CONCRETE	2	91	0.022	dep_of:conjoined	"{""dep_of:conjoined"": 1, ""head_of:idafa"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	س د س	NOUN_ABSTRACT	2	91	0.022	dep_of:prep_complement	"{""dep_of:prep_complement"": 1, ""head_of:predication"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	س م ع	PV:I	2	91	0.022	dep_of:prep_complement	"{""dep_of:prep_complement"": 2}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ش ر ك	PV:IV	2	91	0.022	dep_of:subject	"{""dep_of:subject"": 2}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ش ي خ	ADJ_QUALIT	2	91	0.022	head_of:adjective	"{""head_of:adjective"": 1, ""head_of:predication"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ص ل ح	PV:I	2	91	0.022	dep_of:prep_complement	"{""dep_of:prep_complement"": 2}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ع ش ر	NOUN_CONCRETE	2	91	0.022	head_of:conjoined	"{""head_of:conjoined"": 2}"	33	False
أ ب و	NOUN_CONCRETE	True	79	م ت ع	PV:II	2	91	0.022	dep_of:direct_object	"{""dep_of:direct_object"": 2}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ ت ي	IV:I	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ ج ر	CV:X	1	91	0.011	dep_of:vocative	"{""dep_of:vocative"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ خ ذ	IV:VIII	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ ل ف	PV:I	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ ل ه	NOUN_CONCRETE	1	91	0.011	dep_of:idafa	"{""dep_of:idafa"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	أ و ي	PV:IV	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ب ي ت	NOUN_CONCRETE	1	91	0.011	dep_of:idafa	"{""dep_of:idafa"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ت ج ر	GERUND	1	91	0.011	head_of:conjoined	"{""head_of:conjoined"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ت م م	PV:IV	1	91	0.011	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ج ب ي	PV:VIII	1	91	0.011	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	خ ر ج	PV:IV	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	د ع و	CV:I	1	91	0.011	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ذ ر ر	GERUND_PROFESSION	1	91	0.011	head_of:conjoined	"{""head_of:conjoined"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ذ ك ر	GERUND	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ر ب ب	NOUN_CONCRETE	1	91	0.011	dep_of:idafa	"{""dep_of:idafa"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ر ف ع	PV:I	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	س ك ن	NOUN_CONCRETE	1	91	0.011	head_of:conjoined	"{""head_of:conjoined"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ع ل م	GERUND	1	91	0.011	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ع ل م	IV:I	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	غ ف ر	CV:I	1	91	0.011	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	غ ل م	NOUN_CONCRETE	1	91	0.011	dep_of:predication	"{""dep_of:predication"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ف ع ل	IV:I	1	91	0.011	head_of:circumstantial	"{""head_of:circumstantial"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ق د م	ADJ_COMP	1	91	0.011	head_of:adjective	"{""head_of:adjective"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ك ب ر	ADJ_QUALIT	1	91	0.011	head_of:adjective	"{""head_of:adjective"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ل ف ي	PV:I	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	م س س	PV:I	1	91	0.011	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	م ل ل	NOUN_CONCRETE	1	91	0.011	dep_of:idafa	"{""dep_of:idafa"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	م و ل	NOUN_CONCRETE	1	91	0.011	head_of:conjoined	"{""head_of:conjoined"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ن ذ ر	PV_PASS:IV	1	91	0.011	dep_of:subject	"{""dep_of:subject"": 1}"	33	False
أ ب و	NOUN_CONCRETE	True	79	ن ك ح	PV:I	1	91	0.011	dep_of:subject	"{""dep_of:subject"": 1}"	33	False
أ ب و	NOUN_FIVE	True	38	ق و ل	PV:I	8	42	0.19	dep_of:prep_complement	"{""dep_of:prep_complement"": 7, ""dep_of:subject"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ق و م	NOUN_CONCRETE	4	42	0.095	head_of:conjoined	"{""head_of:conjoined"": 4}"	17	False
أ ب و	NOUN_FIVE	True	38	ب ن ي	NOUN_CONCRETE	3	42	0.071	head_of:conjoined	"{""head_of:conjoined"": 3}"	17	False
أ ب و	NOUN_FIVE	True	38	ك و ن	PV:I	3	42	0.071	dep_of:subject	"{""dep_of:kana_predicate"": 1, ""dep_of:subject"": 2}"	17	False
أ ب و	NOUN_FIVE	True	38	أ خ و	NOUN_CONCRETE	2	42	0.048	dep_of:prep_complement	"{""dep_of:prep_complement"": 1, ""head_of:conjoined"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	و ج ه	NOUN_CONCRETE	2	42	0.048	dep_of:idafa	"{""dep_of:idafa"": 2}"	17	False
أ ب و	NOUN_FIVE	True	38	أ ح د	NOUN_NUM	1	42	0.024	head_of:idafa	"{""head_of:idafa"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	أ خ ذ	PV:I	1	42	0.024	dep_of:subject	"{""dep_of:subject"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	أ ذ ن	IV:I	1	42	0.024	dep_of:subject	"{""dep_of:subject"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	أ م ر	PV:I	1	42	0.024	dep_of:subject	"{""dep_of:subject"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	أ م م	NOUN_CONCRETE	1	42	0.024	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ب ر ه م	NOUN_PROP	1	42	0.024	head_of:apposition	"{""head_of:apposition"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ب ع ل	NOUN_CONCRETE	1	42	0.024	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ج ن ح	NOUN_ABSTRACT	1	42	0.024	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ج ي أ	PV:I	1	42	0.024	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ح ب ب	ADJ_COMP	1	42	0.024	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ر ج ع	CV:I	1	42	0.024	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ر ج ع	PV:I	1	42	0.024	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ر و د	IV:III	1	42	0.024	dep_of:direct_object	"{""dep_of:direct_object"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	غ ف ر	GERUND	1	42	0.024	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ق و ل	GERUND	1	42	0.024	dep_of:prep_complement	"{""dep_of:prep_complement"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ل ه ب	NOUN_CONCRETE	1	42	0.024	head_of:idafa	"{""head_of:idafa"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	م ل ل	NOUN_CONCRETE	1	42	0.024	dep_of:idafa	"{""dep_of:idafa"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ن س و	NOUN_CONCRETE	1	42	0.024	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	و ر ث	PV:I	1	42	0.024	dep_of:subject	"{""dep_of:subject"": 1}"	17	False
أ ب و	NOUN_FIVE	True	38	ي د ي	NOUN_CONCRETE	1	42	0.024	dep_of:idafa	"{""dep_of:idafa"": 1}"	17	False
أ ب ي	IV:I	True	2	أ ل ه	NOUN_PROP	1	3	0.333	head_of:subject	"{""head_of:subject"": 1}"	1	True
أ ب ي	IV:I	True	2	ر و د	IV:IV	1	3	0.333	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	1	True
أ ب ي	IV:I	True	2	ق ل ب	NOUN_CONCRETE	1	3	0.333	head_of:subject	"{""head_of:subject"": 1}"	1	True
أ ب ي	PV:I	True	8	ك ف ر	ADJ_INTENS	3	10	0.3	head_of:direct_object	"{""head_of:direct_object"": 3}"	6	False
أ ب ي	PV:I	True	8	ك ث ر	ADJ_COMP	2	10	0.2	head_of:subject	"{""head_of:subject"": 2}"	6	False
أ ب ي	PV:I	True	8	ح م ل	PV:I	1	10	0.1	head_of:conjoined	"{""head_of:conjoined"": 1}"	6	False
أ ب ي	PV:I	True	8	ش ف ق	PV:I	1	10	0.1	head_of:conjoined	"{""head_of:conjoined"": 1}"	6	False
أ ب ي	PV:I	True	8	ظ ل م	NOUN_ACTIVE_PART	1	10	0.1	head_of:subject	"{""head_of:subject"": 1}"	6	False
أ ب ي	PV:I	True	8	ك ب ر	PV:X	1	10	0.1	head_of:conjoined	"{""head_of:conjoined"": 1}"	6	False
أ ب ي	PV:I	True	8	ك ذ ب	PV:II	1	10	0.1	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	6	False
أ ت ي	CV:I	True	37	ق و ل	PV:I	9	44	0.205	dep_of:quoted_complement	"{""dep_of:quoted_complement"": 9}"	21	False
أ ت ي	CV:I	True	37	ك ت ب	NOUN_CONCRETE	3	44	0.068	head_of:prep_complement	"{""head_of:prep_complement"": 3}"	21	False
أ ت ي	CV:I	True	37	أ ب و	NOUN_CONCRETE	2	44	0.045	head_of:prep_complement	"{""head_of:prep_complement"": 2}"	21	False
أ ت ي	CV:I	True	37	س و ر	NOUN_ABSTRACT	2	44	0.045	head_of:prep_complement	"{""head_of:prep_complement"": 2}"	21	False
أ ت ي	CV:I	True	37	ع ذ ب	NOUN_ABSTRACT	2	44	0.045	head_of:prep_complement	"{""head_of:prep_complement"": 2}"	21	False
أ ت ي	CV:I	True	37	أ خ و	NOUN_CONCRETE	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	أ ه ل	NOUN_CONCRETE	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	ب د ل	CV:II	1	44	0.023	head_of:conjoined	"{""head_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	ح ر ث	NOUN_CONCRETE	1	44	0.023	head_of:direct_object	"{""head_of:direct_object"": 1}"	21	False
أ ت ي	CV:I	True	37	د ع ع	CV:I	1	44	0.023	head_of:conjoined	"{""head_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	د ع ع	IV:I	1	44	0.023	dep_of:quoted_complement	"{""dep_of:quoted_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	د ع و	CV:I	1	44	0.023	head_of:conjoined	"{""head_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	د ن و	NOUN_ABSTRACT	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	ذ ه ب	CV:I	1	44	0.023	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	ر ب ب	NOUN_CONCRETE	1	44	0.023	head_of:vocative	"{""head_of:vocative"": 1}"	21	False
أ ت ي	CV:I	True	37	س ل ط	NOUN_ABSTRACT	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	س ل م	NOUN_ACTIVE_PART	1	44	0.023	head_of:circumstantial	"{""head_of:circumstantial"": 1}"	21	False
أ ت ي	CV:I	True	37	ص ف ف	NOUN_ABSTRACT	1	44	0.023	head_of:circumstantial	"{""head_of:circumstantial"": 1}"	21	False
أ ت ي	CV:I	True	37	ط و ع	GERUND	1	44	0.023	head_of:circumstantial	"{""head_of:circumstantial"": 1}"	21	False
أ ت ي	CV:I	True	37	ع ش ر	NOUN_NUM	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	ع ل و	IV:I	1	44	0.023	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	ع ي ن	NOUN_CONCRETE	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	غ ر ب	NOUN_TIME_PLACE	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	ق ر ء	NOUN_CONCRETE	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	ق و ل	CV:I	1	44	0.023	head_of:conjoined	"{""head_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	ق و م	NOUN_CONCRETE	1	44	0.023	head_of:direct_object	"{""head_of:direct_object"": 1}"	21	False
أ ت ي	CV:I	True	37	ك ث ر	PV:IV	1	44	0.023	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	ك ل ل	NOUN_ABSTRACT	1	44	0.023	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	م ط ر	CV:IV	1	44	0.023	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	21	False
أ ت ي	CV:I	True	37	ن د ي	PV:III	1	44	0.023	dep_of:quoted_complement	"{""dep_of:quoted_complement"": 1}"	21	False
أ ت ي	CV:I	True	37	ن ص ب	NOUN_ABSTRACT	1	44	0.023	head_of:direct_object	"{""head_of:direct_object"": 1}"	21	False
أ ت ي	CV:IV	True	33	ز ك و	NOUN_ABSTRACT	11	76	0.145	head_of:direct_object	"{""head_of:direct_object"": 11}"	17	False
أ ت ي	CV:IV	True	33	ق و م	CV:IV	9	76	0.118	dep_of:conjoined	"{""dep_of:conjoined"": 9}"	17	False
أ ت ي	CV:IV	True	33	ر ب ب	NOUN_CONCRETE	5	76	0.066	head_of:vocative	"{""head_of:vocative"": 5}"	17	False
أ ت ي	CV:IV	True	33	أ ج ر	NOUN_CONCRETE	3	76	0.039	head_of:direct_object	"{""head_of:direct_object"": 3}"	17	False
أ ت ي	CV:IV	True	33	ح ق ق	GERUND	3	76	0.039	head_of:direct_object	"{""head_of:direct_object"": 3}"	17	False
أ ت ي	CV:IV	True	33	ق و م	PV:IV	3	76	0.039	dep_of:conjoined	"{""dep_of:conjoined"": 3}"	17	False
أ ت ي	CV:IV	True	33	ح س ن	NOUN_ABSTRACT	2	76	0.026	head_of:direct_object	"{""head_of:direct_object"": 2}"	17	False
أ ت ي	CV:IV	True	33	ذ و و	NOUN_FIVE	2	76	0.026	head_of:direct_object	"{""head_of:direct_object"": 2}"	17	False
أ ت ي	CV:IV	True	33	ز ك و	NOUN_CONCRETE	2	76	0.026	head_of:direct_object	"{""head_of:direct_object"": 2}"	17	False
أ ت ي	CV:IV	True	33	ق و ل	PV:I	2	76	0.026	dep_of:quoted_complement	"{""dep_of:quoted_complement"": 2}"	17	False
أ ت ي	CV:IV	True	33	م و ل	NOUN_CONCRETE	2	76	0.026	head_of:direct_object	"{""head_of:direct_object"": 1, ""head_of:prep_complement"": 1}"	17	False
أ ت ي	CV:IV	True	33	أ م ر	CV:I	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	أ ي ي	NOUN_ABSTRACT	1	76	0.013	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	17	False
أ ت ي	CV:IV	True	33	ب ذ ر	IV:II	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ب ن ي	NOUN_CONCRETE	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ت م ر	CV:VIII	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	خ ز ي	IV:IV	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ر ح م	GERUND	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ر ك ع	CV:I	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ز ب ر	NOUN_CONCRETE	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	س ر ف	IV:IV	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	س ك ن	ADJ_INTENS	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ص د ق	NOUN_ABSTRACT	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ض ع ف	NOUN_ABSTRACT	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ط و ع	CV:IV	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ع ذ ب	NOUN_ABSTRACT	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ع ر ف	NOUN_ABSTRACT	1	76	0.013	head_of:prep_complement	"{""head_of:prep_complement"": 1}"	17	False
أ ت ي	CV:IV	True	33	ع ص م	CV:VIII	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	غ د و	NOUN_CONCRETE	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ف ر ض	NOUN_ABSTRACT	1	76	0.013	head_of:circumstantial	"{""head_of:circumstantial"": 1}"	17	False
أ ت ي	CV:IV	True	33	ك ت ب	CV:III	1	76	0.013	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ك ر ه	IV:IV	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ك ل ل	CV:I	1	76	0.013	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ل ع ن	CV:I	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	م ث ل	NOUN_ABSTRACT	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ن ح ل	NOUN_ABSTRACT	1	76	0.013	head_of:circumstantial	"{""head_of:circumstantial"": 1}"	17	False
أ ت ي	CV:IV	True	33	ن س و	NOUN_CONCRETE	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ن ك ح	CV:I	1	76	0.013	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ه ي أ	CV:II	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	و ق ي	CV:I	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	و ق ي	CV:VIII	1	76	0.013	head_of:conjoined	"{""head_of:conjoined"": 1}"	17	False
أ ت ي	CV:IV	True	33	ي ت م	ADJ_QUALIT	1	76	0.013	head_of:direct_object	"{""head_of:direct_object"": 1}"	17	False
أ ت ي	CV:IV	True	33	ي و م	ADV	1	76	0.013	head_of:adverbial	"{""head_of:adverbial"": 1}"	17	False
أ ت ي	GERUND	True	3	ز ك و	NOUN_ABSTRACT	2	6	0.333	head_of:idafa	"{""head_of:idafa"": 2}"	3	True
أ ت ي	GERUND	True	3	ذ ك ر	GERUND	1	6	0.167	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	3	True
أ ت ي	GERUND	True	3	ذ و و	NOUN_FIVE	1	6	0.167	head_of:idafa	"{""head_of:idafa"": 1}"	3	True
أ ت ي	GERUND	True	3	ع د ل	GERUND	1	6	0.167	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	3	True
أ ت ي	GERUND	True	3	ف ع ل	NOUN_ABSTRACT	1	6	0.167	dep_of:conjoined	"{""dep_of:conjoined"": 1}"	3	True
أ ت ي	IV:I	True	168	أ ي ي	NOUN_ABSTRACT	10	242	0.041	head_of:prep_complement	"{""head_of:prep_complement"": 7, ""head_of:subject"": 3}"	51	False
