root_arabic	form_tag	form_tag_available	instance_count	pass2_xref_candidate_count	pass2_xref_resolved_candidate_count	pass2_candidate_density	candidate_root_dist	candidate_type_dist	status_dist	conf_dist	pass2_ayah_count	pass2_ayah_refs	source	batch_count	low_occurrence
أ ف ك	ADJ_INTENS	True	2	2	2	1.0	"{""أ ف ك"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	1	45:8	pass2	2	True
أ ف ك	GERUND	True	9	13	13	1.444	"{""أ ف ك"": 13}"	"{""word"": 13, ""xref:demonstrative_reference"": 3, ""xref:pronoun_antecedent"": 9, ""xref:resumptive_reference"": 1}"	"{""strongly_licensed"": 26}"	"{""medium"": 26}"	6	24:11;24:12;24:14;24:15;24:16;24:17	pass2	6	False
أ ف ك	NOUN_ACTIVE_PART	True	3	1	1	0.333	"{""أ ف ك"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	53:54	pass2	3	True
أ ك ل	NOUN_CONCRETE	True	7	1	0	0.143	"{""أ ك ل"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 2}"	"{""medium"": 2}"	1	18:33	pass2	6	False
أ ل ف	GERUND	True	2	1	1	0.5	"{""أ ل ف"": 1}"	"{""word"": 1, ""xref:discourse_reference"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	106:2	pass2	1	True
أ ل ف	NOUN_PASSIVE_PART	True	1	1	1	1.0	"{""أ ل ف"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	9:60	pass2	1	True
أ ل ه	NOUN_CONCRETE	True	147	11	7	0.075	"{""أ ل ه"": 11}"	"{""word"": 11, ""xref:pronoun_antecedent"": 10, ""xref:relative_reference"": 1}"	"{""ambiguous"": 8, ""strongly_licensed"": 14}"	"{""high"": 14, ""medium"": 8}"	9	7:140;7:158;18:15;19:49;36:23;36:75;37:92;37:93;37:95	pass2	45	False
أ ل ه	NOUN_PROP	True	2702	449	433	0.166	"{""أ ل ه"": 449}"	"{""word"": 449, ""xref:demonstrative_reference"": 3, ""xref:discourse_reference"": 7, ""xref:pronoun_antecedent"": 430, ""xref:relative_reference"": 8, ""xref:resumptive_reference"": 1}"	"{""ambiguous"": 38, ""strongly_licensed"": 764, ""syntactically_forced"": 96}"	"{""high"": 831, ""low"": 3, ""medium"": 64}"	332	1:5;6:164;6:165;7:32;7:33;7:86;7:128;7:132;7:178;8:24;9:9;9:13;9:16;9:22;9:24;9:26;9:28;9:31;9:33;9:39;9:40;9:51;9:52;9:54;9:59;9:62;9:65;9:71;9:74;9:75;9:76;9:77;9:80;9:94;9:97;9:99;9:100;9:111;9:116;9:117;9:118;9:129;10:3;10:4;10:5;10:10;10:17;10:18;10:22;10:32;10:50;10:56;10:58;10:65;10:67;10:68;10:82;10:84;10:100;10:107;10:109;11:2;11:3;11:4;11:5;11:7;11:14;11:34;11:50;11:51;11:55;11:56;11:61;11:62;11:63;11:73;11:84;11:88;11:92;11:105;11:123;12:21;12:23;12:40;12:64;12:67;12:80;12:83;12:92;13:2;13:3;13:8;13:12;13:13;13:14;13:16;13:26;13:27;13:33;13:39;13:42;14:4;14:11;14:30;14:32;14:39;14:47;16:1;16:53;18:1;18:2;18:5;18:26;18:38;18:44;19:36;22:77;22:78;24:33;24:41;24:64;27:9;27:93;28:70;28:88;29:5;29:17;29:42;29:60;29:62;29:65;30:5;30:6;30:11;30:18;30:20;30:21;30:22;30:23;30:24;30:25;30:26;30:27;30:31;30:40;30:45;30:46;30:48;30:50;30:54;31:9;31:11;31:20;31:30;31:31;31:32;31:34;32:4;32:5;32:6;32:7;32:9;32:25;33:4;33:17;33:22;33:29;33:31;33:33;33:36;33:37;33:39;33:42;33:43;33:46;33:71;34:1;34:2;34:22;34:23;34:27;34:33;34:47;35:2;35:3;35:10;35:11;35:12;35:13;35:28;35:30;35:31;35:38;35:39;35:41;35:44;35:45;36:47;36:79;37:158;37:162;39:2;39:3;39:4;39:5;39:6;39:7;39:8;39:11;39:14;39:15;39:16;39:36;39:38;39:44;39:45;39:46;39:53;39:62;39:63;39:67;39:70;39:74;40:3;40:13;40:64;40:79;40:81;42:4;42:6;42:9;42:11;42:32;42:40;42:53;43:64;44:42;45:12;45:13;45:37;46:8;46:32;48:4;48:9;48:24;48:28;49:1;49:14;49:15;51:50;51:51;51:58;52:28;57:1;57:2;57:3;57:4;57:5;57:6;57:7;57:9;57:11;57:19;57:21;57:23;57:24;57:25;57:28;57:29;58:5;58:7;58:9;58:13;58:18;58:20;58:21;58:22;59:1;59:2;59:4;59:6;59:7;59:8;59:22;59:23;59:24;60:3;60:10;60:11;61:1;61:4;61:8;61:9;61:11;61:12;62:2;62:3;62:8;63:1;63:8;64:1;64:2;64:3;64:8;64:13;64:15;65:1;65:3;65:4;65:7;65:11;66:2;66:6;70:4;70:27;70:40;71:3;71:4;72:12;72:19;72:22;72:23;74:56;76:8;76:31;85:9;87:7;98:5;98:8;110:3;112:1;112:4	pass2	85	False
أ م ر	GERUND	True	85	5	4	0.059	"{""أ م ر"": 5}"	"{""word"": 5, ""xref:discourse_reference"": 1, ""xref:pronoun_antecedent"": 3, ""xref:relative_reference"": 1}"	"{""ambiguous"": 2, ""strongly_licensed"": 8}"	"{""high"": 6, ""medium"": 4}"	5	7:54;16:1;36:83;54:50;65:5	pass2	42	False
أ م ر	NOUN_ABSTRACT	True	74	3	2	0.041	"{""أ م ر"": 3}"	"{""word"": 3, ""xref:demonstrative_reference"": 1, ""xref:pronoun_antecedent"": 1, ""xref:resumptive_reference"": 1}"	"{""ambiguous"": 2, ""strongly_licensed"": 2, ""syntactically_forced"": 2}"	"{""high"": 4, ""medium"": 2}"	3	12:15;12:41;45:17	pass2	37	False
أ م م	NOUN_CONCRETE	True	99	10	9	0.101	"{""أ م م"": 10}"	"{""word"": 10, ""xref:demonstrative_reference"": 1, ""xref:pronoun_antecedent"": 9}"	"{""ambiguous"": 2, ""strongly_licensed"": 17, ""syntactically_forced"": 1}"	"{""high"": 17, ""low"": 1, ""medium"": 2}"	8	11:48;21:92;21:93;23:50;28:7;32:24;32:25;35:24	pass2	35	False
أ م م	NOUN_RELATIVE	True	6	6	6	1.0	"{""أ م م"": 6}"	"{""word"": 6, ""xref:pronoun_antecedent"": 6}"	"{""strongly_licensed"": 12}"	"{""high"": 12}"	2	62:2;62:3	pass2	4	False
أ م ن	GERUND	True	53	4	4	0.075	"{""أ م ن"": 4}"	"{""word"": 4, ""xref:pronoun_antecedent"": 4}"	"{""strongly_licensed"": 8}"	"{""high"": 8}"	2	33:72;49:7	pass2	22	False
أ م ن	NOUN_ACTIVE_PART	True	246	52	51	0.211	"{""أ م ن"": 52}"	"{""word"": 52, ""xref:demonstrative_reference"": 3, ""xref:discourse_reference"": 8, ""xref:pronoun_antecedent"": 38, ""xref:relative_reference"": 3}"	"{""ambiguous"": 3, ""strongly_licensed"": 99, ""syntactically_forced"": 2}"	"{""high"": 91, ""medium"": 13}"	32	7:133;8:2;8:3;8:74;9:111;9:122;18:2;18:3;18:107;23:10;23:117;24:31;24:55;24:62;26:146;27:77;33:6;33:22;33:37;33:40;33:44;33:47;33:49;33:50;40:45;48:18;48:27;48:29;49:15;60:10;60:12;85:8	pass2	48	False
أ ن س	NOUN_CONCRETE	True	329	205	190	0.623	"{""أ ن س"": 205}"	"{""word"": 205, ""xref:discourse_reference"": 7, ""xref:pronoun_antecedent"": 195, ""xref:relative_reference"": 2, ""xref:resumptive_reference"": 1}"	"{""ambiguous"": 39, ""discourse_inferred"": 2, ""strongly_licensed"": 352, ""surface_form"": 1, ""syntactically_forced"": 16}"	"{""high"": 348, ""low"": 3, ""medium"": 59}"	132	7:83;7:160;7:179;10:2;10:11;10:12;10:19;10:21;10:23;10:55;10:57;10:60;10:99;10:104;10:108;11:9;11:10;11:85;11:105;11:119;12:46;12:104;12:105;12:106;14:1;14:32;14:44;14:48;14:52;16:4;18:55;21:1;21:2;22:2;22:78;29:2;29:3;29:8;29:67;30:33;30:34;30:36;30:41;30:58;31:6;31:14;31:15;31:33;32:8;32:9;33:72;35:3;35:5;35:6;35:11;35:12;35:13;35:14;35:15;35:16;35:45;36:77;36:78;39:8;39:27;39:28;39:29;39:41;39:49;43:17;46:6;46:15;49:13;50:16;50:18;53:40;53:41;54:20;55:4;59:16;59:21;59:23;70:20;70:21;75:3;75:4;75:5;75:6;75:13;75:14;75:15;75:28;75:31;75:32;75:33;76:2;76:3;79:46;80:17;80:18;80:19;80:20;80:21;80:22;80:23;80:24;82:6;82:7;82:8;82:17;82:18;83:3;84:6;86:8;86:10;89:15;89:16;89:23;89:24;89:25;89:26;90:5;90:7;90:8;90:10;95:5;96:7;100:6;100:7;100:8;100:11;103:3	pass2	76	False
أ ه ل	NOUN_CONCRETE	True	126	9	8	0.071	"{""أ ه ل"": 9}"	"{""word"": 9, ""xref:discourse_reference"": 3, ""xref:pronoun_antecedent"": 6}"	"{""ambiguous"": 3, ""strongly_licensed"": 13, ""syntactically_forced"": 2}"	"{""high"": 12, ""medium"": 6}"	8	5:59;5:68;5:77;7:83;10:24;19:17;28:4;38:43	pass2	40	False
أ و ب	GERUND	True	1	1	1	1.0	"{""أ و ب"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 1, ""strongly_licensed"": 1}"	"{""medium"": 2}"	1	88:26	pass2	1	True
أ و ب	NOUN_TIME_PLACE	True	6	1	0	0.167	"{""أ و ب"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 2}"	"{""low"": 1, ""medium"": 1}"	1	38:60	pass2	3	False
أ و ل		False	12	1	1	0.083	"{""أ و ل"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	19:59	pass2	4	False
أ و ل	NOUN_CONCRETE	True	74	6	6	0.081	"{""أ و ل"": 6}"	"{""word"": 6, ""xref:pronoun_antecedent"": 6}"	"{""ambiguous"": 2, ""strongly_licensed"": 10}"	"{""high"": 6, ""medium"": 6}"	5	8:75;9:86;9:87;28:9;28:11	pass2	31	False
أ و ل	NOUN_NUM	True	60	4	4	0.067	"{""أ و ل"": 4}"	"{""word"": 4, ""xref:discourse_reference"": 1, ""xref:pronoun_antecedent"": 3}"	"{""strongly_licensed"": 8}"	"{""high"": 8}"	4	37:72;43:7;77:17;77:38	pass2	33	False
أ ي ي	NOUN_ABSTRACT	True	375	41	24	0.109	"{""أ ي ي"": 41}"	"{""word"": 41, ""xref:demonstrative_reference"": 9, ""xref:discourse_reference"": 3, ""xref:pronoun_antecedent"": 27, ""xref:resumptive_reference"": 2}"	"{""ambiguous"": 35, ""discourse_inferred"": 1, ""strongly_licensed"": 34, ""syntactically_forced"": 12}"	"{""high"": 40, ""medium"": 42}"	34	7:36;7:40;7:106;7:132;7:136;7:146;7:174;7:175;7:183;8:31;10:1;10:15;10:16;12:105;18:57;23:105;26:2;27:13;27:14;27:93;28:2;28:87;31:7;32:15;32:22;34:43;36:46;39:59;43:48;45:6;45:8;45:9;46:7;68:44	pass2	58	False
ب ح ر	NOUN_CONCRETE	True	39	7	7	0.179	"{""ب ح ر"": 7}"	"{""word"": 7, ""xref:pronoun_antecedent"": 7}"	"{""strongly_licensed"": 12, ""syntactically_forced"": 2}"	"{""high"": 13, ""medium"": 1}"	4	16:14;18:109;31:27;45:12	pass2	24	False
ب ح ر	NOUN_PROP	True	3	2	2	0.667	"{""ب ح ر"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	2	55:20;55:22	pass2	3	True
ب ر د	GERUND	True	2	1	1	0.5	"{""ب ر د"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""medium"": 2}"	1	24:43	pass2	2	True
ب ر ر	GERUND	True	10	2	2	0.2	"{""ب ر ر"": 2}"	"{""word"": 2, ""xref:discourse_reference"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	2	2:177;2:189	pass2	5	False
ب ر ر	NOUN_ACTIVE_PART	True	6	21	13	3.5	"{""ب ر ر"": 21}"	"{""word"": 21, ""xref:discourse_reference"": 1, ""xref:pronoun_antecedent"": 20}"	"{""ambiguous"": 22, ""strongly_licensed"": 20}"	"{""high"": 6, ""medium"": 36}"	14	76:7;76:8;76:9;76:10;76:11;76:12;76:14;76:15;76:19;76:21;83:23;83:24;83:25;83:29	pass2	5	False
ب ر م	PV:IV	True	1	1	1	1.0	"{""ب ر م"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	43:80	pass2	1	True
ب ر ه م	NOUN_PROP	True	62	33	33	0.532	"{""ب ر ه م"": 33}"	"{""word"": 33, ""xref:discourse_reference"": 6, ""xref:pronoun_antecedent"": 27}"	"{""strongly_licensed"": 66}"	"{""high"": 66}"	25	2:130;2:135;2:258;2:260;6:161;9:114;11:71;11:74;15:52;15:53;16:121;16:122;19:41;37:104;37:108;37:111;37:112;37:113;51:25;51:26;51:27;51:28;51:31;51:34;60:4	pass2	22	False
ب ش ر	CV:II	True	19	5	5	0.263	"{""ب ش ر"": 5}"	"{""word"": 5, ""xref:discourse_reference"": 5}"	"{""strongly_licensed"": 10}"	"{""high"": 10}"	5	2:183;2:208;2:264;2:278;2:285	pass2	13	False
ب ش ر	NOUN_CONCRETE	True	34	15	15	0.441	"{""ب ش ر"": 15}"	"{""word"": 15, ""xref:pronoun_antecedent"": 13, ""xref:relative_reference"": 1, ""xref:resumptive_reference"": 1}"	"{""ambiguous"": 2, ""strongly_licensed"": 28}"	"{""high"": 24, ""medium"": 6}"	9	15:29;15:33;15:39;15:40;25:54;38:72;38:75;38:76;38:82	pass2	23	False
ب ص ر	GERUND	True	10	1	1	0.1	"{""ب ص ر"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	67:4	pass2	7	False
ب ص ر	NOUN_ACTIVE_PART	True	8	1	0	0.125	"{""ب ص ر"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 2}"	"{""medium"": 2}"	1	7:202	pass2	6	False
ب ض ع	NOUN_CONCRETE	True	5	2	2	0.4	"{""ب ض ع"": 2}"	"{""word"": 2, ""xref:demonstrative_reference"": 1, ""xref:pronoun_antecedent"": 1}"	"{""syntactically_forced"": 4}"	"{""high"": 4}"	2	12:62;12:65	pass2	1	False
ب ط ل	NOUN_ACTIVE_PART	True	26	4	3	0.154	"{""ب ط ل"": 4}"	"{""word"": 4, ""xref:pronoun_antecedent"": 4}"	"{""ambiguous"": 2, ""strongly_licensed"": 4, ""syntactically_forced"": 2}"	"{""high"": 6, ""medium"": 2}"	4	7:175;18:56;21:18;40:5	pass2	20	False
ب ط ن	NOUN_ACTIVE_PART	True	4	1	1	0.25	"{""ب ط ن"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	57:13	pass2	3	True
ب ع ث	IV:I	True	16	1	1	0.062	"{""ب ع ث"": 1}"	"{""word"": 1, ""xref:relative_reference"": 1}"	"{""strongly_licensed"": 2}"	"{""medium"": 2}"	1	40:35	pass2	10	False
ب ع ث	NOUN_PASSIVE_PART	True	9	1	1	0.111	"{""ب ع ث"": 1}"	"{""word"": 1, ""xref:demonstrative_reference"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	23:83	pass2	7	False
ب ع ض	NOUN_ABSTRACT	True	148	1	1	0.007	"{""ب ع ض"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	37:51	pass2	36	False
ب ع ل	NOUN_CONCRETE	True	7	1	1	0.143	"{""ب ع ل"": 1}"	"{""word"": 1, ""xref:demonstrative_reference"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	11:72	pass2	5	False
ب غ ت	GERUND	True	13	1	0	0.077	"{""ب غ ت"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 2}"	"{""medium"": 2}"	1	7:187	pass2	10	False
ب ل د	NOUN_CONCRETE	True	19	7	5	0.368	"{""ب ل د"": 7}"	"{""word"": 7, ""xref:demonstrative_reference"": 4, ""xref:pronoun_antecedent"": 3}"	"{""ambiguous"": 4, ""strongly_licensed"": 9, ""surface_form"": 1}"	"{""high"": 10, ""medium"": 4}"	7	7:57;7:58;14:35;89:12;90:1;90:2;95:3	pass2	15	False
ب ل غ	GERUND	True	3	1	1	0.333	"{""ب ل غ"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	14:52	pass2	3	True
ب ن ي	NOUN_CONCRETE	True	160	32	23	0.2	"{""ب ن ي"": 32}"	"{""word"": 32, ""xref:demonstrative_reference"": 2, ""xref:discourse_reference"": 4, ""xref:pronoun_antecedent"": 26}"	"{""ambiguous"": 19, ""strongly_licensed"": 44, ""syntactically_forced"": 1}"	"{""high"": 42, ""medium"": 22}"	24	5:70;7:35;7:134;7:135;7:136;7:138;7:139;7:172;9:109;11:46;11:78;15:71;23:50;27:78;31:13;31:17;31:18;31:19;37:102;37:103;37:107;43:58;43:59;43:61	pass2	45	False
ب ه ت	GERUND	True	6	1	1	0.167	"{""ب ه ت"": 1}"	"{""word"": 1, ""xref:resumptive_reference"": 1}"	"{""syntactically_forced"": 2}"	"{""high"": 2}"	1	60:12	pass2	4	False
ب و ب	NOUN_CONCRETE	True	22	2	2	0.091	"{""ب و ب"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 3, ""syntactically_forced"": 1}"	"{""high"": 4}"	2	15:14;23:77	pass2	14	False
ب ي ت	NOUN_CONCRETE	True	65	7	7	0.108	"{""ب ي ت"": 7}"	"{""word"": 7, ""xref:demonstrative_reference"": 2, ""xref:pronoun_antecedent"": 5}"	"{""strongly_licensed"": 10, ""syntactically_forced"": 4}"	"{""high"": 6, ""medium"": 8}"	6	24:27;24:28;24:36;27:52;33:13;106:3	pass2	28	False
ب ي ع	GERUND	True	8	1	1	0.125	"{""ب ي ع"": 1}"	"{""word"": 1, ""xref:resumptive_reference"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	9:111	pass2	6	False
ب ي ن	ADV	True	223	2	2	0.009	"{""ب ي ن"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	1	34:54	pass2	56	False
ب ي ن	NOUN_ABSTRACT	True	108	12	6	0.111	"{""ب ي ن"": 12}"	"{""word"": 12, ""xref:demonstrative_reference"": 1, ""xref:discourse_reference"": 1, ""xref:pronoun_antecedent"": 8, ""xref:relative_reference"": 2}"	"{""ambiguous"": 15, ""strongly_licensed"": 9}"	"{""high"": 2, ""low"": 2, ""medium"": 20}"	9	7:87;10:74;11:17;11:28;11:35;26:118;61:6;98:3;98:4	pass2	42	False
ب ي ن	NOUN_ACTIVE_PART	True	128	2	0	0.016	"{""ب ي ن"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""ambiguous"": 4}"	"{""medium"": 4}"	2	7:108;7:186	pass2	46	False
ت ب ر	NOUN_PASSIVE_PART	True	1	1	0	1.0	"{""ت ب ر"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 2}"	"{""medium"": 2}"	1	7:139	pass2	1	True
ت ج ر	GERUND	True	9	1	1	0.111	"{""ت ج ر"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""ambiguous"": 1, ""strongly_licensed"": 1}"	"{""high"": 1, ""medium"": 1}"	1	62:11	pass2	7	False
ت ر ف	NOUN_PASSIVE_PART	True	5	4	4	0.8	"{""ت ر ف"": 4}"	"{""word"": 4, ""xref:discourse_reference"": 1, ""xref:pronoun_antecedent"": 3}"	"{""strongly_licensed"": 8}"	"{""high"": 2, ""medium"": 6}"	3	23:74;34:34;34:35	pass2	5	False
ث ق ف	IV:I	True	2	2	2	1.0	"{""ث ق ف"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	1	8:57	pass2	2	True
ث ق ل	NOUN_CONCRETE	True	3	25	25	8.333	"{""ث ق ل"": 25}"	"{""word"": 25, ""xref:pronoun_antecedent"": 25}"	"{""strongly_licensed"": 50}"	"{""high"": 48, ""medium"": 2}"	20	55:31;55:32;55:42;55:45;55:47;55:49;55:51;55:53;55:55;55:57;55:59;55:61;55:63;55:65;55:67;55:69;55:71;55:73;55:75;55:77	pass2	3	True
ث ق ل	NOUN_PASSIVE_PART	True	3	1	1	0.333	"{""ث ق ل"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	35:18	pass2	3	True
ث ل ث	NOUN_CONCRETE	True	2	2	2	1.0	"{""ث ل ث"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 4}"	1	9:118	pass2	2	True
ث ل ث	NOUN_NUM	True	27	1	1	0.037	"{""ث ل ث"": 1}"	"{""word"": 1, ""xref:pronoun_antecedent"": 1}"	"{""strongly_licensed"": 2}"	"{""high"": 2}"	1	58:7	pass2	19	False
ث م ر	NOUN_CONCRETE	True	22	2	2	0.091	"{""ث م ر"": 2}"	"{""word"": 2, ""xref:pronoun_antecedent"": 2}"	"{""strongly_licensed"": 4}"	"{""high"": 2, ""medium"": 2}"	2	35:27;36:35	pass2	12	False
