root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	dep_dominant	dep_dominant_ratio	head_dominant	head_dominant_ratio	negated_ratio	scoped_ratio	narration_ratio	in_quote_ratio	imperative_count	supplication_count	interrogative_count	frame_count	absolute_ratio	top_prep	agency	dominant_referent	batch_count	low_occurrence
أ ح د	NOUN_NUM	True	60	79	direct_object	0.313	prep_complement	0.515	0.617	0.65	0.717	0.25	0	2	2	0	0.0		human	HUMANS_GENERIC	30	False
أ خ ذ	CV:I	True	23	0	quoted_complement	1.0	direct_object	0.511	0.0	0.0	0.0	0.217	23	5	0	23	0.0	بـ	mixed	HUMANS_GENERIC	13	False
أ خ ذ	CV:VIII	True	2	0	quoted_complement	1.0	direct_object	0.429	0.0	0.0	0.0	0.5	2	1	0	2	0.0	مِن	mixed	HUMANS_GENERIC	2	True
أ خ ذ	GERUND	True	6	0	cognate_acc	0.5	direct_object	0.222	0.0	0.0	0.833	0.167	0	1	0	2	1.0	كـ	mixed	HUMANS_GENERIC	5	False
أ خ ذ	GERUND_INSTANT	True	1	0	cognate_acc	1.0	adjective	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ خ ذ	IV:I	True	27	0	adjective	0.429	direct_object	0.51	0.222	0.259	0.889	0.111	0	1	0	27	0.074	بـ	mixed	HUMANS_GENERIC	14	False
أ خ ذ	IV:III	True	9	0	conjoined	0.5	direct_object	0.375	0.444	0.444	0.889	0.111	0	0	0	9	0.0	بـ	mixed	HUMANS_GENERIC	5	False
أ خ ذ	IV:VIII	True	53	0	conjoined	0.368	direct_object	0.686	0.396	0.434	0.774	0.226	0	2	0	53	0.019	مِن	mixed	HUMANS_GENERIC	21	False
أ خ ذ	IV_PASS:I	True	5	272	conjoined	1.0	prep_complement	0.538	0.8	0.8	1.0	0.0	0	0	0	5	0.0	مِن	mixed	HUMANS_GENERIC	5	False
أ خ ذ	NOUN_ACTIVE_PART	True	6	0	conjoined	0.333	idafa	0.429	0.667	0.833	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	6	False
أ خ ذ	PV:I	True	74	0	conjoined	0.8	direct_object	0.419	0.014	0.027	0.919	0.081	0	1	0	74	0.027	بـ	mixed	HUMANS_GENERIC	32	False
أ خ ذ	PV:VIII	True	66	0	conjoined	0.353	direct_object	0.572	0.061	0.061	0.788	0.212	0	1	0	66	0.0	مِن	mixed	HUMANS_GENERIC	30	False
أ خ ذ	PV_PASS:I	True	1	0		0.0	prep_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0	مِن	mixed	HUMANS_GENERIC	1	True
أ خ ر	ADJ_COMP	True	95	0	adjective	0.615	predication	0.4	0.168	0.168	0.926	0.074	0	2	0	0	0.0		mixed	HUMANS_GENERIC	38	False
أ خ ر	ADJ_QUALIT	True	3	0	conjoined	0.75	adjective	0.667	0.0	0.0	0.667	0.333	0	1	0	0	0.0		mixed	HUMANS_GENERIC	2	True
أ خ ر	CV:II	True	1	0		0.0	direct_object	0.333	0.0	0.0	0.0	1.0	1	1	0	1	0.0	إِلَى	mixed	HUMANS_GENERIC	1	True
أ خ ر	IV:II	True	6	0	conjoined	0.5	direct_object	0.385	0.5	0.667	1.0	0.0	0	0	0	6	0.0	إِلَى	mixed	HUMANS_GENERIC	6	False
أ خ ر	IV:V	True	1	0	conjoined	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ خ ر	IV:X	True	6	0	conjoined	0.667	adverbial	0.444	1.0	1.0	0.667	0.333	0	0	0	6	0.0	عَن	mixed	HUMANS_GENERIC	6	False
أ خ ر	NOUN_ABSTRACT	True	43	250	prep_complement	0.561	predication	0.7	0.279	0.279	0.907	0.093	0	1	0	0	0.0		mixed	HUMANS_GENERIC	25	False
أ خ ر	NOUN_ACTIVE_PART	True	85	0	prep_complement	0.483	conjoined	0.333	0.129	0.129	0.953	0.047	0	3	0	0	0.0		mixed	HUMANS_GENERIC	40	False
أ خ ر	PV:II	True	8	0	conjoined	1.0	direct_object	0.5	0.125	0.125	0.5	0.5	0	2	0	8	0.0	إِلَى	mixed	HUMANS_GENERIC	8	False
أ خ ر	PV:V	True	2	0		0.0	subject	1.0	0.0	0.0	1.0	0.0	0	0	0	2	0.0		mixed	HUMANS_GENERIC	2	True
أ خ و	NOUN_CONCRETE	True	55	0	conjoined	0.241	idafa	0.375	0.182	0.182	0.709	0.291	0	4	0	0	0.0		mixed	PROPHET_OTHER	21	False
أ خ و	NOUN_FIVE	True	41	94	direct_object	0.297	idafa	0.514	0.024	0.024	0.78	0.195	0	3	3	0	0.0		mixed	PROPHET_OTHER	18	False
أ د م		False	0	9		0.0		0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0		mixed	PROPHET_OTHER	0	True
أ د ي	IV:II	True	1	0		0.0	direct_object	0.5	0.0	0.0	1.0	0.0	0	0	0	1	0.0	إِلَى	human	DISBELIEVERS	1	True
أ د ي	NOUN_ABSTRACT	True	2	4	adjective	0.5	prep_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		human	DISBELIEVERS	2	True
أ د ي	PV:II	True	1	0		0.0	direct_object	0.5	0.0	0.0	1.0	0.0	0	0	0	1	0.0	إِلَى	human	DISBELIEVERS	1	True
أ ذ ن	CV:I	True	3	0	quoted_complement	1.0	prep_complement	0.6	0.0	0.0	0.0	0.333	3	1	0	3	1.0	لـ	mixed	GOD	3	True
أ ذ ن	CV:II	True	1	0		0.0	prep_complement	1.0	0.0	0.0	0.0	0.0	1	0	0	1	1.0	بـ	mixed	GOD	1	True
أ ذ ن	GERUND	True	40	0	prep_complement	0.927	idafa	0.839	0.25	0.55	0.825	0.15	0	4	1	0	0.0		mixed	GOD	21	False
أ ذ ن	IV:I	True	4	0	conjoined	0.5	subject	0.4	0.25	0.25	0.75	0.25	0	0	0	4	0.75	لـ	mixed	GOD	4	True
أ ذ ن	IV:X	True	8	0		0.0	direct_object	0.438	0.25	0.25	1.0	0.0	0	0	0	8	0.125	لـ	mixed	GOD	2	False
أ ذ ن	IV_PASS:I	True	3	0		0.0	prep_complement	0.75	1.0	1.0	1.0	0.0	0	0	0	3	0.0	لـ	mixed	GOD	3	True
أ ذ ن	IV_PASS:IV	True	2	0	clausal_complement	1.0	prep_complement	1.0	0.5	0.5	1.0	0.0	0	0	0	2	0.0	لـ	mixed	GOD	2	True
أ ذ ن	NOUN_ABSTRACT	True	2	0	quoted_complement	0.5	adjective	0.25	0.0	0.0	0.5	0.5	0	0	0	0	0.0		mixed	GOD	2	True
أ ذ ن	NOUN_ACTIVE_PART	True	2	0	subject	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	GOD	2	True
أ ذ ن	NOUN_CONCRETE	True	16	102	prep_complement	0.588	idafa	0.333	0.0	0.0	0.812	0.188	0	1	0	0	0.0		mixed	GOD	12	False
أ ذ ن	PV:I	True	10	0		0.0	prep_complement	0.55	0.2	0.2	0.7	0.3	0	0	0	10	0.75	لـ	mixed	GOD	9	False
أ ذ ن	PV:II	True	2	0		0.0	quoted_complement	0.333	0.0	0.0	1.0	0.0	0	0	0	2	0.0		mixed	GOD	2	True
أ ذ ن	PV:IV	True	3	0	quoted_complement	1.0	direct_object	0.333	0.0	0.0	0.0	1.0	0	0	0	3	0.333	عَلَى	mixed	GOD	3	True
أ ذ ن	PV:V	True	2	0		0.0	subject	0.667	0.0	0.0	1.0	0.0	0	0	0	2	0.5		mixed	GOD	2	True
أ ذ ن	PV:X	True	3	0		0.0	direct_object	0.333	0.0	0.0	1.0	0.0	0	0	0	3	0.333	لـ	mixed	GOD	2	True
أ ذ ن	PV_PASS:I	True	1	0		0.0	prep_complement	0.667	0.0	0.0	1.0	0.0	0	0	0	1	0.0	بـ	mixed	GOD	1	True
أ ذ ي	ADV	True	2	0	adverbial	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	2	True
أ ذ ي	GERUND	True	1	0	conjoined	1.0		0.0	1.0	1.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ ذ ي	IV:I	True	4	0	conjoined	1.0	direct_object	0.75	0.5	0.5	0.5	0.5	0	0	0	4	0.0		mixed	HUMANS_GENERIC	2	True
أ ذ ي	IV:IV	True	4	0	kana_predicate	1.0	direct_object	0.571	0.25	0.25	1.0	0.0	0	0	0	4	0.0		mixed	HUMANS_GENERIC	2	True
أ ذ ي	IV_PASS:IV	True	1	0		0.0	adverbial	0.5	0.0	0.0	1.0	0.0	0	0	0	1	0.0	فِي	mixed	HUMANS_GENERIC	1	True
أ ذ ي	NOUN_ABSTRACT	True	8	44	direct_object	0.286	prep_complement	0.6	0.25	0.375	0.875	0.125	0	1	0	0	0.0		mixed	HUMANS_GENERIC	4	False
أ ذ ي	PV:I	True	2	0		0.0	direct_object	1.0	0.0	0.0	1.0	0.0	0	0	0	2	0.0		mixed	HUMANS_GENERIC	2	True
أ ذ ي	PV:IV	True	1	0		0.0	direct_object	0.5	1.0	1.0	1.0	0.0	0	0	0	1	0.0		mixed	HUMANS_GENERIC	1	True
أ ذ ي	PV_PASS:I	True	2	0	conjoined	0.5	prep_complement	1.0	0.0	0.0	0.5	0.5	0	0	0	2	0.0	مِن	mixed	HUMANS_GENERIC	2	True
أ ذ ي	PV_PASS:IV	True	1	0	conjoined	1.0	prep_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0	فِي	mixed	HUMANS_GENERIC	1	True
أ ر ب	NOUN_ABSTRACT	True	2	2	idafa	1.0	prep_complement	0.5	0.5	0.5	0.0	1.0	0	0	0	0	0.0				2	True
أ ر ض	NOUN_CONCRETE	True	461	460	prep_complement	0.443	conjoined	0.422	0.178	0.182	0.839	0.154	0	22	9	0	0.0		mixed	NATURE_CREATION	80	False
أ ر ك	NOUN_CONCRETE	True	5	5	prep_complement	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				4	False
أ ز ر	NOUN_ABSTRACT	True	1	2	direct_object	1.0	idafa	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	NATURE_CREATION	1	True
أ ز ر	PV:III	True	1	0		0.0	direct_object	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0		mixed	NATURE_CREATION	1	True
أ ز ز	GERUND	True	1	0	cognate_acc	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	DISBELIEVERS	1	True
أ ز ز	IV:I	True	1	2	circumstantial	1.0	cognate_acc	0.5	0.0	0.0	1.0	0.0	0	0	0	1	0.0		mixed	DISBELIEVERS	1	True
أ ز ف	NOUN_PROP	True	2	3	idafa	0.5		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	ABSTRACT_CONCEPT	2	True
أ ز ف	PV:I	True	1	0		0.0	subject	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0		mixed	ABSTRACT_CONCEPT	1	True
أ س ر	IV:I	True	1	0	conjoined	1.0	direct_object	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0		human	BELIEVERS	1	True
أ س ر	NOUN_PASSIVE_PART	True	2	3	circumstantial	0.5		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		human	BELIEVERS	2	True
أ س س	PV:II	True	2	0		0.0	direct_object	0.333	0.0	0.0	1.0	0.0	0	0	0	2	0.0	عَلَى			1	True
أ س س	PV_PASS:II	True	1	3	adjective	1.0	prep_complement	0.667	0.0	0.0	1.0	0.0	0	0	0	1	0.0	عَلَى			1	True
أ س ف	ADJ_QUALIT	True	2	5	circumstantial	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	DISBELIEVERS	2	True
أ س ف	GERUND	True	2	0	circumstantial	0.5	prep_complement	1.0	0.0	0.0	0.5	0.5	0	0	0	0	0.0		mixed	DISBELIEVERS	2	True
أ س ف	PV:IV	True	1	0		0.0	direct_object	1.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0		mixed	DISBELIEVERS	1	True
أ س ن	NOUN_ACTIVE_PART	True	1	1	idafa	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				1	True
أ س و	IV:I	True	4	5		0.0	prep_complement	0.667	0.5	0.5	0.25	0.75	0	0	0	4	0.0	عَلَى	mixed	PROPHET_OTHER	3	True
أ س و	NOUN_ABSTRACT	True	1	0	subject	1.0	prep_complement	0.667	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	PROPHET_OTHER	1	True
أ ش ر	ADJ_QUALIT	True	3	3	adjective	0.25		0.0	0.333	0.333	0.667	0.0	0	0	1	0	0.0				2	True
أ ص د	NOUN_PASSIVE_PART	True	2	2	adjective	0.5	prep_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				2	True
أ ص ر	NOUN_ABSTRACT	True	3	3	direct_object	1.0	conjoined	1.0	0.333	0.333	0.667	0.333	0	0	0	0	0.0		mixed	GOD	3	True
أ ص ل	NOUN_ABSTRACT	True	10	10	conjoined	0.583	idafa	0.5	0.0	0.0	0.9	0.1	0	0	0	0	0.0		mixed	NATURE_CREATION	10	False
أ ف ف	NOUN_VERB_LIKE	True	3	3	quoted_complement	1.0	prep_complement	1.0	0.0	0.0	0.333	0.667	0	0	0	0	0.0				3	True
أ ف ق	NOUN_ABSTRACT	True	3	3	prep_complement	0.75	adjective	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0				3	True
أ ف ك	ADJ_INTENS	True	2	0	idafa	1.0	adjective	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		human	HUMANS_GENERIC	2	True
أ ف ك	GERUND	True	9	0	predication	0.556	adjective	0.571	0.111	0.333	0.556	0.444	0	0	0	0	0.0		human	HUMANS_GENERIC	6	False
أ ف ك	IV:I	True	3	0		0.0	direct_object	0.75	0.0	0.0	0.667	0.333	0	1	0	3	0.0	عَن	human	HUMANS_GENERIC	3	True
أ ف ك	IV_PASS:I	True	9	30	kana_predicate	1.0	adverbial	0.7	0.0	0.0	0.667	0.111	0	0	2	9	0.0	عَن	human	HUMANS_GENERIC	9	False
أ ف ك	IV_PASS:IV	True	3	0		0.0	adverbial	0.5	0.0	0.0	0.667	0.0	0	0	1	3	0.0	كـ	human	HUMANS_GENERIC	3	True
أ ف ك	NOUN_ACTIVE_PART	True	3	0	conjoined	0.667		0.0	0.333	0.333	1.0	0.0	0	0	0	0	0.0		human	HUMANS_GENERIC	3	True
أ ف ك	PV_PASS:I	True	1	0		0.0		0.0	0.0	0.0	1.0	0.0	0	0	0	1	0.0		human	HUMANS_GENERIC	1	True
أ ف ل	NOUN_ACTIVE_PART	True	1	0	direct_object	1.0		0.0	1.0	1.0	0.0	1.0	0	0	0	0	0.0		mixed	NATURE_CREATION	1	True
أ ف ل	PV:I	True	3	4		0.0		0.0	0.0	0.0	1.0	0.0	0	0	0	3	0.0		mixed	NATURE_CREATION	1	True
أ ك ل	ADJ_INTENS	True	1	0	conjoined	1.0	prep_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ ك ل	CV:I	True	4	0		0.0	conjoined	0.429	0.0	0.0	0.0	0.25	4	1	0	4	1.0	مِن	mixed	HUMANS_GENERIC	3	True
أ ك ل	GERUND	True	4	0	conjoined	0.75	direct_object	0.6	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	3	True
أ ك ل	IV:I	True	56	81	adjective	0.211	prep_complement	0.323	0.196	0.268	0.786	0.214	0	3	0	56	0.482	مِن	mixed	HUMANS_GENERIC	28	False
أ ك ل	NOUN_ACTIVE_PART	True	3	0	predication	0.5	prep_complement	0.667	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	3	True
أ ك ل	NOUN_CONCRETE	True	7	0	direct_object	0.5	apposition	0.2	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	6	False
أ ك ل	NOUN_PASSIVE_PART	True	1	0	adjective	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ ك ل	PV:I	True	5	0		0.0	direct_object	0.333	0.0	0.0	0.6	0.4	0	0	0	5	0.4	مِن	mixed	HUMANS_GENERIC	3	False
أ ل ت	PV:I	True	1	1		0.0	prep_complement	0.667	1.0	1.0	1.0	0.0	0	0	0	1	0.0	مِن	mixed	BELIEVERS	1	True
أ ل ف	GERUND	True	2	0		0.0	idafa	0.667	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	GOD	1	True
أ ل ف	IV:II	True	1	0	conjoined	1.0	adverbial	0.5	0.0	0.0	1.0	0.0	0	0	0	1	1.0		mixed	GOD	1	True
أ ل ف	NOUN_NUM	True	14	23	idafa	0.2	idafa	0.545	0.0	0.0	0.857	0.143	0	0	0	0	0.0		mixed	GOD	9	False
أ ل ف	NOUN_PASSIVE_PART	True	1	0	conjoined	0.5	subject	1.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	GOD	1	True
أ ل ف	PV:I	True	1	0	predication	1.0	circumstantial	0.5	0.0	0.0	1.0	0.0	0	0	0	1	0.0		mixed	GOD	1	True
أ ل ف	PV:II	True	4	0	predication	1.0	adverbial	0.8	0.25	0.25	1.0	0.0	0	0	0	4	1.0		mixed	GOD	2	True
أ ل م	ADJ_QUALIT	True	71	75	adjective	0.986	adjective	1.0	0.014	0.014	0.887	0.099	0	3	2	0	0.0		mixed	HUMANS_GENERIC	42	False
أ ل م	IV:I	True	3	0	kana_predicate	0.5	prep_complement	1.0	0.0	0.0	1.0	0.0	0	0	0	3	0.0	كـ	mixed	HUMANS_GENERIC	1	True
أ ل م	NOUN_ACTIVE_PART	True	1	0	adjective	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		mixed	HUMANS_GENERIC	1	True
أ ل ه	ADJ_COMP	True	1	0	prep_complement	1.0		0.0	0.0	0.0	1.0	0.0	0	0	0	0	0.0		divine	GOD	1	True
أ ل ه	IV:IV	True	1	0		0.0	direct_object	0.333	1.0	1.0	1.0	0.0	0	0	0	1	0.0	عَن	divine	GOD	1	True
أ ل ه	NOUN_CONCRETE	True	147	0	particle_complement	0.276	adjective	0.291	0.429	0.626	0.605	0.395	0	20	0	0	0.0		divine	GOD	45	False
أ ل ه	NOUN_PROP	True	2702	2847	subject	0.327	predication	0.496	0.141	0.16	0.828	0.165	0	100	30	0	0.0		divine	GOD	85	False
أ ل و	NOUN_ABSTRACT	True	34	34	idafa	0.941	idafa	1.0	0.0	0.0	0.059	0.0	0	0	32	0	0.0				3	False
أ ل ي		False	0	1		0.0		0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0				0	True
أ م ت	NOUN_ABSTRACT	True	1	1	conjoined	0.5		0.0	1.0	1.0	1.0	0.0	0	0	0	0	0.0				1	True
أ م د	ADV	True	2	4	direct_object	0.5	adjective	0.5	0.0	0.0	0.5	0.5	0	0	0	0	0.0				2	True
