strong	40:1	صيغة «حم» المطابقة في فاتحة أخرى.
no value	82:11	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:34	لا صلة نصية ظاهرة بفاتحة «حم».
no value	68:27	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:67	تكرار داخلي للآية 68:27 بلا صلة بفاتحة «حم».
no value	70:16	لا صلة نصية ظاهرة بفاتحة «حم».
no value	103:1	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:32	لا صلة نصية ظاهرة بفاتحة «حم».
no value	20:30	لا صلة نصية ظاهرة بفاتحة «حم».
no value	86:1	فاتحة قسم لا صلة نصية ظاهرة لها بـ«حم».
no value	56:21	لا صلة نصية ظاهرة بفاتحة «حم».
no value	80:31	لا صلة نصية ظاهرة بفاتحة «حم».
no value	89:7	لا صلة نصية ظاهرة بفاتحة «حم».
no value	44:44	لا صلة نصية ظاهرة بفاتحة «حم».
no value	68:13	لا صلة نصية ظاهرة بفاتحة «حم».
no value	74:2	لا صلة نصية ظاهرة بفاتحة «حم».
no value	74:3	لا صلة نصية ظاهرة بفاتحة «حم».
no value	78:16	لا صلة نصية ظاهرة بفاتحة «حم».
no value	68:12	لا صلة نصية ظاهرة بفاتحة «حم».
no value	56:89	لا صلة نصية ظاهرة بفاتحة «حم».
no value	39:30	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
no value	37:159	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
no value	12:2	بطاقة تدقيق ذيلية؛ لا تصل لفظ «حم» مباشرة.
no value	23:102	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
no value	2:280	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
no value	63:3	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
no value	43:55	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
no value	11:3	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
no value	2:79	بطاقة تدقيق ذيلية؛ لا تصل لفظ «حم» مباشرة.
no value	2:264	بطاقة تدقيق ذيلية بلا صلة نصية ظاهرة بفاتحة «حم».
weak	10:1	فاتحة حروف مغايرة؛ تكمل شواهد جنس الفواتح لا «حم».
weak	11:1	فاتحة حروف مغايرة؛ تكمل شواهد جنس الفواتح لا «حم».
weak	12:1	فاتحة حروف مغايرة؛ تكمل شواهد جنس الفواتح لا «حم».
weak	13:1	فاتحة حروف مركبة مغايرة؛ تكمل شواهد البنية العامة.
weak	14:1	فاتحة حروف مغايرة؛ تكمل شواهد جنس الفواتح لا «حم».
weak	15:1	فاتحة حروف مغايرة؛ تكمل شواهد جنس الفواتح لا «حم».
weak	27:1	فاتحة حروف مغايرة؛ تكمل شواهد جنس الفواتح لا «حم».
weak	38:1	فاتحة بحرف مفرد مغاير؛ تكمل شواهد البنية العامة.
weak	50:1	فاتحة بحرف مفرد مغاير؛ تكمل شواهد البنية العامة.
weak	68:1	فاتحة بحرف مفرد مغاير؛ تكمل شواهد البنية العامة.
