strong	26:117	Directly parallels a messenger presenting his people's completed denial to the Lord.
medium	26:19	Pharaoh's accusation labels Moses an unbeliever, sharpening the hostile verbal frame around the mission.
medium	77:37	The recurring woe gives only broad consequence context for persistent denial.
weak	12:13	A father's fear for a son is an unrelated use of the fear formula.
medium	3:78	The branch link supplies a closely related scene of deliberate falsification and false religious attribution.
weak	55:32	Its generic denial formula does not specify messenger, message, or response.
weak	11:26	A prophet's warning for his people shares protective fear but not the anticipated rejection of his speech.
strong	26:15	Direct divine reply rejects Moses's fear and commissions the pair with signs under God's hearing.
medium	77:47	The woe for deniers remains general consequence evidence.
medium	5:25	Moses appeals to the Lord over a defiant people, a related mission crisis without the same denial formula.
medium	15:95	The branch link supplies divine sufficiency against mockers, a response to the ridicule joined to the focus channel.
weak	55:65	The generic denial refrain is remote from this mission scene.
medium	7:125	The magicians' return to their Lord models the fearless allegiance that the local bridge later depicts.
medium	26:2	The immediate Book opening establishes the disclosed message that Moses expects the audience to reject.
weak	74:3	Magnifying the Lord is a broad devotional command without a denial or mission relation.
weak	19:4	A personal plea to the Lord from weakness shares address language but not public opposition.
medium	23:106	The branch link concerns false speech and belated admission, a consequence-side resonance with falsification.
medium	46:21	A messenger fears punishment for his people, a related prophetic warning but not fear of being called a liar.
medium	5:28	Fear of the Lord restrains retaliatory violence, a distinct ethical orientation of fear.
strong	26:11	Immediate commission identifies Pharaoh's people as the audience whose response Moses fears.
weak	55:73	The generic denial formula adds no focused detail.
weak	3:40	A question about an improbable birth has no substantive relation to mission denial.
medium	43:8	The branch link turns mocked prophetic news into a historical consequence, extending the focus channel.
weak	4:9	Concern for vulnerable descendants is an unrelated protective use of fear.
weak	19:8	A personal question about an improbable birth has no substantive mission-denial relation.
strong	26:16	Immediate continuation gives the formal message Moses and Aaron must deliver to Pharaoh.
weak	7:35	The promise of no fear after receptivity is only a distant positive contrast.
medium	8:48	A false claim of fear followed by desertion contrasts with Moses's honest fear before divine support.
medium	3:126	The bridge connects divine help and reassurance to the threatened-messenger sequence.
medium	28:18	Moses's fearful vigilance after the killing supplies background for the danger he later reports.
medium	28:16	Moses's plea for forgiveness after the killing gives the factual background to his fear in 26:14.
strong	26:17	Immediate continuation states the mission's concrete demand concerning the Children of Israel.
weak	3:175	Redirecting fear toward God is thematically related but not a parallel to feared public falsification.
medium	7:59	A messenger fears a great day for his people, preserving the prophetic-warning structure.
weak	5:38	The branch's bodily-punishment imagery is too distant from the focus's fear of denial.
weak	10:62	The absence of fear for God's allies is a remote positive contrast.
weak	7:61	Noah's rejection of an accusation and claim to be a messenger supplies only broad background for public denial.
weak	55:21	The generic denial refrain provides no focused mission detail.
medium	26:26	Moses's later declaration of the Lord of all generations directly confronts Pharaoh's competing authority.
medium	22:57	Explicit denial of divine signs and its humiliating punishment gives broad consequence context.
weak	92:9	Denial of the highest good is too general and differently framed.
strong	20:56	Pharaoh sees all of Moses's signs yet denies and refuses, directly realizing the rejection Moses feared.
no value	51:57	The statement about divine provision has no focused relation to mission denial or response.
medium	10:39	It describes denial before understanding or fulfillment, a general account of the response Moses anticipates.
no value	4:28	Human weakness and divine easing do not materially clarify Moses's feared denial.
weak	23:59	Exclusive devotion to the Lord is a broad theological background without the mission-response relation.
strong	26:10	Moses is explicitly commanded to go to Pharaoh's people, identifying the audience whose denial he fears.
strong	26:21	Moses later recalls fleeing from Pharaoh because he feared them, directly grounding the danger stated in the focus.
medium	26:27	Pharaoh publicly brands Moses's messenger as mad, an enacted form of the discrediting Moses anticipates.
strong	26:29	Pharaoh answers Moses's proclamation with imprisonment, confirming the coercive risk surrounding the feared denial.
medium	26:31	Moses offers a clear sign when challenged, the response that tests whether Pharaoh's court will accept or deny him.
medium	26:34	Pharaoh recasts Moses's sign as sorcery before the chiefs, a concrete public falsification of the mission.
medium	26:36	The chiefs defer and mobilize counter-experts, extending the institutional response to Moses's claim.
strong	20:24	The command to go to Pharaoh establishes the dangerous mission for which Moses voices fear.
strong	20:25	Moses immediately asks his Lord to expand his chest, directly parallel to the constriction named after the focus.
strong	20:26	The request to ease his task continues Moses's response to the burdensome commission.
strong	20:27	Moses asks that the knot in his tongue be loosened, directly complementing his fear that his message will fail publicly.
strong	20:28	He seeks speech the audience will understand, addressing the communicative obstacle behind anticipated denial.
strong	20:29	Moses asks for Aaron as a minister, the same support that 26:13 calls for.
strong	20:32	Aaron's inclusion is requested so he can share Moses's task before Pharaoh.
medium	20:43	The paired command to go to Pharaoh frames the commission as a joint response to the danger Moses identified.
medium	20:44	The instruction to speak gently gives a concrete strategy for confronting the feared hostile audience.
strong	20:46	God directly tells Moses and Aaron not to fear because He is with them, hearing and seeing.
strong	20:47	The brothers are commissioned to declare their shared messenger status and demand Israel's release.
strong	20:48	The warning that punishment falls on whoever denies and turns away directly names the outcome at stake.
medium	20:57	Pharaoh recasts Moses's signs as an attempt to expel him by magic, another public counter-narrative.
medium	20:61	Moses warns the magicians against fabricating a lie about God, distinguishing truthful signs from hostile falsification.
strong	28:31	Moses is told not to fear when confronted by the sign, a direct divine answer within the same commission account.
strong	28:32	The sign is given to calm Moses's fear before he faces Pharaoh and his chiefs.
strong	28:35	God promises to strengthen Moses through Aaron and give both authority beyond Pharaoh's reach.
strong	28:36	When clear signs arrive, Pharaoh's court calls them invented magic, directly enacting the feared denial.
medium	7:103	Moses is sent with signs to Pharaoh and his chiefs, supplying the broader mission setting.
strong	7:104	Moses publicly identifies himself to Pharaoh as a messenger from the Lord of all worlds.
medium	7:106	Pharaoh challenges Moses to produce a sign, making acceptance or rejection a public contest.
medium	7:109	Pharaoh's chiefs label Moses a knowing magician, a direct strategy of discrediting his message.
medium	7:110	They claim Moses seeks expulsion, turning the messenger's warning into a political threat narrative.
medium	10:75	Moses and Aaron are sent with signs to Pharaoh and his chiefs, restating the commission setting.
strong	10:76	When truth reaches them, Pharaoh's court calls it clear sorcery, directly realizing Moses's fear of being called false.
strong	10:77	Moses challenges the designation of truth as magic, making the falsification dispute explicit.
medium	10:78	The chiefs resist Moses and Aaron by invoking inherited authority, showing the social basis of their refusal.
strong	10:83	Only a small group believes in Moses while fearing Pharaoh and his chiefs, directly confirming the coercive setting.
medium	10:88	Moses asks that Pharaoh's wealth no longer serve their continuing diversion from God's way.
medium	23:45	Moses and Aaron are sent with signs to Pharaoh and his chiefs, a close parallel commission account.
strong	23:46	Pharaoh's chiefs respond with arrogance, refusing to accept the two human messengers.
strong	23:47	They explicitly reject belief in Moses and Aaron and demean the people associated with them.
medium	40:23	Moses is sent with signs and clear authority, providing another direct commission frame.
strong	40:24	Pharaoh, Haman, and Korah call Moses a lying sorcerer, exactly the public discrediting he fears.
medium	40:27	Moses seeks refuge in his Lord from every arrogant person who rejects the Day of Account.
strong	40:28	The believer from Pharaoh's family exposes the proposed killing of a man solely for saying that God is his Lord.
medium	43:46	Moses is sent with signs to Pharaoh and his chiefs, restating the contested mission setting.
strong	43:47	When Moses brings signs, Pharaoh's chiefs laugh at them, directly joining denial to ridicule.
medium	43:48	The succession of signs is shown to Pharaoh's people without producing a lasting receptive response.
medium	51:38	Moses is sent to Pharaoh with clear authority, a concise retelling of the commission.
strong	51:39	Pharaoh turns away in arrogant reliance on his power and calls Moses a magician or madman.
medium	79:16	God calls Moses in the sacred valley, opening the commission that leads to Pharaoh.
medium	79:17	Moses is commanded to go to Pharaoh because of his transgression.
medium	79:20	Moses shows Pharaoh the great sign, the decisive evidence that Pharaoh then rejects.
strong	79:21	Pharaoh denies the sign and disobeys, directly realizing the response feared in 26:12.
strong	79:22	Pharaoh turns away and strives against Moses, adding active opposition to verbal denial.
strong	27:10	Moses is directly told not to fear, a close divine reassurance within another account of his signs.
medium	27:12	Moses is given signs for Pharaoh and his people, locating the evidence before their response.
strong	27:13	When the signs come visibly, Pharaoh's people call them manifest magic.
strong	27:14	They deny the signs despite inward certainty, defining the knowing rejection Moses fears.
strong	17:101	Pharaoh calls Moses bewitched despite the nine clear signs, another explicit denial in the same confrontation.
strong	17:102	Moses answers that Pharaoh knows the signs came from the Lord, exposing his rejection as culpable.
