no value	44:53	Paradise clothing and mutual facing do not clarify the focus.
no value	30:11	Creation and return to God do not add a specific route to this scene.
weak	37:153	The false attribution about God's daughters belongs to the same polemic but not the crowd's rush.
no value	49:13	Human peoples and mutual recognition do not clarify the idol-defense scene.
no value	73:8	Exclusive devotion to God does not develop the narrative action here.
weak	57:12	Light moving ahead and at the right side offers only a formal movement echo.
no value	6:72	Prayer and eventual gathering to God do not clarify the focus.
weak	37:21	The judgment day for what they denied gives the later consequence of the disbelief underlying this scene.
no value	56:85	God's nearness at death does not clarify the crowd's action.
no value	36:50	The sudden blast and interrupted wills do not illuminate the idol confrontation.
no value	5:35	Seeking means to God and striving in His path do not clarify the focus.
no value	37:48	The description of paradise companions does not clarify the focus.
no value	4:158	Jesus' raising to God does not clarify the crowd's rush toward Abraham.
weak	36:71	God's creation of livestock contrasts generally with treating created things as autonomous objects of devotion.
no value	2:46	Expectation of meeting and returning to God does not clarify the scene.
weak	4:26	Guidance away from predecessors' ways provides a broad contrast to inherited idol following.
no value	56:45	Former indulgence does not clarify the focus.
weak	37:149	The challenge to false claims about God continues the same anti-idolatry polemic without the crowd action.
no value	2:203	Ritual days and eventual gathering to God do not clarify the scene.
no value	26:168	Lot's repudiation of his people's deed does not illuminate Abraham's crowd.
medium	6:113	Hearts incline to deceptive speech and approve it, clarifying how a community can persist in false allegiance.
strong	37:22	The command to gather wrongdoers with what they worship identifies the ultimate bond behind their defense of idols.
no value	10:4	Universal return and recompense do not clarify the narrative action.
weak	37:150	The challenge to unsupported angel claims continues the surrounding polemic but not the focus scene.
strong	6:41	In distress people call God and forget their associates, directly exposing the impotence of the crowd's idols.
medium	37:37	The messenger's arrival with truth explains the truth claim the idolaters oppose in this passage.
medium	8:24	The command to answer God and the messenger provides the contrary response to rushing in defense of idols.
weak	4:175	Guidance to a straight path is a broad contrary orientation, not a scene-level parallel.
weak	5:81	Misplaced loyalties offer a limited thematic parallel to allegiance to false objects of worship.
no value	5:96	The pilgrimage hunting regulation does not clarify the focus.
no value	2:28	The creation-and-return sequence does not clarify the focus.
medium	7:150	Moses confronts his people after their idolatry, a related prophetic confrontation with an erring community.
no value	9:118	Repentance and refuge only in God do not clarify the immediate scene.
weak	6:119	Its question about eating echoes Abraham's challenge to the idols, though the legal setting is different.
weak	4:172	Servitude to God contrasts broadly with refusal of proper worship, without the focus's confrontation.
medium	2:285	The believers' hearing and obedience form a clear contrary response to the crowd's hostile movement.
no value	6:60	Nightly death and final return to God do not clarify the focus.
no value	86:3	The piercing star does not clarify the scene.
medium	42:13	The shared religion enjoined on Abraham and rejected by idolaters frames the resistance shown in 37:94.
no value	12:99	Joseph's family entering Egypt does not clarify the focus.
no value	70:4	The angels' ascent to God does not clarify the crowd's action.
no value	23:27	Noah's ark instruction does not clarify the focus.
no value	74:14	The granted ease does not clarify the idol confrontation.
weak	50:12	Earlier peoples' denial provides a general historical pattern for the crowd's resistance.
no value	24:58	Household privacy times do not clarify the focus.
no value	53:31	Universal recompense does not clarify the crowd's approach.
weak	3:97	Abraham's station preserves his central identity but does not develop the idol confrontation.
medium	37:83	Introduces Abraham as the faithful exemplar whose idol confrontation unfolds in the following verses.
medium	37:84	His sound heart supplies the inner commitment behind his refusal to accommodate the idols.
strong	37:85	Abraham's question, "What is it that you worship?", directly frames the crowd's later defense of those objects.
strong	37:86	His rejection of false gods is the immediate theological cause of the conflict in 37:94.
strong	37:87	The challenge about their view of the Lord of the worlds exposes the false worship the crowd defends.
medium	37:88	His look toward the stars begins the tactical withdrawal that lets him confront the idols alone.
medium	37:89	His claimed illness causes the people to leave, directly enabling the events that lead to 37:94.
medium	21:51	Introduces Abraham's prior sound judgment before the explicit idol confrontation.
strong	21:52	His question about the statues directly parallels the objects whose defenders rush toward him in 37:94.
strong	21:53	The people's appeal to ancestral worship explains the collective loyalty driving their response to Abraham.
strong	21:54	Abraham's judgment that they and their fathers are in manifest error directly challenges that inherited loyalty.
medium	21:55	Their uncertainty whether he is serious registers the first communal response to his challenge.
strong	21:56	His confession of the Lord of the heavens and earth provides the monotheistic claim opposed to idol worship.
strong	21:57	Abraham's stated plan against the idols is the direct counterpart to the action preceding 37:94.
strong	21:58	Breaking the idols into fragments is the parallel act that elicits the people's retaliatory gathering.
strong	21:59	The people's demand to identify the offender directly precedes their confrontation with Abraham.
strong	21:60	Naming Abraham as the one who spoke against the idols focuses the community's accusation on him.
strong	21:61	Their order to bring him before the people's eyes is a close parallel to the crowd converging on him.
strong	21:62	The direct question to Abraham develops the confrontation implied by the rush in 37:94.
strong	21:63	His reply exposes the idols' inability to act or speak, the same exposure behind 37:92-94.
strong	21:64	The people briefly return to themselves, showing the self-recognition provoked by the exposed idols.
strong	21:65	Their relapse despite knowing the idols cannot speak explains the irrational persistence of their defense.
strong	21:66	Abraham's rebuke of worshipping what cannot benefit or harm directly interprets the conflict.
strong	21:67	His condemnation of the idols and their worshippers intensifies the challenge that provokes retaliation.
strong	21:68	The command to burn Abraham is the direct parallel escalation to the hostile movement in 37:94.
medium	21:69	God's protection of Abraham answers the violence generated by the idolaters' response.
medium	21:70	The failure of their plot completes the same conflict between Abraham and the idol-defending community.
strong	6:74	Abraham's rejection of his father's idols establishes the same foundational opposition to false worship.
strong	14:35	Abraham's prayer that he and his descendants avoid idols directly names their power to lead people astray.
medium	14:36	His recognition that idols have misled many people explains the communal attachment displayed in 37:94.
medium	19:42	Abraham's appeal not to worship Satan gives the personal, familial form of his anti-idolatry witness.
medium	19:43	His call to follow revealed guidance rather than a distorted way contrasts with inherited idol loyalty.
strong	19:44	His direct prohibition against worshipping Satan clarifies the spiritual allegiance beneath idolatry.
medium	19:45	The warning of punishment shows the stakes of refusing Abraham's monotheistic counsel.
medium	19:46	His father's threat against him provides a related hostile response to Abraham's rejection of worship practices.
medium	19:48	Abraham's withdrawal from idol worshippers parallels his separation before confronting their gods.
strong	26:70	Abraham's question, "What do you worship?", is a direct parallel to his challenge in the focus passage.
strong	26:71	The reply that they remain devoted to idols states the allegiance that 37:94 dramatizes.
strong	26:72	His question whether idols hear them directly tests the idols' incapacity, as in 37:92.
strong	26:73	His question whether they benefit or harm exposes why the idols cannot warrant the crowd's defense.
strong	26:74	The appeal to ancestral practice directly parallels the inherited following in 37:70.
medium	26:75	Abraham's demand that they consider their worshiped objects extends the same public challenge.
medium	26:76	Including their forefathers makes explicit the inherited chain behind their devotion.
strong	26:77	His declaration that all such objects are enemies except the Lord of the worlds resolves the central conflict.
strong	29:16	Abraham's command to worship God and fear Him directly contrasts with worshipping the idols.
strong	29:17	The warning that they worship idols and fabricate falsehood directly interprets the objects defended in 37:94.
medium	29:18	The reminder of earlier deniers places the crowd's rejection in a recurring prophetic pattern.
strong	29:24	His people's response, "Kill him or burn him," is the clearest parallel retaliation to the confrontation in 37:94.
strong	29:25	Abraham's rejection of idols as temporary social bonds explains the collective solidarity shown by the crowd.
strong	43:26	Abraham's declaration of separation from what his father and people worship directly frames the focus conflict.
strong	43:27	His exception for the Creator gives the monotheistic ground for rejecting the community's idols.
medium	43:28	The enduring word among his descendants shows the continuation of Abraham's anti-idolatry witness.
strong	60:4	Abraham and his companions openly disavow the people and what they worship besides God, closely matching the confrontation.
