strong	13:3	Directly repeats the earth's extension with mountains and rivers as its ordered features.
weak	7:24	Temporary earthly residence after descent is a limited contrast to the focus's settled earth.
weak	16:101	The repeated ignorance conclusion is shared, but the subject is replaced revelation rather than creation.
medium	27:3	Its local description of believers and certainty in the hereafter contrasts the focus ayah's ignorant respondents.
medium	23:50	A secure elevated place with flowing water gives a compact image of stability joined to provision.
weak	25:47	The measured alternation of night, sleep, and day loosely parallels purposeful divine ordering.
weak	31:31	Sea-going ships are a broad sign of God, without the focus ayah's structural sea boundary.
medium	6:67	Every report has a settled realization, a broad counterpart to ordered, determinate placement.
medium	18:60	The meeting place of the two seas directly recalls the focus ayah's paired-seas setting.
medium	27:24	The local account of worshipping the sun supplies the idolatry challenged by the focus's no-rival question.
medium	22:5	Its revival of dead earth by water supports the focus's portrayal of earth as a deliberately life-bearing setting.
medium	71:19	God's making the earth an expanse for people directly supports its inhabitable character.
medium	7:138	After crossing the sea, the demand for another deity sharply contrasts with the focus's no-rival question.
medium	6:98	The distinction between a settled place and a temporary deposit develops ordered placement as a divine sign.
strong	77:27	Directly joins lofty stabilizing mountains with fresh water supplied from the earth.
weak	27:81	Its local contrast between guidance and blindness only indirectly continues the focus's charge of ignorance.
no value	28:9	The phrase for comfort of the eye does not relate to the focus ayah's earth or sea arrangement.
medium	21:24	It challenges the taking of other gods, demands proof, and attributes refusal to ignorance.
weak	7:133	The signs and Pharaoh's arrogance offer a distant contrast to recognizing divine signs in creation.
medium	36:38	The sun's measured course toward its appointed station presents ordered motion rather than chaotic movement.
weak	71:12	Gardens and rivers are promised provision, but without the earth's structural ordering.
no value	27:87	The local scene of the Trumpet and universal submission adds no material connection.
medium	23:13	The secure resting place for the drop provides a small-scale image of protected, purposeful placement.
medium	18:33	A river made to flow between two gardens directly echoes water flowing through a bounded fertile setting.
weak	7:136	The sea's drowning judgment is a narrative use of water, not the focus's life-supporting barrier.
weak	32:17	Hidden comfort of the eyes is a remote emotional use of rest and does not explain created stability.
medium	14:26	The uprooted tree with no firm standing supplies a clear contrast to the focus ayah's stabilizing order.
weak	44:24	Leaving the sea open for the pursuers is a narrative contrast to a barrier set between seas.
strong	7:143	The mountain's capacity to remain fixed is directly tested, highlighting the created stability named in the focus.
weak	7:17	Approach from every direction and ingratitude only faintly echo the focus ayah's charge against most people.
weak	34:13	Stationary cauldrons provide a minor lexical image of firmness, but not terrestrial anchoring.
weak	33:33	Remaining in homes is a social instruction, only remotely related to stable dwelling.
no value	33:30	The warning of doubled punishment has no usable relation to the focus ayah.
strong	79:32	It explicitly states that God anchored the mountains, one of the focus ayah's central signs.
medium	4:143	The wavering person with no path offers a conceptual contrast to a stable, well-ordered course.
weak	79:42	The Hour's anchorage is a temporal question rather than the earth's physical stabilizing order.
medium	2:256	The unbreakable handhold gives a theological image of firm attachment that supports stability only analogically.
no value	17:7	The destruction of a sanctuary in judgment does not clarify the focus's creation signs.
medium	67:21	Its rhetorical question about a provider and its rebuke of obstinacy parallel the focus's divine-question form.
no value	17:5	Penetrating dwellings in a historical judgment is unrelated to earth, rivers, mountains, or sea boundaries.
weak	49:1	The command not to go ahead of God and the Messenger supplies only a general notion of limits.
weak	42:33	Wind-stilled ships on the sea give a remote maritime parallel without the barrier relation.
no value	9:47	Internal disruption in a group has no substantive connection to the focus ayah's natural order.
medium	77:22	The known appointed term completes the nearby sequence of creation placed in a secure, measured setting.
no value	43:67	Changing friendships at judgment do not relate to the created structures in the focus ayah.
weak	77:20	Creation from humble water is only the opening of the nearby womb-placement sequence.
no value	25:28	Regret over a chosen companion does not contribute to the focus's argument.
medium	10:55	God's possession of heaven and earth and the rebuke of ignorance support the focus's exclusive-creator claim.
medium	16:38	Its assertion of resurrection against deniers and repeated ignorance reinforces the focus's critique of unknowing resistance.
weak	16:75	The servant-and-provider parable ends with the same ignorance rebuke but lacks the creation-order material.
weak	11:17	The contrast between clear proof and disbelief has only a broad relation to recognizing divine signs.
medium	24:55	Divine succession on earth, security after fear, and exclusive worship extend the focus's earth-and-no-rival theme.
no value	5:54	The replacement of apostates by a devoted community does not clarify the focus ayah.
weak	7:38	Shared entry into punishment and the closing ignorance phrase are only a distant counterpoint.
weak	24:31	Its detailed social limits give a broad analogy to protective boundaries, but not the focus's natural barrier.
medium	59:22	God's exclusive divinity and all-encompassing knowledge reinforce the focus ayah's challenge to rival gods.
weak	4:157	Claims made without knowledge offer only a general contrast to the focus ayah's charge of ignorance.
weak	23:53	Fragmentation into factions contrasts loosely with the ordered, bounded arrangement of the focus ayah.
no value	56:40	The bare reference to a later multitude adds no usable relation.
weak	26:144	The generic call to fear God and obey supplies only a broad response to divine signs.
strong	2:22	Names the earth as a bed, heaven as a canopy, and rain as provision, then rejects setting up rivals to God.
medium	6:99	Water sent from heaven produces the earth's varied growth, supporting its deliberate life-bearing order.
medium	7:10	God establishes people on earth and provides their means of living, extending the inhabitable-earth motif.
medium	7:57	Winds, rain, and revived dead land show a coordinated system that makes the earth fruitful.
medium	13:4	Contrasting adjacent tracts and crops watered by one water show differentiated terrestrial ordering.
medium	13:17	Rain fills valleys according to their measure, supplying a structured image of flowing water in the land.
strong	14:32	God sends water down, brings forth fruits, and makes rivers serviceable, directly joining provision and waterways.
medium	16:10	Rain provides drink and vegetation, supplying the life-giving water dimension of the earth's ordering.
medium	16:14	The sea is made serviceable for food, ornament, and navigation, complementing the focus ayah's ordered seas.
strong	20:53	God makes the earth a cradle, lays paths through it, and sends down water from heaven.
medium	21:30	It identifies water as the source of every living thing, explaining why the focus ayah's waterways sustain habitation.
medium	22:63	Rain makes the earth green, directly extending its responsive, life-bearing character.
medium	22:65	The sea carries ships by God's command within a larger order that holds heaven and earth in place.
strong	23:18	Water is sent down in measure and lodged in the earth, directly linking measured flow and terrestrial storage.
medium	25:48	Winds announce mercy and pure water descends from heaven, providing the upstream source of earthly renewal.
weak	30:48	Winds gather and spread clouds that release rain, a secondary link to the focus ayah's water system.
strong	31:10	Mountains are cast into the earth to prevent its swaying, while rain produces every beneficial creature.
medium	32:27	Water is driven to barren land so crops emerge, showing ordered provision across the earth.
strong	35:12	It explicitly contrasts the fresh and salt seas, supplying the paired-seas setting for the focus ayah's barrier.
medium	36:33	Dead earth is revived and made to yield grain, reinforcing the earth as a deliberately productive dwelling.
strong	39:21	Water descends, enters the earth as springs, and produces varied crops, directly expanding the focus's water-through-earth motif.
medium	43:11	Measured rain revives dead land and produces gardens, linking water, earth, and ordered provision.
strong	50:7	The earth is spread out, mountains are cast into it, and balanced growth emerges from it.
medium	50:9	Blessed rain produces gardens and grain, extending the focus ayah's life-sustaining terrestrial order.
medium	51:48	God spreads out the earth as a prepared expanse, directly supporting its suitability for habitation.
strong	55:20	Explicitly states the barrier between the two seas and their non-transgression, the closest omitted parallel.
medium	56:68	It directs attention to the water people drink and its divine source, supporting the focus's provision through water.
medium	67:15	The earth is made manageable for people to traverse and draw sustenance from, extending its inhabitable design.
medium	67:30	The threatened loss of flowing water underscores the indispensable water provision assumed in the focus ayah.
strong	78:6	God makes the earth a resting place, directly paralleling the focus ayah's settled earth.
strong	78:7	Mountains are described as pegs, directly developing their stabilizing role.
medium	79:30	The earth is spread out after the heaven, supporting its prepared terrestrial setting.
medium	79:31	Water and pasture are brought forth from the earth, completing the earth-provision sequence.
medium	80:25	Water is poured down in abundance, supplying the source of the ensuing terrestrial growth.
medium	80:26	The earth is split open for growth, directly presenting it as a structured productive medium.
medium	88:19	The mountains are set firm, directly paralleling the focus ayah's stabilizing mountains.
medium	88:20	The earth is spread out, supporting the focus ayah's presentation of a prepared dwelling.
medium	91:6	The earth is spread out in deliberate formation, a concise parallel to its ordered preparation.
