strong	27:56	Near-verbatim Loṭ account: collective answer frames purification as grounds for expulsion.
weak	2:232	Purification and non-obstruction provide a secondary contrary boundary case.
weak	7:5	A collective utterance after punishment is formally parallel but not explanatory of 7:82.
weak	7:92	Settlement loss follows rejection, but this repeats broader outcome material.
medium	9:108	Purification is positively attached to a founded communal space, contrasting 7:82's stigmatization.
weak	11:70	Loṭ is mentioned, but the episode adds no expulsion or response relation.
weak	7:93	Messenger withdrawal after failed counsel is a broad sequel pattern only.
medium	63:8	Direct elite plan to expel the lowly from a city sharpens the politics of exclusion.
medium	11:78	Loṭ narrative links purification language to the crowd's pressure, though it is not the 7:82 reply.
weak	7:94	Town-level adversity and response are general outcome context.
no value	87:4	Emergence imagery has no meaningful connection to the focus reading.
weak	29:32	Loṭ household rescue repeats the distinction already supplied by 7:83 and 51:35.
weak	7:95	A town's misreading of changing conditions is remote from the focus response.
weak	15:4	A fixed measure for towns is general judgment context only.
no value	20:85	No clear relation to response, expulsion, or purification.
weak	7:96	Town-wide belief and piety form a broad positive contrast to 7:82's community.
weak	37:75	Answering a call is a generic counterpoint, not a parallel social mechanism.
weak	11:38	Elite mockery of a prophet is a weak analogue of hostile communal response.
weak	7:97	Unexpected punishment in towns is repetitive outcome context.
weak	2:125	Purified sacred space is semantically secondary and not an exclusion case.
no value	43:58	Contentious speech without a usable focus relation.
weak	7:98	Further repetitive town-punishment context.
weak	3:110	Communal public function is broadly opposed to the focus community's conduct.
no value	53:9	No usable relation to the focus reading.
weak	7:99	Warning against false security repeats surrounding town-outcome context.
no value	10:31	Life/death emergence imagery does not clarify 7:82.
no value	28:12	No clear relation to the focus reading.
weak	7:100	Post-town inheritance and sealed hearts provide only broad retrospective context.
weak	27:34	Town invasion and humiliation illuminate social reversal, but not the focus reply.
weak	45:25	Evasive demand after recitation is a formal analogue of refusing the substantive challenge.
weak	7:101	Retrospective pattern of rejecting clear signs is broad and redundant context.
weak	2:84	Prohibition on expelling one's own from homes is a distant normative counterpoint.
weak	17:94	A dismissive human-messenger objection is a generic refusal pattern.
weak	7:102	Covenant failure summarizes a broad pattern without focus-specific detail.
weak	11:14	Failure to answer a challenge contrasts with 7:82's answer, but the setting differs.
weak	28:64	Unanswered invocation is a generic negative response pattern.
no value	2:259	Town restoration imagery does not address the focus mechanism.
no value	37:151	No usable relation to 7:82.
medium	20:57	Ruler recasts liberation as threat of territorial expulsion, exposing the same coercive framing.
weak	11:27	Elite contempt for followers is a secondary social-hierarchy parallel.
medium	4:75	The oppressed seek exit from a town marked by wrongdoing, an inverse to the focus expulsion.
no value	2:102	No clear route to the focus reading.
weak	7:4	Town punishment repeats the surrounding judgment context.
no value	99:2	The emergence motif is not relevant to the focus response.
weak	7:110	Recasts Moses as an expulsion threat, but 20:57 already supplies the fuller parallel.
weak	3:154	Purification of hearts and forced emergence are too remote from 7:82.
medium	17:76	Attempted expulsion from land shows coercive removal and its consequence for the removers.
no value	20:64	No clear relation to response, expulsion, or purification.
no value	30:19	Life/death emergence is not a useful relation to 7:82.
weak	12:92	Forgiveness is a broad contrary response, without the focus social setting.
weak	46:32	Not answering a caller is a broad response pattern only.
