record_type	focus_ref	target_ref	focus_direction_label	source_direction_label	source_focus_ref	source_target_ref	source_target_component_ref	relation_scope	source_column_order	source_row_role	source_note	source_file	source_line	source_row_sha256
directional_review	24:2	31:28	no value	no value	24:2	31:28	31:28	cross_surah	label_target_note	ranked_review	Creation and resurrection as one soul do not clarify punishment, pity, or witnesses.	focus_24_2_cutoff_100.tsv	20	b0cf2a77fb4e897d249638ac80bbde834a053314972e7338b9208bb60d41e686
directional_review	24:2	16:113	medium	medium	24:2	16:113	16:113	cross_surah	label_target_note	ranked_review	Presents punishment following the rejection of an accessible warning, supporting accountable consequence without matching the offense.	focus_24_2_cutoff_100.tsv	21	704b65dd02e248f68dc279294c4c64c4581cef7e975231b72a51fdbc12455809
directional_review	24:2	2:228	medium	medium	24:2	2:228	2:228	cross_surah	label_target_note	ranked_review	Combines family law with belief in God and the Last Day, placing the focus's legal language in a wider accountable framework.	focus_24_2_cutoff_100.tsv	22	76be50968b9351288bf5594dd76263ac1913e071a1169bf016ecd12cddc966c6
directional_review	24:2	24:5	medium	medium	24:2	24:5	24:5	same_surah	label_target_note	ranked_review	Adds repentance and reform after the adjacent accusation penalty, preserving restoration alongside legal consequence.	focus_24_2_cutoff_100.tsv	23	6235603f0f3150e78cc2766457b643db4ad88e579d2a8c560e17f6eb113923ed
directional_review	24:2	9:66	medium	medium	24:2	9:66	9:66	cross_surah	label_target_note	ranked_review	Distinguishes individuals within one group for pardon or punishment, useful for the focus's communal setting without collective liability.	focus_24_2_cutoff_100.tsv	24	2406b38fc3a617a7251094811784978f79caafdf0fba6932259f5a906b0409fe
directional_review	24:2	60:12	strong	strong	24:2	60:12	60:12	cross_surah	label_target_note	ranked_review	Explicitly forbids zina within a public covenant and joins it to forgiveness, directly supplying the offense and moral frame.	focus_24_2_cutoff_100.tsv	25	709df78ddbe29d10909a81f6a391e6816a268cda0b20f36f2d6b1c2fb6cd8ffd
directional_review	24:2	24:9	medium	medium	24:2	24:9	24:9	same_surah	label_target_note	ranked_review	Completes the wife's oath sequence with divine wrath, extending the neighboring procedure for disputed sexual claims.	focus_24_2_cutoff_100.tsv	26	5ce841aa4d7b2bd505f5829b8d1eb6eafe881ebbc95e8da01053fdc78b5c5b2a
directional_review	24:2	57:9	weak	weak	24:2	57:9	57:9	cross_surah	label_target_note	ranked_review	Its mercy leads from darkness to light, a broad ethical counterpart rather than a guide to enforcing the fixed sanction.	focus_24_2_cutoff_100.tsv	27	743d6efdd687c1f87ce8a55efd80a736d46ba7ed553be1e96cf5e6ba71d5cc5e
directional_review	24:2	4:11	weak	weak	24:2	4:11	4:11	cross_surah	label_target_note	ranked_review	Detailed inheritance fractions offer only a distant parallel of divinely fixed quantities.	focus_24_2_cutoff_100.tsv	28	7e7c284fed3f7dcd9eee3018a507847fddc3f57cf64f93203b1aebecb949f3a0
directional_review	24:2	24:10	medium	medium	24:2	24:10	24:10	same_surah	label_target_note	ranked_review	Invokes divine favor, repentance, and wisdom immediately after the oath procedure, tempering a solely punitive reading.	focus_24_2_cutoff_100.tsv	29	fe03841f0d9ab9448e3bfe3745d67f57ef240882e898110675e485747bfba010
directional_review	24:2	22:65	weak	weak	24:2	22:65	22:65	cross_surah	label_target_note	ranked_review	Divine compassion as protection is too general to determine when pity may interrupt a prescribed penalty.	focus_24_2_cutoff_100.tsv	30	981dad6d15a7d6f12e475b9c1025e33c1c6c6c84a879a5a70bdc97a2c2592288
directional_review	24:2	57:8	medium	medium	24:2	57:8	57:8	cross_surah	label_target_note	ranked_review	Calls for faith in response to the messenger and covenant, supporting the focus ayah's faith-conditioned legal address.	focus_24_2_cutoff_100.tsv	31	d06ce963218db9d43e406f13cc7513be15637fb213b621f1f17de28f3ff513dd
directional_review	24:2	36:28	no value	no value	24:2	36:28	36:28	cross_surah	label_target_note	ranked_review	The withheld heavenly army does not clarify the punishment or its witnessing.	focus_24_2_cutoff_100.tsv	32	91ead07f48ce8594afebfd3157d373129b258f1e686db253228f4fc55c951e4e
directional_review	24:2	4:102	weak	weak	24:2	4:102	4:102	cross_surah	label_target_note	ranked_review	Organized groups in prayer offer only a structural echo of a group being present.	focus_24_2_cutoff_100.tsv	33	308cd0b82c8a6f8627545d90ce6722bd9f1317d8a16861daf77d7d4ca1dd0ce7
directional_review	24:2	9:99	medium	medium	24:2	9:99	9:99	cross_surah	label_target_note	ranked_review	Joins faith in God and the Last Day with mercy, supplying a positive counterpart to the focus's accountability horizon.	focus_24_2_cutoff_100.tsv	34	7db19becb3e06ede7e6bd7eeaba2f72b7fef2807ec5b3b4f107a417b8503cf6b
directional_review	24:2	24:6	strong	strong	24:2	24:6	24:6	same_surah	label_target_note	ranked_review	Begins the exceptional spousal accusation procedure where ordinary witnesses are absent, directly qualifying the general legal context.	focus_24_2_cutoff_100.tsv	35	cd35f50fb95adfe3b1c55d97424250eb991ea95851270a83522cb6c05a13b909
directional_review	24:2	22:20	medium	medium	24:2	22:20	22:20	cross_surah	label_target_note	ranked_review	Its bodily punishment involving skins gives a material punishment parallel, though its sanction and context differ.	focus_24_2_cutoff_100.tsv	36	2b3ca560a14a46fc7d7e1db994f53d5ee9f451b3b5448c687b3f4fd20c871c8d
directional_review	24:2	4:12	no value	no value	24:2	4:12	4:12	cross_surah	label_target_note	ranked_review	Inheritance shares do not add to the focus ayah beyond a generic use of fixed numbers.	focus_24_2_cutoff_100.tsv	37	f62ccb1ad1dea87e918c320a0f3ca7532985ebf9347df9af5fcec8456677dfb0
directional_review	24:2	24:11	strong	strong	24:2	24:11	24:11	same_surah	label_target_note	ranked_review	Assigns individual sin and severe punishment within a collective false accusation, directly extending sexual-slander accountability.	focus_24_2_cutoff_100.tsv	38	a5bf6d347e486df187b4c0b2893c7ea44aa79f37346d41c2acb81a4b8661ef9a
directional_review	24:2	39:23	no value	no value	24:2	39:23	39:23	cross_surah	label_target_note	ranked_review	Skin imagery here concerns devotional response rather than legal punishment.	focus_24_2_cutoff_100.tsv	39	f4e8b7e8000ecd03b7500fb763d0ddfce9741e565dfc5854bc06fccf5b2ac305
directional_review	24:2	5:69	medium	medium	24:2	5:69	5:69	cross_surah	label_target_note	ranked_review	Faith, righteous action, and the Last Day provide a broad positive accountability frame, not a procedural parallel.	focus_24_2_cutoff_100.tsv	40	fa482a0d2c04ce674303dab96c73aa58e0419ed71c48d4ee141444a80d2c89d5
directional_review	24:2	24:20	strong	strong	24:2	24:20	24:20	same_surah	label_target_note	ranked_review	Names divine favor and mercy in the same immediate context, clarifying that mercy remains present around judgment.	focus_24_2_cutoff_100.tsv	41	18d9384546f3270cc66ae93b09c2c7610f8640ce1a19835fc54001ca0604b649
directional_review	24:2	70:33	medium	medium	24:2	70:33	70:33	cross_surah	label_target_note	ranked_review	Upholding testimony supports the seriousness of witness-bearing, though it lacks the focus ayah's public sanction.	focus_24_2_cutoff_100.tsv	42	f7a452d8bc596daa7d874bcea96fc77bb6e2b108c59acda976ab970cdd74b437
directional_review	24:2	2:261	no value	no value	24:2	2:261	2:261	cross_surah	label_target_note	ranked_review	The hundredfold harvest is a numerical coincidence with no legal or sexual-offense relevance.	focus_24_2_cutoff_100.tsv	43	b0825b791669683c31b18c0eff380930ea5d5ce19b0a621793ac78b4d27527d3
directional_review	24:2	36:29	no value	no value	24:2	36:29	36:29	cross_surah	label_target_note	ranked_review	The single cry and extinguishing do not explain the measured bodily punishment.	focus_24_2_cutoff_100.tsv	44	a03e4ab1e9a14c993133125aa7539f0db6df08e353d9f10e0fa22e1f2b8b0006
directional_review	24:2	85:9	weak	weak	24:2	85:9	85:9	cross_surah	label_target_note	ranked_review	Divine witness is relevant to accountability, but this verse lacks legal or public-testimony detail.	focus_24_2_cutoff_100.tsv	45	7509680b408a2c9b34afaa542c497a1c4152fcf4fa3e479c15f703c203fd06da
directional_review	24:2	110:2	weak	weak	24:2	110:2	110:2	cross_surah	label_target_note	ranked_review	Entering God's religion in groups only loosely echoes the focus ayah's reference to din and a group.	focus_24_2_cutoff_100.tsv	46	75821b41728dfe8a75ebc03977bde0fae07fb50dff0c80241c76643eaa3c049f
directional_review	24:2	24:12	strong	strong	24:2	24:12	24:12	same_surah	label_target_note	ranked_review	Commands believers to reject a manifest falsehood on hearing it, directly regulating the social reception of sexual allegations.	focus_24_2_cutoff_100.tsv	47	1ba1afb6358dbec57ad14a7a27eaf0de4999dc9535089876402c9efa767f71f4
directional_review	24:2	4:113	no value	no value	24:2	4:113	4:113	cross_surah	label_target_note	ranked_review	Protection from deception through revelation does not materially clarify the fixed penalty or its witnesses.	focus_24_2_cutoff_100.tsv	48	9bdfc890b33c4e5a3c3d1797e3772375497d1b00ec770eadbf2bc36b1155832a
directional_review	24:2	61:11	weak	weak	24:2	61:11	61:11	cross_surah	label_target_note	ranked_review	Faith and striving with possessions and selves provide only a general obedience frame.	focus_24_2_cutoff_100.tsv	49	f04620e0d4d40c3beaee5244455f482f2752834d821412d09ca8e7b26af41cfe
directional_review	24:2	24:15	strong	strong	24:2	24:15	24:15	same_surah	label_target_note	ranked_review	Condemns passing on accusations without knowledge, directly explaining why public evidentiary discipline matters.	focus_24_2_cutoff_100.tsv	50	24078446551733b153f9419dbf4b56886bd442d81a66fa2cfe6a3f09bb4fd08f
directional_review	24:2	9:105	strong	strong	24:2	9:105	9:105	cross_surah	label_target_note	ranked_review	Makes deeds visible to God, the messenger, and believers before final return, strongly paralleling public accountability.	focus_24_2_cutoff_100.tsv	51	6314be03a633f8ffe086772cbe56ea91f4b0f1825a85747df9ff64013f9a1330
directional_review	24:2	17:32	strong	strong	24:2	17:32	17:32	cross_surah	label_target_note	ranked_review	Directly prohibits approaching zina and calls it an evil path, supplying the preventive norm behind the focus ayah's sanction.	focus_24_2_cutoff_100.tsv	52	cef22277a5ecb7252440bd28aaa0691272635086c8a2373f29e0e8b9e0f55644
directional_review	24:2	24:27	weak	weak	24:2	24:27	24:27	same_surah	label_target_note	ranked_review	Controlled entry into homes is a privacy norm that indirectly supports guarded sexual and social boundaries.	focus_24_2_cutoff_100.tsv	53	dd18f491bde5ef131dec0e78d8cadfbccc534ab6681f0d7547997d778b58fff9
directional_review	24:2	57:27	weak	weak	24:2	57:27	57:27	cross_surah	label_target_note	ranked_review	Mercy and compassion are discussed in another religious history, without resolving pity during prescribed punishment.	focus_24_2_cutoff_100.tsv	54	4fca23d4add631c50498555dc94cb555957747da3986ee46f7af5c0238d64a16
directional_review	24:2	2:259	no value	no value	24:2	2:259	2:259	cross_surah	label_target_note	ranked_review	Its hundred years and resurrection sign do not clarify the focus ayah.	focus_24_2_cutoff_100.tsv	55	011fdc3c247d9e3f5f6d56c99be822b97a2b99f68ce2fc706a4d32eae127c623
directional_review	24:2	46:15	no value	no value	24:2	46:15	46:15	cross_surah	label_target_note	ranked_review	Life stages and filial gratitude do not add to the legal, sexual, or evidentiary issues.	focus_24_2_cutoff_100.tsv	56	7f1dcbef136a8dd2d2854618bdbb17116bf027fe6b6fec3e60bb9a6bea44fcf9
directional_review	24:2	49:9	medium	medium	24:2	49:9	49:9	cross_surah	label_target_note	ranked_review	Combines force to stop wrongdoing with required reconciliation and justice, offering a secondary discipline-and-restoration parallel.	focus_24_2_cutoff_100.tsv	57	0fe7b99d101810059622d9afe17c088d20f37525bfdbfcaffdbcba8d5ad74a37
directional_review	24:2	25:68	strong	strong	24:2	25:68	25:68	cross_surah	label_target_note	ranked_review	Places zina among grave forbidden acts and attaches consequence, directly reinforcing the offense's moral gravity.	focus_24_2_cutoff_100.tsv	58	8818ad4f163f9a0b00ba9ed3a803168590e691d0e6c43f9cbc66e0e34377fbcd
directional_review	24:2	24:14	medium	medium	24:2	24:14	24:14	same_surah	label_target_note	ranked_review	Warns that divine favor and mercy averted severe punishment for the slander, adding context-specific restraint and consequence.	focus_24_2_cutoff_100.tsv	59	3fff7fbce99314af64ba3a582ffaea0c2be69a4c521dab4a84845643e26e95cf
directional_review	24:2	98:5	weak	weak	24:2	98:5	98:5	cross_surah	label_target_note	ranked_review	Defines sincere worship through concrete duties, a broad sense of din rather than a guide to this penalty.	focus_24_2_cutoff_100.tsv	60	076ab74c434ec541750164b7b4e65202f4d5d6f9ff621255b26eef96c1e0e693
directional_review	24:2	9:79	weak	weak	24:2	9:79	9:79	cross_surah	label_target_note	ranked_review	Punishment for deriding charitable believers is a distant example of sanction for harmful public conduct.	focus_24_2_cutoff_100.tsv	61	51655c8b50b782af8f8b40c9846448f8b5f57b087586322fd850efacaf0f3ce3
directional_review	24:2	24:30	strong	strong	24:2	24:30	24:30	same_surah	label_target_note	ranked_review	Orders lowered gaze and guarding chastity, directly providing a preventive counterpart to the adultery sanction.	focus_24_2_cutoff_100.tsv	62	c7c77ca4ddfbd85d74aca70a837a5902e09cf7045bee6d9657543c751adcaabd
directional_review	24:2	2:207	weak	weak	24:2	2:207	2:207	cross_surah	label_target_note	ranked_review	Divine tenderness toward those who give themselves does not clarify pity toward offenders.	focus_24_2_cutoff_100.tsv	63	9ff239b9b68627cfab076d87cc324e0e65fa56953f088ae21b4086297b3b7929
directional_review	24:2	33:73	medium	medium	24:2	33:73	33:73	cross_surah	label_target_note	ranked_review	Contrasts punishment of hypocrites and idolaters with repentance toward believers, adding the punishment-and-forgiveness polarity.	focus_24_2_cutoff_100.tsv	64	8933996283eed0353bfbb5ec35b7a13dcfd297280f66630a107d4dfcf2eee73b
directional_review	24:2	36:49	no value	no value	24:2	36:49	36:49	cross_surah	label_target_note	ranked_review	The sudden cry seizing disputants does not illuminate measured legal punishment.	focus_24_2_cutoff_100.tsv	65	6e57ea77ad0da247ee40b672e9988cc7820dfced5bfc87a53372b66c07ef765d
directional_review	24:2	5:44	medium	medium	24:2	5:44	5:44	cross_surah	label_target_note	ranked_review	Links judgment by revelation, witness-bearing, and freedom from fear of people, supporting principled enforcement of law.	focus_24_2_cutoff_100.tsv	66	e0ae676838bda9cbcd5015ccc486389570f4abaf1fe6a3e58007b2f285d0714a
directional_review	24:2	3:154	no value	no value	24:2	3:154	3:154	cross_surah	label_target_note	ranked_review	Its divided wartime responses and hidden thoughts do not clarify this public legal process.	focus_24_2_cutoff_100.tsv	67	f4bea2c8b453bd529a274706d2566b35199a16024df8febb463ec9a8ced8552c
directional_review	24:2	24:16	strong	strong	24:2	24:16	24:16	same_surah	label_target_note	ranked_review	Requires immediate rejection of grave false accusation, directly strengthening the social safeguard around sexual allegations.	focus_24_2_cutoff_100.tsv	68	a2375df209418bf56ab998ecd436a2da866d94f68a2465d7cb4eb6be06d79b8e
directional_review	24:2	6:42	weak	weak	24:2	6:42	6:42	cross_surah	label_target_note	ranked_review	Hardship intended to induce humility is a broad punishment parallel, not a rule for adjudication.	focus_24_2_cutoff_100.tsv	69	f7ed984683bd45f5c436f74827992e8612bdcf9a7c0b69ccf2fd3f0caa1a6e27
directional_review	24:2	4:1	weak	weak	24:2	4:1	4:1	cross_surah	label_target_note	ranked_review	God's watchfulness and kinship ethic form only a general moral background for the ruling.	focus_24_2_cutoff_100.tsv	70	c5acbd3e4c7c29c9f2e5956a7f69c987d2958a467279d7e9d55020c193cbf4f5
directional_review	24:2	24:44	no value	no value	24:2	24:44	24:44	same_surah	label_target_note	ranked_review	The alternation of night and day has no material connection to the focus ayah.	focus_24_2_cutoff_100.tsv	71	66602085e8fec1c6780f9c3929de969141ff89a64ab849d4dc2701172ffa6e8c
directional_review	24:2	48:28	weak	weak	24:2	48:28	48:28	cross_surah	label_target_note	ranked_review	Religion and divine witness are present, but without a specific legal, sexual, or evidentiary contribution.	focus_24_2_cutoff_100.tsv	72	559638a416b082c7821fb07db317f529bd08c521d167f6a17ff8c58f2b181a5b
directional_review	24:2	4:135	strong	strong	24:2	4:135	4:135	cross_surah	label_target_note	ranked_review	Commands steadfast justice and testimony even against oneself, a strong ethical standard for any public witness process.	focus_24_2_cutoff_100.tsv	73	a150be84de33bb8dd687827612e46f3f3c6dc753dacd703c4f700f6d3a47de2e
directional_review	24:2	28:28	weak	weak	24:2	28:28	28:28	cross_surah	label_target_note	ranked_review	A witnessed contractual term offers only a remote procedural parallel to public witnessing.	focus_24_2_cutoff_100.tsv	74	ba6bdc739b40ec59cc6d2eec1fc1508b421cb37c4b46269ab4e7b570526da172
directional_review	24:2	74:13	weak	weak	24:2	74:13	74:13	cross_surah	label_target_note	ranked_review	The presence of sons is not the legal or public testimony required by the focus ayah.	focus_24_2_cutoff_100.tsv	75	23cf14f53d431f2fb843395a7631a9aa456591396f85d69d44c9a18cd3bf5fdc
directional_review	24:2	18:25	no value	no value	24:2	18:25	18:25	cross_surah	label_target_note	ranked_review	Its three hundred years are a numerical coincidence only.	focus_24_2_cutoff_100.tsv	76	61a3461cc0f2f09348b861a6942bb22a3f2f1e47dd44089775359dd9b6f7d326
directional_review	24:2	24:17	medium	medium	24:2	24:17	24:17	same_surah	label_target_note	ranked_review	Forbids returning to the same wrongdoing after the slander episode, supplying an explicit corrective and deterrent aim.	focus_24_2_cutoff_100.tsv	77	c4139bceb6ba6136985482d71a96644ae23691e8aaf71adc8a66b23dc2aba202
directional_review	24:2	6:73	weak	weak	24:2	6:73	6:73	cross_surah	label_target_note	ranked_review	Divine knowledge of seen and unseen is a general accountability parallel without procedural relevance.	focus_24_2_cutoff_100.tsv	78	273b37b68138c0b048a9200e897820e5fe55f0f84a1fe3693731b489399c072a
directional_review	24:2	2:102	weak	weak	24:2	2:102	2:102	cross_surah	label_target_note	ranked_review	Its harmful separation of spouses is not the zina offense or its adjudication.	focus_24_2_cutoff_100.tsv	79	3e80c2f935a4db9accc629145b765092e2828a27345b058cfee1f604300ce0ce
directional_review	24:2	38:23	no value	no value	24:2	38:23	38:23	cross_surah	label_target_note	ranked_review	Its ninety-nine and one concern a separate dispute and do not clarify the punishment's fixed count.	focus_24_2_cutoff_100.tsv	80	2b5bd960b8d3ed7415d67abfefe46a53b6f93c56d3cbbd1beba5a6a988f923f1
directional_review	24:2	37:20	medium	medium	24:2	37:20	37:20	cross_surah	label_target_note	ranked_review	Explicit recognition of the Day of Recompense reinforces the eschatological horizon already named by the focus ayah.	focus_24_2_cutoff_100.tsv	81	4eb335447d5610695594a42401b79adf19d5dbfe7ac930eb0c56a5bf6de4386e
directional_review	24:2	6:19	medium	medium	24:2	6:19	6:19	cross_surah	label_target_note	ranked_review	Divine witness between disputing parties supports ultimate accountability, though not the required human witnesses.	focus_24_2_cutoff_100.tsv	82	10b36f07f5138c6b5e665354d70b2280ae722658415c15e9adbd187b805eb37a
directional_review	24:2	24:18	medium	medium	24:2	24:18	24:18	same_surah	label_target_note	ranked_review	Reaffirms that God clarifies signs with knowledge and wisdom, supporting the legal instruction's revealed authority.	focus_24_2_cutoff_100.tsv	83	93e23a98b9401a7360f3a330c8794e4e1c3bb386bdbea48abfae37f85345cfc1
directional_review	24:2	73:15	medium	medium	24:2	73:15	73:15	cross_surah	label_target_note	ranked_review	The messenger as witness and warner supports the public, accountable character of admonition and consequence.	focus_24_2_cutoff_100.tsv	84	5719d03bc41f710bb39be3792caf08af065d50ba3cd90418273fb56a027578c7
directional_review	24:2	2:158	no value	no value	24:2	2:158	2:158	cross_surah	label_target_note	ranked_review	Pilgrimage rites and voluntary good do not add to the focus ayah.	focus_24_2_cutoff_100.tsv	85	f26c805483e0bc0e52408624b8677e1abda8e927d4781989bf831060fa26c1e9
directional_review	24:2	25:32	weak	weak	24:2	25:32	25:32	cross_surah	label_target_note	ranked_review	Ordered revelation is unrelated to the measured sanction or witness requirement.	focus_24_2_cutoff_100.tsv	86	ba747e9c619f8caf04e259953dec13bbee144e50ae23e56131af1998bc1dbfcf
directional_review	24:2	2:23	medium	medium	24:2	2:23	2:23	cross_surah	label_target_note	ranked_review	Calls for witnesses in a public test of a claim, offering a secondary model of evidence rather than legal testimony.	focus_24_2_cutoff_100.tsv	87	52e7de0402c0647dd8384cd15a5a737cc8b4e0f4130ea8ca7367bf9cc4a7c14d
directional_review	24:2	55:22	no value	no value	24:2	55:22	55:22	cross_surah	label_target_note	ranked_review	The emergence of pearls and coral has no connection to the focus ayah.	focus_24_2_cutoff_100.tsv	88	6193f29906fcb83ea38e68be80c76f43c73e6ceacc245af59a98abc3611f77c4
directional_review	24:2	24:19	strong	strong	24:2	24:19	24:19	same_surah	label_target_note	ranked_review	Threatens those who want indecency spread among believers, directly extending the social harm and punishment context.	focus_24_2_cutoff_100.tsv	89	1e42d84ea00a1dd110343a06c957878ac31b3e1c3b7487ddad123fb495aaf3d7
directional_review	24:2	2:132	weak	weak	24:2	2:132	2:132	cross_surah	label_target_note	ranked_review	Preserving religion through life provides only a broad counterpart to the focus ayah's appeal to din.	focus_24_2_cutoff_100.tsv	90	134c0904ecf47e4a06eb3977bfefb343797591a5e19eb143eb878f303c0dd744
directional_review	24:2	7:85	weak	weak	24:2	7:85	7:85	cross_surah	label_target_note	ranked_review	Commands fair measure and forbids corruption, a general legal-ethical parallel without sexual or evidentiary specificity.	focus_24_2_cutoff_100.tsv	91	d5ad0f99bd8284a886fcf74a73011d0ff31d0515a11463e420dae1946d47d141
directional_review	24:2	17:78	weak	weak	24:2	17:78	17:78	cross_surah	label_target_note	ranked_review	A prayer described as witnessed gives only a distant use of witnessing in a public religious act.	focus_24_2_cutoff_100.tsv	92	9c1f608ad27402fec9a4516913d686777510700579bd3a6f18fc1925b2f2865a
directional_review	24:2	7:91	no value	no value	24:2	7:91	7:91	cross_surah	label_target_note	ranked_review	The earthquake punishment of an earlier people does not clarify this prescribed legal penalty.	focus_24_2_cutoff_100.tsv	93	d46a8a4de9af28752a1f2857f7366973c184c49da6a21b137e3b142a9248d74f
directional_review	24:2	33:45	medium	medium	24:2	33:45	33:45	cross_surah	label_target_note	ranked_review	The messenger's witnessing and warning role supports accountable public admonition, though not courtroom procedure.	focus_24_2_cutoff_100.tsv	94	345981f7b4fb08e5991a7701e57dd87f46012e9ce005d10bb5d5eca50468b418
